# ---
# domain: KnownBits
# op: mlir/Operations/Add.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 2]
# - [2, 3]
# - [3, 7]
# - [4, 3]
# - [5, 1]
# - [6, 2]
# - [8, 450]
# - [9, 2]
# - [11, 1]
# - [12, 2]
# - [16, 831]
# - [25, 2]
# - [32, 7209]
# - [33, 3]
# - [34, 5]
# - [35, 11]
# - [36, 1]
# - [64, 6395]
# - [128, 233]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	?	1	?	47
1	?	?	?	40
2	??	11	??	32
2	??	01	??	17
2	??	10	??	17
3	???	001	???	5612
3	???	010	???	5598
3	???	011	???	5598
3	???	101	???	5576
3	???	110	???	5576
3	???	111	???	5576
3	???	100	???	464
4	????	0001	????	13
4	????	????	????	8
4	????	1111	????	3
5	?????	00001	?????	39
6	??????	??????	??????	106
6	??????	000001	??????	13
8	????????	00000001	????????	471656
8	????????	11111111	????????	347148
8	????????	????????	????????	304423
8	????????	11010000	????????	113385
8	????????	01000000	????????	92221
8	????????	00000111	????????	91921
8	????????	0000000?	????????	52444
8	????????	00100000	????????	46204
8	00000???	00000001	0000????	42458
8	????????	????0000	????????	29231
8	????????	???????1	????????	26489
8	????????	00010000	????????	21407
8	????????	11111110	????????	14072
8	1????00?	????????	????????	12326
8	????????	10000001	????????	11976
8	????????	10111111	????????	11701
8	????????	00000010	????????	10943
8	????????	11000000	????????	10335
8	????????	00001000	????????	10291
8	????????	11010010	????????	9727
8	0000?00?	????????	????????	8369
8	????????	10011111	????????	7860
8	????????	11111101	????????	7094
8	0000000?	????????	????????	6164
8	????????	00000011	????????	6145
8	????????	11111100	????????	6089
8	?????000	????????	????????	5397
8	???????0	00100000	???????0	5260
8	????????	00100110	????????	5233
8	????????	11100010	????????	4745
8	????????	11100000	????????	4466
8	????????	11000110	????????	4276
8	????????	10100100	????????	4248
8	????????	00000000	????????	3927
8	????????	00111111	????????	3867
8	????????	11110000	????????	3829
8	????????	11110111	????????	3805
8	????????	01111110	????????	3804
8	????????	00001111	????????	3642
8	????????	00011111	????????	3426
8	00000000	????????	????????	3291
8	????????	11111001	????????	2759
8	???????0	????????	????????	2622
8	????????	11111010	????????	2564
8	??????00	00100000	??????00	2160
8	????????	11111011	????????	2159
8	????????	000000??	????????	2131
8	????????	11001001	????????	1894
8	????????	11111000	????????	1826
8	????????	00000100	????????	1677
