# ---
# domain: KnownBits
# op: mlir/Operations/AddNsw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 351]
# - [16, 551]
# - [32, 6465]
# - [34, 1]
# - [35, 1]
# - [64, 5157]
# - [128, 140]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	00000???	11111110	????????	57440
8	????????	11010000	????????	44613
8	000?????	11100100	????????	43388
8	0000????	11111100	????????	31759
8	????????	11100100	????????	22535
8	????????	11111111	????????	21294
8	????????	11111110	????????	17077
8	????????	11100000	????????	15430
8	????????	0000000?	????????	13389
8	0000????	11111010	????????	11231
8	????????	????????	????????	10501
8	00??????	11100010	????????	9816
8	????????	11111100	????????	9679
8	????????	10101001	????????	8845
8	????????	11100010	????????	7620
8	000?????	11100101	????????	6277
8	????????	11111000	????????	5540
8	????????	11111101	????????	5460
8	00000???	11111101	????????	5419
8	0000????	11111110	????????	5073
8	0000????	11111000	????????	4721
8	????????	11001001	????????	4169
8	????????	11111010	????????	4027
8	000?????	11101000	????????	3516
8	00000???	11111100	????????	3498
8	0000????	11111101	????????	3490
8	00000???	11111011	????????	3212
8	000?????	11110000	????????	3080
8	000000??	11111110	????????	3059
8	????????	00000001	????????	3031
8	00??????	11110000	????????	2769
8	????????	11100101	????????	2631
8	000?????	11111100	????????	2536
8	0???????	11010110	????????	2025
8	000?????	11110011	????????	1929
8	????????	11111011	????????	1558
8	0000????	11110101	????????	1474
8	0000????	11110011	????????	1400
8	????????	00000100	????????	1334
8	000?????	11111111	????????	1328
8	0000????	11111011	????????	1319
8	000000??	11111111	????????	1297
8	0000????	11110100	????????	1275
8	0000????	11111111	????????	1274
8	0000000?	11111111	????????	1254
8	00??????	11011000	????????	1247
8	00000???	11111010	????????	1238
8	000?????	11111110	????????	1221
8	????????	01100000	????????	1215
8	000?????	11101110	????????	1173
8	000?????	11111000	????????	1173
8	????????	11110100	????????	1071
8	000?????	11100111	????????	965
8	00??????	11100000	????????	954
8	???????0	00100000	???????0	940
8	????????	11101000	????????	913
8	????????	00000010	????????	900
8	????????	11100001	????????	897
8	????????	11110000	????????	878
8	000?????	11111010	????????	803
8	????????	11110101	????????	752
8	000?????	11110101	????????	719
8	????????	11010110	????????	699
8	????????	11101110	????????	683
8	00??????	11111111	????????	646
8	00000???	11111111	????????	613
8	????????	11101010	????????	559
8	000?????	11101010	????????	558
8	????????	11111001	????????	548
8	????????	00000011	????????	521
8	0000????	11111001	????????	507
8	????????	10111001	????????	507
8	00??????	11101011	????????	495
8	00??????	11100100	????????	486
8	????????	10100010	????????	477
8	0?111111	????????	????????	466
8	????????	01000000	????????	441
8	????????	00010000	????????	425
8	????????	00000111	????????	402
8	????????	11100111	????????	397
8	0000????	11110111	????????	382
8	00??????	11101110	????????	356
8	0???????	10011001	????????	355
8	????????	11000000	????????	341
8	????????	10111111	????????	339
8	00??????	11100001	????????	331
8	????????	10011111	????????	290
8	000?????	11110100	????????	280
8	00??????	11110110	????????	261
8	0????000	11010000	?????000	258
8	????????	11110111	????????	256
8	????????	11100011	????????	245
8	000?????	11100011	????????	241
8	000?????	11111101	????????	241
8	000?????	11110110	????????	239
8	????????	00010010	????????	226
8	????????	11110011	????????	224
8	0000????	11110110	????????	223
8	????????	01111111	????????	219
8	0000000?	????????	????????	216
8	??????00	11111101	??????01	216
8	00??????	11100011	????????	202
8	????????	00011000	????????	195
8	????????	00110000	????????	192
8	00000???	????????	????????	190
8	????????	11110001	????????	188
8	????????	11101011	????????	184
8	????????	11010101	????????	180
8	????????	11011111	????????	180
8	00????00	11111101	??????01	177
8	000?????	11101011	????????	170
8	????????	00100000	????????	161
8	????????	10011001	????????	156
8	????????	11110110	????????	152
8	00??????	11011001	????????	148
8	0???????	11111111	????????	144
8	????????	11011001	????????	129
8	???111??	11111111	???11???	123
8	00??????	11100101	????????	122
8	00??????	11000111	????????	121
8	000?????	11101001	????????	117
8	????????	0000????	????????	116
8	000010??	11111111	0000????	115
8	????????	10011101	????????	114
8	00??????	11101010	????????	113
8	????0000	00100000	????0000	105
8	????????	000?????	????????	101
8	????????	10011000	????????	97
8	????????	00011010	????????	94
8	000??000	11111000	?????000	91
8	??????10	????????	????????	91
8	??????00	00001000	??????00	85
8	????????	00001100	????????	82
8	00??????	11111100	????????	80
8	?????000	????????	????????	80
8	000?????	11110001	????????	79
8	0???????	????????	????????	77
8	????????	00000000	????????	77
8	00??????	11011011	????????	76
8	0???????	10011000	????????	76
8	0???????	11110111	????????	76
8	0???????	10101100	????????	75
8	???????0	11111110	???????0	75
8	1110????	00??0000	????????	74
8	????????	00111110	????????	74
8	00??????	11111110	????????	72
8	0000001?	11111110	0000000?	70
8	000??000	11111011	?????011	69
8	????????	11000111	????????	69
8	????????	00001110	????????	68
8	00000???	00000111	0000????	66
8	00???000	11110101	?????101	66
8	00??0000	11100000	????0000	64
8	0???????	11010000	????????	64
8	????????	10100000	????????	63
8	????????	00000???	????????	60
8	????????	00001111	????????	60
8	000000??	????????	????????	59
8	00??????	11110111	????????	59
8	0??????0	11111110	???????0	58
8	????????	11001111	????????	58
8	0???????	11111101	????????	53
8	???????0	11111111	???????1	52
8	0???????	11011001	????????	50
8	????????	00001000	????????	48
8	00??????	11111011	????????	44
8	????????	01100101	????????	44
8	1111????	00010000	0000????	42
8	00000?1?	11111110	00000?0?	40
8	????????	00000101	????????	39
8	????????	00111100	????????	39
8	1??01001	????????	????????	38
8	????????	01011111	????????	38
8	????????	10101000	????????	38
8	????????	10111011	????????	38
8	????????	10101100	????????	37
8	????????	10110111	????????	36
8	0???????	11000000	????????	34
8	???????1	00000010	???????1	34
8	00??????	11011100	????????	33
8	0???????	11100110	????????	33
8	0???????	11110000	????????	33
8	0????000	11000000	?????000	32
8	???????1	00000001	???????0	32
8	????????	00100111	????????	32
8	????????	11010111	????????	32
8	????????	1????00?	????????	31
8	????????	11011100	????????	30
8	000?????	11111001	????????	29
8	????????	0000?00?	????????	29
8	????????	11010010	????????	29
8	000???00	11111111	??????11	28
8	????????	00000110	????????	28
8	????????	00001001	????????	28
8	????????	11010011	????????	26
8	????????	10011110	????????	25
8	0???????	11111100	????????	24
8	11111?0?	????????	????????	24
8	??????00	11111111	??????11	24
8	?????000	11111111	?????111	23
8	??????00	01000000	??????00	23
8	0000?000	????????	????????	22
8	????????	00001011	????????	22
8	000?????	11101111	????????	21
8	000???00	11111110	??????10	20
8	0???????	10110101	????????	20
8	0???????	11100000	????????	20
8	????????	00001010	????????	20
8	????????	00001101	????????	20
8	000??000	11111111	?????111	19
8	000?????	????????	????????	19
8	01?01???	???????0	????????	18
8	???????1	11111110	???????1	18
8	???????1	11111111	???????0	18
8	????????	00110111	????????	18
8	????????	0???????	????????	18
8	????????	11000110	????????	18
8	????????	11101111	????????	18
8	0???????	10001010	????????	17
8	0???????	11101010	????????	16
8	????????	00011101	????????	16
8	????????	11011011	????????	16
8	00??????	11011111	????????	15
8	00??????	11110001	????????	15
8	???????0	????????	????????	15
8	????????	11101101	????????	15
8	00000???	00000000	00000???	14
8	00??????	11110011	????????	14
8	0???0000	11111001	????1001	14
8	0??????0	10100000	???????0	14
8	1????00?	????????	????????	14
8	????????	11100110	????????	14
8	????????	11101100	????????	14
8	0?????00	11111000	??????00	13
8	0???????	10101110	????????	13
8	1111111?	00000001	????????	13
8	????????	11001100	????????	13
8	000??111	????0000	?????111	12
8	0?????00	10100000	??????00	12
8	???????0	00101010	???????0	12
8	????????	00010101	????????	12
8	????????	01110000	????????	12
8	????????	???????0	????????	12
8	0???????	10110011	????????	11
8	??????10	11111111	??????01	11
8	????????	01010000	????????	11
8	1???????	00000001	????????	10
8	????????	01100100	????????	10
8	????????	11011000	????????	10
8	0000?00?	????????	????????	9
8	0???????	00001100	0???????	9
8	???????0	00001110	???????0	9
8	????????	11111?0?	????????	9
8	????????	01001110	????????	8
8	000?????	11101101	????????	7
8	00????00	11111100	??????00	7
8	0???????	00000001	0???????	7
8	0???????	11001001	????????	7
8	????????	10111010	????????	7
8	000000??	00000100	000001??	6
8	00??????	11100111	????????	6
8	???????0	00000010	???????0	6
8	????????	00011111	????????	6
8	????????	00101010	????????	6
8	????????	00111010	????????	6
8	????????	01111100	????????	6
8	????????	10110001	????????	6
8	????????	10110101	????????	6
8	????????	10111101	????????	6
8	????????	11110010	????????	6
8	000000??	11111101	????????	4
8	00??????	11111101	????????	4
8	0?????00	11110000	??????00	4
8	0?????00	11110100	??????00	4
8	0?????00	11111100	??????00	4
8	0???????	10111011	????????	4
8	0???????	11001111	????????	4
8	0???????	11101111	????????	4
8	??11????	11111111	??1?????	4
8	???????0	01?01???	????????	4
8	????????	00011110	????????	4
8	????????	00100001	????????	4
8	????????	01010110	????????	4
8	????????	01011011	????????	4
8	????????	01011110	????????	4
8	????????	01101011	????????	4
8	????????	10001001	????????	4
8	????????	10010000	????????	4
8	????????	10010010	????????	4
8	????????	10010101	????????	4
8	????????	10110000	????????	4
8	????????	10110010	????????	4
8	????????	11000100	????????	4
8	00000001	????????	????????	3
8	00000111	????????	????????	3
8	0000???0	11111010	???????0	3
8	000?1??1	11101010	???????1	3
8	?????000	11000000	?????000	3
8	????????	01001000	????????	3
8	????????	10101110	????????	3
8	????????	10110011	????????	3
8	????????	??????10	????????	3
8	00000000	11111100	11111100	2
8	000?????	11111011	????????	2
8	00???000	11111111	?????111	2
8	00??????	11100110	????????	2
8	0??0?001	11010110	???1?111	2
8	0??0???1	11010110	???????1	2
8	0??0????	11010110	????????	2
8	0???000?	11010110	????011?	2
8	0???00??	11010110	????????	2
8	0???0?01	11010110	??????11	2
8	0?????0?	11010110	??????1?	2
8	0???????	11100101	????????	2
8	0???????	11111010	????????	2
8	??????00	11111100	??????00	2
8	???????0	01000000	???????0	2
8	???????0	01001110	???????0	2
8	????????	00110100	????????	2
8	????????	01000101	????????	2
8	????????	01100001	????????	2
8	????????	01101000	????????	2
8	????????	01111001	????????	2
8	????????	10010110	????????	2
8	????????	10011100	????????	2
8	????????	10100100	????????	2
8	????????	10101111	????????	2
8	????????	10111000	????????	2
8	????????	10?????0	????????	2
8	????????	11001010	????????	2
8	????????	11010001	????????	2
8	????????	110??00?	????????	2
8	????????	1??????0	????????	2
