# ---
# domain: KnownBits
# op: mlir/Operations/AddNswNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 437]
# - [16, 973]
# - [24, 59]
# - [32, 9834]
# - [40, 43]
# - [48, 62]
# - [56, 44]
# - [64, 8431]
# - [120, 9]
# - [128, 808]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
4	0???	0001	0???	21
8	????????	00000001	????????	62247
8	0000????	00000001	000?????	35248
8	????????	00100000	????????	26431
8	0???????	00000001	0???????	25843
8	????????	0000000?	????????	24535
8	????????	????????	????????	21837
8	0000000?	0000000?	000000??	16009
8	00000???	00000001	0000????	11538
8	00000???	00000010	0000????	9119
8	0000000?	00000001	000000??	8992
8	????????	00001000	????????	6826
8	000000??	0000000?	00000???	6666
8	????????	00000010	????????	4468
8	00000???	00000011	0000????	3691
8	000000??	00000001	00000???	3495
8	000?????	00001111	00??????	2618
8	0000000?	????????	????????	2564
8	000?????	00000001	00??????	2492
8	????????	00000111	????????	2265
8	????????	00000011	????????	1937
8	????????	00000100	????????	1846
8	00??????	00000001	0???????	1739
8	????????	00000101	????????	1567
8	00?00???	0011????	0???????	1512
8	????????	00000110	????????	1507
8	00000???	0000000?	0000????	1483
8	0000????	00110111	0???????	1379
8	0000????	0000????	000?????	1369
8	0000???0	00000010	000????0	1267
8	????????	00001111	????????	1119
8	0000????	01010111	01??????	1014
8	0000000?	00001011	00001???	988
8	0000????	0000000?	000?????	988
8	?0000000	????????	????????	972
8	000000??	00000011	00000???	902
8	????????	00001011	????????	795
8	????????	00001110	????????	745
8	????????	????0000	????????	744
8	00??00??	00??00??	0???0???	688
8	00000?00	00000101	0000??01	660
8	????????	01000000	?1??????	627
8	???????0	01000000	?1?????0	607
8	????????	00000?00	????????	548
8	00000???	00001001	000?????	468
8	0000000?	00000011	00000???	461
8	000?????	0000000?	00??????	420
8	????????	00010010	????????	412
8	000000??	000000??	00000???	402
8	????????	00001001	????????	388
8	????????	00010000	????????	340
8	0011????	00?00???	0???????	315
8	0000000?	11111101	111111??	304
8	0000????	00000011	000?????	269
8	00000???	00000111	0000????	257
8	00000?00	00000100	0000??00	247
8	????????	0??????0	????????	243
8	????????	0000????	????????	233
8	11???0??	00001001	11??????	228
8	00000?00	00000?00	0000??00	225
8	????????	00011111	????????	209
8	????????	000000?0	????????	204
8	00??????	00100000	0???????	203
8	000?????	0000????	00??????	188
8	000???00	00000???	00??????	177
8	????????	00010100	????????	176
8	????????	00011101	????????	173
8	0?001000	00001000	0?010000	167
8	000000?0	000000?0	00000??0	164
8	0???0000	000?0000	0???0000	164
8	????????	00001010	????????	164
8	000?0000	000?0000	00??0000	156
8	????????	0011????	????????	144
8	0??????0	0000????	0???????	143
8	????????	000000??	????????	143
8	00?00000	00?00000	0??00000	140
8	0000????	00000100	000?????	139
8	????????	000?0000	????????	138
8	????????	00011001	????????	134
8	00??0000	000?0000	0???0000	130
8	00??????	0000????	0???????	129
8	0?????00	00001011	0?????11	126
8	00000?00	????????	????????	120
8	????????	00001100	????????	120
8	????????	00100011	????????	117
8	0000??00	00000?00	000???00	110
8	??????00	00001100	??????00	108
8	??????01	000000??	????????	108
8	00000???	000000??	0000????	106
8	0??00000	00?00000	0??00000	105
8	11??????	00000011	11??????	102
8	0000000?	000000?0	000000??	100
8	0000????	00000110	000?????	98
8	00000??0	000000?0	0000???0	96
8	0000000?	???????0	????????	94
8	0???????	00001000	0???????	93
8	??????00	000000?0	???????0	92
8	00000???	00000???	0000????	91
8	000????0	00000010	00?????0	90
8	00000??0	00000010	0000???0	88
8	0000??00	00000100	000???00	86
8	????????	00110010	????????	86
8	00??????	??000000	????????	82
8	00000??0	0000000?	00000???	81
8	????????	00010001	????????	81
8	0000000?	000000??	00000???	80
8	0000????	000000??	000?????	79
8	00001???	00000001	000?????	76
8	000?????	00000010	00??????	73
8	??000???	000??000	??0?????	72
8	????????	??11????	????????	72
8	????????	00??????	????????	70
8	00000???	00000??0	0000????	69
8	000?????	000000??	00??????	69
8	0??10???	0000????	0???????	64
8	0???????	0000????	0???????	64
8	????????	00000???	????????	64
8	0000000?	00000101	000001??	63
8	000000??	00000010	00000???	62
8	????????	00011110	????????	61
8	00000?00	00000000	00000?00	60
8	0000????	00000010	000?????	59
8	0000??0?	00000?00	000???0?	57
8	0000????	0???????	0???????	57
8	????????	0000?000	????????	56
8	000?0000	????????	????????	55
8	00??????	00001000	0???????	55
8	????????	000?????	????????	55
8	0000??00	00011111	00????11	54
8	????????	11110001	1111????	54
8	0?????00	00000101	0?????01	52
8	0000????	0??????0	0???????	50
8	????????	00110111	????????	50
8	0?001000	00011000	0?100000	49
8	000000?0	00000010	00000??0	48
8	00000???	0???0???	0???????	48
8	000?????	000000?0	00??????	48
8	0000????	0??10111	0???????	46
8	0011????	????????	????????	45
8	????????	0????000	????????	45
8	00??????	00010011	0???????	44
8	000???0?	00000?00	00????0?	40
8	000??000	0000??00	00????00	38
8	00??????	00000011	0???????	36
8	000000?0	0000??00	0000???0	35
8	00??????	00001100	0???????	35
8	00??????	00110000	0???????	35
8	0???????	00100000	0???????	35
8	000000??	00011101	00??????	34
8	000001??	00000?00	0000????	34
8	00??????	00000010	0???????	34
8	000?????	00110111	0???????	33
8	????????	10010000	1???????	33
8	00000?00	00010100	0001??00	32
8	000?0000	00010000	00??0000	32
8	00??????	000000?0	0???????	32
8	0?????00	000000?0	0??????0	32
8	????????	0000?0?0	????????	32
8	????????	???????0	????????	32
8	000?????	00000011	00??????	31
8	0000000?	0000???0	0000????	30
8	0000????	00001011	000?????	30
8	000000?0	0?????00	0??????0	28
8	0000????	0000?000	000?????	28
8	00??????	000010??	0???????	28
8	0????000	????????	????????	28
8	????????	00011011	????????	28
8	????????	0?000000	????????	28
8	00000??0	00011111	00?????1	27
8	0000????	????????	????????	27
8	??0?????	00?00000	????????	27
8	000?????	00001010	00??????	26
8	?0000000	0?000000	??000000	26
8	?1??????	00001000	?1??????	26
8	000?????	00110000	0???????	25
8	????????	00000000	????????	25
8	0000000?	0??????0	0???????	24
8	0000???0	00000001	0000???1	24
8	0000???0	00001001	000????1	24
8	????0000	0???????	????????	24
8	0000001?	0000000?	00000???	23
