# ---
# domain: KnownBits
# op: mlir/Operations/AddNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 126]
# - [16, 147]
# - [24, 2]
# - [32, 689]
# - [64, 839]
# - [128, 130]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	00000001	????????	46131
8	????????	01000000	????????	10741
8	????????	00001000	????????	9351
8	????????	????????	????????	4540
8	0000000?	01111111	????????	3169
8	0???????	00000001	????????	2951
8	0??????0	????????	????????	1049
8	0????000	00010000	?????000	957
8	0??????0	00011010	???????0	774
8	????????	00000010	????????	758
8	0?????00	00000100	??????00	660
8	0???????	0???????	????????	599
8	????????	00100000	????????	529
8	0???????	00000010	????????	506
8	00??????	01111111	????????	445
8	????????	00000011	????????	402
8	???????0	????????	????????	351
8	????????	00000100	????????	350
8	????????	0000000?	????????	294
8	0???????	0000000?	????????	270
8	????????	00010000	????????	258
8	0???????	00000011	????????	181
8	0???????	01111111	????????	145
8	????????	00100001	????????	134
8	???????0	0000????	????????	127
8	00000000	00001000	00001000	126
8	0000????	0??????0	????????	122
8	????????	0??????0	????????	117
8	????????	01100001	????????	116
8	????????	01000001	????????	108
8	????????	???????0	????????	104
8	????????	?0000000	????????	99
8	0000????	01111111	????????	93
8	????????	00000111	????????	89
8	0??00000	00?00000	???00000	80
8	????????	00000101	????????	74
8	????????	00??????	????????	65
8	????????	00001010	????????	64
8	????????	00000000	????????	60
8	????????	00000110	????????	60
8	????????	00001001	????????	60
8	????????	00001011	????????	60
8	????????	00001100	????????	60
8	????????	00001101	????????	60
8	????????	00001110	????????	60
8	????????	00001111	????????	60
8	0?????00	00001100	??????00	59
8	0???????	00000111	????????	59
8	0???????	00000110	????????	57
8	0010????	???????0	????????	53
8	????????	00011111	????????	51
8	0000000?	????????	????????	45
8	????????	000?0000	????????	45
8	00??????	01000001	????????	44
8	00??????	01000111	????????	44
8	????????	0???????	????????	42
8	0??00000	01100001	???00001	41
8	0????000	00001000	?????000	41
8	????????	0000????	????????	41
8	0??????0	00000100	???????0	39
8	0000????	0????000	????????	35
8	????????	01000111	????????	35
8	????????	00?00000	????????	34
8	????????	????0000	????????	33
8	0???0000	000?0000	????0000	28
8	0????000	0000????	????????	28
8	????????	00110000	????????	28
8	0????000	????????	????????	26
8	????0000	????????	????????	26
8	0???????	00001000	????????	23
8	????????	00100110	????????	22
8	????????	00101100	????????	22
8	011??100	00000???	????????	20
8	0???????	000000??	????????	18
8	00000000	00000001	00000001	16
8	00000???	01111111	????????	16
8	??????00	01111100	??????00	16
8	????????	00110011	????????	16
8	????????	01001111	????????	16
8	????????	01110101	????????	16
8	0??????0	00000010	???????0	15
8	0???????	00110000	????????	14
8	0???????	0000????	????????	11
8	????????	00010001	????????	11
8	????????	00101001	????????	11
8	????????	01001001	????????	11
8	????????	000000??	????????	10
8	????????	00010100	????????	10
8	0???????	00010010	????????	9
8	????????	01001000	????????	9
8	00000000	01000000	01000000	8
8	0??10111	0000????	????????	8
8	0???????	01110000	????????	8
8	?????000	????????	????????	8
8	00????00	01000111	??????11	7
8	0???????	000?????	????????	7
8	????????	00111001	????????	7
8	????????	01000010	????????	7
8	????????	01000011	????????	7
8	????????	01110010	????????	7
8	????????	01001010	????????	6
8	????????	01011010	????????	6
8	????????	01101010	????????	6
8	????????	01110100	????????	6
8	????????	?????000	????????	6
8	????????	0000?00?	????????	5
8	0???????	00010000	????????	4
8	0???????	????????	????????	4
8	????????	01111101	????????	4
8	00000?00	00000100	0000??00	3
8	00??????	????????	????????	3
8	0110????	000??000	????????	3
8	0???0000	01000000	????0000	3
8	????????	00000?00	????????	3
8	????????	01010111	????????	3
8	000?????	01100001	????????	2
8	0???????	00011010	????????	2
8	???????0	0000000?	????????	2
8	0000????	00100000	0010????	1
8	000?????	01100100	????????	1
8	0????000	00001111	?????111	1
8	0??????0	00001010	???????0	1
8	0??????0	0000????	????????	1
8	0???????	00100101	????????	1
8	????0000	???????1	???????1	1
8	????????	01111110	????????	1
16	????????????????	0000000000000001	????????????????	50690
16	0???????????????	0010001000000100	????????????????	18232
