# ---
# domain: KnownBits
# op: mlir/Operations/Ashr.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 23]
# - [16, 39]
# - [24, 1]
# - [32, 730]
# - [64, 310]
# - [128, 21]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	00000111	????????	235264
8	????????	00000001	????????	4412
8	????????	00000010	????????	2855
8	????????	00000100	????????	2453
8	????????	00000?00	????????	1054
8	????????	00000011	????????	982
8	???????0	00000111	????????	788
8	????????	00000???	????????	410
8	??000000	00000111	????????	392
8	????0000	00000110	????????	132
8	????0000	00000111	????????	110
8	????????	00000000	????????	96
8	????????	00000110	????????	63
8	???00000	00000110	????????	61
8	????????	????????	????????	43
8	??????00	00000101	????????	38
8	??????00	00000111	????????	37
8	??????00	00000110	????????	18
8	???00000	00000101	????????	16
8	?????000	00000111	????????	16
8	????????	00000101	????????	16
8	??000000	00000110	????????	10
8	11001110	????????	11??????	1
16	????????????????	0000000000000101	????????????????	91255
16	????????????????	0000000000000010	????????????????	30713
16	????????????????	0000000000000001	????????????????	24133
16	????????????????	0000000000001000	????????????????	16527
16	????????????????	0000000000001111	????????????????	12389
16	????????????????	0000000000000100	????????????????	9827
16	????????????????	0000000000000011	????????????????	5267
16	????????????????	0000000000000110	????????????????	4996
16	????????00000000	0000000000001111	????????????????	3036
16	????????????????	000000000000????	????????????????	934
16	1111111111000000	000000000000???0	1111111111??????	514
16	????????????????	0000000000000111	????????????????	366
16	???????????????0	0000000000001100	????????????????	350
16	???????000000000	0000000000001111	????????????????	217
16	1111111101111111	0000000000000???	11111111????????	216
16	1111111100000000	000000000000????	11111111????????	206
16	1111111111000000	000000000000????	1111111111??????	196
16	????????00000000	0000000000001110	????????????????	148
16	????????????????	0000000000001110	????????????????	120
16	??????????????00	0000000000001110	????????????????	116
16	???0000000000000	0000000000001111	????????????????	109
16	????????00000000	0000000000001000	????????????????	96
16	??????0000000000	0000000000001101	????????????????	95
16	????????????????	0000000000001101	????????????????	83
16	????????????????	000000000000000?	????????????????	67
16	??????????000000	0000000000001100	????????????????	56
16	??????????????00	0000000000001100	????????????????	54
16	?????????0000000	0000000000001110	????????????????	37
16	??????????????00	0000000000001111	????????????????	28
16	????????????????	0000000000001001	????????????????	28
16	1111111111000000	????????????????	1111111111??????	16
16	?????????????000	0000000000001001	????????????????	8
16	????????????????	00000000000000??	????????????????	8
16	????????????????	0000000000000???	????????????????	8
16	???0000000000000	0000000000001101	????????????????	6
16	???0000000000000	0000000000001110	????????????????	4
16	???????????????0	0000000000001011	????????????????	4
16	00000000000????0	0000000000000101	0000000000000000	3
16	????????????????	000000000000?000	????????????????	1
24	?????????????????0000000	000000000000000000010111	????????????????????????	6
32	????????????????????????????????	00000000000000000000000000010011	????????????????????????????????	1310246
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	1183370
32	????????????????????????????????	00000000000000000000000000001110	????????????????????????????????	727112
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	548969
32	????????????????????????????????	00000000000000000000000000010100	????????????????????????????????	457701
