# ---
# domain: KnownBits
# op: mlir/Operations/AshrExact.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 11]
# - [16, 11]
# - [32, 146]
# - [64, 260]
# - [128, 7]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	???00000	00000101	????????	194
8	??000000	00000110	????????	131
8	?????000	00000011	????????	85
8	??000000	00000111	????????	70
8	????????	00000111	????????	36
8	????0000	00000100	????????	11
8	????????	00000???	????????	5
8	????????	00000101	????????	4
8	??????10	00000001	???????1	2
8	????????	00000110	????????	2
8	???????0	00000001	????????	1
16	????????00000000	0000000000001000	????????????????	4050
16	??????0000000000	0000000000001010	????????????????	315
16	????????00000000	0000000000000101	?????????????000	304
16	????????????????	0000000000001000	????????????????	152
16	????????????????	0000000000000101	????????????????	106
16	??00000000000000	0000000000001110	????????????????	27
16	???0000000000000	0000000000001101	????????????????	19
16	????????????????	0000000000001101	????????????????	19
16	????????????????	000000000000?000	????????????????	5
16	????????????????	000000000000????	????????????????	5
16	????????????????	0000000000001010	????????????????	4
32	????????????????0000000000000000	00000000000000000000000000010000	????????????????????????????????	165098
32	????????000000000000000000000000	00000000000000000000000000011000	????????????????????????????????	53879
32	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	45319
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	17966
32	????????????????0000000000000000	00000000000000000000000000000100	????????????????????000000000000	12462
32	???????????????????????????????0	00000000000000000000000000000001	????????????????????????????????	10499
32	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	9378
32	????????????????????????????????	00000000000000000000000000011000	????????????????????????????????	7839
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	7693
32	????????????????0000000000000000	00000000000000000000000000001111	???????????????????????????????0	5736
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	3579
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	3321
32	??????????????????????0000000000	00000000000000000000000000000101	???????????????????????????00000	3157
32	????????000000000000000000000000	00000000000000000000000000010111	???????????????????????????????0	2892
32	????????????????????????????????	00000000000000000000000000001111	????????????????????????????????	2758
32	??????????????????????????????00	00000000000000000000000000000001	???????????????????????????????0	2591
32	??????????????????????????????00	00000000000000000000000000000010	????????????????????????????????	2563
32	????0000000000000000000000000000	00000000000000000000000000011100	????????????????????????????????	2422
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	2062
32	????????????????????????????0000	00000000000000000000000000000100	????????????????????????????????	1876
32	??????????????????????????000000	00000000000000000000000000000110	????????????????????????????????	1425
32	????????000000000000000000000000	00000000000000000000000000001000	????????????????0000000000000000	1400
32	????????????????????????????????	000000000000000000000000000?????	????????????????????????????????	1398
32	????????????????0000000000000000	00000000000000000000000000001001	?????????????????????????0000000	1350
32	?????????????????????????????000	00000000000000000000000000000011	????????????????????????????????	1310
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	1210
32	????????????????0000000000000000	00000000000000000000000000001110	??????????????????????????????00	1156
32	?????????00000000000000000000000	00000000000000000000000000010111	????????????????????????????????	1016
32	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	914
32	????????????????????????????????	00000000000000000000000000001101	????????????????????????????????	904
32	???????????????????????000000000	00000000000000000000000000001001	????????????????????????????????	883
32	??????????????????????????000000	0000000000000000000000000000000?	???????????????????????????00000	858
32	????????????????????????????0000	00000000000000000000000000000011	???????????????????????????????0	794
32	????????????????????????????0000	00000000000000000000000000000001	?????????????????????????????000	770
32	????????000000000000000000000000	00000000000000000000000000010101	?????????????????????????????000	751
32	?????????????????????????????000	00000000000000000000000000000001	??????????????????????????????00	733
32	????????????????0000000000000000	00000000000000000000000000001101	?????????????????????????????000	642
32	????????????????????????????????	00000000000000000000000000010111	????????????????????????????????	410
32	?????????????????????????????000	00000000000000000000000000000010	???????????????????????????????0	408
32	11111111111111111111111100000000	00000000000000000000000000000???	111111111111111111111111???????0	389
32	????????????????????????00000000	00000000000000000000000000000100	????????????????????????????0000	371
32	????????000000000000000000000000	00000000000000000000000000010000	????????????????????????00000000	370
32	????????????????????????00000000	00000000000000000000000000001000	????????????????????????????????	348
32	????????????????????????????????	00000000000000000000000000??????	????????????????????????????????	317
32	????????????????????????????????	00000000000000000000000000011100	????????????????????????????????	310
32	????????????????????????????????	00000000000000000000000000001001	????????????????????????????????	289
32	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	262
32	?????????????????????00000000000	00000000000000000000000000000011	????????????????????????00000000	239
32	??????????????????????????000000	00000000000000000000000000000101	???????????????????????????????0	237
32	????????????????0000000000000000	00000000000000000000000000001000	????????????????????????00000000	225
32	??????????????????????????000000	00000000000000000000000000000001	???????????????????????????00000	221
32	???????????????????????????00000	00000000000000000000000000000010	?????????????????????????????000	211
32	????????????????????????????????	00000000000000000000000000010101	????????????????????????????????	164
32	??????????????????????0000000000	00000000000000000000000000000001	???????????????????????000000000	141
32	????????000000000000000000000000	00000000000000000000000000010100	????????????????????????????0000	138
32	?????????????????????????0000000	00000000000000000000000000000111	????????????????????????????????	133
32	????????????????????????????????	00000000000000000000000000001010	????????????????????????????????	129
32	????????????00000000000000000000	00000000000000000000000000010100	????????????????????????????????	118
32	????????????????????000000000000	00000000000000000000000000000001	?????????????????????00000000000	115
32	???????????????????????????00000	00000000000000000000000000000001	????????????????????????????0000	107
32	?????????????0000000000000000000	00000000000000000000000000010011	????????????????????????????????	105
32	????0000000000000000000000000000	00000000000000000000000000010000	????????????????????000000000000	99
32	??????????????????????????????10	0000000000000000000000000000000?	????????????????????????????????	99
32	?????000000000000000000000000000	00000000000000000000000000011000	?????????????????????????????000	98
32	??????????????????????0000000000	00000000000000000000000000001010	????????????????????????????????	96
32	?????????????????????????????110	00000000000000000000000000000001	??????????????????????????????11	94
32	??????????0000000000000000000000	00000000000000000000000000000001	???????????000000000000000000000	92
32	????????????????????????????????	00000000000000000000000000001011	????????????????????????????????	91
32	??000000000000000000000000000000	00000000000000000000000000011110	????????????????????????????????	87
32	????????????????0000000000000000	00000000000000000000000000000001	?????????????????000000000000000	87
32	????????????????????????????0000	00000000000000000000000000000010	??????????????????????????????00	75
32	???????0000000000000000000000000	00000000000000000000000000000010	?????????00000000000000000000000	73
32	????0000000000000000000000000000	00000000000000000000000000011011	???????????????????????????????0	62
32	????????????????????????????????	00000000000000000000000000011110	????????????????????????????????	62
32	????????????????????????????????	0000000000000000000000000000000?	????????????????????????????????	61
32	????????????????????????????????	00000000000000000000000000011010	????????????????????????????????	61
32	??????00000000000000000000000000	00000000000000000000000000011010	????????????????????????????????	60
32	10000000000000000000000000000000	????????????????????????????????	1???????????????????????????????	59
32	11111111111111111111111110000000	00000000000000000000000000000???	1111111111111111111111111???????	54
32	????????????????0000000000000000	0???????????????????????????????	????????????????????????????????	52
32	??????????????????????????000000	00000000000000000000000000000100	??????????????????????????????00	49
32	????????????????????????????????	???????????????????????????????0	????????????????????????????????	49
32	????0000000000000000000000000000	00000000000000000000000000011000	????????????????????????????0000	42
32	????????????????0000000000000000	00000000000000000000000000000010	??????????????????00000000000000	42
32	???00000000000000000000000000000	00000000000000000000000000011101	????????????????????????????????	41
32	1111111111111???0000000000000000	00000000000000000000000000010000	11111111111111111111111111111???	39
32	???????????????????????????????0	000000000000000000000000000?????	????????????????????????????????	36
32	11111111111111111111111100000000	????????????????????????????????	111111111111111111111111????????	35
32	?????????????0000000000000000000	00000000000000000000000000010000	?????????????????????????????000	35
32	????????????????????????????0000	0000000000000000000000000000000?	?????????????????????????????000	30
32	??????????0000000000000000000000	00000000000000000000000000010110	????????????????????????????????	29
32	????????????????????????????????	00000000000000000000000000001100	????????????????????????????????	29
32	???????????????????????000000000	00000000000000000000000000000001	????????????????????????00000000	28
32	11111111111111111111111100000000	0???????????????????????????????	111111111111111111111111????????	27
32	???????????????????????????????0	0000000000000000000000000000000?	????????????????????????????????	27
32	????????????????0000000000000000	00000000000000000000000000001100	????????????????????????????0000	26
32	????????????????????????????????	00000000000000000000000000???000	????????????????????????????????	26
32	????????000000000000000000000000	000000000000000000000000000110??	????????????????????????????????	24
32	?????000000000000000000000000000	00000000000000000000000000011011	????????????????????????????????	23
32	111111?0000000000000000000000000	00000000000000000000000000011000	111111111111111111111111111111?0	22
32	????????????????????????????????	00000000000000000000000000010100	????????????????????????????????	22
32	1111111111111???????????????????	00000000000000000000000000010000	11111111111111111111111111111???	21
32	111111??000000000000000000000000	00000000000000000000000000011000	111111111111111111111111111111??	18
32	???????????????????????????00000	00000000000000000000000000000011	??????????????????????????????00	18
32	????????000000000000000000000000	00000000000000000000000000010110	??????????????????????????????00	17
32	????????????????0000000000000000	00000000000000000000000000000011	???????????????????0000000000000	16
32	????????????????????????00000000	00000000000000000000000000000011	???????????????????????????00000	16
32	????????????????????????00000000	????????????????????????????????	????????????????????????????????	16
32	????????????????????????????0000	0000000000000000000000000000001?	???????????????????????????????0	16
32	???????0000000000000000000000000	00000000000000000000000000011001	????????????????????????????????	13
32	????????????????????????00000000	00000000000000000000000000000001	?????????????????????????0000000	12
32	???????????????????????????????0	000000000000000000000000000110??	????????????????????????????????	12
32	???????????????????????????????0	000000000000000000000000000??0??	????????????????????????????????	12
32	??000000000000000000000000000000	00000000000000000000000000011101	???????????????????????????????0	9
32	???????????000000000000000000000	00000000000000000000000000010101	????????????????????????????????	9
32	???????????????????????000000000	00000000000000000000000000000010	?????????????????????????0000000	9
32	???????????????????????????????0	0000000000000000000000000???????	????????????????????????????????	9
32	????????????????????????????????	00000000000000000000000000011001	????????????????????????????????	9
32	???????0000000000000000000000000	00000000000000000000000000010000	???????????????????????000000000	8
32	???????????????????0000000000000	00000000000000000000000000000011	??????????????????????0000000000	8
32	??????????????????????????000000	00000000000000000000000000000010	????????????????????????????0000	8
32	000000000???????0000000000000000	00000000000000000000000000010000	0000000000000000000000000???????	6
32	?0000000000000000000000000000000	00000000000000000000000000011111	????????????????????????????????	6
32	???????????????????????000000000	00000000000000000000000000000100	???????????????????????????00000	6
32	0???????????????????????????????	00000000000000000000000000000001	00??????????????????????????????	5
32	????????????????????????????????	00000000000000000000000000010011	????????????????????????????????	5
32	????????????????????????????????	000000000000000000000000000??000	????????????????????????????????	5
32	?0000000000000000000000000000000	00000000000000000000000000011000	?????????????????????????0000000	4
32	?????????????????????????????000	00000000000000000000000000001000	????????????????????????????????	4
32	??????????????????????????????00	00000000000000000000000000000011	????????????????????????????????	4
32	????????????????????????????????	00000000000000000000000000010110	????????????????????????????????	4
32	?????????????????000000000000000	00000000000000000000000000010000	????????????????????????????????	3
32	???????????????????0000000000000	00000000000000000000000000001101	????????????????????????????????	3
32	00000000000000000???????????????	000000000000000000000000000?????	00000000000000000???????????????	2
32	0?????????????????????????????00	00000000000000000000000000000010	000?????????????????????????????	2
32	0??????????????????????????????0	0000000000000000000000000000000?	0???????????????????????????????	2
32	0???????????????????????????????	000000000000000000000000000?????	0???????????????????????????????	2
32	???????????????10000000000000000	00000000000000000000000000010000	???????????????????????????????1	2
32	??????????????????????????000000	00000000000000000000000000000011	?????????????????????????????000	2
32	????????????????????????????1000	00000000000000000000000000000010	??????????????????????????????10	2
32	????????????????????????????????	?????????????????????????????000	????????????????????????????????	2
32	0??????????????????????000000000	00000000000000000000000000000100	00000??????????????????????00000	1
32	????0000000000000000000000000000	00000000000000000000000000000100	????????000000000000000000000000	1
32	??????00000000000000000000000000	00000000000000000000000000010000	??????????????????????0000000000	1
32	???????0000000000000000000000000	00000000000000000000000000000001	????????000000000000000000000000	1
32	????????????????????????????????	00000000000000000000000000001110	????????????????????????????????	1
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000011	????????????????????????????????????????????????????????????????	15919107
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000100	????????????????????????????????????????????????????????????????	6487135
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000010	????????????????????????????????????????????????????????????????	6044486
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000101	????????????????????????????????????????????????????????????????	2548900
64	????????????????????????????????00000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????????????????????????????????????	1378170
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000110	????????????????????????????????????????????????????????????????	630877
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????????????????????????????????????	528092
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000001	????????????????????????????????????????????????????????????????	355348
64	????????????????????????????????00000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000011111	???????????????????????????????????????????????????????????????0	114301
64	????????????????000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000110000	????????????????????????????????????????????????????????????????	73994
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000111	????????????????????????????????????????????????????????????????	63997
64	????????????????????????????????00000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000011110	??????????????????????????????????????????????????????????????00	61524
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000000000011	????????????????????????????????????????????????????????????????	28188
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	????????????????????????????????????????????????????????????????	20024
64	????????????????????????????????00000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000011101	?????????????????????????????????????????????????????????????000	19858
