# ---
# domain: KnownBits
# op: mlir/Operations/CountLZero.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 1]
# - [16, 4]
# - [32, 19]
# - [64, 31]
# - [128, 6]
# hbw: []
# ---
bw	arg_0	ideal	count
8	????????	0000????	803
16	????????????????	00000000000?????	38921
16	000000??????????	00000000000?????	2355
16	00000000????????	00000000000?????	109
16	000000????000000	00000000000?????	15
32	????????????????????????????????	00000000000000000000000000??????	125478
32	???????????????????????????????0	00000000000000000000000000??????	6314
32	0???????????????????????????????	00000000000000000000000000??????	6162
32	00??????????????????????????????	00000000000000000000000000??????	4676
32	0000000000000000????????????????	00000000000000000000000000??????	2114
32	000?????????????????????????????	00000000000000000000000000??????	604
32	000000000000000000000000????????	00000000000000000000000000??????	574
32	00000000000000000???????????????	00000000000000000000000000??????	305
32	000000000000000????????????????0	00000000000000000000000000??????	236
32	0??????????????????????????????0	00000000000000000000000000??????	30
32	00???????????????????????0000000	00000000000000000000000000??????	29
32	000000000000000000000000000?????	00000000000000000000000000??????	18
32	??????????????????????????????11	000000000000000000000000000?????	10
32	0000000000000000000000000???????	00000000000000000000000000??????	9
32	????????????????????000000000000	00000000000000000000000000??????	8
32	??????????????????????0000000000	00000000000000000000000000??????	8
32	00000000000????????????????????1	000000000000000000000000000?????	5
32	???????????????????????????????1	000000000000000000000000000?????	5
32	0000000000000000000?????????????	00000000000000000000000000??????	2
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	245913
64	000?????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	34056
64	00000000000000000000000000000000????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	15708
64	0???????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	14760
64	???????????????????????????????????????????????????????????????1	0000000000000000000000000000000000000000000000000000000000??????	6840
64	0000000000??????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	3268
64	00000000000000000000000000000000000000000000000000000000????????	000000000000000000000000000000000000000000000000000000000???????	2687
64	00000000000000000000000000000000000000000000000000000000000?????	000000000000000000000000000000000000000000000000000000000???????	1870
64	00000000000000000000000000000000000?????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	986
64	0000000000000000000000000000000?????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	666
64	000000000000000000000000000000000???????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	345
64	000000000000000000000000000000000000000000000000????????????????	000000000000000000000000000000000000000000000000000000000???????	319
64	00000000000?????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	209
64	000000??????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	154
64	00000000000000000000000000000000???????????????????????????????0	000000000000000000000000000000000000000000000000000000000???????	131
64	000000000???????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	118
64	0000000?????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	86
64	00000000????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	68
64	0000000000000000000000000000000000000000000000000000000000000?00	000000000000000000000000000000000000000000000000000000000?????0?	46
64	???????????????????????????????????????????????????????????????0	000000000000000000000000000000000000000000000000000000000???????	41
64	0000000000000000000000000000000000000000000000000000000000000???	000000000000000000000000000000000000000000000000000000000???????	39
64	0000000000000000000000000000000000000000000000000000000000??????	000000000000000000000000000000000000000000000000000000000???????	32
64	0000000000000000000000000000000000??????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	25
64	????????????????????????????????????????????????????????00000000	000000000000000000000000000000000000000000000000000000000???????	14
64	????????????????????????????????????????????????????111111111111	0000000000000000000000000000000000000000000000000000000000??????	6
64	??????????????????????????????????????????????????????????11111?	0000000000000000000000000000000000000000000000000000000000??????	4
64	?????????????????????????????????????????????????????????????111	0000000000000000000000000000000000000000000000000000000000??????	4
64	000000000000000000000000000000000000000000000000000000000000?0?0	000000000000000000000000000000000000000000000000000000000??????0	2
64	???????????????????????????????????????????111111111111111111111	0000000000000000000000000000000000000000000000000000000000??????	2
64	00000000000000000000000000000000000000000000000????????????????0	000000000000000000000000000000000000000000000000000000000???????	1
64	??????????????????????????????????????????????????????1111111111	0000000000000000000000000000000000000000000000000000000000??????	1
128	00000000000000000000000000000000000000000000000000000000000000000???????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	12064
128	00000000000000000000000000000000000000000000000000??????????????????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	3770
128	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	2211
128	0???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	18
128	000000000000000000000000000000000000000000000000000000000000000000??????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	17
128	0000000000000000000000000000000000000000000000000000000000000000000000000000????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	7
