# ---
# domain: KnownBits
# op: mlir/Operations/CountLZeroUndef.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 1]
# - [16, 3]
# - [32, 63]
# - [64, 77]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
8	????????	00000???	278
16	????????????????	000000000000????	799
16	000000????000000	000000000000????	130
16	00000000????????	0000000000001???	74
32	???????????????????????????????1	000000000000000000000000000?????	492558
32	????????????????????????????????	000000000000000000000000000?????	482530
32	0000???????????????0000000000000	000000000000000000000000000?????	182986
32	000000000000000000000000????????	00000000000000000000000000011???	20818
32	00000000000?????????????????????	000000000000000000000000000?????	14080
32	0000000000000000????????????????	0000000000000000000000000001????	10490
32	?????????????????????????????001	000000000000000000000000000?????	8828
32	0000000000000000000000000000????	000000000000000000000000000111??	7998
32	0000000000000000000000??????????	0000000000000000000000000001????	6426
32	0000000000000???????????????????	000000000000000000000000000?????	4993
32	0???????????????????????????????	000000000000000000000000000?????	4524
32	000000000000000000??????????????	0000000000000000000000000001????	2852
32	000000000000000000000???????????	0000000000000000000000000001????	2850
32	0000000000000000000000000???????	00000000000000000000000000011???	2295
32	???0?????0??????0000000000000000	0000000000000000000000000000????	2059
32	00000000000000000???????????????	0000000000000000000000000001????	1216
32	??????????????????????????????11	000000000000000000000000000?????	1117
32	000????????????????0000000000000	000000000000000000000000000?????	978
32	0000??????????????00000000000000	000000000000000000000000000?????	960
32	0??????????????????0000000000000	000000000000000000000000000?????	752
32	000000000000????????????????????	000000000000000000000000000?????	656
32	000000000000000000000000000?????	00000000000000000000000000011???	521
32	???????????????????????????????0	000000000000000000000000000?????	501
32	00000000000????????????????????1	000000000000000000000000000?????	473
32	00000000????????????????????????	000000000000000000000000000?????	449
32	?????????????????????????????000	000000000000000000000000000?????	429
32	??????????????????????????????01	000000000000000000000000000?????	323
32	???0?????0??????????????????????	000000000000000000000000000?????	305
32	0??????????????????????????????1	000000000000000000000000000?????	228
32	00000000000000000000000??????001	0000000000000000000000000001????	222
32	0000000000000000000000???????001	0000000000000000000000000001????	205
32	?????????????????????????????011	000000000000000000000000000?????	182
32	000000000??????????0000000000000	000000000000000000000000000?????	130
32	000000000????????????????0000000	000000000000000000000000000?????	130
32	0000000000000000000?????????????	0000000000000000000000000001????	127
32	?????????????????????????????101	000000000000000000000000000?????	104
32	????????????????0000000000000000	0000000000000000000000000000????	102
32	00000000000000000000????????????	0000000000000000000000000001????	100
32	000?????????????????????????????	000000000000000000000000000?????	89
32	???0??0??0??????0000000000000000	0000000000000000000000000000????	88
32	000000000000000000000????????001	0000000000000000000000000001????	84
32	000000000000000000000000?????001	00000000000000000000000000011???	74
32	00000000000000000000?????????001	0000000000000000000000000001????	74
32	?????????????????????????????1?1	000000000000000000000000000?????	56
32	00000000000000000000000000??????	00000000000000000000000000011???	52
32	0000000000000000???????????????1	0000000000000000000000000001????	51
32	0000000000000000????????11011000	0000000000000000000000000001????	45
32	0????????????????????????0000000	000000000000000000000000000?????	32
32	00000000???????????????????????1	000000000000000000000000000?????	28
32	????????????????????000000000000	000000000000000000000000000?????	28
32	??????????????????????0000000000	000000000000000000000000000?????	28
32	0000000000000000000000000??????1	00000000000000000000000000011???	27
32	0??????????????????????????????0	000000000000000000000000000?????	24
32	000000000000000000000000???????1	00000000000000000000000000011???	23
32	0000???????????????????????????1	000000000000000000000000000?????	16
32	000000000000000?????????????????	000000000000000000000000000?????	13
32	????????????????????????0???????	000000000000000000000000000?????	11
32	00000000000000000??????????????1	0000000000000000000000000001????	9
32	000000000???????????????????????	000000000000000000000000000?????	4
32	00000000000000000000000?????????	0000000000000000000000000001????	2
32	000000?0000000000000000000000000	00000000000000000000000000000110	2
32	00001111011111111110000000000000	00000000000000000000000000000100	2
32	????????????????????????00000000	000000000000000000000000000?????	1
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	1032721
64	???????????????????????????????????????????????????????????????1	0000000000000000000000000000000000000000000000000000000000??????	969822
64	000000000000????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	41851
64	0??????????????????????????????????????????????????????????????1	0000000000000000000000000000000000000000000000000000000000??????	23902
64	0000000000000000000000000000000?????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	17629
64	00000000000000000000000000000000????????????????????????????????	00000000000000000000000000000000000000000000000000000000001?????	14061
64	0???????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	4659
64	00000000000000000000000000000000000000000???????????????????????	00000000000000000000000000000000000000000000000000000000001?????	4605
64	??????????????????????????????????????????????????????????????00	0000000000000000000000000000000000000000000000000000000000??????	2418
64	000000000000000000000000000000000000000000000000000000000000????	00000000000000000000000000000000000000000000000000000000001111??	2194
64	000?????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	1863
64	000000000000000000000000000000000???????????????????????????????	00000000000000000000000000000000000000000000000000000000001?????	1633
64	00000000000000000000000000000000000000000000000000000000????????	0000000000000000000000000000000000000000000000000000000000111???	1501
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000000??????	1480
64	00??????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	876
64	???????????????????????????????????????????????????????????11111	0000000000000000000000000000000000000000000000000000000000??????	789
64	??????????????????????????????????????????????????????????????01	0000000000000000000000000000000000000000000000000000000000??????	638
64	00000000000000000000000000000000000000000000000000000000???????1	0000000000000000000000000000000000000000000000000000000000111???	612
64	0000????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	554
