# ---
# domain: KnownBits
# op: mlir/Operations/CountRZero.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [2, 1]
# - [8, 1]
# - [16, 1]
# - [32, 7]
# - [64, 13]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
2	??	??	14
8	????????	0000????	1606
16	????????????????	00000000000?????	35627
32	????????????????????????????????	00000000000000000000000000??????	51333
32	000?????????????????????????????	00000000000000000000000000??????	173
32	0000000000000000????????????????	00000000000000000000000000?0????	67
32	0000000000000000000000000000????	00000000000000000000000000?000??	37
32	0???????????????????????????????	00000000000000000000000000??????	18
32	000000000000000000000000????????	00000000000000000000000000?00???	16
32	????????????????????????0000????	00000000000000000000000000??????	2
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	79830
64	???????????????????????????????????????????????????????????????0	000000000000000000000000000000000000000000000000000000000???????	1154
64	0???????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	528
64	000000000000000000000000000000000000000000000000????????????????	000000000000000000000000000000000000000000000000000000000?00????	80
64	0011????0011????0011????0011????0011????0011????????????????????	00000000000000000000000000000000000000000000000000000000000?????	69
64	?????????????????????????????????????????????????????????????000	000000000000000000000000000000000000000000000000000000000???????	35
64	??????????????????????????????????????????????????????????000???	000000000000000000000000000000000000000000000000000000000???????	22
64	00000000000000000000000000000000????????????????????????????????	000000000000000000000000000000000000000000000000000000000?0?????	18
64	0011????0011????0011????0011????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	18
64	????????????????????????????????????????????????????????0000????	000000000000000000000000000000000000000000000000000000000???????	12
64	?0000000?0000000?0000000?0000000?0000000?0000000?0000000?0000000	000000000000000000000000000000000000000000000000000000000???????	10
64	00000000000000000000000000000000000000000000000?????????????????	000000000000000000000000000000000000000000000000000000000?0?????	2
64	000?????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000???????	2
128	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000????????	2502
