# ---
# domain: KnownBits
# op: mlir/Operations/CountRZeroUndef.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [2, 1]
# - [4, 1]
# - [8, 7]
# - [16, 10]
# - [32, 78]
# - [64, 60]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
2	??	0?	2
4	????	00??	247
8	????????	00000???	4135
8	000?????	00000???	250
8	?1??????	00000???	152
8	000??000	00000???	51
8	0000????	000000??	12
8	0????00?	00000???	3
8	?????00?	00000???	2
16	????????????????	000000000000????	2951813
16	00??????????????	000000000000????	1581
16	0000????????????	000000000000????	375
16	???????????????0	000000000000????	256
16	00000000????????	0000000000000???	105
16	000000000???????	0000000000000???	45
16	000000000??00000	00000000000001??	38
16	000000000000????	00000000000000??	37
16	?????????????000	000000000000????	14
16	0???????????????	000000000000????	12
32	????????????????????????????????	000000000000000000000000000?????	213181
32	000000000000000000000000????????	00000000000000000000000000000???	17268
32	00000000000000000000????????????	0000000000000000000000000000????	10425
32	000000000000000?????????????????	000000000000000000000000000?????	9470
32	000000000000000000??????????????	0000000000000000000000000000????	9465
32	00000000000000000???????????????	0000000000000000000000000000????	7687
32	000000??????????????????1???????	00000000000000000000000000000???	5460
32	000?????????????????????1???????	00000000000000000000000000000???	5460
32	0000000000000000000000??????0000	0000000000000000000000000000????	4054
32	0000000000000000????????????????	0000000000000000000000000000????	2505
32	1111111111111111????????????????	000000000000000000000000000?????	2391
32	0000000000000000????????????0000	0000000000000000000000000000????	1580
32	????????????????0000000000000000	0000000000000000000000000001????	1481
32	0???????????????????????????????	000000000000000000000000000?????	1381
32	???????????????????????????????0	000000000000000000000000000?????	825
32	000000000000000000000000000000??	0000000000000000000000000000000?	752
32	000000000000000000000000??000000	0000000000000000000000000000011?	722
32	0000000000000000?0?????????0????	0000000000000000000000000000????	681
32	?????????????????????????????000	000000000000000000000000000?????	621
32	0??????????????????????????????0	000000000000000000000000000?????	606
32	000000000000000000000000000?????	00000000000000000000000000000???	595
32	00000000000000??????????????????	000000000000000000000000000?????	564
32	0000000000000000000000000000??0?	000000000000000000000000000000??	522
32	????????????????????????1???????	00000000000000000000000000000???	509
32	0000000000000000????000000000000	000000000000000000000000000011??	446
32	00000000????????????????????????	000000000000000000000000000?????	394
32	1???????????????????????????????	000000000000000000000000000?????	390
32	000000000000000000000000000???0?	00000000000000000000000000000???	362
32	0000000000000000000000000???0000	000000000000000000000000000001??	361
32	0000000000000000000000000000????	000000000000000000000000000000??	281
32	0000000000000000000000000???????	00000000000000000000000000000???	268
32	00000000000000000000000000000?0?	000000000000000000000000000000?0	259
32	?0000000000000000000000000000000	00000000000000000000000000011111	240
32	00000000000000000000???000??0?00	0000000000000000000000000000????	203
32	????????????????????????0000????	000000000000000000000000000?????	199
32	????????????????????????00000000	000000000000000000000000000?????	134
32	00000000000000000000000000000???	000000000000000000000000000000??	127
32	????????????????????????????0000	000000000000000000000000000?????	127
32	00000000000000000???0???????????	0000000000000000000000000000????	120
32	00000000000000000000000000??????	00000000000000000000000000000???	116
32	?000000000000000000000000000000?	000000000000000000000000000?????	112
32	00000000000000000???????00000000	00000000000000000000000000001???	72
32	??????????????????????????????00	000000000000000000000000000?????	70
32	??????????????000???0???????0000	000000000000000000000000000?????	66
32	???????????1????????????????????	000000000000000000000000000?????	64
32	000000000000000?000?000000000000	000000000000000000000000000???00	60
32	000?????????????????????????????	000000000000000000000000000?????	60
32	00??????????????????????????????	000000000000000000000000000?????	60
32	00000000000000000000000000000??0	000000000000000000000000000000??	58
32	?0000000?0000000?0000000?0000000	000000000000000000000000000??111	53
32	0000000000000000000000000????000	00000000000000000000000000000???	50
32	000000000000000000000000?0??????	00000000000000000000000000000???	49
32	000000000000000000000??????????0	0000000000000000000000000000????	48
32	????????????????????000000000000	000000000000000000000000000?????	43
32	????????????????1???????????????	0000000000000000000000000000????	41
32	0000000?????????????????????????	000000000000000000000000000?????	39
32	?????????????????1??????????????	0000000000000000000000000000????	38
32	000000000000000000000000000????0	00000000000000000000000000000???	36
32	000000000000000000000000000??0??	00000000000000000000000000000???	35
32	0000000000000000000000000000???0	000000000000000000000000000000??	34
32	000000000000000000000000000??0?0	00000000000000000000000000000???	33
32	00000000000000000000000?????????	0000000000000000000000000000????	30
32	0000000000000000000000000000?00?	000000000000000000000000000000??	28
32	?????????????????????0??????????	000000000000000000000000000?????	18
32	00000000000000000000001010??????	00000000000000000000000000000???	16
32	0????????????????????????????000	000000000000000000000000000?????	16
32	000000??????????????????????????	000000000000000000000000000?????	12
32	0000000000000000000000??????????	0000000000000000000000000000????	11
32	000000000000000000000010???????0	0000000000000000000000000000????	10
32	00000000000000000000001001111??0	000000000000000000000000000000??	8
32	0000000000000000000000100??????1	00000000000000000000000000000000	8
32	00000000000000000000001?????????	0000000000000000000000000000????	8
32	????????????????0000??????000???	000000000000000000000000000?????	7
32	000000001???????????????????????	000000000000000000000000000?????	6
32	0?????????????????????????????00	000000000000000000000000000?????	5
32	????????????????0000????????????	000000000000000000000000000?????	4
