# ---
# domain: KnownBits
# op: mlir/Operations/Fshl.mlir
# arity: 3
# seed: null
# lbw: []
# mbw:
# - [8, 22]
# - [16, 19]
# - [32, 204]
# - [64, 366]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	arg_1	arg_2	ideal	count
8	????????	????????	00000001	????????	6678
8	????????	????????	00000111	????????	5110
8	????????	????????	????????	????????	2833
8	????????	????????	00000100	????????	1636
8	????????	????????	00000110	????????	1129
8	????????	????????	00000101	????????	285
8	????????	????????	00000010	????????	262
8	????????	????????	00000011	????????	151
8	????????	????????	0000????	????????	70
8	??000000	??000000	00000010	000000??	52
8	0???0000	0???0000	00000100	00000???	48
8	00??0000	00??0000	00000100	000000??	42
8	????0000	????0000	00000100	0000????	22
8	????????	????????	00000???	????????	11
8	????????	00000000	00000001	???????0	9
8	0000??00	0000??00	00000110	000000??	8
8	000??000	000??000	00000101	000000??	8
8	0??00000	0??00000	00000011	000000??	6
8	00000001	00000001	????????	????????	5
8	00?00?00	00?00?00	00000110	0000?00?	4
8	????????	???????0	00000001	????????	2
8	00000001	00000001	00000???	????????	1
16	????????????????	????????????????	0000000000001000	????????????????	3456
16	????????????????	????????????????	0000000000001111	????????????????	996
16	00000000????????	????????????????	0000000000001000	????????????????	831
16	????????????????	????????????????	0000000000001101	????????????????	317
16	????????????????	????????????????	????????????????	????????????????	213
16	????????????????	????????????????	0000000000000001	????????????????	102
16	????????????????	????????????????	0000000000001110	????????????????	61
16	????????????????	????????????????	0000000000000101	????????????????	51
16	????????????????	????????????????	0000000000000100	????????????????	31
16	????????????????	????????????????	00000000????????	????????????????	16
16	??00000000000000	??00000000000000	0000000000000010	00000000000000??	10
16	000000000?0?0000	000000000?0?0000	0000000000001100	0000000000000?0?	8
16	00000??000000000	00000??000000000	0000000000000111	00000000000000??	6
16	00000000000??000	00000000000??000	0000000000001101	00000000000000??	4
16	0000000??0000000	0000000??0000000	0000000000001001	00000000000000??	4
16	000000??00000000	000000??00000000	0000000000001000	00000000000000??	4
16	0000??0000000000	0000??0000000000	0000000000000110	00000000000000??	4
16	????????????????	????????????????	000000000000????	????????????????	3
16	?????00000000000	?????00000000000	0000000000000101	00000000000?????	2
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	662852
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	652720
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001010	????????????????????????????????	614038
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011110	????????????????????????????????	354853
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	289386
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	255704
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011001	????????????????????????????????	178782
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001100	????????????????????????????????	165505
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001011	????????????????????????????????	157108
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001101	????????????????????????????????	130559
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011000	????????????????????????????????	126178
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010100	????????????????????????????????	118780
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001110	????????????????????????????????	118374
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001111	????????????????????????????????	118208
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	104727
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001001	????????????????????????????????	96149
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	88328
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	77151
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010010	????????????????????????????????	71167
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011111	????????????????????????????????	69131
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	53309
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	50952
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010011	????????????????????????????????	44261
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010001	????????????????????????????????	38638
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010101	????????????????????????????????	37530
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011010	????????????????????????????????	33731
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010111	????????????????????????????????	23053
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011100	????????????????????????????????	16717
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000010110	????????????????????????????????	11824
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	????????????????????????????????	11598
32	??????????????????????????????00	??????????????????????????????00	00000000000000000000000000001110	????????????????00??????????????	10108
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011101	????????????????????????????????	5461
32	????????????????????????????????	????????????????????????????????	0000000000000000000000000000????	????????????????????????????????	4851
32	???????????????????????????????0	???????????????????????????????0	00000000000000000000000000001110	?????????????????0??????????????	2187
32	000?????????????????????????????	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	1560
32	????????????????????????????????	????????????????????????????????	?????????????????????????????000	????????????????????????????????	1349
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000011000	????????????????????????????????	932
32	????????????????????????????????	????????????????????????????????	000000000000000000000000000??000	????????????????????????????????	705
32	000000000000000000000000????????	000000000000000000000000????????	000000000000000000000000000??000	????????????????????????????????	488
32	0???????????????????????????????	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	479
32	????????????????????????????????	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	450
32	011110??1?00?1????0??101?00?10??	011110??1?00?1????0??101?00?10??	???????????????????????????????1	????????????????????????????????	448
32	111110110011111?????????????????	11111011001111100000000000000000	00000000000000000000000000001110	1?????????????????11111011001111	381
32	011110??1?00?1????0??101?00?10??	011110??1?00?1????0??101?00?10??	000000000000000000000000000????0	????????????????????????????????	360
32	???????????????????????????????0	???????????????????????????????0	00000000000000000000000000010011	????????????0???????????????????	329
32	????????????????????????????????	????????????????????????????????	0???????????????????????????????	????????????????????????????????	316
32	????????????????????000000000000	????????????????????000000000000	00000000000000000000000000010011	?000000000000???????????????????	307
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000???	????????????????????????????????	293
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000011111	????????????????????????????????	264
32	0???????????????????????????????	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	261
32	000000000000000000000000????????	000000000000000000000000????????	00000000000000000000000000011100	????000000000000000000000000????	252
32	000000000000000000000000????????	????????????????????????00000000	00000000000000000000000000011000	????????????????????????????????	235
32	????????????????????????????????	????????????????????????????????	000000000000000000000000000000??	????????????????????????????????	215
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000000001	00000000000000000000000?????????	212
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000011011	????????????????????????????????	212
32	????????????????????????????????	11111011001111100000000000000000	00000000000000000000000000001110	??????????????????11111011001111	186
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000000101	0000000000000000000?????????????	185
32	????????????????????????????????	???????????????????????????????0	00000000000000000000000000000001	????????????????????????????????	183
32	0000000000000000????????????????	????????????????????????????????	00000000000000000000000000000001	000000000000000?????????????????	165
32	????????????????????????????????	?????????????????????????????000	00000000000000000000000000000001	????????????????????????????????	162
32	????????????????????000000000000	????????????????????000000000000	00000000000000000000000000010100	000000000000????????????????????	160
32	????????????????????????????????	???????????????????????????00000	00000000000000000000000000000001	????????????????????????????????	147
32	????????????????????????????????	????????????????????????????????	000000000000000000000000000?????	????????????????????????????????	142
32	0000000000000000000000000000????	????????????????????????????????	00000000000000000000000000011100	????????????????????????????????	140
32	00000000000000000000000000??0000	00000000000000000000000000??0000	00000000000000000000000000011100	000000000000000000000000000000??	124
32	000000000000000000000000??000000	000000000000000000000000??000000	00000000000000000000000000011010	000000000000000000000000000000??	118
32	0000000000000000????????????????	????????????????????????????????	00000000000000000000000000000100	000000000000????????????????????	109
32	????????????????????????????????	????????????????????????????????	0000????????????????????????????	????????????????????????????????	102
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000001010	00000000000000??????????????????	98
32	011110??1?00?1????0??101?00?10??	011110??1?00?1????0??101?00?10??	????????????????????????????????	????????????????????????????????	96
32	1111111111111?1?????????????????	1111111111111?1?????????????????	00000000000000000000000000001110	1?????????????????1111111111111?	96
32	???????????????????????????????0	???????????????????????????????0	00000000000000000000000000011100	???0????????????????????????????	92
32	0000000000000000000000000000????	0000000000000000000000000000????	00000000000000000000000000011111	?0000000000000000000000000000???	91
32	000000000000000000000000????????	000000000000000000000000????????	00000000000000000000000000011111	?000000000000000000000000???????	90
32	00000000????????????????????????	00000000????????????????????????	000000??????????????????????????	????????????????????????????????	88
32	11111011001111100000000000000000	111110110011111?????????????????	00000000000000000000000000010011	0000000000000111110110011111????	88
32	11111011001111100000000000000000	11111???????????????????????????	00000000000000000000000000010011	000000000000011111??????????????	86
32	????????????????????????????????	??????????????????????????????00	00000000000000000000000000000001	????????????????????????????????	79
32	????????????????????????????????	????????????????????????????????	0000000000000000000000??????????	????????????????????????????????	76
32	000000000000000000000000????????	000000000000000000000000????????	00000000000000000000000000011011	?????000000000000000000000000???	72
32	???????????????00000000000000000	???????????????00000000000000000	00000000000000000000000000001110	?00000000000000000??????????????	72
32	00000000????????????????????????	00000000????????????????????????	000000000000000000000000000?????	????????????????????????????????	70
32	????????????00000000000000000000	????????????00000000000000000000	00000000000000000000000000001100	00000000000000000000????????????	70
32	???????????????1111111??????????	???????????????1111111??????????	00000000000000000000000000010101	1?????????????????????????111111	67
32	????????????????????????????????	????????????????????????????0000	00000000000000000000000000000001	????????????????????????????????	64
32	00000000????????????????????????	????????????????????????00000000	00000000000000000000000000011000	????????????????????????????????	62
32	????????????????????????????????	?????????????0000000000000000000	00000000000000000000000000000001	????????????????????????????????	62
32	000000000000000000000000????????	000000000000000000000000????????	00000000000000000000000000011110	??000000000000000000000000??????	61
32	????????????????????????????0000	????????????????????????????0000	00000000000000000000000000011100	0000????????????????????????????	60
32	11111???????????????????????????	11111011001111100000000000000000	00000000000000000000000000001110	??????????????????11111011001111	57
32	????????????????????????????????	??????????????000000000000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	???????????????00000000000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	????????????????0000000000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	?????????????????000000000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	??????????????????00000000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	???????????????????0000000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	????????????????????000000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	?????????????????????00000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	??????????????????????0000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	???????????????????????000000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	????????????????????????00000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	?????????????????????????0000000	00000000000000000000000000000001	????????????????????????????????	57
32	????????????????????????????????	??????????????????????????000000	00000000000000000000000000000001	????????????????????????????????	57
32	0000000000??????????????????????	????????????????????????????????	00000000000000000000000000001000	00??????????????????????????????	54
32	0???????????????????????????????	????????????????????????????????	00000000000000000000000000000???	????????????????????????????????	54
32	0???????????????????????????????	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	53
32	??????????????????????1111111111	??????????????????????1111111111	00000000000000000000000000010101	?1111111111?????????????????????	53
32	????????????????????????????????	????????????00000000000000000000	00000000000000000000000000000001	????????????????????????????????	52
32	00000000000000000000000000??????	00000000000000000000000000??????	00000000000000000000000000011100	????00000000000000000000000000??	40
32	00000000000000000000000000??????	00000000000000000000000000??????	00000000000000000000000000011111	?00000000000000000000000000?????	40
32	00000000000?????0000000000000000	00000000000?????0000000000000000	00000000000000000000000000010000	000000000000000000000000000?????	40
32	????????????????????????????????	????????????????????????00000000	00000000000000000000000000011000	????????????????????????????????	40
32	00000000000000011111111111111111	???????????????11111111111111111	00000000000000000000000000010101	11111111111???????????????111111	39
32	00000000000000000000000000000000	????????????????????????????????	00000000000000000000000000000100	0000000000000000000000000000????	36
32	????????????????????????????????	???????????000000000000000000000	00000000000000000000000000000001	????????????????????????????????	36
32	????????????????????????????????	????????????????????????0000000?	00000000000000000000000000011000	????????????????????????????????	36
32	000000000000000000000000????0000	000000000000000000000000????0000	00000000000000000000000000011100	0000000000000000000000000000????	34
32	??????000000000000000000000?????	??????000000000000000000000?????	00000000000000000000000000000110	000000000000000000000???????????	33
32	0000000000000000000000000000??00	0000000000000000000000000000??00	00000000000000000000000000011110	000000000000000000000000000000??	32
32	00000000000000000000??0000000000	00000000000000000000??0000000000	00000000000000000000000000010110	000000000000000000000000000000??	32
32	11111011001111100000000000000000	????????????????????????????????	00000000000000000000000000010011	0000000000000???????????????????	32
32	???00000?00?????0???????????????	???00000?00?????0???????????????	000000000000000000000000000??000	????????????????????????????????	32
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000011101	????????????????????????????????	31
32	????????????????????????????????	????????????????0000000000000000	00000000000000000000000000001101	????????????????????????????????	31
32	0000000000000000000000000???0000	0000000000000000000000000???0000	00000000000000000000000000011100	00000000000000000000000000000???	30
32	????????????????????????00000000	????????????????????????00000000	00000000000000000000000000011000	00000000????????????????????????	30
32	000000000000000000000000000??000	000000000000000000000000000??000	00000000000000000000000000011101	000000000000000000000000000000??	28
32	0000000000000000000000000????000	0000000000000000000000000????000	00000000000000000000000000011101	0000000000000000000000000000????	28
32	?????????????0000000000000??????	?????????????0000000000000??????	00000000000000000000000000001101	0000000000000???????????????????	28
32	????????????????0000000000000000	????????????????0000000000000000	00000000000000000000000000010000	0000000000000000????????????????	28
32	0000000000000000000000000000????	????????????????????????????????	00000000000000000000000000000100	000000000000000000000000????????	27
32	????????000000000000000000000000	????????000000000000000000000000	00000000000000000000000000001000	000000000000000000000000????????	26
32	000000000000000000000000???00000	000000000000000000000000???00000	00000000000000000000000000011011	00000000000000000000000000000???	22
32	1111111111111?1?????????????????	1111111111111?1?????????????????	00000000000000000000000000010011	?????????????1111111111111?1????	22
32	0000000000000000000000000000000?	????????????????????????????????	00000000000000000000000000000001	000000000000000000000000000000??	20
32	00000000000000??0000000000000000	00000000000000??0000000000000000	00000000000000000000000000010000	000000000000000000000000000000??	20
32	????????????????????????????????	????????????????????????????0000	00000000000000000000000000000100	????????????????????????????????	20
32	0000000000000000000000000??00000	0000000000000000000000000??00000	00000000000000000000000000011011	000000000000000000000000000000??	18
32	00000000000000000000????00000000	00000000000000000000????00000000	00000000000000000000000000011000	0000000000000000000000000000????	18
32	0000000000000000??00000000000000	0000000000000000??00000000000000	00000000000000000000000000010010	000000000000000000000000000000??	18
32	???????0000000000000????????????	???????0000000000000????????????	00000000000000000000000000000111	0000000000000???????????????????	18
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000000100	00000000000000000000????????????	17
32	0000000000000000????????????????	????????????????????????00000000	00000000000000000000000000011000	????????????????????????????????	17
32	111110110011111?????????????????	111110110011111?????????????????	00000000000000000000000000010011	?????????????111110110011111????	16
32	??000000000000000000000000000000	??000000000000000000000000000000	00000000000000000000000000000010	000000000000000000000000000000??	16
32	???????????????????????????00000	???????????????????????????00000	00000000000000000000000000011011	00000???????????????????????????	15
32	??????????????????????????000000	??????????????????????????000000	00000000000000000000000000001110	????????????000000??????????????	14
32	00000000000000000000000000?0?000	00000000000000000000000000?0?000	00000000000000000000000000011101	00000000000000000000000000000?0?	12
32	0000000000000000000000000???????	0000000000000000000000000???????	00000000000000000000000000011111	?0000000000000000000000000??????	12
32	0000000000000000000000??00000000	0000000000000000000000??00000000	00000000000000000000000000011000	000000000000000000000000000000??	12
32	0000000000000000????????????????	????????????????0000000000000000	00000000000000000000000000010000	????????????????????????????????	12
32	00000000000000???000000000000000	00000000000000???000000000000000	00000000000000000000000000010001	00000000000000000000000000000???	12
32	0??00000000000000000000000000000	0??00000000000000000000000000000	00000000000000000000000000000011	000000000000000000000000000000??	12
32	?????000000000000000000000000000	?????000000000000000000000000000	00000000000000000000000000000101	000000000000000000000000000?????	12
32	???????????????????0000000000000	???????????????????0000000000000	00000000000000000000000000010011	0000000000000???????????????????	12
32	?????????????????????????????000	?????????????????????????????000	00000000000000000000000000011101	000?????????????????????????????	12
32	????????????????????????????????	??????????0000000000000000000000	00000000000000000000000000000001	????????????????????????????????	12
32	????????????????????????????????	????????????????????????????????	00000???????????????????????????	????????????????????????????????	12
32	000000000000000000000000????????	???????????????????????????????0	00000000000000000000000000000001	00000000000000000000000?????????	10
32	0000000000??00000000000000000000	0000000000??00000000000000000000	00000000000000000000000000001100	000000000000000000000000000000??	10
32	00000000????????????????????????	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	10
32	0000?????????0000000000000000000	0000?????????0000000000000000000	00000000000000000000000000001101	00000000000000000000000?????????	10
32	????????????????????????????????	????????????????????????00000000	00000000000000000000000000000100	????????????????????????????????	10
32	????????????????????????????????	????????????????????????????????	000000000000000000000000000011??	????????????????????????????????	10
32	00000000????????????????????????	????????????????????????????????	00000000000000000000000000011000	????????????????????????????????	9
32	0??????????????????????????00000	0??????????????????????????00000	00000000000000000000000000011011	000000??????????????????????????	9
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000011100	????????????????????????????????	8
32	0000000000000000???0000000000000	0000000000000000???0000000000000	00000000000000000000000000010011	00000000000000000000000000000???	8
32	000000000000???00000000000000000	000000000000???00000000000000000	00000000000000000000000000001111	00000000000000000000000000000???	8
32	0000??00000000000000000000000000	0000??00000000000000000000000000	00000000000000000000000000000110	000000000000000000000000000000??	8
32	011110??1?00?1????0??101?00?10??	011110??1?00?1????0??101?00?10??	000000000000000000000000000????1	????????????????????????????????	8
32	????0000000000000000000000000000	????0000000000000000000000000000	00000000000000000000000000000100	0000000000000000000000000000????	8
32	??????????????????????0000000000	??????????????????????0000000000	00000000000000000000000000010110	0000000000??????????????????????	8
32	??????????????????????????????00	??????????????????????????????00	00000000000000000000000000011110	00??????????????????????????????	8
32	???????????????????????????????0	???????????????????????????????0	00000000000000000000000000011111	0???????????????????????????????	8
32	00000000000000000000????????????	????????????????????????????????	00000000000000000000000000000100	0000000000000000????????????????	7
32	00??????????????????????????????	00??????????????????????????????	00000000000000000000000000001100	????????????????????00??????????	7
32	0000000000000000????????????????	0000000000000000????????????????	00000000000000000000000000011000	????????0000000000000000????????	6
32	0???0000000000000000000000000000	0???0000000000000000000000000000	00000000000000000000000000000100	00000000000000000000000000000???	6
32	0???????11????????????????????00	????????????????????????????????	00000000000000000000000000001000	11????????????????????00????????	6
32	?????????????0000000000000000000	?????????????0000000000000000000	00000000000000000000000000001101	0000000000000000000?????????????	6
32	???????????????11111111111111111	???????????????11111111111111111	00000000000000000000000000010101	11111111111???????????????111111	6
32	????????11????????????????????00	????????????????????????????????	00000000000000000000000000001000	11????????????????????00????????	5
32	0000000000000000000000000000?0?0	0000000000000000000000000000?0?0	00000000000000000000000000011111	00000000000000000000000000000?0?	4
32	0000000000000000000000000000???0	0000000000000000000000000000???0	00000000000000000000000000011111	00000000000000000000000000000???	4
32	000000000000000000000???00000000	000000000000000000000???00000000	00000000000000000000000000011000	00000000000000000000000000000???	4
32	0000000000000000????????00000000	0000000000000000????????00000000	00000000000000000000000000011000	000000000000000000000000????????	4
32	0000000000000000????????????????	0000000000000000????????????????	00000000000000000000000000011100	????0000000000000000????????????	4
32	00000000000000011111111111111111	????????????????????????????????	00000000000000000000000000010101	11111111111?????????????????????	4
32	00000000000??0000000000000000000	00000000000??0000000000000000000	00000000000000000000000000001101	000000000000000000000000000000??	4
32	0000000??00000000000000000000000	0000000??00000000000000000000000	00000000000000000000000000001001	000000000000000000000000000000??	4
32	00??0000000000000000000000000000	00??0000000000000000000000000000	00000000000000000000000000000100	000000000000000000000000000000??	4
32	0???????????????????????????????	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	4
32	???????????????????????????????0	???????????????????????????????0	00000000000000000000000000001101	??????????????????0?????????????	4
32	000000000000000000000000000?????	000000000000000000000000000?????	00000000000000000000000000011101	???000000000000000000000000000??	3
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000000010	0000000000000000000000??????????	3
32	000000000001????????????????????	????????????????????????????????	00000000000000000000000000000001	00000000001?????????????????????	3
32	????????????????????????????????	????????????????????????????????	00000000000000000000????????????	????????????????????????????????	3
32	0000000000000000000000000000????	0000000000000000000000000000????	00000000000000000000000000011110	??0000000000000000000000000000??	2
32	?????????00000000000000000000000	?????????00000000000000000000000	00000000000000000000000000001001	00000000000000000000000?????????	2
32	????????????????????????????????	????????????????0000000000000000	00000000000000000000000000000010	????????????????????????????????	2
32	????????????????????????????????	????????????????????????????????	0000000000000000000000000000000?	????????????????????????????????	2
32	000000000????????????????????001	????????????????????????????????	00000000000000000000000000011001	????001?????????????????????????	1
32	000000??????????????????????????	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	1
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????????????????????????????????????	1928562
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001101	????????????????????????????????????????????????????????????????	1610065
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000101	????????????????????????????????????????????????????????????????	1572906
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010000	????????????????????????????????????????????????????????????????	1356663
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010001	????????????????????????????????????????????????????????????????	1114793
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010101	????????????????????????????????????????????????????????????????	930786
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000001	????????????????????????????????????????????????????????????????	746457
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111110	????????????????????????????????????????????????????????????????	253541
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011011	????????????????????????????????????????????????????????????????	163831
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110000	????????????????????????????????????????????????????????????????	157820
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000101000	????????????????????????????????????????????????????????????????	139289
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011111	????????????????????????????????????????????????????????????????	121899
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000010	????????????????????????????????????????????????????????????????	111759
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100111	????????????????????????????????????????????????????????????????	110642
