# ---
# domain: KnownBits
# op: mlir/Operations/Fshr.mlir
# arity: 3
# seed: null
# lbw: []
# mbw:
# - [8, 10]
# - [16, 5]
# - [32, 14]
# - [64, 22]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	arg_1	arg_2	ideal	count
8	????????	????????	????????	????????	532
8	????????	????????	???????0	????????	180
8	????????	????????	00000???	????????	13
8	????????	????????	00000??0	????????	6
8	????????	????????	00000110	????????	1
8	????????	????????	00001100	????????	1
8	????????	????????	00010010	????????	1
8	????????	????????	00011110	????????	1
8	????????	????????	00100100	????????	1
8	????????	????????	00101010	????????	1
16	????????????????	????????????????	00000000????????	????????????????	10141
16	????????????????	????????????????	????????????????	????????????????	4092
16	00000000????????	????????????????	0000000000000???	???????0????????	76
16	????????????????	????????????????	000000000000????	????????????????	48
16	????????????????	????????????????	0000000000??????	????????????????	9
32	????????????????????????????????	????????????????????????????????	000000000000000000000000000?????	????????????????????????????????	10107
32	????????????????????????????????	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	9468
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	????????????????????????????????	6025
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	2262
32	????????????????????????????????	????????????????????????????????	0000000000000000000000000???????	????????????????????????????????	315
32	????????????????????????????????	????????????????????????????????	000000000000000000000000000??000	????????????????????????????????	251
32	????????????????????????????????	????????????????????????????????	000000000000000?????????????????	????????????????????????????????	112
32	000000000000000000000000????????	????????????????????????????????	00000000000000000000000000000???	???????00000000000000000????????	76
32	????????????????????????????????	????????????????????????????????	0????????????????????????????000	????????????????????????????????	58
32	????????????????????????????????	????????????????????????????????	0000000000000000000000000000????	????????????????????????????????	38
32	01010011011111110110000100000011	01010011011111110110000100000011	000000000000000000000000000??000	0??????10??????10??????10??????1	23
32	????????????????????????????????	????????????????????????????????	??????????????????????????????00	????????????????????????????????	11
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000??????	????????????????????????????????	9
32	????????????????????????????????	????????????????????????????????	00000000000000000000000000????00	????????????????????????????????	1
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	????????????????????????????????????????????????????????????????	140804
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	105194
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	00000000000000000000000000000000000000000000000000000000????????	????????????????????????????????????????????????????????????????	11068
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	1142
64	00000000000000000000000000000000000000000000000000000000????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000???	???????0000000000000000000000000000000000000000000000000????????	686
