# ---
# domain: KnownBits
# op: mlir/Operations/Lshr.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [3, 4]
# - [4, 13]
# - [5, 16]
# - [6, 17]
# - [7, 21]
# - [8, 232]
# - [9, 25]
# - [10, 19]
# - [11, 19]
# - [12, 21]
# - [13, 22]
# - [14, 17]
# - [15, 22]
# - [16, 520]
# - [17, 11]
# - [18, 10]
# - [19, 21]
# - [20, 6]
# - [21, 13]
# - [22, 6]
# - [23, 7]
# - [24, 195]
# - [25, 10]
# - [26, 4]
# - [27, 5]
# - [28, 13]
# - [29, 6]
# - [30, 34]
# - [31, 11]
# - [32, 3131]
# - [33, 24]
# - [34, 4]
# - [35, 5]
# - [36, 9]
# - [37, 13]
# - [38, 6]
# - [39, 21]
# - [40, 154]
# - [41, 3]
# - [42, 7]
# - [43, 5]
# - [44, 4]
# - [45, 5]
# - [46, 1]
# - [47, 7]
# - [48, 135]
# - [49, 5]
# - [50, 4]
# - [51, 7]
# - [52, 3]
# - [53, 7]
# - [54, 2]
# - [55, 7]
# - [56, 84]
# - [57, 8]
# - [58, 3]
# - [59, 4]
# - [60, 11]
# - [61, 6]
# - [62, 5]
# - [63, 4]
# - [64, 3387]
# - [65, 1]
# - [80, 13]
# - [120, 9]
# - [128, 342]
# - [256, 6]
# - [512, 5]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
3	100	???	???	134
3	001	???	00?	84
3	011	???	0??	18
3	110	???	???	4
4	1100	????	????	79
4	1011	????	????	40
4	1101	????	????	24
4	0110	????	0???	21
4	1000	????	????	19
4	0011	????	00??	8
4	1110	????	????	7
4	0100	????	0???	6
4	1110	00??	????	6
4	0001	00??	000?	4
4	0010	????	00??	4
4	1100	00??	????	4
4	1000	00??	????	1
5	11001	?????	?????	29
5	11010	?????	?????	19
5	10011	?????	?????	16
5	00011	?????	000??	10
5	11011	?????	?????	10
5	10100	?????	?????	9
5	01011	?????	0????	8
5	01100	?????	0????	8
5	10111	?????	?????	5
5	11011	00???	?????	5
5	11110	?????	?????	5
5	00001	?????	0000?	4
5	11000	?????	?????	4
5	01101	00???	0????	3
5	10100	00???	?????	3
5	01101	?????	0????	1
6	100011	??????	??????	25
6	100110	??????	??????	20
6	110001	??????	??????	12
6	111011	??????	??????	10
6	101000	000???	??????	9
6	110111	??????	??????	9
6	011000	??????	0?????	8
6	011010	??????	0?????	8
6	100001	000???	??????	6
6	001100	??????	00????	4
6	001110	??????	00????	4
6	100100	??????	??????	4
6	110000	??????	??????	4
6	111001	??????	??????	4
6	111100	??????	??????	4
6	101000	??????	??????	3
6	100001	??????	??????	2
7	0011110	???????	00?????	26
7	0010001	0000???	00?????	18
7	0101011	???????	0??????	12
7	1000011	???????	???????	12
7	1010010	???????	???????	12
