# ---
# domain: KnownBits
# op: mlir/Operations/LshrExact.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [3, 1]
# - [4, 2]
# - [7, 1]
# - [8, 35]
# - [16, 68]
# - [24, 9]
# - [32, 621]
# - [40, 6]
# - [48, 6]
# - [64, 527]
# - [128, 26]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
3	100	???	???	80
4	1000	????	????	20
4	1000	00??	????	4
7	1000000	0??????	???????	4
8	????????	00000010	00??????	3683
8	????????	00000001	0???????	2848
8	????????	00000100	0000????	2264
8	000000?0	00000001	0000000?	679
8	0?000000	00000110	0000000?	565
8	0000?000	00000011	0000000?	392
8	00?00000	00000101	0000000?	304
8	?0000000	00000001	0?000000	272
8	000??000	00000011	000000??	234
8	????????	00000011	000?????	202
8	????????	00000101	00000???	185
8	000?0000	00000100	0000000?	157
8	????????	00000110	000000??	153
8	00000?00	00000010	0000000?	134
8	10000000	00000???	????????	134
8	0???0000	00000100	00000???	97
8	????0000	00000100	0000????	83
8	10000000	????????	????????	58
8	00???000	00000011	00000???	45
8	0000??00	00000010	000000??	40
8	0??00000	00000101	000000??	40
8	??000000	00000001	0??00000	38
8	0????000	00000011	0000????	32
8	000???00	00000010	00000???	29
8	??000000	00000010	00??0000	25
8	?0000000	00000100	0000?000	23
8	00??0000	00000100	000000??	18
8	000?0000	00000010	00000?00	16
8	000000??	00000001	0000000?	10
8	0000???0	00000001	00000???	5
8	000???00	00000001	0000???0	5
8	0000??00	00000001	00000??0	3
8	????????	00000???	????????	3
8	000????0	00000001	0000????	2
8	00????00	00000010	0000????	2
16	????????10000000	0000000000000100	0000????????1000	11040
16	????????????????	0000000000001000	00000000????????	1711
16	????????????????	0000000000000001	0???????????????	1620
16	????????????????	0000000000000100	0000????????????	904
16	0?????0000000000	0000000000001010	00000000000?????	815
16	????????????????	0000000000000010	00??????????????	291
16	000000?????00000	0000000000000010	00000000?????000	274
16	00000??????00000	0000000000000011	00000000??????00	258
16	0?????0000000000	0000000000000111	00000000?????000	210
16	1111111100000000	0000000000000???	???????1???????0	210
16	0000000?00000000	0000000000001000	000000000000000?	203
16	00000000?0000000	0000000000000???	00000000????????	180
16	0?00000000000000	0000000000001110	000000000000000?	178
16	0000000?00000000	0000000000000001	00000000?0000000	170
16	0000000000000?00	0000000000000010	000000000000000?	167
16	????????????????	0000000000000011	000?????????????	156
16	????????????????	000000000000000?	????????????????	129
16	000000?000000000	0000000000000001	0000000?00000000	126
16	0000000?00000000	0000000000000101	000000000000?000	110
16	00000????????000	0000000000000001	000000????????00	107
16	00?????????????0	0000000000000001	000?????????????	107
16	1000000000000000	????????????????	????????????????	102
16	00000000?0000000	0000000000000111	000000000000000?	101
16	????????00000000	0000000000001000	00000000????????	100
16	000000?????????0	0000000000000001	0000000?????????	95
16	00000000000000?0	0000000000000001	000000000000000?	82
16	00000??000000000	0000000000001001	00000000000000??	78
16	000000000?000000	0000000000000011	000000000000?000	68
16	00000000000?0000	0000000000000100	000000000000000?	65
16	1111111100000000	????????????????	????????????????	54
16	0000000000000?00	0000000000000001	00000000000000?0	53
16	0000????00000000	0000000000001000	000000000000????	53
16	00?0000000000000	0000000000001101	000000000000000?	51
16	000000?000000000	0000000000001001	000000000000000?	45
16	000000000000?000	0000000000000011	000000000000000?	42
16	????????????0000	0000000000000100	0000????????????	40
16	0000000000?00000	0000000000000101	000000000000000?	36
16	????????????????	0000000000001110	00000000000000??	32
16	0000000000000000	0000000000000011	0000000000000000	28
16	???????????????0	0000000000000001	0???????????????	26
16	????????????????	0000000000000110	000000??????????	26
16	00000000000??000	0000000000000011	00000000000000??	23
16	00000?0000000000	0000000000001010	000000000000000?	22
16	?????00000000000	0000000000001011	00000000000?????	17
16	????????????????	????????????????	????????????????	16
16	000000??00000000	0000000000001000	00000000000000??	15
16	????????????????	0000000000001001	000000000???????	12
16	000000?????00000	0000000000000101	00000000000?????	11
16	??????????????00	000000000000000?	???????????????0	11
16	0000?00000000000	0000000000001011	000000000000000?	10
16	?????????????000	0000000000000001	0?????????????00	9
16	????????????????	0000000000000101	00000???????????	9
16	0000000???????00	0000000000000010	000000000???????	7
16	????????????????	0000000000000111	0000000?????????	7
16	0000000??0000000	0000000000000111	00000000000000??	6
16	???????000000000	0000000000001000	00000000???????0	6
16	000?000000000000	0000000000001100	000000000000000?	5
16	??00????00000000	0000000000001000	00000000??00????	5
16	????????????????	0000000000001101	0000000000000???	5
16	1000000000000000	000000000000????	????????????????	4
16	?????000?????000	0000000000000011	000?????000?????	4
16	000000000000??00	0000000000000010	00000000000000??	2
16	000000000?000000	0000000000000110	000000000000000?	2
16	00000???00000000	0000000000001000	0000000000000???	2
16	0????????0000000	0000000000000111	00000000????????	2
16	0????????????000	0000000000000001	00????????????00	2
16	?????????0000000	0000000000000111	0000000?????????	2
16	?????????????000	0000000000000011	000?????????????	1
24	????????????????00000000	000000000000000000001000	00000000????????????????	56
24	????????????????????????	000000000000000000001000	00000000????????????????	40
24	000000000000000?00000000	000000000000000000001000	00000000000000000000000?	26
24	0000000?0000000?00000000	000000000000000000001000	000000000000000?0000000?	24
24	00000000????????00000000	000000000000000000001000	0000000000000000????????	11
24	????????0000000000000000	000000000000000000001000	00000000????????00000000	10
24	????????0000000000000000	000000000000000000010000	0000000000000000????????	6
24	000000000???????00000000	000000000000000000001000	00000000000000000???????	2
24	0000000?0000000000000000	000000000000000000010000	00000000000000000000000?	2
32	00000000000000000000000010000000	00000000000000000000000000000???	000000000000000000000000????????	92044
32	????????????????????????????????	00000000000000000000000000000001	0???????????????????????????????	46937
32	????????????????????????????????	00000000000000000000000000000011	000?????????????????????????????	20550
32	????????????????????????????????	00000000000000000000000000000010	00??????????????????????????????	20500
32	????????????????????????????????	00000000000000000000000000010000	0000000000000000????????????????	19139
32	0????????00000000000000000000000	00000000000000000000000000010111	000000000000000000000000????????	15518
32	????????????????????????????????	00000000000000000000000000001000	00000000????????????????????????	13813
32	10000000000000000000000000000000	000000000000000000000000000?????	????????????????????????????????	10293
32	00000000000000000000000000?00000	00000000000000000000000000000101	0000000000000000000000000000000?	9908
32	????????????????????????????????	00000000000000000000000000000100	0000????????????????????????????	9639
32	10000000000000000000000000000000	????????????????????????????????	????????????????????????????????	7943
32	0???????????????0000000000000000	00000000000000000000000000010000	00000000000000000???????????????	7935
32	0???????????????????????00000000	00000000000000000000000000001000	000000000???????????????????????	7652
32	000000000000000000000000000?0000	00000000000000000000000000000001	0000000000000000000000000000?000	5640
32	????????????????????????????????	00000000000000000000000000000101	00000???????????????????????????	5458
32	????????????????????????????????	000000000000000000000000000?????	????????????????????????????????	5431
32	????????000000000000000000000000	00000000000000000000000000010111	00000000000000000000000????????0	4683
32	00000000000000000000000000000?00	00000000000000000000000000000010	0000000000000000000000000000000?	4530
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	4104
32	0??????????????????????????????0	00000000000000000000000000000001	00??????????????????????????????	3727
32	0???????????????????????????????	00000000000000000000000000000001	00??????????????????????????????	3707
32	???????????????????????????????0	00000000000000000000000000000001	0???????????????????????????????	3651
32	0???????????????????????????????	00000000000000000000000000001000	000000000???????????????????????	3288
32	????????????????????????????????	00000000000000000000000000??????	????????????????????????????????	3214
32	000000000000000000000000????????	00000000000000000000000000000011	000000000000000000000000000?????	2730
32	????????????????????????????????	00000000000000000000000000000110	000000??????????????????????????	2494
32	????????????????0000000000000000	00000000000000000000000000010000	0000000000000000????????????????	2441
32	0000000000000000000000?????00000	00000000000000000000000000000010	000000000000000000000000?????000	2431
32	0000000000??????????000000000000	00000000000000000000000000001100	0000000000000000000000??????????	2412
32	0???????????????????????????????	00000000000000000000000000010000	00000000000000000???????????????	2347
32	000000000000?0000000000000000000	00000000000000000000000000010011	0000000000000000000000000000000?	2201
32	0000000000000000000000?????00000	00000000000000000000000000000001	00000000000000000000000?????0000	1993
32	000000000000000000000000000000?0	00000000000000000000000000000001	0000000000000000000000000000000?	1864
32	????????????????????000000000000	00000000000000000000000000001100	000000000000????????????????????	1747
32	?????????????????????????????000	00000000000000000000000000000011	000?????????????????????????????	1670
32	10000000000000000000000000000000	0???????????????????????????????	????????????????????????????????	1576
32	????????????????????????????????	00000000000000000000000000001010	0000000000??????????????????????	1531
32	????????????????????????00000000	00000000000000000000000000000010	00????????????????????????000000	1449
32	00000000000000000000000?00000000	00000000000000000000000000001000	0000000000000000000000000000000?	1393
32	????????????????????????????????	00000000000000000000000000000111	0000000?????????????????????????	1393
32	00000000000?00000000000000000000	00000000000000000000000000010100	0000000000000000000000000000000?	1379
32	00000000000000000000????00000000	00000000000000000000000000000101	0000000000000000000000000????000	1367
