# ---
# domain: KnownBits
# op: mlir/Operations/Mods.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 24]
# - [16, 36]
# - [32, 471]
# - [64, 195]
# - [128, 16]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	00011000	????????	3993
8	????????	00000011	????????	3542
8	????????	????????	????????	3063
8	????????	00000111	????????	2248
8	????????	00111100	????????	1284
8	????????	00001010	????????	1192
8	????????	00001100	????????	1143
8	????????	00001000	????????	683
8	????????	00000100	????????	565
8	????????	00000110	????????	354
8	????????	00001001	????????	332
8	????????	00011010	????????	190
8	10000000	????????	????????	165
8	????????	00010010	????????	103
8	???????1	00000011	????????	96
8	????????	00000010	????????	94
8	???????0	00000100	???????0	67
8	????????	0000????	????????	62
8	????????	00000101	????????	60
8	???????0	00011100	???????0	14
8	????????	00010000	????????	14
8	????????	00011100	????????	8
8	00??????	00000110	00000???	5
8	000?????	00001001	0000????	2
16	????????????????	0000000000000011	????????????????	13731
16	????????????????	0000000000111100	????????????????	8705
16	????????????????	0000000000001001	????????????????	4013
16	????????????????	0000000001100100	????????????????	3570
16	????????????????	????????????????	????????????????	3354
16	????????????????	0000000110010000	????????????????	3243
16	????????????????	0000000000011001	????????????????	2513
16	????????????????	0000000000000111	????????????????	1950
16	????????????????	0000000000001000	????????????????	1822
16	????????????????	0000000000011000	????????????????	1444
16	????????????????	0000000000000110	????????????????	917
16	????????????????	0000000000001100	????????????????	783
16	????????????????	0000000000001010	????????????????	688
16	????????????????	0000000000000101	????????????????	529
16	????????????????	0000001001000000	????????????????	365
16	????????????????	0000000001000000	????????????????	287
16	????????????????	0000000100100000	????????????????	266
16	????????????????	0000001111101000	????????????????	223
16	????????????????	0000000010010000	????????????????	217
16	????????????????	0000000000100100	????????????????	172
16	1000000000000000	????????????????	????????????????	165
16	????????????????	0000000000000100	????????????????	134
16	????????????????	0000000101101101	????????????????	96
16	????????????????	0000000000010000	????????????????	84
16	????????????????	0000000011110011	????????????????	71
16	????????????????	0000000010011101	????????????????	59
16	????????????????	00000000000?0?00	????????????????	57
16	????????????????	0000000000000010	????????????????	51
16	?????????????000	0000000000000111	????????????????	35
16	????????????????	000?0000?0000000	????????????????	34
16	????????????????	00000000000?????	????????????????	24
16	????????????????	000000000???????	????????????????	23
16	????????????????	0000000?????????	????????????????	18
16	????????????????	0000000000011110	????????????????	16
16	????????????????	0000000000011111	????????????????	10
16	????????????????	???????????0???0	????????????????	8
32	????????????????????????????????	00000000000000000000000001000000	????????????????????????????????	1255338
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	427542
32	????????????????????????????????	00000000000000000000000000100000	????????????????????????????????	108903
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	70096
32	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	58854
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	57505
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	40680
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	32769
32	????????????????????????????????	00000000000000000000000001100100	????????????????????????????????	27340
32	????????????????????????????????	00000000000000000000000000001010	????????????????????????????????	16958
32	????????????????????????????????	01111111111111111111111111111111	????????????????????????????????	14730
32	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	12814
32	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	11860
32	0???????????????????????????????	????????????????????????????????	0???????????????????????????????	11030
32	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	9499
32	0?????????????????????????????01	????????????????????????????????	0???????????????????????????????	7597
32	0?????????????????????????????00	????????????????????????????????	0???????????????????????????????	7582
32	0?????????????????????????????10	????????????????????????????????	0???????????????????????????????	7582
32	0?????????????????????????????11	????????????????????????????????	0???????????????????????????????	7582
32	??????????????????????????????00	00000000000000000000000000001000	??????????????????????????????00	6722
32	????????????????????????????????	00000000000000000000111000010000	????????????????????????????????	6282
32	????????????????????????????????	00000000000000000000001111101000	????????????????????????????????	6080
32	????????????????????????????????	00000000000000000000000000001100	????????????????????????????????	5785
32	????????????????????????????????	00000000000000000000000000111100	????????????????????????????????	5775
32	????????????????????????????????	00000000000000011111001100011101	????????????????????????????????	5640
32	????????????????????????????????	00000000000000000000000110010000	????????????????????????????????	5394
32	???????????????????????????????1	????????????????????????????????	????????????????????????????????	5141
32	????????????????????????????????	00000000000000010101000110000000	????????????????????????????????	4603
32	????????????????????????????????	00000000000000000000000000001001	????????????????????????????????	3431
32	????????????????????????????????	???????????????????????????????0	????????????????????????????????	3080
32	????????????????????????????????	00000000000000000000000000011100	????????????????????????????????	3037
32	????????????????????????????????	00000000000000001000110010100000	????????????????????????????????	2875
32	????????????????????????????????	00000000000011110100001001000000	????????????????????????????????	2480
32	????????????????????????????????	0000000000000000????????????????	????????????????????????????????	2477
32	????????????????????????????????	00000000000000000000000000010100	????????????????????????????????	2326
32	????????????????????????????????	00000000000000000000000011111111	????????????????????????????????	2183
32	????????????????????????????????	00111011100110101100101000000000	????????????????????????????????	2033
32	????????????????????????????????	0???????????????????????????????	????????????????????????????????	1905
32	????????????????????????????????	00000000000000000000000100000000	????????????????????????????????	1794
32	????????????????????????????????	00000000000000000000000000011110	????????????????????????????????	1529
32	????????????????????????????????	00000000000000000000000000011101	????????????????????????????????	1412
32	????????????????????????????????	00000000000000000000000101101000	????????????????????????????????	1388
32	????????????????????????????????	00000000000000000001010110110000	????????????????????????????????	1336
32	????????????????????????????????	00000000000000000010000000000000	????????????????????????????????	1269
32	????????????????????????????????	00000000000000000000000000011000	????????????????????????????????	1203
32	???????????????????????????????0	????????????????????????????????	????????????????????????????????	1189
32	????????????????????????????????	00000000000000000000000000001111	????????????????????????????????	993
32	0??????????????????????????????0	????????????????????????????????	0???????????????????????????????	990
32	????????????????????????????????	00000000000000000000000000011111	????????????????????????????????	975
32	????????????????????????????????	00000000000000000000000000001011	????????????????????????????????	965
32	0??????????????????????????????1	????????????????????????????????	0???????????????????????????????	925
32	????????????????????????????????	00000000000000000000000000011011	????????????????????????????????	838
32	????????????????????????????????	00000000000000000000000000110000	????????????????????????????????	826
32	000000000000000000000000????????	????????????????????????????????	000000000000000000000000????????	816
32	????????????????????????????????	00000000000000000000000011111010	????????????????????????????????	761
32	???????????????????????????????0	00000000000000000000000000000101	????????????????????????????????	742
32	????????????????????????????????	00000000000000000000000010000000	????????????????????????????????	721
32	????????????????????????????????	00000000000000000000000000001110	????????????????????????????????	710
32	????????????????????????????????	00000000000000000000000000010111	????????????????????????????????	673
32	0000000000000000????????????????	????????????????????????????????	0000000000000000????????????????	635
32	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	633
32	0???????????????????????????????	00000000000000000000000000000011	000000000000000000000000000000??	597
32	000000000000000000000000000000??	00000000000000000000000000100000	000000000000000000000000000000??	594
32	????????????????????????????????	00000000000000000000001110100001	????????????????????????????????	583
32	????????????????????????????????	00000000000000000000000001100000	????????????????????????????????	565
32	???????????????????????????????1	00000000000000000000000000000101	????????????????????????????????	538
32	??????????????????????????????10	00000000000000000000000000001000	??????????????????????????????10	509
32	????????????????????????????????	00000000000000000000000000101000	????????????????????????????????	486
32	?????????????????????????????000	00000000000000000000000000010000	?????????????????????????????000	468
32	????????????????????????????????	00000000000000000111111111111000	????????????????????????????????	458
32	????????????????????????????????	00000000000000000000010010000000	????????????????????????????????	450
32	????????????????????????????????	00000000000000000000000000111111	????????????????????????????????	445
