# ---
# domain: KnownBits
# op: mlir/Operations/Modu.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 109]
# - [16, 270]
# - [32, 1182]
# - [64, 4387]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	01100100	0???????	23850
8	????????	00001010	0000????	11868
8	0???????	00001010	0000????	5558
8	????????	00000011	000000??	3856
8	????????	00000101	00000???	2045
8	????????	????????	????????	1666
8	00??????	00001010	0000????	1541
8	000?????	00001010	0000????	1526
8	????????	00000110	00000???	880
8	????????	00111110	00??????	860
8	????????	00001001	0000????	670
8	0???????	00001011	0000????	453
8	00??????	00000110	00000???	369
8	000?????	00000101	00000???	366
8	????????	00001100	0000????	219
8	000?????	00001001	0000????	214
8	????????	00100100	00??????	193
8	????????	00011000	000?????	176
8	????????	00001011	0000????	141
8	????????	00000111	00000???	134
8	00010000	????????	000?0???	129
8	????????	00101000	00??????	128
8	000?????	00000011	000000??	105
8	????????	00011001	000?????	98
8	????????	00101101	00??????	96
8	0000????	00000011	000000??	90
8	????????	00011111	000?????	86
8	????????	00001000	00000???	79
8	????????	000000??	000000??	68
8	????????	00000010	0000000?	60
8	????????	00010001	000?????	59
8	????????	00010100	000?????	59
8	????????	01010101	0???????	57
8	000000??	000000??	000000??	54
8	??????00	01100100	0?????00	53
8	????????	00001111	0000????	52
8	????????	00111000	00??????	45
8	00????00	????????	00??????	38
8	00??????	00000011	000000??	35
8	????????	000011?0	0000????	34
8	0000????	00000111	00000???	30
8	????????	00110010	00??????	30
8	????????	01000000	00??????	29
8	????????	?????000	????????	29
8	????????	00011101	000?????	28
8	?????000	01100100	0?????00	27
8	000?????	00000110	00000???	26
8	000?????	00000111	00000???	26
8	????????	00000100	000000??	25
8	???????0	00000111	00000???	24
8	???????1	00000111	00000???	24
8	00??????	00000111	00000???	22
8	????????	00011010	000?????	22
8	00001000	????????	0000?0??	21
8	????????	0000????	0000????	21
8	????????	00001101	0000????	18
8	????????	00010011	000?????	18
8	????????	00010000	0000????	17
8	????????	000?????	000?????	17
8	???????0	00000011	000000??	16
8	????????	00110100	00??????	16
8	????????	00000???	00000???	15
8	????????	10000000	0???????	15
8	00000110	00000???	00000???	14
8	0000????	0000????	0000????	14
8	0000????	????????	0000????	14
8	000?????	0000????	0000????	14
8	000000?1	00000011	0000000?	10
8	00000??0	00000011	000000??	10
8	???????1	00000011	000000??	10
8	0000????	00001110	0000????	8
8	00000???	000000??	000000??	6
8	????????	0???????	0???????	6
8	00000???	00000011	000000??	5
8	?????000	00000011	000000??	5
8	??????00	00000011	000000??	5
8	????????	00011011	000?????	5
8	00000010	????????	000000?0	4
8	000?????	00001000	00000???	4
8	000?????	0000??00	0000????	4
8	????????	00100000	000?????	4
8	00000???	00000010	0000000?	3
8	0???????	0000????	0000????	3
8	0000????	00000010	0000000?	2
8	0000????	00000??0	00000???	2
8	0000????	0000??00	0000????	2
8	000?????	00000010	0000000?	2
8	000?????	00000??0	00000???	2
8	0???????	00011010	000?????	2
8	0???????	00101000	00??????	2
8	???????0	00010100	000????0	2
8	???????1	00010100	000????1	2
8	000000??	00000010	0000000?	1
8	0000????	00000100	000000??	1
8	0000????	00001000	00000???	1
8	00100000	0000????	0000????	1
8	00??????	00000010	0000000?	1
