# ---
# domain: KnownBits
# op: mlir/Operations/Mul.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [3, 1]
# - [4, 1]
# - [8, 91]
# - [16, 114]
# - [31, 1]
# - [32, 2537]
# - [33, 7]
# - [34, 1]
# - [35, 6]
# - [64, 3170]
# - [65, 2]
# - [128, 104]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
3	???	???	???	1
4	????	????	????	8
8	????????	????????	????????	67127
8	????????	?????101	????????	18364
8	????????	?????1?1	????????	8236
8	????????	00001010	???????0	5973
8	????????	00000011	????????	5836
8	????????	00111000	?????000	2501
8	?????101	0000????	????????	1245
8	????????	00001001	????????	785
8	????????	00011011	????????	638
8	?????1?1	0000????	????????	560
8	????????	00000110	???????0	504
8	????????	01010001	????????	490
8	????????	10100001	????????	450
8	????????	00000111	????????	286
8	????????	00000101	????????	283
8	0000????	????????	????????	274
8	????????	11110110	???????0	192
8	????????	00000001	????????	152
8	????????	00000010	???????0	147
8	0000????	00001010	???????0	144
8	????????	00000000	00000000	144
8	0000000?	00100000	00?00000	133
8	????????	00001000	?????000	130
8	????????	00000100	??????00	121
8	0000????	?????101	????????	114
8	????????	00001011	????????	105
8	????????	00001100	??????00	99
8	????????	00001101	????????	99
8	????????	00001110	???????0	99
8	????????	00001111	????????	99
8	????????	000?????	????????	92
8	00000???	11011100	??????00	68
8	1???????	11111100	??????00	60
8	????????	00011111	????????	59
8	1100????	00000100	00????00	52
8	????????	11111100	??????00	47
8	0000????	?????1?1	????????	44
8	????????	00010000	????0000	39
8	00000???	????????	????????	38
8	????????	01100000	???00000	37
8	????????	01100001	????????	34
8	00??????	11111010	???????0	33
8	????????	000??0?0	???????0	32
8	????????	01100010	???????0	32
8	????????	11111110	???????0	32
8	????????	01100011	????????	30
8	000??000	????????	?????000	27
8	????????	01100100	??????00	20
8	????????	01110100	??????00	20
8	????????	01101001	????????	19
8	????????	01110001	????????	19
8	00000???	11010011	????????	18
8	????????	01101010	???????0	16
8	????????	01110010	???????0	16
8	????????	01100111	????????	15
8	????????	01101000	?????000	15
8	????????	01101100	??????00	15
8	????????	01101101	????????	15
8	????????	01101110	???????0	15
8	????????	01101111	????????	15
8	????????	01110000	????0000	15
8	????????	01110101	????????	15
8	????????	01101011	????????	14
8	????????	01110011	????????	14
8	????????	11110000	????0000	14
8	0???????	11111100	??????00	13
8	????????	11111000	?????000	13
8	????????	01100101	????????	12
8	????????	01100110	???????0	12
8	????????	11111111	????????	12
8	??????11	????????	????????	10
8	???????0	????????	???????0	9
8	???????1	????????	????????	9
8	0???????	00001010	???????0	8
8	????????	11001011	????????	8
8	??????00	00000011	??????00	7
8	??????00	????????	??????00	6
8	??????01	????????	????????	6
8	??????10	????????	???????0	6
8	????????	00110111	????????	6
8	????????	11111001	????????	6
8	????????	???00000	???00000	6
8	0000000?	00000111	00000???	5
8	????????	0000????	????????	5
8	0???????	00010100	??????00	4
8	000000??	00000011	0000????	3
8	000?????	11110111	????????	3
8	1???????	11111110	???????0	3
8	????????	00100011	????????	3
8	????????	??????00	??????00	3
8	????????	0000000?	????????	2
16	????????????????	????????????????	????????????????	329622
16	00000000????????	????????????????	????????????????	124762
16	????????????????	00000000????????	????????????????	56333
16	????????????????	1111111111111011	????????????????	50194
16	????????????????	0011111111111011	????????????????	4704
16	????????????????	0000000000001010	???????????????0	4279
16	????????????????	0000000000010100	??????????????00	3287
16	????????????????	0000001000001001	????????????????	2767
16	????????????????	0000000000000011	????????????????	1752
16	????????????????	1111111100000000	????????00000000	1640
16	????????????????	0000000000001100	??????????????00	861
16	????????????????	0000000000000101	????????????????	621
16	????????????????	0000000?????????	????????????????	581
16	????????????????	0000000010101101	????????????????	556
16	????????????????	0000000000000111	????????????????	551
16	????????????????	000000??????????	????????????????	541
16	????????????????	0010010100000000	????????00000000	465
16	????????????????	0000000001111010	???????????????0	462
16	????????????????	0000000001100100	??????????????00	419
16	????????????????	0000000100000100	??????????????00	416
16	????????????????	0000000000101000	?????????????000	385
16	????????????????	0000000000000110	???????????????0	377
16	????????????????	1111111110000110	???????????????0	347
16	0???????????????	0001110111000101	????????????????	314
16	????????????????	0000000010011001	????????????????	295
16	????????????????	???????????????1	????????????????	290
16	????????????????	0000000000010101	????????????????	279
16	????????????????	0010011100010000	????????????0000	220
16	????????????????	0000000000001101	????????????????	206
16	0???????????????	0000000000001010	???????????????0	172
16	????????????????	0000001100000000	????????00000000	172
16	000000000000????	????????????????	????????????????	166
16	????????????????	000???0?00??00?0	???????????????0	156
16	????????????????	0?00??0??00?????	????????????????	156
16	????????????????	0111110001001101	????????????????	151
16	???????????????1	00000000????????	????????????????	134
16	????????????????	0000000100000001	????????????????	133
16	????????????0000	????????????????	????????????0000	104
16	????????????????	???????????????0	???????????????0	100
16	0000000?????????	0000000101101000	?????????????000	97
16	????????????????	0000000100010000	????????????0000	80
16	????????????????	0000000000000???	????????????????	74
16	????????????????	0000000000111100	??????????????00	72
16	????????????????	0???????????????	????????????????	72
16	????????????????	0001110111000101	????????????????	60
16	????????????????	0000000000100100	??????????????00	58
16	0000000000000000	????????????????	0000000000000000	57
16	????????????????	1010101010101011	????????????????	53
16	????????????????	1111111111110110	???????????????0	48
16	????????????????	0000000000011100	??????????????00	45
16	00000000????????	0000000000000011	000000??????????	40
16	????????????????	0000000000000010	???????????????0	40
16	????????????????	000000000000????	????????????????	39
16	??????????????11	00000000????????	????????????????	36
16	????????????????	0000000000000000	0000000000000000	36
16	????????????????	0000000000000001	????????????????	36
16	????????????????	00000000000000?0	???????????????0	34
16	??????????????01	00000000????????	????????????????	31
16	????????????????	0000000000110000	????????????0000	30
16	????????????????	1111111111101100	??????????????00	30
16	????????????????	0000000000000100	??????????????00	29
16	????????????????	0000000000010000	????????????0000	28
16	????????????????	0000000010000000	?????????0000000	26
16	????????????????	0000000000011010	???????????????0	25
16	00000000000?????	?????00000000000	?????00000000000	24
16	????????????????	0000000000010001	????????????????	24
16	????????????????	1111111111101111	????????????????	24
16	?????????????001	00000000????????	????????????????	23
16	000000??????????	0000000001000001	????????????????	22
16	????????????????	0000001111101000	?????????????000	22
16	????????????????	0000000000010010	???????????????0	20
16	????????????????	0000000101101000	?????????????000	20
16	???????????????0	????????????????	???????????????0	19
16	????????????1111	00000000????????	????????????????	18
16	?????????????111	00000000????????	????????????????	18
16	?????00000000000	00000000000?????	?????00000000000	15
16	0000000?????????	00000000????????	????????????????	12
16	????????????????	0000000000110010	???????????????0	11
