# ---
# domain: KnownBits
# op: mlir/Operations/MulNsw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 10]
# - [16, 49]
# - [32, 2425]
# - [34, 1]
# - [64, 2565]
# - [128, 65]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	11110001	????????	151
8	????????	00000111	????????	123
8	????????	????????	????????	101
8	0000????	11111010	???????0	42
8	????????	11111110	???????0	38
8	????????	00000011	????????	17
8	????????	00000100	??????00	12
8	????????	00010000	????0000	12
8	????????	00001111	????????	3
8	????????	00000010	???????0	2
16	????????????????	????????????????	????????????????	63931
16	????????????????	1111111111111011	????????????????	30411
16	????????????????	0000000000000110	???????????????0	12340
16	00000000????????	????????????????	????????????????	4636
16	????????????????	00000000????????	????????????????	4319
16	????????????????	0000000000000011	????????????????	3466
16	00000000????????	1111111111111110	???????????????0	2208
16	????????????????	0000000000000101	????????????????	1441
16	0000000?????????	1111111111111011	????????????????	1349
16	00000000????????	1111111111111001	????????????????	1230
16	????????????????	0000000000001110	???????????????0	900
16	????????????????	0000000010011001	????????????????	624
16	????????????????	0000000000001011	????????????????	596
16	????????????????	0000000000000111	????????????????	565
16	0000000?????????	????????????????	????????????????	368
16	????????????????	1111111111111001	????????????????	175
16	????????????????	0000000000001010	???????????????0	150
16	????????????????	0000000000011010	???????????????0	135
16	000000000000????	????????????????	????????????????	128
16	000000000???????	1111111111111001	????????????????	123
16	00000???????????	1111111111110000	????????????0000	99
16	????????????????	0000000011111001	????????????????	90
16	00000000????????	0000000000101010	00?????????????0	88
16	0000000000??????	1111111111111001	????????????????	75
16	????????????????	0000000001100100	??????????????00	43
16	????????????????	1111111111110000	????????????0000	39
16	????????????????	1111111111111100	??????????????00	29
16	????????????????	0000000000101010	???????????????0	24
16	0000????????????	1111111111110000	????????????0000	21
16	????????????????	0000000000110011	????????????????	21
16	00000000????????	1111111111101110	???????????????0	20
16	????????????????	0000000000000010	???????????????0	15
16	????????????????	0000000000000100	??????????????00	12
16	????????????????	0000000000001000	?????????????000	11
16	000000000???????	1111111111111000	?????????????000	10
16	??????????????00	0000000000000110	?????????????000	10
16	000000000???????	1111111111111110	???????????????0	6
16	????????????????	0000000?????????	????????????????	6
16	????????????????	0000001111101000	?????????????000	6
16	000000000???????	0000000000000100	0000000???????00	5
16	????????????????	0000000000100100	??????????????00	5
16	????????????????	1111111110001000	?????????????000	5
16	000000000???????	1111111111110000	????????????0000	4
16	00000000????0000	1111111111101110	???????????00000	4
16	????????????????	1111111111111000	?????????????000	4
16	000000000???????	0000000000001000	000000???????000	3
16	????????????????	1111111111111110	???????????????0	2
16	00000000000?????	1111111111111110	???????????????0	1
16	00000000????????	1111111111111000	?????????????000	1
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	5251860
32	????????????????????????????????	00000000000000000000000000100001	????????????????????????????????	1066212
32	????????????????????????????????	00000000000110101001001101001111	????????????????????????????????	787058
32	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	399712
32	????????????????????????????????	00000000000001001101000100000101	????????????????????????????????	399616
32	????????????????????????????????	0000000000000000????????????????	????????????????????????????????	299876
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	281647
32	????????????????????????????????	00000000000010011010001000001001	????????????????????????????????	209128
32	????????????????????????????????	11111111111001010110110010110001	????????????????????????????????	172135
32	????????????????????????????????	00000000000000000000000000001010	???????????????????????????????0	132074
32	0000000000000000????????????????	????????????????????????????????	????????????????????????????????	130461
32	????????????????????????????????	0???????????????????????????????	????????????????????????????????	129945
32	000000000000000000000000????????	????????????????????????????????	????????????????????????????????	127433
32	????????????????????????????????	11111111111111011100010101001111	????????????????????????????????	124786
32	????????????????????????????????	00000000000100110100010000010011	????????????????????????????????	123424
32	0???????????????????????????????	????????????????????????????????	????????????????????????????????	123287
32	????????????????????????????????	00000000000000000000000000011011	????????????????????????????????	112980
32	????????????????????????????????	00000100011001101111010001100000	???????????????????????????00000	109265
32	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	109044
32	????????????????????????????????	00001011100010101101101111111111	????????????????????????????????	99103
32	????????????????????????????????	00000100111110011111111110110111	????????????????????????????????	87058
32	????????????????????????????????	00000000000000000000000000000110	???????????????????????????????0	85302
32	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	69794
32	????????????????????????????????	00000000000000000010110101000001	????????????????????????????????	66523
32	????????????????????????????????	00000000000000000001100001111110	???????????????????????????????0	61849
32	????????????????????????????????	00000000000000000000000000001100	??????????????????????????????00	55213
32	????????????????????????????????	11111111111111111111111001110000	????????????????????????????0000	50198
32	????????????????????????????????	00000000000000000000000000010001	????????????????????????????????	47734
32	????????????????????????????????	11111111111111111100010011011111	????????????????????????????????	40277
32	????????????????????????????????	00000000000000000011101100100001	????????????????????????????????	38595
32	????????????????????????????????	00000000000000000000000000110000	????????????????????????????0000	36300
32	000000000000000?????????????????	11111111111111111111111111111011	????????????????????????????????	35058
32	????????????????????????????????	11111111111111111111111111111011	????????????????????????????????	34572
32	????????????????????????????????	11111111111111111111111111111100	??????????????????????????????00	33257
32	????????????????????????????????	11111111111111111111111111111101	????????????????????????????????	32342
32	000000000000000000000000????????	11111111111111111111111111111101	????????????????????????????????	32155
32	????????????????????????????????	00000000000000000000000000010100	??????????????????????????????00	31811
32	????????????????????????????????	00000000000000000011010100110111	????????????????????????????????	30535
32	????????????????????????????????	00000000000000000000000000110101	????????????????????????????????	29946
32	????????????????????????????????	00000000000000000000110001111100	??????????????????????????????00	27922
32	????????????????????????????????	00000000000000000000000000001101	????????????????????????????????	27258
32	00000000000000000000000?????????	11111111111111111111111111111011	????????????????????????????????	27196
32	????????????????????????????????	00000000000000000000000110010000	????????????????????????????0000	26100
32	????????????????????????????????	00000000000000000000000000001001	????????????????????????????????	25129
32	????????????????????????????????	00000000000000000000000101101101	????????????????????????????????	24238
32	????????????????????????????????	00000000000000000011111011000101	????????????????????????????????	21336
32	????????????????????????????????	00000000000000000010001110001110	???????????????????????????????0	20967
32	????????????????????????????????	11111111111111111111111111111001	????????????????????????????????	20729
32	????????????????????????????????	00000000000000000000010110110101	????????????????????????????????	18869
32	???????????????????????????????0	????????????????????????????????	???????????????????????????????0	18470
32	????????????????????????????????	00000000000000000000000000010010	???????????????????????????????0	17938
32	????????????????????????????????	00000000000000000011110100111111	????????????????????????????????	17933
32	????????????????????????????????	11111111111111111111111111111110	???????????????????????????????0	17645
32	????????????????????????????????	11111111111111111100000100111011	????????????????????????????????	17263
32	????????????????????????????????	00000000000000000001001011010000	????????????????????????????0000	17151
32	????????????????????????????????	11111111111111111101110001110010	???????????????????????????????0	17143
32	????????????????????????????????	00000000000000000011000101111001	????????????????????????????????	17067
32	0000000000000000000000??????????	????????????????????????????????	????????????????????????????????	16487
32	00000000000000000000000?????????	11111111111111111111111111111010	???????????????????????????????0	16321
32	????????????????????????????????	00000000000000100011101010110001	????????????????????????????????	15207
32	????????????????????????????????	00000000000000000000100010101001	????????????????????????????????	15205
32	????????????????????????????????	00000000000000000011111101001111	????????????????????????????????	15161
32	????????????????????????????????	????????????????????????????0000	????????????????????????????0000	15105
32	????????????????????????????????	00000000000000000011110001000010	???????????????????????????????0	15029
32	????????????????????????????????	00000000000000000000000000100110	???????????????????????????????0	14896
32	????????????????????????????????	00000000000000000001111000101011	????????????????????????????????	14856
32	????????????????????????????????	00000000000000000000011001000110	???????????????????????????????0	14747
32	????????????????????????????????	00000000000000000000000000001011	????????????????????????????????	14359
32	????????????????????????????????	0000000000000000000000??????????	????????????????????????????????	14244
32	????????????????????????????????	11111111111111111110011110000010	???????????????????????????????0	13839
32	????????????????????????????????	00000000000000000000000000010011	????????????????????????????????	13811
32	????????????????????????????????	00000000000000001011110010001111	????????????????????????????????	13267
32	????????????????????????????????	00000000000000000011011011100101	????????????????????????????????	13260
32	0000000000000000000?????????????	11111111111111111111111110011100	??????????????????????????????00	12913
32	????????????????????????????????	11111111111111111111111111111010	???????????????????????????????0	12867
32	????????????????????????????????	00000000000000000010111101101100	??????????????????????????????00	12692
32	????????????????????????????????	00000000000000000000000000??????	????????????????????????????????	12680
32	????????????????????????????????	00000000000000000010011000100000	???????????????????????????00000	11928
