# ---
# domain: KnownBits
# op: mlir/Operations/MulNswNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [3, 1]
# - [4, 2]
# - [5, 1]
# - [7, 1]
# - [8, 50]
# - [9, 2]
# - [12, 1]
# - [13, 1]
# - [14, 1]
# - [15, 2]
# - [16, 303]
# - [17, 1]
# - [19, 1]
# - [21, 1]
# - [24, 12]
# - [28, 1]
# - [29, 1]
# - [30, 1]
# - [31, 1]
# - [32, 2822]
# - [36, 1]
# - [37, 1]
# - [39, 3]
# - [40, 5]
# - [43, 1]
# - [48, 11]
# - [49, 1]
# - [55, 1]
# - [56, 3]
# - [57, 1]
# - [58, 1]
# - [64, 3365]
# - [128, 415]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
3	???	001	???	248
4	????	0001	????	45
4	00??	0001	00??	6
5	?????	00001	?????	19
7	???????	0000001	???????	1
8	????????	00001010	0??????0	5303
8	????????	00100001	0??000??	3652
8	0000000?	00100001	00?0000?	2920
8	0000????	00000101	0???????	433
8	00000???	00001010	0??????0	424
8	0000000?	0000000?	0000000?	289
8	0000????	00000011	00??????	148
8	????????	00000111	0???????	138
8	000000??	00000011	0000????	124
8	????????	00000110	0??????0	95
8	0000000?	????????	????????	88
8	????????	00000100	0?????00	76
8	0000????	00000111	0???????	74
8	????????	00000011	0???????	72
8	????????	00000001	????????	56
8	0000000?	00000011	000000??	40
8	000000??	00001010	000????0	40
8	000?????	00000011	0???????	38
8	????????	????????	????????	36
8	000000??	00000110	000????0	35
8	0000000?	00001010	0000?0?0	30
8	0???????	00000011	0???????	29
8	0000000?	00000100	00000?00	27
8	0000????	00000110	0??????0	23
8	00000???	00000011	000?????	20
8	????????	00000010	0??????0	20
8	000000??	00000111	000?????	16
8	????????	00011110	0??????0	15
8	0000????	00001010	0??????0	13
8	????????	00001001	0???????	12
8	00000???	00000010	0000???0	9
8	00000???	00000???	00??????	9
8	0000000?	00000010	000000?0	8
8	000?????	00000101	0???????	8
8	000000??	00000010	00000??0	4
8	000???00	00000100	0???0000	4
8	000?????	00000010	00?????0	4
8	0???????	00000110	0??????0	4
8	000?????	00000100	0?????00	3
8	????????	0000000?	????????	3
8	000000??	00000100	0000??00	2
8	000000??	00001111	00??????	2
8	0000????	00000100	00????00	2
8	0???????	00001010	0??????0	2
8	????????	00010000	0???0000	2
8	0000000?	00010000	000?0000	1
8	000000??	00010101	00??????	1
8	00??????	00000010	0??????0	1
8	????????	00001000	0????000	1
8	????????	000?????	????????	1
9	00000????	000000001	00000????	16
9	?????????	000000001	?????????	2
12	????????????	000000000001	????????????	5
13	00000????????	0000000000001	00000????????	1
14	??????????????	00000000000001	??????????????	1
15	0000000????????	000000000000001	0000000????????	3
15	???????????????	000000000000001	???????????????	1
16	0000????????????	0000000000011011	0???????????????	115037
16	00000000????????	0000000001001101	0???????????????	24407
16	????????????????	0000000000011011	0???????????????	19553
16	00000000????????	0000000000011101	000?????????????	16745
16	00000000????????	0000000000000011	000000??????????	14486
16	00000000????????	0000000000000101	00000???????????	7395
16	000?????????????	0000000000000011	0???????????????	6597
16	00000000????????	00000000????????	0???????????????	6408
16	00000000000?????	00000000????????	000?????????????	5291
16	00000000000?????	0000000011111111	000?????????????	4347
16	0000000?????????	0000000000010100	00????????????00	3773
16	00000000????????	0000000001100000	0??????????00000	3565
16	00000000????????	0000000000000110	00000??????????0	3529
16	0000000000??????	00000000????????	00??????????????	3336
16	????????????????	0000000000000011	0???????????????	2782
16	????????????????	0000000011111111	0???????????????	2221
16	????????????????	0000000000010100	0?????????????00	2190
16	????????????????	0000000000001010	0??????????????0	2130
16	00000000????????	0000000000011111	000?????????????	2046
16	0000000?????????	0000000000000011	00000???????????	1798
16	00000000000?????	0000000000100001	000000??????????	1682
16	0000000000??????	0000000011111111	00??????????????	1589
16	0000000?????????	0000000000000101	0000????????????	1526
16	000000000???????	000000000???????	00??????????????	1472
16	00000000????????	0000000000101010	00?????????????0	1460
16	00000000????????	0000000000001001	0000????????????	1459
16	????????????????	0000000000001001	0???????????????	1399
16	00000000????????	0000000000000010	0000000????????0	1387
16	????????????????	00000000????????	????????????????	1380
16	00000000????????	0000000000111111	00??????????????	1284
16	00000000????????	00000000000?????	000?????????????	1104
16	000000000???????	0000000000001010	00000??????????0	843
16	0000000000??????	0000000001000001	0000????????????	839
16	00000000????????	0000000000001111	0000????????????	814
16	00000000????????	0000000000??????	00??????????????	748
16	00000000000?????	????????????????	????????????????	740
16	0000????????????	0000000000001010	0??????????????0	740
16	????????????????	0000000000000110	0??????????????0	731
16	????????????????	0000000000011111	0???????????????	719
