# ---
# domain: KnownBits
# op: mlir/Operations/MulNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 28]
# - [16, 68]
# - [24, 2]
# - [32, 273]
# - [48, 2]
# - [64, 563]
# - [128, 148]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	0000????	00001010	???????0	1730
8	????????	00001010	???????0	1401
8	0000????	00010001	????????	501
8	00000??0	00101000	????0000	416
8	00000???	00110000	????0000	132
8	????????	00010000	????0000	126
8	0000000?	????????	????????	84
8	????????	00000101	????????	75
8	0000???0	00011000	????0000	66
8	????????	????????	????????	60
8	00000???	00011000	?????000	46
8	000?????	00000101	????????	41
8	0000????	00001100	??????00	35
8	00??????	00000011	????????	28
8	0000????	00001011	????????	25
8	????????	00000011	????????	24
8	00000??0	00111000	????0000	22
8	????????	00010001	????????	20
8	00000???	00011100	??????00	17
8	000000??	00110000	????0000	15
8	000?????	00001011	????????	15
8	????????	00000110	???????0	15
8	????????	0000000?	????????	12
8	00??????	00000101	????????	8
8	????????	00000100	??????00	8
8	000000??	01010101	????????	5
8	000?????	00000110	???????0	3
8	????????	00000010	???????0	1
16	0000????????????	0000000000011011	????????????????	91867
16	00000000????????	00000000????????	????????????????	54363
16	00000000????????	0000000010010110	???????????????0	24443
16	????????????????	0000000000011011	????????????????	9324
16	????????????????	????????????????	????????????????	7061
16	00000000????????	0000000011111111	????????????????	5014
16	00000000000?????	0000100000111010	???????????????0	3834
16	????????????????	00000000????????	????????????????	3450
16	0000000000??????	0000010000001101	????????????????	1865
16	0000000?????????	00000000????????	????????????????	1564
16	00000000????????	0000000100000001	????????????????	1444
16	????????????????	0000000000001010	???????????????0	1418
16	????????????????	0000100000111010	???????????????0	881
16	00000000????????	0000000011011111	????????????????	760
16	00000000????????	0000000011000000	??????????000000	759
16	0???????????????	00000000????????	????????????????	534
16	????????????????	0000010000001101	????????????????	506
16	00000000????????	????????????????	????????????????	502
16	00??????????????	00000000????????	????????????????	425
16	0???????????????	0000000000001010	???????????????0	392
16	????????????????	0000000011111111	????????????????	376
16	0000000011111111	00000000????????	????????????????	334
16	00000000????????	0000000010111111	????????????????	316
16	????????????????	0000000011111000	?????????????000	238
16	????????????????	0000000100000001	????????????????	223
16	00000000????????	0000000011111000	?????????????000	188
16	00000?????000000	00000000000?????	??????????000000	180
16	????????????????	0000000011011111	????????????????	176
16	????????????????	0000000000100100	??????????????00	148
16	????????11111111	00000000????????	????????????????	96
16	00??????????????	0000000000001010	???????????????0	84
16	????????11111111	????????????????	????????????????	76
16	???????????????0	0000000000010101	???????????????0	70
16	00000000????????	0000000011111001	????????????????	62
16	000000001???????	000000001???????	????????????????	56
16	0000000000??????	0000001001100101	????????????????	54
16	00000000????????	0000000010010111	????????????????	51
16	????????????????	0000000000010101	????????????????	51
16	????????????????	0000000010111111	????????????????	46
16	00000000000?????	0000010100101110	???????????????0	41
16	000?????????????	0000000000001010	???????????????0	40
16	????????????????	0000000001001110	???????????????0	36
16	000000001??????0	000000001??????0	??????????????00	34
16	00000000????????	0000000010000101	????????????????	32
16	????????????????	0000000010001011	????????????????	32
16	00000???????????	0000000000111000	?????????????000	31
16	00000000????????	0000000110010000	????????????0000	28
16	00000000????????	0000000011010011	????????????????	27
16	0000????????????	0000000000001010	???????????????0	25
16	????????????????	0000000010101000	?????????????000	24
16	????????????????	0000000000010000	????????????0000	22
16	00000000????????	0000000010101000	?????????????000	20
16	000???????000000	00000000000?????	??????????000000	20
16	????????????????	0000000000010001	????????????????	20
16	????????????????	0000000010010110	???????????????0	18
16	????????????????	0000000110010000	????????????0000	18
16	00000????????000	00000000000?????	?????????????000	16
16	00000???????????	0000000000011001	????????????????	16
16	00000000????????	0000000010001011	????????????????	12
16	????????????????	0000000010000101	????????????????	12
16	00000000????????	0000000001001110	0??????????????0	8
16	00000000????????	0000000100000000	????????00000000	8
16	000000000???????	0000000100000001	0???????0???????	6
16	000?????????????	0000000000000111	????????????????	6
16	????????????????	0000000011000000	??????????000000	5
16	00000000????????	0000000000110011	00??????????????	4
16	????????????????	0000000001000000	??????????000000	2
16	????????????????	0000000101101000	?????????????000	1
24	0000000000000000????????	000000010000000100000000	????????????????00000000	388
24	0000000000000000????????	000000010000000000000000	????????0000000000000000	11
32	0000000000000000????????????????	0000000000000000????????????????	????????????????????????????????	58299
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	23943
32	0000000?????????????????????????	00000000000000000000000010011001	????????????????????????????????	17288
32	????????????????????????????????	00000000000000000000000000001010	???????????????????????????????0	9043
32	????????????????????????????????	0000000000000000????????????????	????????????????????????????????	6924
32	000?????????????????????????????	00000000000000000000000000001010	???????????????????????????????0	3678
32	0000000000000???????????????????	00000000000000000001010001111011	????????????????????????????????	3414
32	00000000????????????????????????	00000000000000000001010001111011	????????????????????????????????	2766
32	????????????????????????????????	00000000000000000001010001111011	????????????????????????????????	2703
32	????????????????????????????????	00000000000000000000000010011001	????????????????????????????????	2508
32	0???????????????????????????????	0000000000000000????????????????	????????????????????????????????	2221
32	0000000000000000????????00000000	0000000000000000????????00000000	????????????????0000000000000000	2166
32	0000000000000000????????????????	00000000000000001111111100000001	????????????????????????????????	2079
32	0000000?????????????????????????	000000000000000000000000????????	????????????????????????????????	1768
32	0000000000000000????????????????	00000000000000001111111111111011	????????????????????????????????	1304
32	000000001111111100000000????????	00000000000000000000000?????????	????????????????????????????????	1248
32	000000000???????????????????????	00000000000000000001010001111011	????????????????????????????????	1222
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	1196
32	00000000000000000000000?????????	00000000????????00000000????????	????????????????????????????????	1125
32	00000000????????00000000????????	000000000000000000000000????????	????????????????????????????????	1096
32	0000000000000000????????????????	00000000000000001000000010000000	?????????????????????????0000000	1092
32	00000000000000000000????????????	00000000000011110100001001000000	??????????????????????????000000	829
32	0000000000000000????????????????	00000000000000010000000000000001	????????????????????????????????	826
32	0000000000000000????????????????	00000000000000001011011100010111	????????????????????????????????	812
32	0???????????????????????????????	000000000000000000000000000000??	????????????????????????????????	807
32	0000000000000000????????????????	????????????????????????????????	????????????????????????????????	784
32	0???????????????????????????????	00000000000000000000000000001010	???????????????????????????????0	678
32	0000000000000000????????????????	00000000000000001001000001101001	????????????????????????????????	644
32	00000000000000000???????????????	00000000000000100011101010110001	????????????????????????????????	629
32	????????11111111????????????????	????????????????????????????????	????????????????????????????????	596
32	0000000000000000????????????????	00000000000000001101101100000000	????????????????????????00000000	579
32	0000000000??????????????????????	00000000000000000000010110110101	????????????????????????????????	560
32	????????????????????????????????	00000000000000000000000000100001	????????????????????????????????	536
32	0???????????????????????????????	0???????????????????????????????	????????????????????????????????	490
32	00??????????????????????????????	00000000000000000000000000000011	????????????????????????????????	469
32	00000000????????????????????????	000000000000000000000000????????	????????????????????????????????	435
32	????????????????????????????????	00000000000000001111001011111111	????????????????????????????????	431
32	00000000????????00000000????????	00000000000000000000000?????????	????????????????????????????????	430
32	000000000000000?????????????????	0000000000000000????????????????	????????????????????????????????	428
32	00000000000000001111????????????	00000000000000010000000000000001	1111????????????1111????????????	424
32	00000000????????????????????????	00000000000000000000000101101101	????????????????????????????????	406
32	000?????????????????????????????	00000000000000000000000000001100	??????????????????????????????00	374
32	0???????????????????????????????	00000000000000000000000000000011	????????????????????????????????	371
32	????????????????????????????????	00000000000000000000000000001100	??????????????????????????????00	358
