# ---
# domain: KnownBits
# op: mlir/Operations/PopCount.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 3]
# - [12, 1]
# - [16, 10]
# - [24, 1]
# - [28, 1]
# - [32, 66]
# - [36, 1]
# - [40, 1]
# - [64, 61]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
4	????	0???	849
8	????????	0000????	8001
8	000?????	00000???	102
8	0000????	00000???	18
12	????????????	00000000????	124
16	????????????????	00000000000?????	9992
16	0???????????????	000000000000????	908
16	00000000????????	000000000000????	54
16	0???0?0000000000	0000000000000???	46
16	??????0000000000	0000000000000???	42
16	0????00000000000	0000000000000???	41
16	?????00000000000	0000000000000???	23
16	000000000000????	0000000000000???	18
16	000000000???????	0000000000000???	14
16	?????????????000	000000000000????	10
24	????????????????????????	0000000000000000000?????	21
28	????????????????????????????	00000000000000000000000?????	2
32	????????????????????????????????	00000000000000000000000000??????	210307
32	0000000000000000????????????????	000000000000000000000000000?????	4049
32	0???????????????????????????????	000000000000000000000000000?????	3494
32	000000000000000000000000????????	0000000000000000000000000000????	3314
32	0000000000000000000000??????0000	00000000000000000000000000000???	3036
32	000000000000000000??????????????	0000000000000000000000000000????	770
32	?????????????????????????????000	000000000000000000000000000?????	614
32	???????????????????????????????0	000000000000000000000000000?????	542
32	0000000000000000000000??????????	0000000000000000000000000000????	477
32	00000000????????????????????????	000000000000000000000000000?????	351
32	000000000000000000000000000?????	00000000000000000000000000000???	327
32	0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?	000000000000000000000000000?????	311
32	0000000000000000000000000???????	00000000000000000000000000000???	264
32	0000000000000000000000000000????	00000000000000000000000000000???	226
32	0000000000000000????000000000000	00000000000000000000000000000???	211
32	00000000000?????????????????????	000000000000000000000000000?????	195
32	0000000000000000000000?????????0	0000000000000000000000000000????	132
32	00000000000000000000???000??0?00	00000000000000000000000000000???	119
32	????????????????????????????0000	000000000000000000000000000?????	95
32	00000000000000000000000000??????	00000000000000000000000000000???	79
32	00??????????????????????????????	000000000000000000000000000?????	74
32	000?????????????????????????????	000000000000000000000000000?????	67
32	00000000000000??????????????????	000000000000000000000000000?????	61
32	00000000000000000000????????????	0000000000000000000000000000????	60
32	??????????????000???0???????0000	000000000000000000000000000?????	54
32	0??????????????????????????????0	000000000000000000000000000?????	53
32	00000000000000000???????????????	0000000000000000000000000000????	50
32	00000000000000000???0???????????	0000000000000000000000000000????	48
32	0000000000000000000000000????000	00000000000000000000000000000???	43
32	0?????????????????????????????0?	000000000000000000000000000?????	38
32	000000000000000000000000000????0	00000000000000000000000000000???	36
32	00000000000000000???????00000000	00000000000000000000000000000???	35
32	000000000000000000000000000???00	000000000000000000000000000000??	33
32	1???????????????????????????????	00000000000000000000000000??????	33
32	000?00????00?00????00??0?0000?0?	0000000000000000000000000000????	32
32	000000000000000000000000?0??????	00000000000000000000000000000???	31
32	0000000000000000000000000000???0	000000000000000000000000000000??	30
32	????????????00000000000000000000	0000000000000000000000000000????	25
32	??????????????????????????????00	000000000000000000000000000?????	24
32	00000000000000000000000?????????	0000000000000000000000000000????	20
32	000000000000000000000000????0000	00000000000000000000000000000???	18
32	00000000000000000000001010??????	0000000000000000000000000000????	16
32	?????????????????????0??????????	000000000000000000000000000?????	15
32	0000000000000???????????????????	000000000000000000000000000?????	14
32	0000000000000000000000????000000	00000000000000000000000000000???	12
32	00000000000000????????????????0?	000000000000000000000000000?????	12
