# ---
# domain: KnownBits
# op: mlir/Operations/SaddSat.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 5]
# - [16, 3]
# - [32, 13]
# - [64, 24]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	????????	????????	60064
8	????????	00000011	????????	8256
8	????????	00000100	????????	8256
8	????????	00000001	????????	4226
8	????????	10000000	1???????	1712
16	????????????????	????????????????	????????????????	251
16	????????????????	0000000111111010	????????????????	218
16	????????????????	0000000000000001	????????????????	20
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	18994
32	????????????????????????????????	00000000000000001000000000000000	????????????????????????????????	4476
32	????????????????????????????????	11111111111111111111111111111110	????????????????????????????????	1344
32	??????????????????00000000000000	????????????????????????????????	????????????????????????????????	898
32	????????????????????000000000000	00000000000000001000000000000000	????????????????????????????????	438
32	????????????????????????????????	11111111111111111111111111111111	????????????????????????????????	423
32	????????????????????????????????	???????????????????????????????0	????????????????????????????????	272
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	228
32	???????????????????????????????0	????????????????????????????????	????????????????????????????????	133
32	?????????????????????00000000000	00000000000000001000000000000000	????????????????????????????????	52
32	???????0000000000000000000000000	00000000000000001000000000000000	???????0000000001000000000000000	5
32	0???????????????????????????????	????????????????????????????????	????????????????????????????????	3
32	????????????????????????????????	0??????????????????????????????0	????????????????????????????????	2
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	22736
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000010	????????????????????????????????????????????????????????????????	3540
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000001	????????????????????????????????????????????????????????????????	1291
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001000	????????????????????????????????????????????????????????????????	960
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001110	????????????????????????????????????????????????????????????????	960
64	????????????????????????????????????????????????????????????????	1111111111111111111111111111111111111111111111111111111111111111	????????????????????????????????????????????????????????????????	679
64	????????????????????????????????????????????????????????????????	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	400
64	00000000000000000000000000000000000000000000000000000000000000??	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	155
64	????????????????????????????????????????????????????????????????	1111111111111111111111111111111111111111111111111111111111111110	????????????????????????????????????????????????????????????????	97
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000011	????????????????????????????????????????????????????????????????	82
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000001110101001100000	????????????????????????????????????????????????????????????????	79
64	????????????????????????????????????????????????????????????????	0???????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	74
64	????????????????????????????????????????????????????????????????	00000000000000000000000000000000000000000000000000000000000000??	????????????????????????????????????????????????????????????????	51
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000????????????????????????????????0	????????????????????????????????????????????????????????????????	39
64	000000000000000000000000000000000000000000000000000000000000000?	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	33
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000100	????????????????????????????????????????????????????????????????	26
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000110010010	????????????????????????????????????????????????????????????????	26
64	00000000000000000000000000000000000000000000000000000000000000??	00000000000000000000000000000000????????????????????????????????	0000000000000000000000000000000?????????????????????????????????	20
64	0000000000000000000000000000000000000000000000000000000000000001	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	8
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000001111101000	????????????????????????????????????????????????????????????????	5
64	0000000000000000000000000000000000000000000000000000000000000001	000000000000000000000000000000000000000000000000000000000000000?	00000000000000000000000000000000000000000000000000000000000000??	2
64	0000000000000000000000000000000000000000000000000000000000000100	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	2
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000001001110001000	????????????????????????????????????????????????????????????????	2
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000010011100010000	????????????????????????????????????????????????????????????????	1
