# ---
# domain: KnownBits
# op: mlir/Operations/Sdiv.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 35]
# - [16, 76]
# - [32, 954]
# - [64, 570]
# - [128, 15]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	00000010	????????	9008
8	????????	00000100	????????	4702
8	????????	00001000	????????	3702
8	????????	????????	????????	3006
8	????????	00??????	????????	1767
8	????????	00000011	????????	1684
8	????????	11111110	????????	1434
8	????????	00001100	????????	1396
8	????????	00001001	????????	1388
8	????????	00001010	????????	1104
8	????????	00011011	????????	1054
8	????????	00011000	????????	1043
8	????????	00111100	????????	808
8	????????	00000??0	????????	751
8	10000000	????????	????????	620
8	????????	11111100	????????	522
8	????????	11111101	????????	181
8	??????00	00001000	????????	154
8	????????	00000110	????????	152
8	????????	00000101	????????	56
8	???????0	00000011	????????	43
8	???????1	11111101	????????	40
8	????????	00010010	????????	29
8	???????1	00001000	????????	22
8	?????111	11111101	????????	20
8	??????11	11111101	????????	20
8	????????	11111000	????????	12
8	????????	11111111	????????	8
8	00??????	00000110	0000????	5
8	??????01	00001000	????????	4
8	000?????	00001001	000000??	2
8	??????10	00000010	???????1	2
8	0???????	00000010	00??????	1
8	0???????	00000100	000?????	1
8	0???????	01000000	0000000?	1
16	????????????????	0000000000000010	????????????????	18152
16	????????????????	0000000000111100	????????????????	11806
16	????????????????	0000000000001000	????????????????	10194
16	????????????????	0000000000000100	????????????????	6056
16	????????????????	0000000000010000	????????????????	5592
16	????????????????	0000000000000011	????????????????	3544
16	????????????????	0000000000001001	????????????????	2902
16	????????????????	????????????????	????????????????	2863
16	????????????????	0000000110010000	????????????????	2197
16	????????????????	1111111111111110	????????????????	1718
16	????????????????	0000000000000111	????????????????	1626
16	????????????????	0000000001100100	????????????????	1443
16	????????????????	0000000000100000	????????????????	1432
16	0000010000000000	????????????????	????????????????	1272
16	????????????????	0000000000000101	????????????????	1198
16	????????????????	0000000000011000	????????????????	1089
16	????????????????	1111111111111001	????????????????	983
16	????????????????	00000000????????	????????????????	933
16	???????????????0	0000000001100100	????????????????	873
16	????????????????	0000000000001010	????????????????	604
16	????????????????	1111111110011100	????????????????	472
16	????????????????	00000000000000??	????????????????	404
16	????????????????	0000000000001100	????????????????	403
16	0000100000000000	????????????????	????????????????	371
16	?1??????????????	????????????????	????????????????	359
16	????????????????	1111111111111011	????????????????	340
16	1000000000000000	????????????????	????????????????	332
16	???????????????0	0000000011111111	????????????????	314
16	????????????????	00000000000?????	????????????????	289
16	????????????????	1111111111111100	????????????????	264
16	010000000???????	????????????????	????????????????	250
16	0000001111101000	????????????????	????????????????	242
16	0000000001100100	????????????????	????????????????	224
16	????????????????	0000000000000110	????????????????	180
16	????????????????	???????????????1	????????????????	161
16	????????????????	0000000111000011	????????????????	138
16	????????????????	0000000000000???	????????????????	120
16	????????????????	0000001111101000	????????????????	117
16	????????????????	1111111111111000	????????????????	117
16	???????????????0	0000000000001010	????????????????	116
16	0100000000000000	????????????????	????????????????	115
16	????????????????	0000000011110011	????????????????	109
16	????????????????	0000000011111111	????????????????	104
16	0001001110001000	????????????????	????????????????	96
16	????????????????	0000000010011101	????????????????	56
16	????????????????	1111111111110111	????????????????	53
16	????????????0000	0000000000001001	????????????????	46
16	????????????????	0000000101101101	????????????????	40
16	????????????????	0010010100011100	????????????????	38
16	????????????????	0010100100000100	????????????????	38
16	0111111111111111	????????????????	????????????????	37
16	????????????????	???????????0?0??	????????????????	35
16	????????????????	0000000000100100	????????????????	33
16	????????????????	0000000001011010	????????????????	27
16	0000000000000011	????????????????	????????????????	23
16	0000000000000111	????????????????	????????????????	23
16	0000000000010101	????????????????	????????????????	23
16	?????????0000000	0000000000011111	????????????????	22
16	???????????????1	0000000000000011	????????????????	20
16	????????????????	0000000100000000	????????????????	18
16	????????????????	000000000???????	????????????????	17
16	????????????????	0000000001111000	????????????????	14
16	0000000101101101	????????????????	????????????????	12
16	?????????????000	0000001111101000	????????????????	12
16	????????????????	0000000010010000	????????????????	12
16	????????????????	0000000100100000	????????????????	12
16	????????????????	0000001001000000	????????????????	12
16	00000000????????	0000000000000010	000000000???????	10
16	????????????????	0000000000011111	????????????????	9
16	0000010000000000	00000000????????	00000???????????	8
16	?????????????000	0000000000010001	????????????????	8
16	????????????????	0000000000011110	????????????????	8
16	????????????????	1111111111111111	????????????????	8
16	????????????????	???????????0???0	????????????????	6
16	0???????????????	0000000001000000	0000000?????????	1
16	???????????????0	0000000000000010	????????????????	1
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	1212451
32	????????????????????????????????	00000000000000000000000001000000	????????????????????????????????	1200200
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	872449
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	193631
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	172283
32	????????????????????????????????	00000000000000000000000000011011	????????????????????????????????	109775
32	????????????????????????????????	00000000000000100011101010110001	????????????????????????????????	95996
32	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	55156
32	????????????????????????????????	00000000000000000000000110010000	????????????????????????????????	54399
32	????????????????????????????????	00000000000000000000000000100000	????????????????????????????????	53565
32	????????????????????????????????	00000000000000000000000001100100	????????????????????????????????	49822
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	43587
32	????????????????????????????????	00000000000000000000000000001010	????????????????????????????????	28561
32	????????????????????????????????	11111111111111111111111111111110	????????????????????????????????	25781
32	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	23259
32	????????????????????????????????	00000000000000000000001111101000	????????????????????????????????	22322
32	0???????????????????????????????	????????????????????????????????	????????????????????????????????	21459
32	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	18609
32	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	16432
32	????????????????????????????????	00000000000000000000000000001100	????????????????????????????????	15329
32	????????????????????????????????	00000000000000001111111111111111	????????????????????????????????	14866
32	????????????????????????????????	00000000000000010000000000000000	????????????????????????????????	13697
32	????????????????????????????????	0000000000000000????????????????	????????????????????????????????	12397
32	0?????????????????????????????00	????????????????????????????????	????????????????????????????????	12361
32	????????????????????????????????	0???????????????????????????????	????????????????????????????????	12183
32	0?????????????????????????????10	????????????????????????????????	????????????????????????????????	10126
32	0?????????????????????????????01	????????????????????????????????	????????????????????????????????	10120
32	0?????????????????????????????11	????????????????????????????????	????????????????????????????????	9935
32	????????????????????????????????	00000000000001000000000000000000	????????????????????????????????	8933
32	????????????????????????????????	00000000000011110100001001000000	????????????????????????????????	8358
32	???????????????????????????????1	????????????????????????????????	????????????????????????????????	7723
32	????????????????????????????????	11111111111111111111111111111000	????????????????????????????????	7711
32	????????????????????????????????	00000000000000000000000100000000	????????????????????????????????	7273
32	????????????????????????????????	00000000000000000000010000000000	????????????????????????????????	6724
32	????????????????????????????????	00000000000000000000000000111100	????????????????????????????????	6495
32	????????????????????????????????	00000000000000000000000010000000	????????????????????????????????	6367
32	0????????????????????????????000	????????????????????????????????	????????????????????????????????	6233
32	?????????????????????????????000	????????????????????????????????	????????????????????????????????	5927
32	00000000000000000000000000000010	????????????????????????????????	????????????????????????????????	5882
32	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	5632
32	????????????????????????????????	00000000000000000000111000010000	????????????????????????????????	5481
32	????????????????????????????????	000000000000000000000000000000??	????????????????????????????????	5463
32	????????????????????????????????	00000000000000000000000000000?0?	????????????????????????????????	5077
32	???????????????????????????????0	????????????????????????????????	????????????????????????????????	4416
32	????????????????????????????????	???????????????????????????????0	????????????????????????????????	4347
32	????????????????????????????????	00000000000000000000000011111111	????????????????????????????????	3789
32	??????????????????????????????00	????????????????????????????????	????????????????????????????????	3710
32	00000000000000001111111111111111	????????????????????????????????	????????????????????????????????	3672
32	????????????????0000000000000000	0???????????????????????????????	????????????????????????????????	3555
32	????????????????????????????????	11111111111111111111111110011100	????????????????????????????????	3430
32	??????????????????????????000000	00000000000000000000000001000000	????????????????????????????????	3297
32	????????????????????????????????	11111111111111111111111111111100	????????????????????????????????	3247
32	????????????????????????????????	00000000000000000000001000000000	????????????????????????????????	3221
32	????????????????????????????????	00000000000000000000000000011110	????????????????????????????????	2992
32	????????????????????????????????	00000000000000000000001101101100	????????????????????????????????	2547
32	00000000000000000100000000000000	????????????????????????????????	????????????????????????????????	2493
32	????????????????????????00000000	????????????????????????????????	????????????????????????????????	2401
32	????????????????????????????????	00000000000000000010011100010000	????????????????????????????????	2334
32	000000000000000000000000????????	????????????????????????????????	????????????????????????????????	2316
32	0???????????????????????????0000	????????????????????????????????	????????????????????????????????	2279
32	???????????????????????????????0	00000000000000000000000000000011	????????????????????????????????	2253
32	????????????????????????????????	00000000000000000000000000001001	????????????????????????????????	2235
32	????????????????????????????????	00000000000000000000001001000000	????????????????????????????????	2019
32	00000000000000000000000000100000	????????????????????????????????	????????????????????????????????	1982
32	????????????????????????????????	00000000000000000000000000011000	????????????????????????????????	1968
32	????????????????????????????????	00000000000000000000000000001110	????????????????????????????????	1908
32	00000000000000000000000000000011	????????????????????????????????	????????????????????????????????	1826
32	????????????????????????????????	00000000000000000000100000000000	????????????????????????????????	1783
32	????????????????????????????????	0000000000000000000000000???????	????????????????????????????????	1744
32	????????????????????????????????	0000000000000000000000???1??1???	????????????????????????????????	1733
32	0??????????????????????????????0	????????????????????????????????	????????????????????????????????	1710
32	??????????????????????????????00	00000000000000000000000000000011	????????????????????????????????	1706
32	00000000000000000000010000000000	????????????????????????????????	????????????????????????????????	1687
32	00000000000000000000000000001000	????????????????????????????????	????????????????????????????????	1620
32	????????????????????????????????	00111011100110101100101000000000	????????????????????????????????	1604
32	??????????????????????????????00	00000000000000000000000000001000	????????????????????????????????	1542
32	00000000000000000000001111101000	????????????????????????????????	????????????????????????????????	1539
32	????????????????????????????????	??????????????????????????????00	????????????????????????????????	1476
32	????????????????????????????????	00000000000000000000001111111111	????????????????????????????????	1442
32	????????????????????????????????	00000000000000011111001100011101	????????????????????????????????	1433
32	????????????????????????????????	0000000000000000000000000000????	????????????????????????????????	1428
32	00100000000000000000000000000000	????????????????????????????????	????????????????????????????????	1420
32	????????????????????????????????	0000000000000000000000000000??0?	????????????????????????????????	1418
32	00000000000100000000000000000000	????????????????????????????????	????????????????????????????????	1344
32	????????????????????????????????	?????????????????????????????000	????????????????????????????????	1293
32	????????????????????????????????	00000000000000000000000000011001	????????????????????????????????	1258
32	0000000000000000????????????????	????????????????????????????????	????????????????????????????????	1252
32	????????????????0000000000000000	????????????????????????????????	????????????????????????????????	1190
32	????????????????????????????????	0????????????????????????????000	????????????????????????????????	1184
32	0??????????????????????????????1	????????????????????????????????	????????????????????????????????	1166
32	????????????????????????????????	11111111111111111111111111110110	????????????????????????????????	1144
32	00000000000000000000000011111111	????????????????????????????????	????????????????????????????????	1112
32	????????????????????????????????	00000000000000000000000000011100	????????????????????????????????	1109
32	????????????????????????????????	00000000000000000000000000100001	????????????????????????????????	1101
32	????????????????????????????????	11111111111111111111111111111101	????????????????????????????????	1093
32	00000000000000000000000000000100	????????????????????????????????	????????????????????????????????	1089
32	01000000000000000000000000000000	????????????????????????????????	????????????????????????????????	1061
32	????????????????????????????????	00000000000000000000000000110010	????????????????????????????????	1049
32	????????????????????????????????	00000000000000000000000000001011	????????????????????????????????	1007
32	????????????????????????????0000	????????????????????????????????	????????????????????????????????	1001
32	????????????????????????????????	??????????????????????????????10	????????????????????????????????	989
32	00000000000000000001000000000000	????????????????????????????????	????????????????????????????????	977
32	00000000000000010000000000000000	????????????????????????????????	????????????????????????????????	960
32	00011111111111111111111111111111	????????????????????????????????	????????????????????????????????	944
32	????????????????????????????????	00000000000000000000000111111111	????????????????????????????????	940
32	00000100000000000000000000000000	????????????????????????????????	????????????????????????????????	936
32	????????????????????????????????	00000000000000010101000110000000	????????????????????????????????	912
32	??????????????????????????????00	00000000000000000000000000010000	????????????????????????????????	900
32	????????????????????????????????	00000000000000000000111111111111	????????????????????????????????	885
32	????????????????????????????????	00000000000000000011111111111111	????????????????????????????????	881
32	00000000000000000000000000000101	????????????????????????????????	????????????????????????????????	879
32	00000000????????????????????????	????????????????????????????????	????????????????????????????????	853
32	????????????????????????????????	0?????????????????????????????00	????????????????????????????????	846
32	????????????????????????????????	00000000000000000000000001011010	????????????????????????????????	826
32	????????????????????????????????	00000000000000000000000000010100	????????????????????????????????	809
32	???????????????????????????????0	00000000000000000000010000000000	????????????????????????????????	806
32	01111111111111111111111111111111	????????????????????????????????	????????????????????????????????	805
32	????????????????????????????????	00000000000100000000000000000000	????????????????????????????????	794
32	????????????????????????11111111	????????????????????????????????	????????????????????????????????	784
32	????????????????????????????????	00000101001001100101110000000000	????????????????????????????????	775
32	????????????????????????????????	00000000000000000000000001010000	????????????????????????????????	769
32	????????????????????????????????	00000000000000000000000000110000	????????????????????????????????	762
32	???????????????????????????????0	00000000000000000000000000000101	????????????????????????????????	760
32	???????????????????????????????0	00000000000000000000001000000000	????????????????????????????????	753
32	????????????????????????????????	00000000000000000000000111100000	????????????????????????????????	746
32	00000000000000000000000000000110	????????????????????????????????	????????????????????????????????	743
32	????????????????????????????????	00000000000000000000000011000000	????????????????????????????????	736
32	????????????????????????????????	0???????????????????????????0000	????????????????????????????????	735
32	????????????????????????????????	11111111111111111111111111000000	????????????????????????????????	722
32	????????????????????????????????	????????????????????????????0000	????????????????????????????????	708
32	??????????????????????????????00	00000000000000000000000000000101	????????????????????????????????	707
32	????????????????????????????????	00000000000000000000000????????0	????????????????????????????????	688
32	00000000000011110100001001000000	????????????????????????????????	????????????????????????????????	687
32	????????????????????????????????	0000000000000000000000??1?00??00	????????????????????????????????	683
32	??????????????????????????000000	????????????????????????????????	????????????????????????????????	681
