# ---
# domain: KnownBits
# op: mlir/Operations/SdivExact.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 2]
# - [16, 1]
# - [32, 60]
# - [64, 328]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	?????000	00011000	????????	9
8	??????10	00000010	???????1	2
16	???????????????0	0000000000000010	????????????????	1
32	??????????????????????????000000	00000000000000000000000001000000	????????????????????????????????	3285
32	0??????????????????????????????0	00000000000000000000000000000010	00??????????????????????????????	257
32	0?????????????????????????000000	00000000000000000000000001000000	0000000?????????????????????????	240
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	204
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	76
32	??????????????????????????????00	00000000000000000000000000000100	????????????????????????????????	55
32	????????????????????????????????	00000000000000000000000000100000	????????????????????????????????	54
32	???????????????????????????????0	00000000000000000000000000000010	????????????????????????????????	49
32	0????????????????????????????000	00000000000000000000000000001000	0000????????????????????????????	39
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	37
32	?????????????????????????????000	00000000000000000000000000001000	????????????????????????????????	27
32	0???????????????????????????????	00000000000000000000000000000010	00??????????????????????????????	26
32	0?????????????????????????????00	00000000000000000000000000000100	000?????????????????????????????	22
32	?????????????????????????????000	00000000000000000000000000101000	????????????????????????????????	22
32	000000000000000000000000000000?0	00000000000000000000000000000010	0000000000000000000000000000000?	15
32	0???????????????????????????0000	00000000000000000000000000010000	00000???????????????????????????	10
32	????????????????????????????0000	00000000000000000000000000000010	?????????????????????????????000	10
32	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	10
32	00000000000000000000000000000?00	00000000000000000000000000000100	0000000000000000000000000000000?	8
32	0?????????????????????????????00	00000000000000000000000000000010	00?????????????????????????????0	6
32	0???????????????????????????????	00000000000000000000000000001000	0000????????????????????????????	6
32	???????????????????????????00000	00000000000000000000000000000010	????????????????????????????0000	6
32	????????????????????????????0000	00000000000000000000000000010000	????????????????????????????????	6
32	0???????????????????????????0000	00000000000000000000000000001000	0000???????????????????????????0	5
32	??????????????????????????????10	00000000000000000000000000000010	???????????????????????????????1	5
32	0????????????????????????0000000	00000000000000000000000000000100	000????????????????????????00000	4
32	0?????????????????????????000000	00000000000000000000000000001000	0000?????????????????????????000	4
32	????????????????????????????????	00000000000000000000000100000000	????????????????????????????????	4
32	0000000000000000000000000000?000	00000000000000000000000000001000	0000000000000000000000000000000?	3
32	0??????????????????????????00000	00000000000000000000000000100000	000000??????????????????????????	3
32	0???????????????????????????????	00000000000000000001000000000000	0000000000000???????????????????	3
32	????????????????????????????0000	00000000000000000000000000001000	???????????????????????????????0	3
32	??????????????????????????000000	00000000000000000000000000001000	?????????????????????????????000	2
32	?????????????????????????????000	00000000000000000000000000000100	???????????????????????????????0	2
32	?????????????????????????????000	00000000000000000000010000000000	????????????????????????????????	2
32	??????????????????????????????00	00000000000000000000000000000010	???????????????????????????????0	2
32	????????????????????????????????	00000000000000000000001000000000	????????????????????????????????	2
32	????????????????????????????????	00000000000000010000000000000000	????????????????????????????????	2
32	????????????????????????????????	11111111111111111111111111111110	????????????????????????????????	2
32	0000000000000000000000000001?000	11111111111111111111111111111110	1111111111111111111111111111??00	1
32	0000000000000000000000001011?000	11111111111111111111111111111110	1111111111111111111111111010??00	1
32	000000000000000000000????????000	00000000000000000000000000000010	0000000000000000000000????????00	1
32	0000000000000000?????????0000000	00000000000000000000000010000000	00000000000000000000000?????????	1
32	0???????????????????????????0000	00000000000000000000000000000010	00???????????????????????????000	1
32	0????????????????????????????000	00000000000000000000000000000100	000????????????????????????????0	1
32	??????????????????00000000000000	00000000000000000010000000000000	???????????????????????????????0	1
32	???????????????????0000000000000	00000000000000000000000000001000	??????????????????????0000000000	1
32	???????????????????0000000000000	00000000000000000010000000000000	????????????????????????????????	1
32	??????????????????????0000000000	00000000000000000000000000000010	???????????????????????000000000	1
32	???????????????????????000000000	00000000000000000000000000000010	????????????????????????00000000	1
32	????????????????????????00000000	00000000000000000000000000010000	????????????????????????????0000	1
32	???????????????????????????00000	00000000000000000000000000001000	??????????????????????????????00	1
32	????????????????????????????0000	00000000000000000000000000000100	??????????????????????????????00	1
32	?????????????????????????????000	00000000000000000000000000000010	??????????????????????????????00	1
32	?????????????????????????????000	11111111111111111111111111111000	????????????????????????????????	1
32	??????????????????????????????00	00000000000000000000000000001000	????????????????????????????????	1
32	????????????????????????????????	00000000000000000000000001000000	????????????????????????????????	1
32	????????????????????????????????	00000000000000000000010000000000	????????????????????????????????	1
32	????????????????????????????????	00000000000000000000100000000000	????????????????????????????????	1
32	????????????????????????????????	00000000000000001000000000000000	????????????????????????????????	1
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011000	????????????????????????????????????????????????????????????????	3312508
