# ---
# domain: KnownBits
# op: mlir/Operations/Shl.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 89]
# - [11, 1]
# - [16, 185]
# - [24, 18]
# - [32, 2035]
# - [33, 4]
# - [34, 2]
# - [35, 2]
# - [36, 1]
# - [40, 4]
# - [48, 6]
# - [56, 2]
# - [64, 1851]
# - [128, 130]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	00000001	???????0	283857
8	????????	00000100	????0000	130920
8	????????	00000010	??????00	94242
8	????????	00000011	?????000	43128
8	????????	00000110	??000000	9360
8	????????	00000101	???00000	4568
8	????????	00000???	????????	4189
8	????????	00000111	?0000000	4125
8	00000001	00000???	????????	3097
8	??????00	00000001	?????000	1250
8	0???????	00000010	??????00	1045
8	???????0	00000001	??????00	583
8	1111111?	00000111	?0000000	423
8	1100????	00000010	00????00	360
8	???????0	00000010	?????000	342
8	00111111	00000??0	????????	310
8	?????000	00000001	????0000	258
8	????????	0000000?	????????	204
8	0000????	00000110	??000000	187
8	????????	00000??0	????????	180
8	??????00	00000010	????0000	149
8	00000001	0000000?	000000??	138
8	????000?	00000100	000?0000	133
8	??????0?	00000010	????0?00	126
8	???00000	00000010	?0000000	116
8	????????	????????	????????	107
8	1???????	00000001	???????0	78
8	????????	00000?00	????????	68
8	00000010	00000???	???????0	64
8	????????	00000000	????????	64
8	0000????	00000100	????0000	60
8	00000011	00000??0	????????	55
8	0??????1	00000???	????????	49
8	11??????	00000111	?0000000	46
8	????0000	00000001	???00000	38
8	0000000?	00000001	000000?0	33
8	00??????	00000100	????0000	33
8	????????	11110000	(bottom)	32
8	00000011	00000???	????????	29
8	?????000	00000010	???00000	28
8	????????	00000?0?	????????	28
8	11111111	00000???	1???????	26
8	00000001	000000??	0000????	24
8	???????1	00000???	????????	24
8	00000???	00000111	?0000000	20
8	00??????	00000011	?????000	20
8	0???????	00000???	????????	19
8	0000000?	00000010	00000?00	14
8	000000??	00000010	0000??00	14
8	0000????	00000000	0000????	12
8	0???????	00000001	???????0	11
8	0000000?	00000011	0000?000	10
8	00001111	00000???	????????	10
8	???00000	00000001	??000000	10
8	0000000?	00000110	0?000000	9
8	00000001	00000??0	0?0?0?0?	7
8	0000000?	00000???	????????	7
8	0000????	00000101	???00000	6
8	000?????	00000100	????0000	6
8	00111111	????????	????????	6
8	0000000?	00000101	00?00000	5
8	00000001	????????	????????	3
8	0000000?	00000100	000?0000	3
8	????000?	00000010	??000?00	3
8	????000?	00000011	?000?000	3
8	??????0?	00000001	?????0?0	3
8	??????0?	00000111	?0000000	3
8	00000001	000000?0	00000?0?	2
8	0000000?	00000??0	0?0?0?0?	2
8	00000???	00000001	0000???0	2
8	00000???	00000??0	????????	2
8	00001000	00000???	?????000	2
8	00100000	000000??	???00000	2
8	0??????0	00000001	??????00	2
8	??000000	00000001	?0000000	2
8	??100000	00000001	?1000000	2
