# ---
# domain: KnownBits
# op: mlir/Operations/ShlNsw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 8]
# - [16, 20]
# - [32, 362]
# - [33, 2]
# - [34, 2]
# - [35, 1]
# - [64, 375]
# - [128, 16]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	11111111	00000???	1???????	1608
8	????????	00000001	???????0	316
8	????????	00000010	??????00	256
8	????????	00000100	????0000	196
8	???????1	00000001	??????10	146
8	11111111	????????	1???????	86
8	????????	00000011	?????000	10
8	11111111	0000????	1???????	6
16	????????????????	0000000000000010	??????????????00	77127
16	????????????????	0000000000000001	???????????????0	32266
16	1111111111111111	000000000000????	1???????????????	3258
16	????????????????	0000000000000100	????????????0000	2886
16	1111111111111111	000000000???????	1???????????????	730
16	????????????????	0000000000000110	??????????000000	670
16	????????????????	0000000000000011	?????????????000	489
16	1111111111111111	????????????????	1???????????????	285
16	1111111111111111	000000000000001?	1111111111111?00	251
16	????????????????	0000000000000111	?????????0000000	106
16	1111111111111110	00000000000000??	111111111111???0	40
16	1111111111111???	0000000000001000	11111???00000000	30
16	1111111111111111	0000000000000???	111111111???????	28
16	????????????????	0000000000001000	????????00000000	13
16	??????????000000	0000000000000001	?????????0000000	6
16	??????????000000	0000000000000010	????????00000000	6
16	111111111111????	0000000000000100	11111111????0000	4
16	111111111111????	0000000000000111	11111????0000000	4
16	?????????????000	0000000000000001	????????????0000	4
16	?????????????000	0000000000000010	???????????00000	4
32	????????????????????????????????	00000000000000000000000000000001	???????????????????????????????0	1884529
32	????????????????????????????????	00000000000000000000000000000110	??????????????????????????000000	1000420
32	????????????????????????????????	00000000000000000000000000000010	??????????????????????????????00	886530
32	????????????????????????????????	00000000000000000000000000000011	?????????????????????????????000	357984
32	11111111111111111111111111111111	????????????????????????????????	1???????????????????????????????	339247
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????0000	210207
32	11111111111111111111111111111111	000000000000000000000000000?????	1???????????????????????????????	55242
32	????????????????????????????????	00000000000000000000000000000101	???????????????????????????00000	43283
32	????????????????????????????????	0000000000000000000000000000000?	????????????????????????????????	38003
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????00000000	29870
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	28735
32	0???????????????????????????????	00000000000000000000000000000010	0?????????????????????????????00	25506
32	????????????????????????????????	00000000000000000000000000001100	????????????????????000000000000	25124
32	????????????????????????????????	00000000000000000000000000001011	?????????????????????00000000000	23134
32	11111111111111111111111111111111	000000000000000000000000????????	1???????????????????????????????	20455
32	11111111111111111111111111111111	0000000000000000000000000???????	1???????????????????????????????	18169
32	????????????????????????????????	00000000000000000000000000010000	????????????????0000000000000000	17605
32	11111111111111111111111111111111	00000000000000000000000000000???	1111111111111111111111111???????	15976
32	11111111111111111111111111111111	0000000000000000000000000000????	11111111111111111???????????????	15967
32	????????????????????????????????	00000000000000000000000000001110	??????????????????00000000000000	12866
32	????????????????????????????????	00000000000000000000000000001111	?????????????????000000000000000	11683
32	????????????????????????????????	00000000000000000000000000010111	?????????00000000000000000000000	9838
32	??????????????????????????????00	00000000000000000000000000000010	????????????????????????????0000	9417
32	0???????????????????????????????	00000000000000000000000000000011	0????????????????????????????000	8707
32	????????????????????????????????	00000000000000000000000000001101	???????????????????0000000000000	8499
32	????????????????????????????????	00000000000000000000000000001010	??????????????????????0000000000	8345
32	????????????????????????????????	00000000000000000000000000001001	???????????????????????000000000	7525
32	????????????????????????????????	00000000000000000000000000000111	?????????????????????????0000000	7455
32	0???????????????????????????????	00000000000000000000000000000100	0???????????????????????????0000	6730
32	11111111111111111111111111111111	00000000000000000000000000??????	1???????????????????????????????	6622
32	???????????????????????????????0	00000000000000000000000000000001	??????????????????????????????00	5242
32	???????????????????????????????0	00000000000000000000000000000010	?????????????????????????????000	4170
32	??????????????????????????????00	00000000000000000000000000000001	?????????????????????????????000	4071
32	???????????????????????????????1	????????????????????????????????	????????????????????????????????	3704
32	????????????????????????????????	00000000000000000000000000010010	??????????????000000000000000000	3295
32	11111111111111111111111111111111	0???????????????????????????????	1???????????????????????????????	2942
32	11111111111111111111111111110000	000000000000000000000000????????	1???????????????????????????0000	2313
32	????????????????????????????????	000000000000000000000000000000??	????????????????????????????????	2272
32	11111111111111111111111111111111	00000000000000000000000?????????	1???????????????????????????????	2184
32	11111111111111111111111111100000	000000000000000000000000000?????	1??????????????????????????00000	2170
32	0???????????????????????????????	00000000000000000000000000000101	0??????????????????????????00000	1741
32	11111111111111111111111111100000	0000000000000000000000000000????	111111111111???????????????00000	1735
32	????????????????????????????????	0???????????????????????????????	????????????????????????????????	1610
32	11111111111111111111111111100000	????????????????????????????????	1??????????????????????????00000	1593
32	????????????????????????????????	00000000000000000000000000011000	????????000000000000000000000000	1516
32	????????????????????????????????	000000000000000000000000000?????	????????????????????????????????	1440
32	11111111111111111111111111111111	00000000000000000???????????????	1???????????????????????????????	1375
32	11111111111111111111111111111111	000000000000000000000000000000??	11111111111111111111111111111???	1356
32	0???????????????????????????????	00000000000000000000000000000111	0????????????????????????0000000	1307
32	11111111111111111111111111100000	00??????????????????????????????	1??????????????????????????00000	1294
32	11111111111111111111111111111111	0000000000000000????????????????	1???????????????????????????????	1265
32	11111111111111111111111111100000	0000000000000000000000000???????	1??????????????????????????00000	1186
32	????????????????????????????????	000000000000000000000000000000?0	????????????????????????????????	1146
32	???????????????????????????????1	00000000000000000000000000000001	??????????????????????????????10	1134
32	????????????????????????????????	0000000000000000000000000000001?	??????????????????????????????00	1110
32	11111111111111111111111111111111	00000000000000000000000000001???	11111111111111111???????00000000	1048
32	????????????????????????????????	00000000000000000000000000010100	????????????00000000000000000000	992
32	11111111111111111111111111111111	000000000000000000000000000001??	1111111111111111111111111???0000	946
