# ---
# domain: KnownBits
# op: mlir/Operations/ShlNswNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 62]
# - [16, 219]
# - [24, 51]
# - [32, 2087]
# - [34, 1]
# - [35, 1]
# - [40, 36]
# - [48, 50]
# - [56, 38]
# - [64, 2473]
# - [80, 18]
# - [120, 12]
# - [128, 168]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	0000000?	00000001	000000?0	44022
8	000000??	00000011	000??000	29573
8	000000??	00000010	0000??00	27133
8	000000??	00000001	00000??0	26022
8	????????	00000001	0??????0	25723
8	000000??	00000100	00??0000	24483
8	000000??	00000101	0??00000	20511
8	000000??	00000110	0?000000	15817
8	????????	00000011	0????000	10512
8	????????	00000010	0?????00	9462
8	0000000?	00000010	00000?00	4382
8	????????	00000100	0???0000	3329
8	0000000?	00000011	0000?000	3099
8	????????	00000101	0??00000	2824
8	00000001	00000??0	0?0?0?0?	2759
8	????????	00000110	0?000000	2616
8	0000????	00000001	000????0	2458
8	0000000?	00000100	000?0000	1934
8	00000???	00000011	00???000	1747
8	0000000?	00000101	00?00000	1511
8	0???????	00000010	0?????00	1488
8	0000000?	00000110	0?000000	1353
8	00000001	000000??	0000????	1266
8	00000???	00000001	0000???0	1003
8	00000001	????????	0???????	507
8	0000????	00000011	0????000	448
8	00??????	00000001	0??????0	375
8	0000????	00000010	00????00	254
8	0???????	00000001	0??????0	230
8	00??????	00000010	0?????00	208
8	00000001	00000???	0???????	184
8	0???????	00000011	0????000	157
8	000?????	00000010	0?????00	95
8	00000???	00000100	0???0000	91
8	00000???	00000010	000???00	71
8	00000?00	00000001	0000?000	61
8	000?????	00000001	00?????0	60
8	00001000	000000??	0????000	48
8	00000001	0000000?	000000??	47
8	000???00	00000010	0???0000	32
8	0000000?	00000??0	0?0?0?0?	25
8	00000001	00000?00	000?000?	22
8	000?????	00000011	0????000	19
8	00000001	000000?0	00000?0?	14
8	00000??0	00000100	0??00000	11
8	0000000?	0000000?	000000??	8
8	0000000?	000000??	0000????	8
8	000000?0	00000001	00000?00	8
8	00001000	????????	0????000	8
8	0000?000	00000001	000?0000	7
8	0000??00	00000001	000??000	7
8	0000????	0000001?	0?????00	7
8	000000?0	00000011	000?0000	6
8	000????0	00000001	00????00	6
8	000001??	00000100	01??0000	4
8	00000100	00000???	0?????00	3
8	00000?0?	00000011	00?0?000	2
8	0???????	00000101	0??00000	2
8	?????1??	00000011	0?1??000	2
8	00000000	00000001	00000000	1
8	00000001	00000001	00000010	1
8	0??????0	00000001	0?????00	1
16	00000000????????	0000000000000001	0000000????????0	54255
16	00000000????????	0000000000000010	000000????????00	14006
16	????????????????	0000000000000011	0????????????000	7730
16	000000000???????	0000000000000001	00000000???????0	6475
16	????????????????	0000000000000010	0?????????????00	5921
16	????????????????	0000000000000001	0??????????????0	4769
16	00000000????????	0000000000000111	0????????0000000	4505
16	00000000????????	0000000000000100	0000????????0000	3164
16	00000000????????	0000000000000110	00????????000000	3060
16	0000000000??????	0000000000000110	0000??????000000	2878
16	00000000????????	0000000000000011	00000????????000	2576
16	00000???????????	0000000000000001	0000???????????0	2244
16	????????????????	0000000000000111	0????????0000000	2137
16	000000000???????	0000000000000111	00???????0000000	1936
16	????????????????	0000000000000100	0???????????0000	1798
16	0000000?????????	0000000000000001	000000?????????0	1746
16	000000000000000?	0000000000001000	0000000?00000000	1501
16	000000??????????	0000000000000001	00000??????????0	1481
16	00000000????????	0000000000000101	000????????00000	1293
16	000000000???????	0000000000001000	0???????00000000	1258
16	00000000????????	0000000000000???	0???????????????	1126
16	00000000????????	0000000000000000	00000000????????	1041
16	00000000000?????	0000000000000001	0000000000?????0	883
16	0000000000000001	0000000000000???	00000000????????	845
16	0000000?????????	0000000000000010	00000?????????00	795
16	0000000?????????	0000000000000110	0?????????000000	770
16	????????????????	0000000000001000	0???????00000000	682
16	0000000000??????	0000000000000101	00000??????00000	660
16	000000000000????	0000000000001000	0000????00000000	651
16	00000000??000000	0000000000000010	000000??00000000	651
16	00000000000000??	0000000000001000	000000??00000000	612
16	0000000000000001	000000000000????	0???????????????	600
16	0000000000??????	0000000000000100	000000??????0000	527
16	????????????????	0000000000000110	0?????????000000	507
16	00000000000?????	0000000000001010	0?????0000000000	490
16	000000000???????	0000000000000100	00000???????0000	490
16	00000000000?????	0000000000000101	000000?????00000	473
16	????????????????	0000000000000101	0??????????00000	410
16	0???????????????	0000000000000001	0??????????????0	397
16	000000000000000?	0000000000001010	00000?0000000000	396
16	000000001???????	0000000000000111	01???????0000000	366
16	00000000000000??	0000000000000010	000000000000??00	304
16	000000000000000?	0000000000001100	000?000000000000	290
16	000000000000????	0000000000000110	000000????000000	288
16	00000000000000??	0000000000000001	0000000000000??0	286
16	000000000000000?	0000000000001001	000000?000000000	265
16	????????????????	0000000000000000	????????????????	258
16	00000000000?0000	0000000000000100	0000000?00000000	221
16	00000000000?????	0000000000000011	00000000?????000	218
16	0000000000001000	0000000000000???	00000????????000	216
16	00000000????????	000000000000010?	000?????????0000	216
16	0000000000??????	0000000000001000	00??????00000000	203
16	0000000000000001	????????????????	0???????????????	195
16	000000000000000?	0000000000001011	0000?00000000000	189
16	0000000010000000	0000000000000???	0????????0000000	189
16	00000000000?????	0000000000000110	00000?????000000	178
16	000000000000????	0000000000000010	0000000000????00	177
16	00000000?0000000	0000000000000011	00000?0000000000	176
16	000000000000001?	0000000000001000	0000001?00000000	172
16	0000000000?00000	0000000000000101	00000?0000000000	168
16	000000000000????	0000000000000001	00000000000????0	167
16	0000000?00000000	0000000000000001	000000?000000000	164
16	000000000000????	000000000000????	0???????????????	163
16	00000000?0000000	0000000000000100	0000?00000000000	159
16	00000000000000?0	0000000000000010	000000000000?000	158
16	0000000000000???	0000000000000011	0000000000???000	156
16	00000000?????000	0000000000000010	000000?????00000	156
16	0000000?????????	0000000000000100	000?????????0000	156
16	0000????0000????	0000000000000001	000????0000????0	152
16	000000??????????	0000000000000010	0000??????????00	151
16	????????????????	0000000000001010	0?????0000000000	151
16	0000????????????	0000000000001000	0???????00000000	146
16	0000000000000???	0000000000001000	00000???00000000	145
16	0000000011111111	000000000000????	0???????1???????	144
16	0000000000??????	0000000000000001	000000000??????0	142
16	000000000???????	????????????????	0???????????????	141
16	000000000000000?	0000000000001101	00?0000000000000	139
16	0000000?????????	0000000000000011	0000?????????000	133
16	0000000?????????	0000000000000101	00?????????00000	132
16	000000000000000?	0000000000000011	000000000000?000	129
16	000000000000000?	0000000000000001	00000000000000?0	128
16	????????????????	0000000000001011	0????00000000000	128
16	00000000000000??	0000000000001100	00??000000000000	127
16	000000000000????	0000000000001010	00????0000000000	127
16	0000000011111111	????????????????	0???????1???????	127
16	00000000000?????	0000000000001000	000?????00000000	126
16	00000000??????00	0000000000000011	00000??????00000	119
16	0000000000000???	0000000000000001	000000000000???0	118
16	00000000000000??	0000000000001010	0000??0000000000	116
16	0000000000000??0	0000000000000010	00000000000??000	116
16	00000000?????000	0000000000000111	0?????0000000000	115
16	000000000?000000	0000000000000110	000?000000000000	112
16	000000001??????0	0000000000000111	01??????00000000	112
16	000000?000000000	0000000000000001	00000?0000000000	112
16	0000000000000001	00000000000000??	000000000000????	111
16	000000000???????	0000000000001010	0?????0000000000	103
16	0000000011111111	000000000???????	0???????1???????	96
16	000000000000????	0000000000000100	00000000????0000	89
16	0000000000??????	0000000000000010	00000000??????00	89
16	00000000000?????	0000000000000100	0000000?????0000	87
16	000000000???????	0000000000000010	0000000???????00	82
16	0000????????????	0000000000000001	000????????????0	80
16	????????????????	000000000000000?	????????????????	75
16	0000????????????	0000000000000100	0???????????0000	70
16	000000000???????	0000000000000011	000000???????000	69
16	00000000????????	000000000000000?	0000000?????????	66
16	0000000?????????	0000000000000111	0????????0000000	65
16	000000000000000?	0000000000001110	0?00000000000000	62
16	0000000000000???	0000000000001010	000???0000000000	62
16	00000000????????	000000000000????	0???????????????	61
16	0000000000000001	000000000000??0?	00??00??00??00??	60
16	000000000???????	0000000000000110	000???????000000	58
16	0???????????????	0000000000000???	0???????????????	57
16	00000000000000?0	0000000000000110	00000000?0000000	56
16	000000000000????	0000000000000011	000000000????000	54
16	000000000???????	0000000000001100	0???000000000000	49
16	0000000011111111	0000000000??????	0???????1???????	48
16	000000000???????	0000000000000101	0000???????00000	47
16	0000000000000001	000000000000000?	00000000000000??	46
16	0000000000000001	000000000???????	0???????????????	46
16	????????????????	????????????????	????????????????	46
16	000000000000000?	????????????????	0???????????????	45
16	????????????????	0000000000001100	0???000000000000	45
16	00000000000000??	0000000000000100	0000000000??0000	43
16	????????????????	0000000000001001	0??????000000000	43
16	0000000000000001	0000000000000?00	00000000000?000?	36
16	000000000???????	0000000000001011	0????00000000000	34
16	00000000????0000	0000000000000100	0000????00000000	34
16	000000000000????	0000000000000101	0000000????00000	33
16	000000000000????	0000000000000111	00000????0000000	32
16	0000000010000000	000000000???????	0????????0000000	32
16	000000000000?000	0000000000001011	0?00000000000000	30
16	0000000000?00000	0000000000001001	0?00000000000000	30
16	0000000000000010	0000000000000000	0000000000000010	29
16	00000???????????	0000000000000010	000???????????00	28
16	00000000????????	0000000000001000	0???????00000000	27
16	0000000000010000	00000000000000??	00000000????0000	26
16	000000000000????	0000000000001001	000????000000000	25
16	????????????????	000000000000????	????????????????	25
16	000000000???????	0000000000001001	0??????000000000	24
16	0000000011111111	00000000000?????	0???????1???????	24
16	000000000000????	0000000000000?0?	0000000?????????	23
16	0000000000000???	0000000000000110	0000000???000000	20
16	0000000000000?00	0000000000001000	00000?0000000000	18
16	000000000000000?	0000000000000010	0000000000000?00	17
16	00000000000000??	0000000000000101	000000000??00000	16
16	0000?????????000	0000000000000010	00?????????00000	16
16	0???????????????	000000000000000?	0???????????????	16
16	0000000??????000	0000000000000010	00000??????00000	14
16	0000000??????000	0000000000000100	000??????0000000	14
16	000000000000000?	0000000000000111	00000000?0000000	13
16	0000000000000??0	0000000000001100	0??0000000000000	13
16	000000000000???1	00000000000000??	000000000???????	13
16	0000000011111111	00000000????????	0???????1???????	12
16	0000000000000??0	0000000000001000	00000??000000000	11
16	0000000000??0000	0000000000000100	000000??00000000	11
16	00000000000000??	0000000000000011	00000000000??000	10
16	0000000?????????	000000000000000?	000000??????????	10
