# ---
# domain: KnownBits
# op: mlir/Operations/ShlNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 50]
# - [16, 107]
# - [24, 12]
# - [32, 696]
# - [34, 1]
# - [35, 2]
# - [40, 7]
# - [48, 12]
# - [56, 4]
# - [64, 671]
# - [80, 5]
# - [120, 1]
# - [128, 63]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	00000001	00000???	????????	204864
8	00000011	00000??0	????????	11886
8	0000000?	00000???	????????	6591
8	000000??	00000111	?0000000	6083
8	????????	00000001	???????0	3298
8	0000000?	00000111	?0000000	3183
8	0???????	00000001	???????0	2850
8	????????	00000100	????0000	2628
8	00000010	00000??0	?0?0?0?0	1431
8	????????	00000111	?0000000	1317
8	000000??	00000110	??000000	1077
8	00??????	00000010	??????00	1025
8	000????0	00000011	????0000	1005
8	??????00	00000001	?????000	963
8	00000010	00000???	???????0	880
8	0000????	00000100	????0000	616
8	000?????	00000011	?????000	606
8	0000000?	0???????	????????	489
8	00000001	????????	????????	421
8	????????	00000010	??????00	252
8	000000??	00000???	????????	177
8	0000000?	????????	????????	169
8	????????	00000011	?????000	169
8	0???????	00000010	??????00	161
8	????????	00000110	??000000	145
8	00000???	00000101	???00000	128
8	????????	????????	????????	73
8	0000????	00000000	0000????	60
8	0??????0	00000001	??????00	56
8	00001111	00000?00	????????	55
8	00000001	0000????	????????	54
8	0000000?	0000????	????????	51
8	00000001	00000??0	0?0?0?0?	48
8	???????0	00000001	??????00	40
8	????????	00000101	???00000	32
8	00000001	00000??1	?0?0?0?0	30
8	01??????	00000001	1??????0	30
8	000????1	000000??	????????	26
8	00000001	000001??	????0000	19
8	00100000	000000??	???00000	14
8	0?????00	00000001	?????000	14
8	00000001	00000100	00010000	10
8	00000001	00000000	00000001	9
8	000000?1	00000110	?1000000	8
8	00000???	00000??0	????????	5
8	0000000?	00000001	000000?0	4
8	0000000?	00000010	00000?00	4
8	0000???1	00000100	???10000	4
8	0?000000	00000001	?0000000	3
8	0000??00	00000100	??000000	1
16	00000000????????	0000000000001000	????????00000000	82124
16	0000000000000001	000000000000????	????????????????	31301
16	????????????????	0000000000001000	????????00000000	11902
16	????????????????	0000000000000001	???????????????0	7909
16	0000000000000001	????????????????	????????????????	3484
16	00000000????????	000000000000?000	????????????????	2958
16	??????????????00	0000000000000001	?????????????000	1322
16	????????????????	0000000000000010	??????????????00	994
16	000000000???????	0000000000001110	??00000000000000	763
16	0000000000000001	000000000???????	????????????????	638
16	000000000000000?	0???????????????	????????????????	624
16	00000000000?????	0000000000001011	?????00000000000	529
16	0???????????????	0000000000000001	???????????????0	468
16	????????????????	0000000000000100	????????????0000	445
16	000000??????????	0000000000000110	??????????000000	401
16	????????????????	0000000000001100	????000000000000	353
16	0000000000000001	00000000000?????	????????????????	320
16	????????????????	0000000000000011	?????????????000	320
16	000000000000000?	000000000000????	????????????????	293
16	0000000?????????	0000000000001000	????????00000000	286
16	0???????????????	0000000000001000	????????00000000	271
16	000000000000000?	0000000000001111	?000000000000000	249
16	00000???????????	0000000000001000	????????00000000	236
16	000000??????????	0000000000001000	????????00000000	220
16	0000????????????	0000000000000100	????????????0000	163
16	?????????????000	0000000000000100	?????????0000000	154
16	000000000???????	000000000000????	????????????????	133
16	????????????????	????????????????	????????????????	119
16	000?????????????	0000000000000011	?????????????000	117
16	00000000?????000	0000000000001000	?????00000000000	116
16	00000000????????	0000000000001110	??00000000000000	114
16	000000000???????	0000000000001011	?????00000000000	108
16	0???????????????	0000000000000011	?????????????000	106
16	00000000????????	0000000000000011	00000????????000	84
16	0000000000000001	0???????????????	????????????????	76
16	00000000????????	000000000000????	????????????????	71
16	000000000000????	0000000000001100	????000000000000	62
16	0000000?????????	0000000000001011	?????00000000000	62
16	0000000000000001	000000000000??1?	??00??00??00??00	60
16	0??????????????0	0000000000000001	??????????????00	58
16	????????????????	0000000000000111	?????????0000000	57
