# ---
# domain: KnownBits
# op: mlir/Operations/Smax.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 5]
# - [16, 21]
# - [32, 499]
# - [64, 198]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	10000001	????????	10608
8	????????	00000001	0???????	1851
8	????????	????????	????????	1760
8	????????	00000000	0???????	1073
8	????????	01000001	01??????	13
16	????????????????	1111111110000001	????????????????	115784
16	????????????????	0000000000000000	0???????????????	24554
16	????????????????	????????????????	????????????????	10680
16	????????????????	1000011011100001	????????????????	7471
16	????????????????	1111111110000000	????????????????	3045
16	????????????????	0000000000000001	0???????????????	816
16	????????????????	0000000000000010	0???????????????	537
16	????????????0000	????????????????	????????????????	291
16	????????????????	0000000000000100	0???????????????	232
16	????????????????	1111111111100001	????????????????	128
16	????????????????	0000000001010010	0???????????????	113
16	????????????????	0000000110000000	0???????????????	103
16	????????????????	1111111111111111	????????????????	59
16	????????????????	0000000000001010	0???????????????	35
16	????????????????	1111111111000001	????????????????	28
16	????????????????	0000000001100100	0???????????????	21
16	????????????????	0000000000001111	0???????????????	16
16	????????????????	0000110011001101	0???????????????	12
16	0000000000000???	0000000000000010	0000000000000???	7
16	????????????????	1111111100000001	????????????????	7
16	????????????????	00000000????????	0???????????????	3
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	734275
32	????????????????????????????????	00000000000000000000000000000000	0???????????????????????????????	699933
32	????????????????????????????????	00000000000000000000000000000001	0???????????????????????????????	261241
32	????????????????????????????????	00000000000000000000000001000000	0???????????????????????????????	85975
32	????????????????????????????????	11111111111111111000000000000000	????????????????????????????????	44050
32	????????????????????????????????	11111111111111111111111111111110	????????????????????????????????	41375
32	????????????????????????????????	11111111111111111111111111101000	????????????????????????????????	36390
32	????????????????????????????????	00000000000000000000000000000010	0???????????????????????????????	27134
32	????????????????????????????????	11111111111111111111111111111111	????????????????????????????????	26010
32	????????????????????????????????	11111111111111111111111110000001	????????????????????????????????	21762
32	???????????????????????????????0	00000000000000000000000000000000	0??????????????????????????????0	20190
32	????????????????????????????????	00000000000000000000000000001000	0???????????????????????????????	18360
32	???????????????????????????????0	00000000000000000000000000000001	0???????????????????????????????	16678
32	????????????????????????????????	11111111111111111111111110000000	????????????????????????????????	15984
32	???????????????????????????????0	????????????????????????????????	????????????????????????????????	13375
32	????????????????????????????????	11111111100000000000000000000000	????????????????????????????????	8955
32	????????????????????????????????	00000000000000000000000000000100	0???????????????????????????????	8776
32	????????????????????????????????	11111111111111111111111101101011	????????????????????????????????	7371
32	????????????????????????????????	00000000000000000000000000010000	0???????????????????????????????	6786
32	????????????????????????????????	???????????????????????????????0	????????????????????????????????	6413
32	???????????????????????????????0	???????????????????????????????0	???????????????????????????????0	6265
32	00000000000000000000000000??????	????????????????????????????????	0???????????????????????????????	6077
32	????????????????????????????????	00000000000000000000000000000011	0???????????????????????????????	6010
32	????????????????????????????????	000000000000000000000000????????	0???????????????????????????????	4598
32	??????????????????????????????00	00000000000000000000000000000100	0?????????????????????????????00	4468
32	????????????????????????????????	11111111111111111111111000000000	????????????????????????????????	4324
32	?????????????????????????????000	00000000000000000000000000001000	0????????????????????????????000	3918
32	????????????????????????????????	11111111111111111110000000000000	????????????????????????????????	3306
32	????????????????????????????????	00000000000000000000000000000110	0???????????????????????????????	3169
32	????????????????????????????????	0000000000000000????????????????	0???????????????????????????????	2994
32	????????????????????????????????	11111111111111111111110000000000	????????????????????????????????	2977
32	0???????????????????????????????	00000000000000000000000000000001	0???????????????????????????????	2921
32	0???????????????????????????????	????????????????????????????????	0???????????????????????????????	2832
32	000000000???????????????????????	00000000010000000000000000000000	0000000001??????????????????????	2811
32	????????????????????????????????	01000011101111111000000000000000	01??????????????????????????????	2324
32	????????????????????????????????	11111111111111111111100000000000	????????????????????????????????	2248
32	????????????????????????????????	00000000000000000000000000000101	0???????????????????????????????	2246
32	????????????????????????????????	00000000000000000000000000001010	0???????????????????????????????	2154
32	????????????????????????????????	00000000000000000000000000000??0	0???????????????????????????????	2094
32	????????????????????????????0000	00000000000000000000000000010000	0???????????????????????????0000	1991
32	???????????????????????????????0	00000000000000000000000000000010	0??????????????????????????????0	1915
32	????????????????????????????????	11111111111111111100000000000000	????????????????????????????????	1889
32	????????????????????????????????	0???????????????????????????????	0???????????????????????????????	1874
32	????????????????????????????????	11000000100000000000000000000000	????????????????????????????????	1846
32	???????????????????????????????0	0???????????????????????????????	0???????????????????????????????	1745
32	????????????????????????????????	00000000000000000000000000010010	0???????????????????????????????	1710
32	????????????????????????????????	00000000000000000000000010000000	0???????????????????????????????	1648
32	????????????????????????????????	00000000000000000000000000000111	0???????????????????????????????	1567
32	????????????????????????????????	11111111111111111100000000000001	????????????????????????????????	1492
32	????????????????????????????????	11111111111111111111110000000010	????????????????????????????????	1396
32	????????????????????????????????	00000000000000001111111111111111	0???????????????????????????????	1349
32	????????????????????????????????	11111111111111111101100011110000	????????????????????????????????	1284
32	????????????????????????????????	11111111111111111111111110000010	????????????????????????????????	1262
32	????????????????????????????????	00000000000000001000000000000000	0???????????????????????????????	1211
32	????????????????????????????????	???????????????????????????????1	????????????????????????????????	1153
32	????????????????????????????????	11111111111111111111111111100001	????????????????????????????????	1147
32	????????????????????????????????	11111000000000000000000000000000	????????????????????????????????	1121
