# ---
# domain: KnownBits
# op: mlir/Operations/Smin.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 10]
# - [16, 22]
# - [32, 721]
# - [64, 350]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	????????	????????	3272
8	????????	00011111	????????	1132
8	????????	00001111	????????	718
8	????????	00000000	????????	571
8	???111??	????????	????????	336
8	00000???	????????	????????	299
8	????????	00000100	????????	190
8	0???????	????????	????????	150
8	0???????	00011111	000?????	122
8	0???????	01011000	0???????	2
16	????????????????	????????????????	????????????????	21650
16	????????????????	0111100100011111	????????????????	9883
16	????????????????	0000000000011111	????????????????	4227
16	????????????????	0000000001111111	????????????????	2369
16	????????????????	0000011111111111	????????????????	2304
16	????????????????	0000000000010100	????????????????	778
16	????????????????	0000000000111111	????????????????	533
16	????????????????	0011111111111111	????????????????	531
16	????????????????	0000010000000000	????????????????	350
16	?????????????000	0000000010010011	?????????????0??	208
16	0???????????????	0000000001111111	000000000???????	192
16	????????????????	0111111000000000	????????????????	82
16	????????????????	1111111111111111	1???????????????	65
16	0???????????????	0000000011111111	00000000????????	64
16	????????????????	0000011111111000	????????????????	63
16	0???????????????	0111100100011111	0???????????????	32
16	????????????1111	????????????????	????????????????	32
16	????????????????	0000000000000000	????????????????	32
16	????????????????	0000000010010011	????????????????	10
16	0???????????????	0011111111111111	00??????????????	5
16	????????????????	0000000000000111	????????????????	4
16	????????????????	0000000000001010	????????????????	2
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	1646508
32	????????????????????????????????	00000000000000000000000000011000	????????????????????????????????	396373
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	94015
32	0???????????????????????????????	????????????????????????????????	????????????????????????????????	67115
32	????????????????????????????????	0???????????????????????????????	????????????????????????????????	56078
32	????????????????????????????????	00000000000000000000000000000000	????????????????????????????????	54226
32	????????????????????????????????	00000000000000000111111111111111	????????????????????????????????	40991
32	????????????????????????????????	00000000000000000000000001111111	????????????????????????????????	29213
32	????????????????????????????????	00000000000000000000000010000000	????????????????????????????????	21429
32	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	21082
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	18786
32	???????????????????????????????0	00100000000000000000000000000000	???????????????????????????????0	14817
32	????????????????????????????????	00000000000000000000000000100000	????????????????????????????????	13960
32	????????????????????????????????	00000000000000000000000011111111	????????????????????????????????	13365
32	????????????????????????????????	00111111111111111111111111111111	????????????????????????????????	13194
32	????????????????????????????????	0000000000000000????????????????	????????????????????????????????	12502
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	11908
32	000000000000000000000000000?????	????????????????????????????????	????????????????????????????????	10869
32	????????????????????????????????	???????????????????????????????0	????????????????????????????????	10318
32	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	9460
32	?????????????????????????????000	????????????????????????????????	????????????????????????????????	9437
32	????????????????????????????????	00000000011111111111111111111111	????????????????????????????????	9364
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	7544
32	????????????????????????????????	00000000000000000000000001000000	????????????????????????????????	7312
32	????????????????????????????????	00000000000000000000000000001111	????????????????????????????????	6953
32	????????????????????????????????	00000000000000000000000000011111	????????????????????????????????	6680
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	6152
32	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	6101
32	????????????????????????????????	00000000000000000000010000000000	????????????????????????????????	6019
32	0000000000000000????????????????	????????????????????????????????	????????????????????????????????	6012
32	0???????????????????????????????	00000000000000000000000011111111	000000000000000000000000????????	5413
32	????????????????????????????????	00000000000000000000000001111011	????????????????????????????????	4597
32	????????????????????????????????	00000000000000000000000000??????	????????????????????????????????	4514
32	0???????????????????????????????	00000000000000000000001111111111	0000000000000000000000??????????	4491
32	????????????????????????????????	00000000000000000011111111111111	????????????????????????????????	4460
32	0???????????????????????????????	00000000000000000000111111111111	00000000000000000000????????????	4316
32	????????????????????????????????	????????????????????????????0000	????????????????????????????????	4257
32	????????????????????????????????	00000000000000000000000100000000	????????????????????????????????	3747
32	????????????????????????????????	00000000000000000000000011110000	????????????????????????????????	3714
32	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	3709
32	????????????????????????????????	00000000000000000000000111111101	????????????????????????????????	3688
32	????????????????????????????????	00000000000000000001000000000000	????????????????????????????????	3587
32	????????????????????????????????	00000000000000000001111111111111	????????????????????????????????	3432
32	????????????????????????????????	00000000000000000000000000110001	????????????????????????????????	3300
32	??????????????????????????011000	????????????????????????????????	????????????????????????????????	3240
32	????????????????????????????????	00000000000000000000000001111000	????????????????????????????????	3090
32	????????????????????????????????	00000000000000000???????????????	????????????????????????????????	3022
32	????????????????????????????????	00000000000000000000000001010100	????????????????????????????????	3002
32	????????????????????????????0000	????????????????????????????????	????????????????????????????????	2939
32	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	2654
32	????????????????????????????????	00000000000000001111111111111111	????????????????????????????????	2648
32	????????????????????????????????	00000000000000000000000111111011	????????????????????????????????	2585
32	????????????????????????????????	00000000000000000000011111111011	????????????????????????????????	2585
32	????????????????????????????????	00000000000000000000000000001010	????????????????????????????????	2533
32	????????????????????????????????	00000000000000000000000001111100	????????????????????????????????	2412
32	0???????????????????????????????	00000000000000000000000111111111	00000000000000000000000?????????	2364
32	????????????????????????????????	00000000000000000000000000010001	????????????????????????????????	2361
32	0???????????????????????????????	00000000000000000011111111111111	000000000000000000??????????????	2265
32	????????????????????????????????	00000000000000000000000001110000	????????????????????????????????	2254
32	????????????????????????????????	00000000000000000000000000111111	????????????????????????????????	2221
32	????????????????????????????????	???????????????????????????????1	????????????????????????????????	2153
32	????????????????????????????????	??????????????????????????110000	????????????????????????????????	1940
32	000000000000000000000???????????	????????????????????????????????	????????????????????????????????	1863
32	000000000000000000000000000000??	????????????????????????????????	????????????????????????????????	1827
32	????????????????????????????????	00000000000000000000001111111111	????????????????????????????????	1821
32	????????????????????????????????	??????????????????????????????00	????????????????????????????????	1779
32	????????????????????????????????	00000000000000000000000000000??0	????????????????????????????????	1727
32	????????????????????????????????	11111111111111111111111111111111	1???????????????????????????????	1684
32	????????????????????????????????	0000000000000000000000000???????	????????????????????????????????	1586
32	????????????????????????????????	00000000000000000000000111111111	????????????????????????????????	1586
32	????????????????????????????????	???????????????????????????11000	????????????????????????????????	1552
32	????????????????????????????????	00000000000000010000000000000000	????????????????????????????????	1533
32	????????????????????????????????	00000000000000000000000111111100	????????????????????????????????	1480
32	????????????????????????????????	00000000000000000000011111111100	????????????????????????????????	1480
32	????????????????????????????????	00000000000000000000000001100100	????????????????????????????????	1444
