# ---
# domain: KnownBits
# op: mlir/Operations/SsubSat.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 1]
# - [16, 1]
# - [32, 4]
# - [64, 6]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	????????	????????	65325
16	????????????????	????????????????	????????????????	196
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	1679
32	00000000000000000000000000000000	????????????????????????????????	????????????????????????????????	894
32	????????????????????????????????	0000000000000000000000000???????	????????????????????????????????	186
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	1
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	976
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000????	????????????????????????????????????????????????????????????????	70
64	????????????????????????????????????????????????????????????????	???????????????????????????????????????????????????????????????0	????????????????????????????????????????????????????????????????	55
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000001	????????????????????????????????????????????????????????????????	26
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000010	????????????????????????????????????????????????????????????????	4
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000???????????????????????????????	????????????????????????????????????????????????????????????????	3
