# ---
# domain: KnownBits
# op: mlir/Operations/Sub.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [2, 3]
# - [3, 2]
# - [4, 1]
# - [5, 2]
# - [6, 1]
# - [7, 2]
# - [8, 252]
# - [16, 194]
# - [31, 1]
# - [32, 1891]
# - [33, 3]
# - [35, 1]
# - [64, 2228]
# - [128, 104]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
2	00	??	??	1259
2	??	??	??	158
2	10	??	??	46
3	000	???	???	33
3	110	???	???	2
4	0000	????	????	13
5	00000	?????	?????	123
5	11111	?????	?????	105
6	000000	??????	??????	6
7	0100111	???????	???????	20
7	0000000	???????	???????	4
8	????????	????????	????????	76996
8	????????	0000000?	????????	39297
8	00000000	????????	????????	21207
8	????????	0?0?0?0?	????????	3520
8	00000???	00000010	????????	3258
8	00000010	????????	????????	1955
8	0000????	00000110	????????	1924
8	01000000	????????	????????	1774
8	????????	0???????	????????	1730
8	00011110	????????	????????	1571
8	00001000	????????	????????	1228
8	????????	00101110	????????	1138
8	000?????	00011100	????????	1103
8	00010111	????????	????????	1066
8	????????	00000010	????????	968
8	00000001	????????	????????	830
8	00000???	00000101	????????	791
8	00000???	00000011	????????	712
8	????????	00011100	????????	700
8	000000??	00000010	????????	670
8	????????	00000110	????????	646
8	00100000	????????	????????	606
8	01000011	????????	????????	595
8	00000???	00000100	????????	561
8	????????	00000011	????????	524
8	????????	00000100	????????	512
8	0000000?	????????	????????	475
8	????????	???????0	????????	466
8	000?????	00011000	????????	422
8	00001111	????????	????????	384
8	0000????	00000010	????????	380
8	????????	01100001	????????	380
8	000?????	00011011	????????	373
8	000?????	00000100	????????	368
8	01000100	????????	????????	364
8	00000101	????????	????????	360
8	????????	00000001	????????	333
8	00000???	00000110	????????	325
8	????????	11011010	????????	323
8	0000????	00000100	????????	320
8	01000001	????????	????????	307
8	01000111	????????	????????	279
8	000000??	??????00	????????	278
8	0000000?	0000000?	????????	265
8	0000????	00000011	????????	265
8	????????	000?????	????????	265
8	0000????	00001101	????????	258
8	?????000	????????	????????	255
8	????????	00000101	????????	246
8	0000????	00001000	????????	212
8	11010011	????????	????????	212
8	00001011	????????	????????	210
8	????????	10000010	????????	210
8	00??????	00011110	????????	204
8	????????	00011000	????????	204
8	????????	00010110	????????	189
8	000?????	00001011	????????	187
8	????????	10000000	????????	185
8	01001110	????????	????????	182
8	000?????	00010000	????????	176
8	01001000	????????	????????	171
8	00000000	00000000	00000000	160
8	00100001	????????	????????	157
8	????????	00001011	????????	157
8	01001010	????????	????????	155
8	000?????	00010110	????????	154
8	00000???	????????	????????	150
8	0?????00	????????	????????	150
8	00000011	????????	????????	149
8	????????	0000????	????????	149
8	00111101	????????	????????	148
8	01000010	????????	????????	146
8	????????	00011011	????????	145
8	????????	00011110	????????	144
8	000?????	00011001	????????	140
8	00000001	1???????	????????	139
8	00??????	00010101	????????	133
8	????????	00001000	????????	125
8	0???????	00101010	????????	117
8	????????	00110000	????????	116
8	000000??	00000001	????????	114
8	????????	00001101	????????	111
8	01001100	????????	????????	109
8	00000111	????????	????????	106
8	??000000	10000000	??000000	104
8	0000????	00000101	????????	97
8	0000????	????????	????????	93
8	01000101	????????	????????	93
8	01010000	????????	????????	93
8	000?????	00001100	????????	92
8	????????	01100110	????????	92
8	01000110	????????	????????	88
8	????????	00010000	????????	87
8	00000110	????????	????????	86
8	00??????	00010000	????????	86
8	11000000	????????	????????	84
8	000?????	00010010	????????	83
8	000?????	00000110	????????	78
8	0000????	00001011	????????	77
8	00??????	00100000	????????	77
8	????????	00??0000	????????	77
8	????????	01100010	????????	76
8	000?????	00000001	????????	75
8	????????	00000000	????????	72
8	????????	01100011	????????	69
8	0???0000	00000000	0???0000	68
8	00000011	1???????	????????	67
8	????????	00000???	????????	67
8	0000????	00000111	????????	65
8	????????	00010101	????????	65
8	00??????	00101000	????????	62
8	????????	000000??	????????	62
8	????????	01100101	????????	57
8	00??0000	00000000	00??0000	56
8	????????	00100000	????????	53
8	00111000	????????	????????	52
8	????????	01100111	????????	52
8	0000????	00001100	????????	51
8	000?????	00011101	????????	50
8	00011111	????????	????????	49
8	????????	00111001	????????	49
8	00000000	0???????	????????	48
8	00??????	00010110	????????	48
8	????????	00001100	????????	48
8	00??????	00001010	????????	46
8	00??????	00100111	????????	46
8	00001101	????????	????????	45
8	00010000	????????	????????	44
8	01101010	????????	????????	43
8	0???????	01100111	????????	43
8	00??????	00011111	????????	42
8	??????00	00000???	????????	42
8	????????	00011001	????????	40
8	????????	????0000	????????	39
8	????????	00010010	????????	38
8	00001001	????????	????????	35
8	????????	00011101	????????	35
8	00??????	00111001	????????	33
8	0???????	01101000	????????	33
8	????????	00101010	????????	33
8	????????	00000111	????????	32
8	????????	00001010	????????	31
8	01000000	?????000	?????000	29
8	????????	01100100	????????	29
8	????????	11110001	????????	28
8	00??????	00010010	????????	27
8	000?????	00000010	????????	26
8	000?????	????????	????????	26
8	00????00	????????	????????	26
8	0000????	00000001	????????	25
8	000?????	00000011	????????	25
8	????????	00??????	????????	25
8	000?????	00010101	????????	24
8	????????	00001001	????????	24
8	????????	00011111	????????	24
8	????????	01011100	????????	24
8	????????	10100100	????????	24
8	????????	????0001	????????	24
8	00000100	????????	????????	23
8	0000????	00001001	????????	22
8	????????	00001111	????????	22
8	????????	00100101	????????	22
8	000?????	00001000	????????	20
8	????????	01101001	????????	20
8	????????	01101010	????????	20
8	0???????	0???????	????????	18
8	00001000	00000???	0000????	17
8	000?????	00001111	????????	17
8	0100?00?	????????	????????	17
8	00000100	??????00	??????00	16
8	0000??00	00000000	0000??00	16
8	000??000	00000000	000??000	16
8	????0000	00000000	????0000	16
8	????????	10010000	????????	16
8	00??????	00100101	????????	15
8	??????00	000000??	????????	15
8	000?????	00001101	????????	14
8	????????	01000010	????????	13
8	????0000	10010000	????0000	12
8	????????	01000110	????????	12
8	????????	01101110	????????	12
8	????????	10100000	????????	12
8	????????	11101000	????????	12
8	????????	00100111	????????	11
8	????????	01101000	????????	11
8	00010010	????????	????????	10
8	??????00	????????	????????	10
8	????????	00000?00	????????	10
8	00??????	????????	????????	9
8	01011000	????????	????????	9
8	????????	01101011	????????	9
8	00?00?00	00000000	00?00?00	8
8	00??????	00000010	????????	8
8	0??00000	00000000	0??00000	8
8	????0000	10000000	????0000	8
8	????????	00000??0	????????	8
8	????????	00010001	????????	8
8	????????	00101000	????????	8
8	????????	01010010	????????	8
8	00001100	0000000?	00001???	7
8	00??????	00011101	????????	7
8	0???????	00011010	????????	7
8	00000???	00000001	????????	6
8	00000???	??????00	????????	6
8	00001010	????????	????????	6
8	00001100	????????	????????	6
8	000?????	????0000	????????	6
8	000?????	00010001	????????	5
8	00110101	????????	????????	5
8	11111110	????????	????????	5
8	????????	01000000	????????	5
8	00000000	00000???	????????	4
8	00000011	000000??	000000??	4
8	00000100	000000??	00000???	4
8	00001110	????????	????????	4
8	0000????	00001010	????????	4
8	????????	00110100	????????	4
8	0???????	00000001	????????	3
8	????????	00011010	????????	3
8	????????	00101011	????????	3
8	????????	01111011	????????	3
8	00000000	0000000?	????????	2
8	0000?011	????????	????????	2
8	00010100	????????	????????	2
8	00??????	00001101	????????	2
8	00??????	00100100	????????	2
8	01001011	????????	????????	2
8	0???????	000000??	????????	2
8	0???????	00001001	????????	2
8	11101110	????????	????????	2
8	????????	00100100	????????	2
8	????????	00110001	????????	2
8	????????	01011000	????????	2
8	00000000	0000?00?	????????	1
8	000000??	000000??	????????	1
8	00011011	????????	????????	1
8	00100000	00010000	00010000	1
8	00??????	00000???	????????	1
8	01111111	????????	????????	1
8	0???????	0000000?	????????	1
8	10000000	????0000	????0000	1
8	???????0	000000??	????????	1
8	????????	00010100	????????	1
8	????????	00100010	????????	1
8	????????	00100011	????????	1
8	????????	01000011	????????	1
8	????????	01000100	????????	1
8	????????	01000101	????????	1
8	????????	01010001	????????	1
8	????????	01011011	????????	1
8	????????	01101100	????????	1
8	????????	01110100	????????	1
16	????????????????	????????????????	????????????????	353660
16	????????????????	????????00000000	????????????????	156060
16	????????????????	??????????????00	????????????????	123274
16	????????????????	???????????????0	????????????????	31168
16	0000000000000000	????????????????	????????????????	28705
16	????????????????	0???????????????	????????????????	12011
16	????????????????	0000000000000001	????????????????	3131
16	00000000????????	????????????????	????????????????	1863
16	????????????????	????????????0000	????????????????	1271
16	0100000000000000	????????????????	????????????????	1038
16	000?????????????	????????????????	????????????????	943
16	????????????????	00000000????????	????????????????	802
16	????????????????	0000000000??????	????????????????	698
16	0000000000001000	????????????????	????????????????	689
16	????????????????	0000????????????	????????????????	630
16	0000000001010000	????????????????	????????????????	620
16	????????????0000	????????????0000	????????????0000	575
16	0000000000011111	????????????????	????????????????	522
16	?????????????000	????????????????	????????????????	512
16	000????????00000	????????????????	????????????????	451
16	????????????????	?????????0000000	????????????????	407
16	0???????????????	?000000000000000	????????????????	371
16	000000000000????	????????????????	????????????????	345
16	1111111100000000	????????????????	????????????????	326
16	0000001000000000	????????????????	????????????????	302
16	??????????????00	0000001?00000000	??????????????00	300
16	???????????????0	????????????????	????????????????	247
16	????????????????	00000000000??100	????????????????	245
