# ---
# domain: KnownBits
# op: mlir/Operations/SubNsw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 80]
# - [16, 226]
# - [32, 2745]
# - [33, 1]
# - [64, 2309]
# - [65, 1]
# - [128, 107]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	00000000	????????	????????	70098
8	00111111	0???????	????????	46947
8	00111111	????????	????????	21476
8	00000000	0000000?	????????	11676
8	0000000?	0000000?	????????	11537
8	????????	????????	????????	6010
8	00001000	????????	????????	1316
8	00001000	??1?????	????????	936
8	000000??	000000??	????????	850
8	00011011	????????	????????	598
8	00011111	00??????	????????	524
8	00011111	????????	????????	512
8	0000000?	????????	????????	459
8	00000000	??1?????	????????	396
8	00001101	????????	????????	293
8	00001110	????????	????????	292
8	????????	000?????	????????	284
8	????????	0000000?	????????	261
8	00100010	????????	????????	252
8	00100001	????????	????????	237
8	00001110	0000????	????????	224
8	????????	11111111	????????	224
8	00100010	00??????	????????	216
8	0000????	0000????	????????	181
8	01000010	????????	????????	154
8	00??????	00??????	????????	152
8	00??????	000?????	????????	140
8	01000010	0???????	????????	134
8	0000000?	000000??	????????	131
8	00000110	????????	????????	130
8	????????	01011110	????????	119
8	00000101	????????	????????	106
8	00000000	00??????	????????	102
8	00000000	0???????	????????	96
8	????????	000000??	????????	90
8	00000???	????????	????????	65
8	00000000	000000??	????????	59
8	00000000	0000????	????????	57
8	00??????	00000???	????????	55
8	????????	00000???	????????	49
8	00000111	0000????	????????	32
8	00010000	000?????	????????	29
8	000?????	000?????	????????	29
8	00000000	000?????	????????	28
8	0000000?	0000???0	????????	27
8	00111110	00??????	????????	26
8	????????	00000001	????????	25
8	000000??	????????	????????	24
8	00011110	????????	????????	23
8	0000????	????????	????????	22
8	00001111	000?????	????????	20
8	00000000	00000???	????????	19
8	00010000	????????	????????	18
8	0000????	000???00	????????	14
8	00000110	00000???	????????	13
8	00001111	????????	????????	13
8	000?????	00000001	????????	12
8	00000000	???111??	???00???	11
8	01001101	????????	????????	11
8	00001001	????????	????????	9
8	00001000	0000???0	???????0	8
8	00??????	00000010	????????	8
8	01011000	????????	????????	8
8	11111001	????????	????????	8
8	00001000	00000???	0000????	6
8	???????0	000000??	????????	6
8	????????	00000010	????????	6
8	000000??	0000000?	????????	5
8	00101111	????????	????????	5
8	0000000?	0??????0	????????	4
8	00000100	????????	????????	4
8	00000???	0000????	????????	3
8	00001000	0000????	????????	3
8	00000000	00??0000	????0000	2
8	00111110	????????	????????	2
8	01000011	0???????	????????	2
8	???????0	????????	????????	2
8	000000??	??????00	????????	1
8	01000000	????????	????????	1
8	0???????	0???0000	????????	1
16	0000000100100110	????????????????	????????????????	98763
16	????????????????	????????????????	????????????????	85074
16	0000000100100100	????????????????	????????????????	66406
16	????????????????	??????????????00	????????????????	33152
16	00000000????????	00000000????????	????????????????	25585
16	0000000000000000	????????????????	????????????????	13197
16	????????????????	???????????????0	????????????????	8900
16	0000000000111111	000000000???????	????????????????	5919
16	0000000000000000	000000000000000?	????????????????	4647
16	???????????????0	00000000????????	????????????????	1856
16	0000000000001110	00000000000?????	????????????????	1766
16	0000000001000000	00000000????????	????????????????	1567
16	0000000000000000	11111???????????	0000????????????	1549
16	0000000001000000	0???????????????	????????????????	974
16	0000000000000101	????????????????	????????????????	954
