# ---
# domain: KnownBits
# op: mlir/Operations/SubNswNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 101]
# - [16, 88]
# - [32, 1264]
# - [64, 1304]
# - [128, 55]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	00011110	????????	000?????	4982
8	01000000	????????	0???????	4494
8	01000000	0000????	0???????	2367
8	00110000	0????000	00???000	1950
8	00000110	????????	00000???	1443
8	00001000	00000???	0000????	1396
8	00001111	????????	0000????	1311
8	00100010	????????	00??????	1229
8	00000100	????????	00000???	1225
8	00000111	????????	00000???	1204
8	00001001	????????	0000????	1176
8	00000101	????????	00000???	1097
8	00111101	????????	00??????	1079
8	00100000	????????	00??????	1063
8	00111000	????????	00??????	1007
8	00010000	????????	000?????	977
8	00011000	????????	000?????	945
8	00001000	????????	0000????	766
8	00110000	????????	00??????	740
8	11111110	0000000?	111111??	697
8	01000010	????????	0???????	659
8	00100010	00??????	00??????	656
8	????????	????????	????????	569
8	01000000	00??????	0???????	526
8	00010000	000?????	000?????	505
8	00010000	0000????	000?????	474
8	00001010	????????	0000????	450
8	00000010	0000000?	000000??	400
8	01000010	00??????	0???????	341
8	00100010	000?????	00??????	337
8	00000010	????????	000000??	308
8	01000010	0???????	0???????	304
8	00011100	????????	000?????	302
8	00100000	000?????	00??????	284
8	00011010	????????	000?????	278
8	????????	0000????	????????	260
8	00001000	0000????	0000????	231
8	00010111	????????	000?????	198
8	00000011	????????	000000??	164
8	0???????	0???????	0???????	151
8	00110101	????????	00??????	121
8	00001110	????????	0000????	118
8	00000100	000000??	00000???	90
8	00111111	0???????	00??????	88
8	00011111	????????	000?????	83
8	00001010	00000???	0000????	78
8	00011011	????????	000?????	62
8	00000100	00000???	00000???	61
8	00000010	000000??	000000??	60
8	00000101	00000???	00000???	56
8	01000000	000?????	0???????	50
8	01000000	0???????	0???????	48
8	01000110	0011????	000?????	45
8	00000110	00000???	00000???	42
8	00001111	0???????	0000????	39
8	00001100	0000000?	00001???	31
8	00100000	0001????	000?????	31
8	00100110	0001????	000?????	27
8	00000011	000000??	000000??	24
8	00001011	????????	0000????	24
8	???????0	000000??	????????	19
8	00001110	0000000?	000011??	18
8	00001110	0000????	0000????	18
8	00100010	00011???	0000????	18
8	????????	00000???	????????	14
8	???????0	0000000?	????????	12
8	00000001	????????	0000000?	11
8	01000011	00??????	0???????	10
8	01000110	00111???	0000????	10
8	00000111	0000????	00000???	9
8	11000100	0000000?	11000???	9
8	00011110	000?????	000?????	8
8	000?????	????????	000?????	8
8	00??????	00000???	00??????	8
8	00001110	00000???	0000????	7
8	???????0	????????	????????	7
8	00001111	000?????	0000????	6
8	00100010	???11???	0000????	6
8	00100110	00011???	0000????	6
8	00001000	0000???0	0000???0	5
8	00000101	000000??	00000???	4
8	01000110	????????	0???????	4
8	01100110	????????	0???????	4
8	00001000	00000?1?	00000???	3
8	00001001	00000?1?	00000?1?	3
8	00001100	0000????	0000????	3
8	01111111	????????	0???????	3
8	11111100	??????00	??????00	3
8	????????	00000001	????????	3
8	00001011	0000000?	0000101?	2
8	00010100	????????	000?????	2
8	00100011	000?????	00??????	2
8	00111111	????????	00??????	2
8	11111011	????????	????????	2
8	????????	00110000	????????	2
8	00000001	0000????	0000000?	1
8	00000110	000000??	00000???	1
8	00001000	00000?00	0000??00	1
8	00001100	0000??00	0000??00	1
8	00001100	????????	0000????	1
8	0000????	0000????	0000????	1
16	0100000000000000	0???????????????	0???????????????	13098
16	0000000000000101	????????????????	0000000000000???	6571
16	0000000000100000	????????????????	0000000000??????	5154
16	0000000000001000	0000000000000???	000000000000????	3775
16	0100000000000000	000?????????????	0???????????????	2361
16	0100000000000000	00??????????????	0???????????????	2294
16	0000000000000100	????????????????	0000000000000???	1152
16	0000000000100001	0000000000??????	0000000000??????	985
16	0000000100000000	????????????????	0000000?????????	728
16	000000??????????	0000000000000???	000000??????????	691
16	0000000000100001	????????????????	0000000000??????	638
16	0000010000110011	00000???????????	00000???????????	537
16	0000000010010110	00000000????????	00000000????????	453
16	0000000000001000	????????????????	000000000000????	443
16	0000000000010100	000000000000????	00000000000?????	433
16	????????????????	0000000000000???	????????????????	385
16	0100000000111110	????????????????	0???????????????	290
16	0000000000010000	000000000000????	00000000000?????	266
16	00??????????????	????????????????	00??????????????	233
16	0000000000001110	000000000000????	000000000000????	224
16	0000000001000000	0????????????000	000000000????000	216
16	0000000000000100	0??????????????0	0000000000000??0	208
16	0000000000010100	????????????????	00000000000?????	180
16	0000000000010000	????????????????	00000000000?????	174
16	0000000100000000	00000000????????	0000000?????????	162
16	0000000000100000	00000000000?????	0000000000??????	150
16	0000000001000000	????????????????	000000000???????	137
16	????????????????	????????????????	????????????????	133
16	0000000000000100	00000000000000??	0000000000000???	131
16	0001000000000000	000?????????????	000?????????????	129
16	0000001111101000	00000000????????	0000001?????????	111
16	0000000000001000	0???????????????	000000000000????	101
16	1111111111000000	????????????????	????????????????	84
16	0000000110010011	000000000???????	00000001????????	78
16	0000000001000000	0000000000??????	000000000???????	77
16	0000000011110011	00000000????????	00000000????????	64
16	0000010000000000	00000???????????	00000???????????	62
16	0000111111111111	????????????????	0000????????????	56
16	0000000000001000	0000000000000??0	000000000000???0	55
16	0000000111111110	00000000????????	0000000?????????	53
