# ---
# domain: KnownBits
# op: mlir/Operations/SubNuw.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 16]
# - [16, 14]
# - [32, 141]
# - [64, 331]
# - [128, 25]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	????????	????????	10731
8	10000000	?????000	?????000	54
8	10000000	????????	????????	54
8	10000010	0???????	????????	41
8	???111??	????????	????????	31
8	10000110	????????	????????	14
8	10001110	????????	????????	14
8	10000010	????????	????????	10
8	????????	00000???	????????	10
8	10000000	0???????	????????	8
8	000?????	????????	000?????	6
8	00000010	000000??	000000??	4
8	11111110	????????	????????	4
8	10000000	00??????	????????	2
8	10000011	0???????	????????	2
8	????????	00??????	????????	1
16	????????????????	0000000000000001	????????????????	8554
16	????????????????	????????????????	????????????????	6051
16	00??????????????	????????????????	00??????????????	983
16	????????????????	0000000000000???	????????????????	222
16	?????????????000	0000000000???000	?????????????000	139
16	????????????????	00000000000001?0	????????????????	61
16	????????????????	0000000000??????	????????????????	40
16	????????????????	00000000????????	????????????????	30
16	0000000000000???	0000000000000101	00000000000000??	24
16	0???????????????	????????????????	0???????????????	20
16	0000000000000010	????????????????	00000000000000??	12
16	????????????????	00000000000000??	????????????????	12
16	1000000000000000	000000000000000?	????????????????	7
16	??????????????00	????????????????	????????????????	7
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	120755
32	????????????????????????????????	????????????????0000000000000000	????????????????????????????????	7187
32	????????????????????????????????	0000000000000000000000000000????	????????????????????????????????	2926
32	????????????????????????????????	0???????????????????????????????	????????????????????????????????	2853
32	10000000000000000000000000000000	0???????????????????????????????	????????????????????????????????	2494
32	????????????????????????????????	00000000000000000000000???000000	????????????????????????????????	2293
32	????????????????????????????????	00000???????????????????????????	????????????????????????????????	1607
32	????????????????????????????????	000000000000000000000000000?????	????????????????????????????????	1358
32	11111111111111111111111111001011	????????????????????????????????	????????????????????????????????	1170
32	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	1060
32	????????????????????????????????	??????????????????????????000000	????????????????????????????????	953
32	10000000000000000000000000000000	????????????????????????????????	????????????????????????????????	918
32	????????????????????????????????	????????????????????????00000000	????????????????????????????????	915
32	????????????????????????????????	0000000000000000000000??????????	????????????????????????????????	847
32	00000000000000??????????????????	????????????????????????????????	00000000000000??????????????????	831
32	????????????????????????????????	??????????????????????????????00	????????????????????????????????	751
32	???????????????????????????????0	????????????????????????????????	????????????????????????????????	547
32	????????????????????????????????	00000000000000000000000?????????	????????????????????????????????	468
32	????????????????????????????????	0000000000000000????????????????	????????????????????????????????	454
32	?00?????????????????????????????	????????????????????????????????	????????????????????????????????	432
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	425
32	????????????????????????????????	000000000000000000000000000000??	????????????????????????????????	420
32	11111111111111111111111111111110	????????????????????????????????	????????????????????????????????	400
32	????????????????????????????????	00??????????????????????????????	????????????????????????????????	333
32	????????????????????????????????	00000000000000000000000?0000?000	????????????????????????????????	305
32	11111111111111111111111111111101	????????????????????????????????	????????????????????????????????	262
32	????????????????????????????????	0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?	????????????????????????????????	251
32	10000000000000000000000000101111	????????????????????????????????	????????????????????????????????	250
32	000000000000000?????????????????	????????????????????????????????	000000000000000?????????????????	247
32	1001111000110111011110011011111?	????????????????????????????????	????????????????????????????????	210
32	000?????????????????????????????	????????????????????????????????	000?????????????????????????????	209
32	00000000000000000000000000000???	00000000000000000000000000000011	00000000000000000000000000000???	200
32	????????????????????????????????	0000000000000000000000000000000?	????????????????????????????????	192
32	??????????????????????????????00	????????????????????????????????	????????????????????????????????	189
32	????????????????????????????????	00000000000000000000????????????	????????????????????????????????	188
32	????????????????????????????????	000000000000????????????????????	????????????????????????????????	176
32	????????????????????????????????	???????????????????????????00000	????????????????????????????????	167
32	????????????????????????????????	0?????????????????????????????00	????????????????????????????????	164
32	10000000000000000000000000000000	0???????????????0000000000000000	????????????????0000000000000000	163
32	??????????????????????????????00	00??????????????????????????????	????????????????????????????????	163
32	????????????????????????????????	000000????????????????????????00	????????????????????????????????	158
32	100111100011011101111001????????	????????????????????????????????	????????????????????????????????	154
32	0000000000000000????????????????	??????????????????????????000000	0000000000000000????????????????	149
32	????????????????????????????????	000?????????????????????????????	????????????????????????????????	142
32	??111???1???????????????????????	0????????00000000000000000000000	????????????????????????????????	136
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	121
32	00000000000000000000000000100100	????????????????????????????????	00000000000000000000000000??????	117
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	115
32	10111111100000000000000000000000	????????????????????????????????	????????????????????????????????	99
32	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	92
32	????????????????????????????????	00000000000000000000000????????0	????????????????????????????????	90
32	????????????????????????????????	0??????????????????????????????0	????????????????????????????????	88
32	0???????????????????????????????	????????????????????????????????	0???????????????????????????????	87
32	????????????????????????????????	00000000000000000000000000001011	????????????????????????????????	81
32	1???????????????????????????????	????????????????????????????????	????????????????????????????????	76
32	????????????????????????????????	0000000000000000000000000???????	????????????????????????????????	74
32	????????????????????????????????	?????????????????????????????000	????????????????????????????????	69
32	????????????????????????????????	???????????????????????????????0	????????????????????????????????	65
32	000000000000000000000000????????	????????????????????????????????	000000000000000000000000????????	62
32	11111111111111111111111111111110	0???????????????????????????????	????????????????????????????????	61
32	????????????????????????????????	000000000000000000000000000??000	????????????????????????????????	57
32	????????????????????????????????	00000000000000000000000000000?00	????????????????????????????????	56
32	000000000000????????????????????	????????????????????????????????	000000000000????????????????????	52
32	11111111111111111111111011010100	????????????????????????????????	????????????????????????????????	50
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	48
32	????????????????????????????????	00000000000000000000000000110010	????????????????????????????????	48
32	10000000000000000000000000101111	000000000000000000000000????????	????????????????????????????????	45
32	????????????????????????????????	00000000000000000000000000000???	????????????????????????????????	44
32	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	41
32	000000000000000000000000000?????	????????????????????????????????	000000000000000000000000000?????	40
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	40
