# ---
# domain: KnownBits
# op: mlir/Operations/UaddSat.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 5]
# - [16, 9]
# - [32, 15]
# - [64, 100]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	????????	????????	3088
8	????????	0???????	????????	1272
8	????????	00000010	????????	118
8	????????	00000001	????????	103
8	????????	00000011	????????	52
16	????????????????	0???????????????	????????????????	5384
16	????????????????	????????????????	????????????????	2299
16	????????????????	0000000000000001	????????????????	347
16	????????????????	0000000000000100	????????????????	85
16	????????????????	0000????????0000	????????????????	31
16	????????????????	00????????000000	????????????????	31
16	????????????????	0000000000000010	????????????????	20
16	????????????????	0000000000000???	????????????????	5
16	????????????????	0000000000000?00	????????????????	4
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	7499
32	????????????????????????????????	00000000000000000000000000001010	????????????????????????????????	2629
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	1219
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	1024
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	676
32	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	527
32	????????????????????????????????	01111111111111111111111111111111	????????????????????????????????	292
32	????????????????????????????????	00000000000000000001100000111001	????????????????????????????????	204
32	????????????????????????????????	0000000000000000000000000000000?	????????????????????????????????	121
32	????????????????????????????????	000000000???????????????????????	????????????????????????????????	28
32	????????????????????????????????	0000????????????????000000000000	????????????????????????????????	19
32	????????????????????????????????	00????????????????00000000000000	????????????????????????????????	19
32	????????????????????????????????	0000000000000000000000000000001?	????????????????????????????????	15
32	???????????????????????????????0	????????????????????????????????	????????????????????????????????	12
32	????????????????????????????????	00000000000000000000000000000???	????????????????????????????????	6
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000001	????????????????????????????????????????????????????????????????	59783
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000111	????????????????????????????????????????????????????????????????	51982
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	26376
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000100	????????????????????????????????????????????????????????????????	1674
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000010	????????????????????????????????????????????????????????????????	673
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001111	????????????????????????????????????????????????????????????????	597
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000001111100111	????????????????????????????????????????????????????????????????	594
64	???????????????????????????????????????????????????????????????0	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	509
64	0???????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	446
64	????????????????????????????????????????????????????????????????	0???????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	355
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000000?	????????????????????????????????????????????????????????????????	323
64	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	243
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001000	????????????????????????????????????????????????????????????????	192
64	000000000000000000000000000000000000000000000000????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	189
64	????????????????????????????????????????????????????????????????	0000????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	183
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000001000000	????????????????????????????????????????????????????????????????	181
64	????????????????????????????????????????????????????????????????	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	178
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000????????????????	????????????????????????????????????????????????????????????????	174
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000010000000	????????????????????????????????????????????????????????????????	163
64	000000??????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	159
64	????????????????????????????????????????????????0000000000000000	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	153
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000????????????????????????????????00	????????????????????????????????????????????????????????????????	146
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000111111111111	????????????????????????????????????????????????????????????????	138
64	0???????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000111	????????????????????????????????????????????????????????????????	136
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000011	????????????????????????????????????????????????????????????????	128
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000011111111	????????????????????????????????????????????????????????????????	119
64	????????????????????????????????????????????????????????????????	0?????????????????????????????????????????????????????????????00	????????????????????????????????????????????????????????????????	100
64	????????????????????????????????????????????????????????????????	00000000000000000000000000000000000000000000000000000000????????	????????????????????????????????????????????????????????????????	95
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001010	????????????????????????????????????????????????????????????????	93
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001100	????????????????????????????????????????????????????????????????	90
64	????????????????????????????????????????????????????????????????	?????????????????????????????????????????????????????????????000	????????????????????????????????????????????????????????????????	80
64	????????????????????????????????????????????????????????????????	??????????????????????????????????????????????????????????????00	????????????????????????????????????????????????????????????????	70
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001101	????????????????????????????????????????????????????????????????	67
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000000010000	????????????????????????????????????????????????????????????????	64
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000101	????????????????????????????????????????????????????????????????	63
64	0??????????????????????????????????????????????????????????????0	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	61
64	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000????????????????????????????	????????????????????????????????????????????????????????????????	59
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000010111000	????????????????????????????????????????????????????????????????	58
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000???	????????????????????????????????????????????????????????????????	57
64	????????????????????????????????????????????????????000000000000	????????????????????????????????????????????????????000000000000	????????????????????????????????????????????????????????????????	48
64	00000000000000000000000000000000000000000000000000000000????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	40
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????????????????????????????????????	39
64	000?????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	38
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000110	????????????????????????????????????????????????????????????????	36
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010001	????????????????????????????????????????????????????????????????	36
64	????????????????????????????????????????????????????????????0000	0000000000000000000000000000000000000000000000000000000000011000	????????????????????????????????????????????????????????????1???	32
64	??????????????????????????????????????????????????????????????00	0000000000000000000000000000000000000000000000000000000000011000	????????????????????????????????????????????????????????????????	32
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010000	????????????????????????????????????????????????????????????????	32
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011000	????????????????????????????????????????????????????????????????	32
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000010011000	????????????????????????????????????????????????????????????????	31
64	????????????????????????????????????????????????????????????????	??????????????????????????????????????????????????????????000000	????????????????????????????????????????????????????????????????	31
64	00??????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	30
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000001000000	????????????????????????????????????????????????????????????????	26
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000101000	????????????????????????????????????????????????????????????????	20
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000111011100110101100101000000000	????????????????????????????????????????????????????????????????	20
64	???????????????????????????????????????????????????????000000000	?????????????????????????????????????????????????????????????000	????????????????????????????????????????????????????????????????	19
64	???????????????????????????????????????????????????????????00000	0000000000000000000000000000000000000000000000000000000001010000	???????????????????????????????????????????????????????????1????	16
64	???????????????????????????????????????????????????????000000000	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	15
64	????????????????????????????????????????????????????????????????	0000000?????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	14
64	????????????????????????????????????????????????????????????????	00000000000000000000000000000000000000000000000????????????????0	????????????????????????????????????????????????????????????????	10
