# ---
# domain: KnownBits
# op: mlir/Operations/Udiv.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 121]
# - [16, 267]
# - [24, 5]
# - [32, 1238]
# - [64, 1456]
# - [128, 88]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	000?????	00000011	0000????	35521
8	????????	00000011	0???????	27197
8	????????	01100100	000000??	6521
8	????????	00001010	000?????	5247
8	????????	????????	????????	3072
8	00??????	00000011	000?????	1558
8	????????	00000110	00??????	1376
8	0???????	00001010	0000????	1223
8	????????	00001001	000?????	1051
8	00001000	????????	0000????	986
8	0???????	00000011	00??????	906
8	????????	00001111	000?????	602
8	????????	00000101	00??????	554
8	10100000	????????	????????	460
8	000?????	00001001	000000??	374
8	????????	00000111	00??????	369
8	????????	000??0?0	0???????	315
8	????????	00000???	????????	303
8	????????	00001100	000?????	295
8	01000000	????????	0???????	258
8	0000????	00000011	00000???	251
8	00??????	00001010	00000???	247
8	0000??00	000?????	0000????	240
8	????????	00100100	00000???	237
8	0???????	00001011	0000????	236
8	????????	00110100	00000???	218
8	01000000	0000????	0???????	207
8	10000000	????????	????????	207
8	????????	00010010	0000????	207
8	????????	00001011	000?????	187
8	01010011	????????	0???????	182
8	00??????	00000110	0000????	169
8	000?????	00001010	000000??	165
8	????????	00101101	00000???	154
8	????????	00010100	0000????	139
8	00001000	000?????	0000????	137
8	000?????	0000????	000?????	127
8	????????	00101000	00000???	121
8	00000??0	000?????	00000???	118
8	11111111	????????	????????	114
8	00000111	????????	00000???	111
8	0000????	000?????	0000????	90
8	????????	000?????	????????	84
8	????????	00011110	0000????	71
8	??000000	????????	????????	68
8	00010000	????????	000?????	60
8	11000110	????????	????????	58
8	????????	00011000	0000????	50
8	00001100	????????	0000????	48
8	000?????	????????	000?????	47
8	????????	00001101	000?????	46
8	01010000	0???????	0???????	39
8	000?????	00000111	00000???	36
8	00101101	00000???	00??????	35
8	01000000	0???????	0???????	34
8	0??00000	????????	0???????	34
8	10000000	0???????	????????	32
8	????????	00110011	00000???	31
8	0000????	????????	0000????	29
8	00000110	00000???	00000???	27
8	00000010	????????	000000??	26
8	00???000	00000101	0000????	25
8	????????	0???????	????????	25
8	11111111	0??????1	????????	24
8	????????	00011111	0000????	24
8	000?????	00000???	000?????	23
8	00111100	????????	00??????	23
8	????????	000011?0	000?????	23
8	000?????	0000??00	00000???	22
8	11000110	0000001?	01?0001?	20
8	0?????00	00000011	00??????	19
8	00000111	00000?0?	00000??1	17
8	????????	00011101	0000????	16
8	00010000	000?????	000?????	15
8	000?????	00001000	000000??	14
8	01100100	????????	0???????	14
8	000?????	00000101	00000???	13
8	00??????	00000111	0000????	13
8	????????	00100001	00000???	13
8	0000??00	00000011	00000???	12
8	000?????	00000??0	0000????	11
8	11110000	000?????	????????	11
8	00000???	00000011	000000??	10
