# ---
# domain: KnownBits
# op: mlir/Operations/UdivExact.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 2]
# - [64, 173]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	00011000	0000????	75
8	?????000	00011000	0000????	1
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011000	0000????????????????????????????????????????????????????????????	282863
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000101000	00000???????????????????????????????????????????????????????????	114009
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110000	00000???????????????????????????????????????????????????????????	90215
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	00000???????????????????????????????????????????????????????????	48481
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001100	000?????????????????????????????????????????????????????????????	32393
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000001001000	000000??????????????????????????????????????????????????????????	30744
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000001010000	000000??????????????????????????????????????????????????????????	28107
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000001100000	000000??????????????????????????????????????????????????????????	15014
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000001011000	000000??????????????????????????????????????????????????????????	14200
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000010001000	0000000?????????????????????????????????????????????????????????	13954
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010100	0000????????????????????????????????????????????????????????????	11636
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000001101000	000000??????????????????????????????????????????????????????????	11500
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000010110000	0000000?????????????????????????????????????????????????????????	11266
64	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000011011000	0000000?????????????????????????????????????????????????????????	9997
