# ---
# domain: KnownBits
# op: mlir/Operations/Umax.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 53]
# - [16, 54]
# - [32, 589]
# - [64, 710]
# - [128, 11]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	????????	????????	143478
8	????????	00010000	????????	30534
8	????????	00000001	????????	26459
8	????????	00000010	????????	4527
8	00000???	00000001	00000???	2843
8	000?????	00000001	000?????	2827
8	0000????	0000????	0000????	2255
8	????????	00000011	????????	1432
8	????????	00011111	????????	1280
8	????????	00000101	????????	1050
8	0000????	00000001	0000????	973
8	00011111	????????	????????	640
8	00??????	00000001	00??????	612
8	????????	0000????	????????	596
8	????????	00000111	????????	405
8	????????	00010110	????????	259
8	????????	00000100	????????	239
8	????????	00??????	????????	236
8	????????	00001000	????????	208
8	0000????	????????	????????	144
8	000000??	000000??	000000??	124
8	00??????	00000101	00??????	110
8	000000??	????????	????????	108
8	????????	01100001	????????	90
8	0000????	00000110	0000????	85
8	000?????	00000101	000?????	82
8	000000??	00000001	000000??	52
8	00000110	0000????	0000????	44
8	????????	00001001	????????	40
8	????????	00100000	????????	35
8	????????	00000110	????????	32
8	00??????	00??????	00??????	29
8	0???????	0???????	0???????	29
8	????0000	????0000	????0000	26
8	00??????	????????	????????	23
8	0000000?	0000000?	0000000?	22
8	????????	01000001	????????	18
8	0????000	00000001	0????00?	12
8	????????	00100100	????????	12
8	00000???	00000???	00000???	8
8	????????	000000??	????????	8
8	000000??	00000010	0000001?	7
8	00????00	00010100	00????00	6
8	????????	???????0	????????	6
8	?????000	00000001	?????00?	4
8	????????	01010000	????????	4
8	00000011	????????	????????	2
8	00000110	????????	????????	2
8	0000????	00000011	0000????	2
8	000??0?0	00000111	000?????	2
8	????????	00000000	????????	2
8	00000000	????????	????????	1
8	????????	00010001	????????	1
16	????????????????	????????????????	????????????????	36462
16	????????????????	0000000000000001	????????????????	5734
16	????????????????	0000000000000100	????????????????	3785
16	????????????????	0000000000000010	????????????????	1854
16	00000000000?????	????????????????	????????????????	779
16	0???????????????	0???????????????	0???????????????	310
16	0000000000000???	0000000000000001	0000000000000???	298
16	????????????????	0000000000001000	????????????????	296
16	00000000000?????	00000000????????	00000000????????	243
16	????????????????	0000000000100100	????????????????	209
16	????????????????	0000000000010000	????????????????	192
16	00000000000?????	000000000???????	000000000???????	191
16	????????????????	0000000100000000	????????????????	176
16	????????????????	00000000000000??	????????????????	175
16	????????????????	0000000000000101	????????????????	173
16	????????????????	0000000000000011	????????????????	167
16	00000000000?????	0000000000000001	00000000000?????	140
16	????????????????	0000000011111111	????????????????	122
16	????????????????	0000000101100111	????????????????	122
16	0000000?????????	0000000100000000	00000001????????	102
16	????????????????	0000000001100100	????????????????	90
16	00??????????????	0000000000000001	00??????????????	84
16	????????????????	0000000001000000	????????????????	80
16	0000000?????????	0000000000000001	0000000?????????	42
16	???????????????1	0000000000000010	????????????????	31
16	000?????????????	0000000000000001	000?????????????	30
16	????????????????	???????????????0	????????????????	29
16	????????????????	0000000000001001	????????????????	28
16	???????????????0	????????????????	????????????????	27
16	????????????????	0000000000111100	????????????????	26
16	????????????????	0011001011001000	????????????????	26
16	????????????????	0000001101101010	????????????????	25
16	????????????????	0???????????????	????????????????	20
16	????????????????	???????????????1	????????????????	17
16	????????????????	0000000000001010	????????????????	14
16	000000000??00000	0000000000100000	000000000??00000	12
16	????????????????	0000000000100010	????????????????	12
16	????????????????	0000000001001010	????????????????	12
16	????????????????	0000000010100100	????????????????	12
16	????????????????	0000000000100101	????????????????	11
16	00??????????????	0000000000000011	00??????????????	10
16	0???????????????	0000000000000001	0???????????????	8
16	????????????????	0000010010110000	????????????????	8
16	000000??????????	0000000000000001	000000??????????	6
16	0000000000000???	0000000000000010	0000000000000???	4
16	0000000000??????	0000000000000001	0000000000??????	4
16	00000???????????	0000000000000001	00000???????????	4
16	000?????????????	0000000000000100	000?????????????	4
16	????????????????	0000000000000111	????????????????	4
16	????????????????	0000000000001110	????????????????	4
16	????????????????	00000000????????	????????????????	4
16	????????????????	0000001000000000	????????????????	4
16	00000000000000??	0000000000000001	00000000000000??	3
16	0???????????????	0000000000000010	0???????????????	1
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	364883
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	194999
32	????????????????????????????????	00000000000000000000000001000000	????????????????????????????????	146820
32	????????????????????????????????	00000000000000000000000000000100	????????????????????????????????	40765
32	00000000000000000???????????????	00000000000000000000000000000001	00000000000000000???????????????	30977
32	????????????????????????????????	00000000000000000000000000001000	????????????????????????????????	10280
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	10123
32	000000000000000000000000????????	000000000000000000000000????????	000000000000000000000000????????	7743
32	0???????????????????????????????	????????????????????????????????	????????????????????????????????	7218
32	0???????????????????????????????	0???????????????????????????????	0???????????????????????????????	6979
32	????????????????????????????????	000000000000000000000000????????	????????????????????????????????	5727
32	????????????????????????????????	00000000000000000000000000010000	????????????????????????????????	4760
32	0???????????????????????????????	00000000000000000000000000000010	0???????????????????????????????	3648
32	???????????????????????????????0	01110001000000000000000000000000	???????????????????????????????0	3631
32	000000000000000000000000????????	00000000000000000000000000000001	000000000000000000000000????????	3114
32	????????????????????????????????	00000000000000000000000000000111	????????????????????????????????	2967
32	000000000???????????????????????	00000000001111111111111111100000	000000000???????????????????????	2955
32	????????????????????????????????	0000000000000000????????????????	????????????????????????????????	2627
32	000000??????????????????????????	00000000000000000000000000000001	000000??????????????????????????	2414
32	000000000???????????????????????	00000000001111111111111111111100	000000000???????????????????????	2405
32	0000000000000000????????????????	0000000000000000????????????????	0000000000000000????????????????	2358
32	0???????????????????????????????	00000000000000000000000000000001	0???????????????????????????????	2327
32	????????????????????????????????	0???????????????????????????????	????????????????????????????????	1874
32	????????????????????????????????	00000000000000000000000000001111	????????????????????????????????	1864
32	????????????????????????????????	00000000000000000000000000000011	????????????????????????????????	1829
32	????????????????????????????????	00000000000000000000000010000000	????????????????????????????????	1640
32	0000000000000000000000000???????	00000000000000000000000000101000	0000000000000000000000000???????	1571
32	000000000000000000000000000?????	00000000000000000000000000000001	000000000000000000000000000?????	1564
32	????????????????????????????????	00000000000000000001000000000000	????????????????????????????????	1522
32	00000000????????????????????????	00000000000000000000000000000001	00000000????????????????????????	1516
32	000000000000????????????????????	000000000000????????????????????	000000000000????????????????????	1449
32	0000000?????????????????????????	00000000000000000000000000000001	0000000?????????????????????????	1396
32	0000000000000000????????????????	00000000000000000000000000000001	0000000000000000????????????????	1299
32	??????????????????????????000000	00000000000000000100000000000000	??????????????????????????000000	1223
32	00000000000000000000000000??????	00000000000000000000000000000010	00000000000000000000000000??????	1054
32	????????????????????????????????	00000000000000000000000000000101	????????????????????????????????	924
32	????????????????????????????????	00000000000000000000000000100000	????????????????????????????????	895
32	000?????????????????????????????	00000000000000000000000000000001	000?????????????????????????????	888
32	000000000000000000000???????????	00000000000000000000000000000001	000000000000000000000???????????	861
32	00000000000000000000000000??????	00000000000000000000000000000111	00000000000000000000000000??????	842
32	??????????????????????????????00	00000000000000000000000000000100	??????????????????????????????00	820
32	0000000000000000????????????????	????????????????????????????????	????????????????????????????????	808
32	00000000000000000000000000??????	00000000000000000000000000001001	00000000000000000000000000??????	780
32	00000000000000000000000000000???	00000000000000000000000000000001	00000000000000000000000000000???	764
32	????????????????????????????????	00000000000000000000000000000???	????????????????????????????????	748
32	000000000000000000000000000000??	00000000000000000000000000000001	000000000000000000000000000000??	739
32	????????????????????????????????	00000000000000010000000000000000	????????????????????????????????	694
32	00000000000000000000000000??????	00000000000000000000000000??????	00000000000000000000000000??????	692
32	????????????????????????????????	00000000000000000000000000000110	????????????????????????????????	671
32	0000000000000000000000000000????	0000000000000000000000000000????	0000000000000000000000000000????	656
32	????????????????????????????????	00000000000000001000000000000000	????????????????????????????????	572
32	00000000000000000000000000?????0	00000000000000000000000000000001	00000000000000000000000000??????	535
32	???????????????????????????????0	00000000000000000000000000000100	???????????????????????????????0	534
32	????????????????????????????????	11111111111111100000000000000000	111111111111111?????????????????	528
32	???????????????????????????????0	00000000000000000000000000000001	????????????????????????????????	519
32	0000000000000000000000000000????	00000000000000000000000000000001	0000000000000000000000000000????	513
32	0000000000000000000000000???????	00000000000000000000000000??????	0000000000000000000000000???????	496
32	????????????????????????????????	000000000000????????????????????	????????????????????????????????	479
32	????????????????????????????????	00000000000000000000100000000000	????????????????????????????????	458
32	0000??????????????????????000000	00000000000000000000000000000001	0000??????????????????????00000?	449
32	????????????????????????????????	00000000000000000010011100010000	????????????????????????????????	448
32	000000000000000000000000????????	????????????????????????????????	????????????????????????????????	438
32	00000000000000000000000000??????	00000000000000000000000000000001	00000000000000000000000000??????	431
