# ---
# domain: KnownBits
# op: mlir/Operations/Umin.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 1]
# - [8, 100]
# - [16, 98]
# - [32, 1079]
# - [64, 1198]
# - [128, 32]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	?	?	?	7
8	????????	00011000	000?????	56029
8	????????	00000010	000000??	46795
8	????????	????????	????????	35986
8	????????	00001000	0000????	10625
8	????????	00000011	000000??	9163
8	????????	11111110	????????	5423
8	????????	00000100	00000???	5403
8	????????	00010010	000?????	2419
8	????????	00010011	000?????	2251
8	0??????0	00011110	000????0	2130
8	????????	00010000	000?????	1982
8	????????	00000110	00000???	1725
8	????????	00111111	00??????	1645
8	????????	00000101	00000???	1494
8	????????	00001010	0000????	1075
8	0??????0	00111101	00??????	693
8	????????	00001011	0000????	669
8	0??????0	00000110	00000??0	566
8	?????000	????????	????????	528
8	????????	01100100	0???????	518
8	????????	01111100	0???????	447
8	????????	00001111	0000????	445
8	????????	00010111	000?????	388
8	????????	01000000	0???????	382
8	0??????0	00000111	00000???	373
8	0???????	00011111	000?????	365
8	0000????	00001011	0000????	359
8	????????	0??00000	0???????	355
8	0??????0	00001111	0000????	343
8	????????	00000111	00000???	336
8	????????	00001001	0000????	326
8	????????	00011111	000?????	297
8	????????	10001000	????????	284
8	00000???	????????	00000???	271
8	????????	11100000	????????	258
8	0??????0	00000100	00000??0	220
8	00??????	00111110	00??????	185
8	0??????0	00000101	00000???	180
8	????????	00100110	00??????	178
8	00??????	00??????	00??????	162
8	????????	10000000	????????	157
8	????????	00100000	00??????	138
8	????????	00111110	00??????	132
8	????????	00010001	000?????	106
8	????????	00101000	00??????	103
8	????????	00001101	0000????	98
8	0??????0	00001010	0000???0	92
8	????????	00100001	00??????	89
8	????????	0???????	0???????	76
8	????????	00011001	000?????	68
8	????????	00??????	00??????	68
8	0000????	00001000	0000????	65
8	????????	?????000	????????	55
8	????????	01100011	0???????	53
8	00??????	????????	00??????	52
8	00??????	00000011	000000??	50
8	???????0	01011111	0???????	47
8	0000000?	????????	0000000?	44
8	000?????	00001000	0000????	38
8	????????	01111010	0???????	36
8	0000????	00000100	00000???	33
8	????????	10000100	????????	32
8	????????	00110000	00??????	30
8	????????	01111111	0???????	29
8	000?????	00001111	0000????	28
8	????????	00001100	0000????	27
8	0???????	01011000	0???????	26
8	0000???0	????????	0000????	22
8	????????	10100000	????????	22
8	00000???	00000101	00000???	20
8	????????	11111100	????????	20
8	????????	11111101	????????	20
8	????????	000000??	000000??	19
8	????????	00111001	00??????	18
8	????????	01010011	0???????	18
8	????????	00100101	00??????	15
8	0???????	00000100	00000???	13
8	????????	00111011	00??????	12
8	????????	01011000	0???????	12
8	00000???	00000011	000000??	11
8	0???????	00000110	00000???	11
8	????????	00111000	00??????	11
8	????????	0000????	0000????	10
8	00000???	00000110	00000???	8
8	000?????	????????	000?????	8
8	????????	01110000	0???????	8
8	0000????	00000010	000000??	7
8	0000????	00000011	000000??	7
8	0??????0	01011111	0???????	7
8	????????	01011010	0???????	7
8	0000000?	0000000?	0000000?	6
8	????????	00010100	000?????	5
8	00000???	00000???	00000???	4
8	0???????	01011111	0???????	4
8	00000???	00000010	000000??	3
8	????????	00001110	0000????	3
8	????????	01100000	0???????	3
8	00??????	00000110	00000???	2
8	????????	00000001	0000000?	2
8	????????	000?????	000?????	2
16	????????????????	????????????????	????????????????	25910
16	0???????????????	0000000001111111	000000000???????	4288
16	000000??????????	0000000011111111	00000000????????	3192
16	????????????????	0000000001000000	000000000???????	2945
16	????????????????	0000000011111111	00000000????????	2832
16	????????????????	0000001111111011	000000??????????	2210
16	????????????????	0000000000010000	00000000000?????	1787
16	00000000000?????	????????????????	00000000000?????	1147
16	????????????????	0000000000001000	000000000000????	963
16	????????????????	0000000?????????	0000000?????????	908
16	????????????????	0000111001100110	0000????????????	818
16	0???????????????	0000000011111111	00000000????????	813
16	????????????????	0000000001001101	000000000???????	692
16	????????????????	0000000000011010	00000000000?????	586
16	????????????????	0000001000000000	000000??????????	461
16	000?????????????	0000000000011111	00000000000?????	444
16	????????????????	0000000000000010	00000000000000??	396
16	000000000000????	000000000000????	000000000000????	362
16	????????????????	0000000100000000	0000000?????????	355
16	0???????????????	0???????????????	0???????????????	341
16	????????????????	0000000001111111	000000000???????	323
16	????????????????	0000000000111111	0000000000??????	304
16	????????????????	0000000000001010	000000000000????	296
16	????????????????	0000000000000101	0000000000000???	273
16	????????????????	0000001111111111	000000??????????	263
16	0???????????????	0000001111111111	000000??????????	260
16	00000000000?????	00000000????????	00000000000?????	239
16	????????????????	0000000000100000	0000000000??????	203
16	????????????????	0000011111111000	00000???????????	198
16	????????????????	00000000????????	00000000????????	193
16	0???????????????	0000000000001110	000000000000????	179
16	000000000000????	0000000000001010	000000000000????	157
16	????????????????	0000001000000001	000000??????????	153
16	0???????????????	0111100100011111	0???????????????	146
16	00000???????????	0000000011111111	00000000????????	136
16	????????????????	0000000000001110	000000000000????	135
16	????????????????	0000000000001100	000000000000????	112
16	0000000000??????	0000000000011111	00000000000?????	105
16	????????????????	0000000000000100	0000000000000???	97
16	????????????????	0000010000000000	00000???????????	97
16	????????????????	0000000000000011	00000000000000??	86
16	000000000???????	0000000000111111	0000000000??????	81
16	????????????????	1111110000000000	????????????????	76
16	00000000000?????	00000000000?????	00000000000?????	70
16	????????????????	0000000000010100	00000000000?????	65
16	????????????????	0000111111111111	0000????????????	60
16	????????????????	0000000000100010	0000000000??????	57
16	????????????????	0000001000011000	000000??????????	56
16	????????????????	0000010011000100	00000???????????	56
16	????????????????	0111100100011111	0???????????????	56
16	0???????????????	0000000000001100	000000000000????	50
16	0000??????????00	????????????????	0000????????????	48
16	????????????????	0000000000001111	000000000000????	45
16	????????????????	0000000000011110	00000000000?????	45
16	????????????????	0000000000000110	0000000000000???	40
16	????????????????	0000000000101100	0000000000??????	39
16	????????????????	0011111111111111	00??????????????	39
16	????????????????	???????????????0	????????????????	39
16	????????????????	0000000000??????	0000000000??????	38
16	????????????????	0000000011111010	00000000????????	31
16	????????????????	0000000001111000	000000000???????	26
16	????????????????	0000000000001001	000000000000????	24
16	????????????????	0000000000001011	000000000000????	24
16	????????????????	0000000000010011	00000000000?????	24
16	000000000000????	0000000000001000	000000000000????	21
16	????????????????	0???????????????	0???????????????	20
16	????????????????	0000000001001000	000000000???????	19
16	????????????????	0000001110000100	000000??????????	17
16	????????????????	00000???????????	00000???????????	16
16	????????????????	???????????????1	????????????????	15
16	????????????????	0000000100101100	0000000?????????	14
16	????????????????	0000000111111111	0000000?????????	12
16	????????????????	0001111111111111	000?????????????	12
16	????????????????	0000000000111010	0000000000??????	10
16	0???????????????	0000001110000100	000000??????????	8
16	????????????????	0111111110011100	0???????????????	8
16	????????????????	1000000000001010	????????????????	8
16	????????????????	1000000001100100	????????????????	8
16	????????????????	0000000000000111	0000000000000???	6
16	00000000000?????	0000000000010011	00000000000?????	5
16	0000000?????????	0000000000010000	00000000000?????	5
16	????????????????	1111111111111101	????????????????	5
16	000000??000000??	????????????????	000000??????????	4
16	000000??????????	????????????????	000000??????????	4
16	????????????????	0000000000111000	0000000000??????	4
16	????????????????	0000000001000011	000000000???????	4
16	????????????????	0000000100000011	0000000?????????	4
16	????????????????	1111111111111110	????????????????	4
16	0000000000000???	0000000000000100	0000000000000???	3
16	00??????????????	0000000000000101	0000000000000???	3
16	????????????????	0000000000000001	000000000000000?	3
16	0???????????????	0011111111111111	00??????????????	2
16	00000000????????	0000000000010100	00000000000?????	1
16	0???????????????	0000000000001010	000000000000????	1
16	????????????????	0000000000110010	0000000000??????	1
16	????????????????	0000000001100000	000000000???????	1
16	????????????????	0000000101100111	0000000?????????	1
16	????????????????	0010101100000000	00??????????????	1
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	1907386
32	?????????????????????????????000	????????????????????????????????	????????????????????????????????	69998
32	0???????????????????????????????	00000000000000000000000011111111	000000000000000000000000????????	59998
32	????????????????????????????????	00000000000000000000000000000110	00000000000000000000000000000???	59721
32	????????????????????????????????	00000000000000000000000011111111	000000000000000000000000????????	49357
32	0000000?????????????????????????	00000000000000000000000000011110	000000000000000000000000000?????	36973
32	000000000000000000000000000?????	000000000000000000000000000?????	000000000000000000000000000?????	31651
32	????????????????????????????????	00000000000000000000000000001001	0000000000000000000000000000????	30196
32	????????????????????????????????	00000000000000000000000001000000	0000000000000000000000000???????	26367
32	????????????????????????????????	00000000000000000000000000001000	0000000000000000000000000000????	24464
32	????????????????????????????????	00000000000000000000000000010000	000000000000000000000000000?????	21723
32	0???????????????????????????????	00000000000000000000001111111111	0000000000000000000000??????????	18304
32	0???????????????????????????????	00000000000000000000111111111111	00000000000000000000????????????	15588
32	0???????????????????????????????	00000000000000001111111111111111	0000000000000000????????????????	14975
32	????????????????????????????????	00000000000000000000000000101001	00000000000000000000000000??????	14781
