# ---
# domain: KnownBits
# op: mlir/Operations/UsubSat.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 32]
# - [16, 20]
# - [32, 166]
# - [64, 271]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	????????	????????	????????	70549
8	????????	01100000	????????	66240
8	????????	01110000	????????	66240
8	????????	10000001	0???????	12174
8	????????	11111111	00000000	5518
8	0???????	????????	0???????	1872
8	00??????	00110011	0000????	1584
8	????????	11011001	00??????	1449
8	????????	00110011	????????	832
8	00000000	00000000	00000000	528
8	????????	00101111	????????	405
8	00000010	????????	000000??	301
8	????????	10111111	0???????	278
8	????????	11011111	00??????	278
8	????????	11101111	000?????	278
8	00000011	????????	000000??	228
8	????????	00111111	????????	176
8	00000100	????????	00000???	152
8	0000????	00000001	0000????	146
8	????????	00011111	????????	128
8	00000110	????????	00000???	126
8	00001000	????????	0000????	107
8	00000101	????????	00000???	99
8	00000111	????????	00000???	99
8	00001001	????????	0000????	99
8	000?????	00001000	000?????	75
8	00000001	????????	0000000?	72
8	????????	00000001	????????	61
8	000?????	00000001	000?????	37
8	00000???	00000001	00000???	25
8	00000010	000000??	000000??	10
8	00000011	0000????	000000??	4
16	????????????????	0000000001110000	????????????????	15229
16	????????????????	0100010100010101	????????????????	3600
16	????????????????	????????????????	????????????????	2161
16	00??????????????	0000000001110000	00??????????????	989
16	????????????????	0000000000000010	????????????????	674
16	????????????????	0000000100000001	????????????????	176
16	????????????????	0000000000000001	????????????????	121
16	0000000000000???	0000000000000001	0000000000000???	46
16	00000000??11????	0000000001110000	00000000??00????	28
16	00000000????????	0000000001110000	00000000????????	18
16	???????????????0	0000000000000010	???????????????0	16
16	0000000000000001	????????????????	000000000000000?	9
16	000000000???????	0000000001110000	000000000000????	7
16	00000000??1?????	0000000001110000	00000000????????	6
16	????????????????	0000000011110000	????????????????	4
16	0000000010110110	0000000001110000	0000000001000110	3
16	000000000111100?	0000000001110000	000000000000100?	2
16	0000000100000000	????????????????	0000000?????????	2
16	0000000001111???	0000000001110000	0000000000001???	1
16	000000000111????	0000000001110000	000000000000????	1
32	????????????????????????????????	????????????????????????????????	????????????????????????????????	36716
32	????????????????????????????????	00000000000000000000000000000001	????????????????????????????????	14826
32	000000000???????????????????????	00000000010000000000000000000000	0000000000??????????????????????	9803
32	????????????????????????????????	00000000000000000000000000000010	????????????????????????????????	7843
32	00000000000000000000000000110010	0000000000000000000000000???????	00000000000000000000000000??????	4337
32	0000000000000000????????????????	????????????????????????????????	0000000000000000????????????????	3252
32	00000000000000000000000000110010	????????????????????????????????	00000000000000000000000000??????	2214
32	0000000000000000????????????????	00000000000000000000000000000001	0000000000000000????????????????	2167
32	????????????????????????????????	00000000000000000000000000001110	????????????????????????????????	1873
32	????????????????????????????????	00000000000000000000000000001001	????????????????????????????????	1562
