# ---
# domain: KnownBits
# op: mlir/Operations/Xor.mlir
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 5]
# - [2, 2]
# - [3, 2]
# - [4, 2]
# - [8, 454]
# - [9, 5]
# - [10, 1]
# - [12, 1]
# - [16, 224]
# - [24, 5]
# - [32, 1950]
# - [40, 4]
# - [64, 2044]
# - [80, 1]
# - [128, 118]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	?	1	?	861633
1	?	?	?	32882
1	0	1	1	932
1	?	0	?	209
1	0	?	?	8
2	??	11	??	254
2	??	10	??	3
3	???	100	???	5186
3	???	111	???	20
4	????	1111	????	385
4	0?0?	0101	0?0?	10
8	????????	????????	????????	616616
8	????????	11111111	????????	353482
8	0000000?	00000001	0000000?	334934
8	????????	00000001	????????	191056
8	????????	10000000	????????	128014
8	000?????	00011111	000?????	49960
8	00000???	00000100	00000???	21893
8	????????	00011111	????????	19076
8	????????	01001110	????????	5895
8	???????0	01001101	???????1	5195
8	00000???	00000111	00000???	4315
8	????????	0000000?	????????	4120
8	0000000?	0000000?	0000000?	3803
8	????????	01001001	????????	3382
8	????????	01100101	????????	2846
8	????????	01000110	????????	2767
8	????????	01101110	????????	2612
8	????????	01000001	????????	2510
8	????????	00000000	????????	2300
8	????????	00000100	????????	2042
8	00000?00	00000100	00000?00	1940
8	?0000000	10000000	?0000000	1931
8	0000????	11111111	1111????	1844
8	000000??	00000001	000000??	1811
8	0000000?	11111111	1111111?	1545
8	????????	00000010	????????	1428
8	????????	00110000	????????	1408
8	????????	00000011	????????	1212
8	????????	01010101	????????	1110
8	0000000?	????????	????????	1036
8	000000??	000000??	000000??	986
8	????????	00100000	????????	972
8	00??????	00111111	00??????	924
8	00??????	00100000	00??????	897
8	????????	01111111	????????	821
8	0011????	11111111	1100????	770
8	????????	00111111	????????	749
8	????????	00000111	????????	695
8	0???????	01010101	0???????	620
8	????????	00101011	????????	587
8	00??????	000?????	00??????	560
8	00000000	00000000	00000000	556
8	00000000	????????	????????	531
8	000?????	11111111	111?????	508
8	????????	01111110	????????	505
8	0???????	01111111	0???????	501
8	000??0??	???????0	????????	444
8	01101110	????????	????????	444
8	000?????	????????	????????	429
8	????????	00011000	????????	417
8	????????	01001101	????????	400
8	????????	????0000	????????	383
8	0000000?	00000011	0000001?	356
8	00000000	00000100	00000100	353
8	????????	00001000	????????	349
8	????????	10100101	????????	334
8	0000????	00001111	0000????	301
8	????????	?????000	????????	291
8	000000?0	00000010	000000?0	282
8	00000???	00000???	00000???	282
8	???????0	000??0??	????????	264
8	????????	??????00	????????	262
8	????????	01010100	????????	261
8	0000000?	000000??	000000??	258
8	????????	???????0	????????	257
8	????????	00010011	????????	255
8	00??????	11111111	11??????	252
8	????????	00110111	????????	247
8	0???????	????????	????????	238
8	01101001	????????	????????	222
8	????????	0000????	????????	212
8	00??????	????????	????????	203
8	????????	000?????	????????	203
8	00?00000	00100000	00?00000	197
8	?0000000	????????	????????	192
8	????????	00001010	????????	180
8	????????	?0000000	????????	172
8	000000??	11111111	111111??	169
8	00??????	00111110	00??????	164
8	00000???	11111111	11111???	162
8	????????	00000???	????????	161
8	000000??	00000???	00000???	160
8	????????	???00000	????????	160
8	000???0?	???????0	????????	159
8	????????	11011100	????????	158
8	????????	11111110	????????	156
8	????????	01101001	????????	149
8	????????	01011001	????????	147
8	????????	00??????	????????	145
8	01100110	????????	????????	141
8	????????	01001010	????????	140
8	01100001	????????	????????	135
8	????????	01??????	????????	133
8	1??????0	11111111	0??????1	131
8	0000?000	00001100	0000?100	127
8	????????	01011010	????????	127
8	1???????	11111111	0???????	126
8	????????	00110110	????????	126
8	????????	10000001	????????	125
8	???????0	00010011	???????1	124
8	0???????	0000000?	0???????	123
8	00000001	????????	????????	111
8	????????	??01????	????????	110
8	????????	00001111	????????	107
8	????????	11111101	????????	107
8	????????	00000101	????????	97
8	0?????00	00000100	0?????00	93
8	0???????	01010111	0???????	93
8	????????	10111000	????????	92
8	????????	00000110	????????	91
8	????????	11000100	????????	91
8	0???????	11111111	1???????	88
8	????????	10101001	????????	85
8	000000??	00000011	000000??	82
8	00000???	0000????	0000????	80
8	000?????	00??????	00??????	80
8	????????	??000000	????????	80
8	0000?000	00001000	0000?000	76
8	0???????	00001111	0???????	76
8	000?????	000?????	000?????	73
8	0??????0	00000010	0??????0	68
8	????????	11100000	????????	68
8	0000???0	11111111	1111???1	61
8	????????	00010000	????????	60
8	????????	10011001	????????	60
8	???????0	11111111	???????1	58
8	????????	01100011	????????	54
8	????????	01110011	????????	53
8	00000??0	00000110	00000??0	50
8	????????	11011111	????????	50
8	????????	10101010	????????	48
8	????????	11010001	????????	48
8	00001000	????????	????????	46
8	????????	000000??	????????	44
8	????????	11101101	????????	44
8	????????	0???????	????????	43
8	????????	10110000	????????	43
8	01110100	????????	????????	42
8	????????	01011100	????????	42
8	00??????	01111111	01??????	41
8	000000??	00000010	000000??	40
8	????????	01000000	????????	40
8	???????1	????????	????????	39
8	????????	00001001	????????	39
8	????????	01100001	????????	39
8	????????	10000011	????????	39
8	000000??	0000000?	000000??	38
8	????????	01100000	????????	38
8	????????	00001101	????????	37
8	????????	01110100	????????	37
8	????????	10010001	????????	37
8	????????	00110001	????????	36
8	????????	10100110	????????	36
8	????????	11000011	????????	36
8	????????	11100001	????????	36
8	01111001	????????	????????	35
8	????????	01100010	????????	35
8	????????	01101010	????????	35
8	????????	00001011	????????	34
8	????????	01010111	????????	34
8	????????	10000010	????????	34
8	000?0000	00010000	000?0000	33
8	???????1	11111111	???????0	33
8	????????	11011101	????????	33
8	0000????	000?????	000?????	32
8	???????0	????????	????????	32
8	????????	00001110	????????	32
8	????????	00100010	????????	32
8	????????	00111110	????????	32
8	????????	11010000	????????	32
8	????????	11101110	????????	32
8	00000??0	00000111	00000??1	31
8	????????	00011100	????????	31
8	????????	11011000	????????	31
8	????????	11110000	????????	31
8	????????	11111010	????????	31
8	00?00000	????????	????????	30
8	0???????	0???????	0???????	29
8	????????	01011011	????????	29
8	0000????	????????	????????	28
8	??000000	10000000	??000000	28
8	000000??	0000?0??	0000?0??	27
8	????????	10001101	????????	27
8	00000001	0000000?	0000000?	25
8	0000????	0000????	0000????	25
8	00??????	00001001	00??????	25
8	????????	00010111	????????	25
8	????????	01011101	????????	25
8	????????	01100100	????????	25
8	????????	01110001	????????	25
8	0000????	00000111	0000????	24
8	01?10000	11111111	10?01111	24
8	????????	00100100	????????	24
8	????????	00111011	????????	24
8	????????	01000111	????????	24
8	????????	01010110	????????	24
8	????????	01111001	????????	24
8	????????	01111101	????????	24
8	????????	10001010	????????	24
8	????????	10110010	????????	24
8	????????	10111001	????????	24
8	????????	10111011	????????	24
8	????????	10111101	????????	24
8	????????	11001000	????????	24
8	????????	11001111	????????	24
8	????????	11011011	????????	24
