# ---
# domain: SConstRange
# op: AddNswNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [2, 2]
# - [3, 3]
# - [4, 4]
# - [5, 12]
# - [6, 48]
# - [7, 1]
# - [8, 1108]
# - [12, 9]
# - [16, 1305]
# - [17, 1]
# - [19, 1]
# - [21, 1]
# - [24, 13]
# - [29, 1]
# - [30, 3]
# - [31, 1]
# - [32, 28148]
# - [33, 106]
# - [34, 215]
# - [35, 119]
# - [36, 30]
# - [37, 10]
# - [38, 11]
# - [39, 2]
# - [40, 2]
# - [41, 1]
# - [48, 18]
# - [64, 36995]
# - [65, 271]
# - [66, 312]
# - [67, 342]
# - [68, 173]
# - [69, 106]
# - [70, 44]
# - [71, 14]
# - [72, 13]
# - [73, 3]
# - [74, 2]
# - [76, 2]
# - [83, 1]
# - [85, 1]
# - [86, 1]
# - [96, 1]
# - [128, 2099]
# - [129, 3]
# - [130, 3]
# - [131, 7]
# - [132, 4]
# - [133, 1]
# - [134, 1]
# - [140, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
2	[1, 1]	[-2, 0]	[-1, 1]	4
2	[-2, -2]	[0, 1]	[-2, -1]	2
3	[2, 2]	[0, 1]	[2, 3]	4
3	[1, 1]	[-4, 2]	[-3, 3]	3
3	[1, 1]	[0, 1]	[1, 2]	3
4	[1, 1]	[-8, 6]	[-7, 7]	2
4	[1, 1]	[0, 1]	[1, 2]	2
4	[2, 2]	[0, 1]	[2, 3]	2
4	[5, 5]	[-8, 0]	[-3, 5]	1
5	[3, 3]	[-16, 12]	[-13, 15]	2
5	[1, 1]	[-16, 12]	[-15, 13]	2
5	[1, 1]	[0, 3]	[1, 4]	2
5	[3, 3]	[-15, -7]	[-12, -4]	2
5	[2, 2]	[-15, -7]	[-13, -5]	2
5	[5, 5]	[-15, -7]	[-10, -2]	2
5	[4, 4]	[-15, -7]	[-11, -3]	2
5	[1, 1]	[-15, -7]	[-14, -6]	2
5	[2, 2]	[-16, 12]	[-14, 14]	1
5	[1, 1]	[-16, 14]	[-15, 15]	1
5	[1, 1]	[0, 1]	[1, 2]	1
5	[2, 2]	[0, 1]	[2, 3]	1
6	[1, 1]	[0, 1]	[1, 2]	66
6	[2, 2]	[0, 1]	[2, 3]	66
6	[8, 8]	[-32, 16]	[-24, 24]	28
6	[4, 4]	[-32, 16]	[-28, 20]	26
6	[4, 4]	[-32, 24]	[-28, 28]	22
6	[12, 12]	[-32, 16]	[-20, 28]	21
6	[24, 24]	[-32, 0]	[-8, 24]	6
6	[20, 20]	[-32, 0]	[-12, 20]	2
6	[-32, -32]	[0, 4]	[-32, -28]	2
6	[1, 1]	[0, 9]	[1, 10]	2
6	[9, 9]	[0, 9]	[9, 18]	2
6	[17, 17]	[0, 9]	[17, 26]	2
6	[8, 8]	[0, 9]	[8, 17]	2
6	[16, 16]	[0, 9]	[16, 25]	2
6	[2, 2]	[0, 9]	[2, 11]	2
6	[10, 10]	[0, 9]	[10, 19]	2
6	[18, 18]	[0, 9]	[18, 27]	2
6	[3, 3]	[0, 9]	[3, 12]	2
6	[11, 11]	[0, 9]	[11, 20]	2
6	[19, 19]	[0, 9]	[19, 28]	2
6	[4, 4]	[0, 9]	[4, 13]	2
6	[12, 12]	[0, 9]	[12, 21]	2
6	[20, 20]	[0, 9]	[20, 29]	2
6	[5, 5]	[0, 9]	[5, 14]	2
6	[13, 13]	[0, 9]	[13, 22]	2
6	[21, 21]	[0, 9]	[21, 30]	2
6	[6, 6]	[0, 9]	[6, 15]	2
6	[14, 14]	[0, 9]	[14, 23]	2
6	[22, 22]	[0, 9]	[22, 31]	2
6	[7, 7]	[0, 9]	[7, 16]	2
6	[15, 15]	[0, 9]	[15, 24]	2
6	[3, 3]	[-32, 28]	[-29, 31]	2
6	[12, 12]	[-32, 0]	[-20, 12]	1
6	[4, 4]	[-32, 0]	[-28, 4]	1
6	[8, 8]	[-32, 0]	[-24, 8]	1
6	[13, 13]	[-32, 16]	[-19, 29]	1
6	[14, 14]	[-32, 16]	[-18, 30]	1
6	[15, 15]	[-32, 16]	[-17, 31]	1
6	[-24, -24]	[0, 4]	[-24, -20]	1
6	[-16, -16]	[0, 4]	[-16, -12]	1
6	[16, 16]	[0, 4]	[16, 20]	1
6	[24, 24]	[0, 4]	[24, 28]	1
6	[8, 8]	[0, 4]	[8, 12]	1
6	[4, 4]	[-32, -12]	[-28, -8]	1
6	[8, 8]	[-32, -12]	[-24, -4]	1
6	[1, 1]	[-32, 28]	[-31, 29]	1
6	[16, 16]	[-32, 0]	[-16, 16]	1
6	[28, 28]	[-32, 0]	[-4, 28]	1
7	[1, 1]	[0, 2]	[1, 3]	2
8	[-128, 127]	[1, 1]	[-127, 127]	8448
8	[0, 10]	[1, 1]	[1, 11]	2515
8	[0, 1]	[1, 1]	[1, 2]	2365
8	[1, 3]	[1, 1]	[2, 4]	1890
8	[1, 1]	[1, 1]	[2, 2]	1737
8	[1, 2]	[1, 1]	[2, 3]	1731
8	[1, 1]	[0, 1]	[1, 2]	1584
8	[0, 1]	[0, 1]	[0, 2]	1542
8	[0, 32]	[0, 32]	[0, 64]	1321
8	[0, 2]	[1, 1]	[1, 3]	1173
8	[0, 0]	[1, 1]	[1, 1]	1139
8	[0, 3]	[1, 1]	[1, 4]	1014
8	[0, 42]	[48, 48]	[48, 90]	769
8	[-128, 127]	[32, 32]	[-96, 127]	764
8	[1, 1]	[-128, 64]	[-127, 65]	624
8	[2, 2]	[-128, 64]	[-126, 66]	624
8	[0, 7]	[1, 1]	[1, 8]	603
8	[0, 2]	[0, 1]	[0, 3]	483
