# ---
# domain: SConstRange
# op: AddNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [2, 1]
# - [3, 3]
# - [6, 2]
# - [8, 281]
# - [16, 143]
# - [24, 2]
# - [32, 3169]
# - [33, 25]
# - [34, 6]
# - [35, 24]
# - [37, 1]
# - [48, 2]
# - [63, 1]
# - [64, 10752]
# - [65, 40]
# - [66, 24]
# - [67, 36]
# - [68, 12]
# - [69, 3]
# - [70, 7]
# - [71, 3]
# - [74, 3]
# - [82, 1]
# - [83, 4]
# - [95, 1]
# - [96, 6]
# - [104, 1]
# - [120, 1]
# - [123, 1]
# - [128, 116]
# - [160, 2]
# - [192, 3]
# - [199, 1]
# - [201, 1]
# - [206, 2]
# - [218, 1]
# - [224, 2]
# - [289, 1]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
2	[1, 1]	[0, 1]	[-2, 1]	7
3	[1, 1]	[0, 3]	[-4, 3]	4
3	[2, 2]	[0, 3]	[-4, 3]	4
3	[3, 3]	[0, 3]	[-4, 3]	4
6	[20, 20]	[-32, 28]	[-32, 31]	10
6	[23, 23]	[0, 9]	[-32, 31]	2
8	[-128, 127]	[1, 1]	[-128, 127]	1678
8	[0, 64]	[64, 64]	[-128, 127]	1393
8	[0, 120]	[8, 8]	[-128, 127]	727
8	[0, 0]	[1, 1]	[1, 1]	505
8	[0, 1]	[1, 1]	[1, 2]	505
8	[0, 2]	[1, 1]	[1, 3]	496
8	[0, 127]	[1, 1]	[-128, 127]	415
8	[0, 120]	[16, 16]	[-128, 127]	357
8	[64, 64]	[64, 64]	[-128, -128]	353
8	[15, 127]	[1, 1]	[-128, 127]	200
8	[64, 120]	[8, 8]	[-128, 127]	167
8	[0, 96]	[32, 32]	[-128, 127]	147
8	[8, 120]	[8, 8]	[-128, 127]	146
8	[8, 64]	[64, 64]	[-128, 127]	142
8	[-128, 127]	[0, 9]	[-128, 127]	141
8	[0, 1]	[127, 127]	[-128, 127]	139
8	[1, 1]	[0, 127]	[-128, 127]	87
8	[-128, 127]	[-128, 127]	[-128, 127]	82
8	[8, 96]	[32, 32]	[-128, 127]	81
8	[1, 1]	[1, 1]	[2, 2]	66
8	[1, 2]	[1, 1]	[2, 3]	66
8	[1, 3]	[1, 1]	[2, 4]	65
8	[0, 0]	[0, 9]	[0, 9]	51
8	[0, 127]	[2, 2]	[-128, 127]	51
8	[127, 127]	[0, 4]	[-128, 127]	50
8	[65, 90]	[32, 32]	[97, 122]	50
8	[0, 90]	[0, 9]	[0, 99]	49
8	[0, 112]	[16, 16]	[-128, 127]	46
8	[64, 96]	[32, 32]	[-128, 127]	45
8	[-128, 127]	[0, 1]	[-128, 127]	43
8	[0, 63]	[127, 127]	[-128, 127]	33
8	[8, 112]	[16, 16]	[-128, 127]	32
8	[8, 8]	[64, 64]	[72, 72]	31
8	[0, 127]	[0, 30]	[-128, 127]	27
8	[2, 2]	[0, 127]	[-128, 127]	26
8	[1, 1]	[1, 127]	[-128, 127]	24
8	[0, 63]	[65, 65]	[-128, 127]	21
8	[0, 63]	[71, 71]	[-128, 127]	21
8	[8, 8]	[32, 32]	[40, 40]	20
8	[64, 112]	[16, 16]	[-128, 127]	18
8	[0, 127]	[16, 16]	[-128, 127]	18
8	[0, 3]	[1, 1]	[1, 4]	17
8	[0, 0]	[-128, 127]	[-128, 127]	16
8	[1, 127]	[1, 1]	[-128, 127]	14
