# ---
# domain: SConstRange
# op: And
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 9]
# - [3, 2]
# - [4, 4]
# - [5, 2]
# - [7, 1]
# - [8, 1966]
# - [9, 6]
# - [11, 1]
# - [16, 2454]
# - [24, 221]
# - [29, 1]
# - [32, 31272]
# - [40, 135]
# - [48, 86]
# - [56, 40]
# - [64, 22341]
# - [80, 32]
# - [120, 37]
# - [128, 667]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[-1, 0]	[-1, 0]	[-1, 0]	144064
1	[-1, -1]	[-1, 0]	[-1, 0]	11986
1	[-1, -1]	[-1, -1]	[-1, -1]	9223
1	[-1, 0]	[-1, -1]	[-1, 0]	8532
1	[0, 0]	[-1, 0]	[0, 0]	5738
1	[-1, 0]	[0, 0]	[0, 0]	3914
1	[0, 0]	[0, 0]	[0, 0]	1672
1	[0, 0]	[-1, -1]	[0, 0]	1635
1	[-1, -1]	[0, 0]	[0, 0]	778
3	[-4, 3]	[3, 3]	[0, 3]	4
3	[-4, 3]	[-3, -3]	[-4, 1]	2
4	[-8, 7]	[1, 1]	[0, 1]	22
4	[-8, 7]	[5, 5]	[0, 5]	20
4	[-8, 7]	[3, 3]	[0, 3]	3
4	[-8, 7]	[7, 7]	[0, 7]	2
5	[-16, 15]	[-15, -15]	[-16, 1]	1
5	[-16, 15]	[3, 3]	[0, 3]	1
7	[-64, 63]	[3, 3]	[0, 3]	2
8	[-128, 127]	[1, 1]	[0, 1]	409359
8	[-128, 127]	[63, 63]	[0, 63]	156718
8	[-128, 127]	[7, 7]	[0, 7]	139443
8	[-128, 127]	[-2, -2]	[-128, 126]	92281
8	[-128, 127]	[2, 2]	[0, 2]	61449
8	[-128, 127]	[15, 15]	[0, 15]	53260
8	[-128, 127]	[127, 127]	[0, 127]	25686
8	[-128, 127]	[-3, -3]	[-128, 125]	24688
8	[-128, -1]	[31, 31]	[0, 31]	23713
8	[-128, 127]	[4, 4]	[0, 4]	23002
8	[-128, 127]	[8, 8]	[0, 8]	22601
8	[-128, 127]	[-4, -4]	[-128, 124]	20724
8	[-128, 127]	[-33, -33]	[-128, 95]	20484
8	[-128, 127]	[3, 3]	[0, 3]	18518
8	[-128, 127]	[16, 16]	[0, 16]	16469
8	[-128, -65]	[63, 63]	[0, 63]	14402
8	[-128, 127]	[31, 31]	[0, 31]	12866
8	[0, 63]	[48, 48]	[0, 48]	10310
8	[0, 15]	[12, 12]	[0, 12]	10250
8	[0, 127]	[1, 1]	[0, 1]	8943
8	[-128, 127]	[32, 32]	[0, 32]	6961
8	[-128, -1]	[63, 63]	[0, 63]	6775
8	[-128, 127]	[-128, 127]	[-128, 127]	6319
8	[0, 1]	[1, 1]	[0, 1]	5865
8	[0, 15]	[7, 7]	[0, 7]	5855
8	[-128, 127]	[-8, -8]	[-128, 120]	5273
8	[-128, 127]	[-16, -16]	[-128, 112]	5231
8	[-128, 127]	[-5, -5]	[-128, 123]	5222
8	[-128, 127]	[64, 64]	[0, 64]	5163
