# ---
# domain: SConstRange
# op: Ashr
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 40]
# - [16, 42]
# - [32, 7002]
# - [64, 2762]
# - [128, 78]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-128, 127]	[7, 7]	[-1, 0]	2987
8	[-128, 127]	[1, 1]	[-64, 63]	445
8	[-128, 127]	[4, 4]	[-8, 7]	399
8	[-23, 23]	[7, 7]	[-1, 0]	131
8	[-1, 2]	[7, 7]	[-1, 0]	122
8	[-128, 127]	[0, 7]	[-128, 127]	78
8	[-1, 1]	[7, 7]	[-1, 0]	33
8	[-128, 127]	[2, 2]	[-32, 31]	24
8	[-59, 59]	[7, 7]	[-1, 0]	20
8	[-124, 127]	[3, 3]	[-16, 15]	15
8	[-125, 127]	[3, 3]	[-16, 15]	15
8	[-15, 16]	[1, 1]	[-8, 8]	15
8	[-128, 126]	[1, 1]	[-64, 63]	8
8	[-128, 127]	[6, 6]	[-2, 1]	8
8	[-128, 127]	[3, 3]	[-16, 15]	7
8	[-128, 126]	[7, 7]	[-1, 0]	5
8	[-128, -1]	[6, 6]	[-2, -1]	5
8	[2, 3]	[1, 1]	[1, 1]	4
8	[24, 24]	[7, 7]	[0, 0]	4
8	[-23, 2]	[7, 7]	[-1, 0]	2
8	[-23, 1]	[7, 7]	[-1, 0]	2
8	[-3, 23]	[7, 7]	[-1, 0]	2
8	[-1, -1]	[7, 7]	[-1, -1]	2
8	[0, 2]	[1, 1]	[0, 1]	2
8	[0, 3]	[1, 1]	[0, 1]	2
8	[2, 2]	[1, 1]	[1, 1]	2
8	[31, 31]	[2, 2]	[7, 7]	2
8	[30, 30]	[2, 2]	[7, 7]	2
8	[71, 71]	[1, 1]	[35, 35]	2
8	[4, 5]	[2, 2]	[1, 1]	2
8	[60, 60]	[7, 7]	[0, 0]	2
8	[0, 0]	[7, 7]	[0, 0]	2
8	[-127, 127]	[1, 1]	[-64, 63]	1
8	[-64, 63]	[1, 1]	[-32, 31]	1
8	[-32, 31]	[1, 1]	[-16, 15]	1
8	[-16, 15]	[1, 1]	[-8, 7]	1
8	[-8, 7]	[1, 1]	[-4, 3]	1
8	[-4, 3]	[1, 1]	[-2, 1]	1
8	[-2, 1]	[1, 1]	[-1, 0]	1
8	[4, 4]	[2, 2]	[1, 1]	1
16	[-32768, 32767]	[5, 5]	[-1024, 1023]	11732
16	[-32768, 32767]	[2, 2]	[-8192, 8191]	2790
16	[-32768, 32767]	[6, 6]	[-512, 511]	932
16	[-32768, 32767]	[1, 1]	[-16384, 16383]	652
16	[-32768, 32767]	[4, 4]	[-2048, 2047]	226
16	[-32768, 32767]	[15, 15]	[-1, 0]	172
16	[-32768, 32767]	[8, 8]	[-128, 127]	161
16	[-32768, 32767]	[0, 15]	[-32768, 32767]	152
16	[-32768, 32767]	[7, 7]	[-256, 255]	89
16	[-32768, 32767]	[11, 11]	[-16, 15]	74
16	[-23, 23]	[15, 15]	[-1, 0]	62
16	[-59, 59]	[15, 15]	[-1, 0]	56
16	[-64, -64]	[2, 8]	[-16, -1]	54
16	[-32768, 32767]	[3, 3]	[-4096, 4095]	44
16	[-256, -256]	[1, 7]	[-128, -2]	27
16	[-32768, 32767]	[9, 9]	[-64, 63]	15
16	[-129, -129]	[0, 7]	[-129, -2]	12
16	[-32768, 32767]	[14, 14]	[-2, 1]	12
16	[-32767, 32767]	[1, 1]	[-16384, 16383]	11
16	[-1920, 1905]	[3, 3]	[-240, 238]	11
16	[17408, 17408]	[10, 10]	[17, 17]	10
16	[-64, -64]	[8, 8]	[-1, -1]	8
16	[-32767, 32765]	[1, 1]	[-16384, 16382]	8
16	[-32768, 32767]	[-32768, 32767]	[-32768, 32767]	8
16	[0, 256]	[8, 8]	[0, 1]	7
16	[-512, 511]	[3, 3]	[-64, 63]	6
16	[-128, 127]	[3, 3]	[-16, 15]	6
16	[-2048, 2047]	[3, 3]	[-256, 255]	6
16	[-129, -129]	[0, 0]	[-129, -129]	4
16	[-129, -129]	[0, 1]	[-129, -65]	4
16	[-129, -129]	[0, 2]	[-129, -33]	4
16	[-63, 64]	[1, 1]	[-32, 32]	3
16	[-15, 16]	[1, 1]	[-8, 8]	3
16	[-255, 256]	[1, 1]	[-128, 128]	3
16	[-32768, 32767]	[13, 13]	[-4, 3]	3
16	[-32768, 32767]	[0, 8]	[-32768, 32767]	2
16	[-128, 127]	[0, 1]	[-128, 127]	2
16	[0, 32767]	[1, 1]	[0, 16383]	2
16	[0, 30]	[5, 5]	[0, 0]	1
16	[-32, -1]	[5, 5]	[-1, -1]	1
16	[-5118, 3073]	[2, 2]	[-1280, 768]	1
16	[0, 0]	[1, 1]	[0, 0]	1
32	[-2147483648, 2147483647]	[1, 1]	[-1073741824, 1073741823]	33307
