# ---
# domain: SConstRange
# op: CountLZero
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 3]
# - [16, 7]
# - [32, 56]
# - [64, 448]
# - [128, 3]
# hbw: []
# ---
bw	arg_0	ideal	count
8	[-128, 127]	[0, 8]	148
8	[0, 1]	[7, 8]	1
8	[0, 2]	[6, 8]	1
16	[-32768, 32767]	[0, 16]	7900
16	[0, 1023]	[6, 16]	93
16	[-32768, 32766]	[0, 16]	40
16	[0, 255]	[8, 16]	9
16	[0, 960]	[6, 16]	3
16	[1, 128]	[8, 15]	2
16	[1, 255]	[8, 15]	1
32	[-2147483648, 2147483647]	[0, 32]	5816
32	[0, 2147483647]	[1, 32]	293
32	[0, 1073741823]	[2, 32]	206
32	[0, 1431655764]	[1, 32]	159
32	[0, 2147483646]	[1, 32]	154
32	[1, 2147483647]	[1, 31]	55
32	[0, 536870911]	[3, 32]	33
32	[0, 0]	[32, 32]	29
32	[0, 65535]	[16, 32]	26
32	[0, 128]	[24, 32]	21
32	[1, 1431655764]	[1, 31]	21
32	[0, 4194304]	[9, 32]	17
32	[1, 65535]	[16, 31]	16
32	[-1, 536870910]	[0, 32]	15
32	[-2147483648, 8]	[0, 32]	15
32	[2, 1073741824]	[1, 30]	14
32	[0, 16384]	[17, 32]	12
32	[0, 32768]	[16, 32]	12
32	[1, 255]	[24, 31]	9
32	[32, 64]	[25, 26]	9
32	[-128, 127]	[0, 32]	9
32	[-128, 128]	[0, 32]	9
32	[-32768, 32767]	[0, 32]	6
32	[-32768, 32768]	[0, 32]	6
32	[1, 1114111]	[11, 31]	5
32	[1, 1073741823]	[2, 31]	5
32	[0, 1073741824]	[1, 32]	5
32	[0, 131070]	[15, 32]	5
32	[0, 127]	[25, 32]	4
32	[1, 16]	[27, 31]	4
32	[1, 4]	[29, 31]	4
32	[0, 16]	[27, 32]	3
32	[-1, 65534]	[0, 32]	3
32	[8, 134217726]	[5, 28]	3
32	[1, 32767]	[17, 31]	2
32	[1073741824, 1073741824]	[1, 1]	2
32	[1073741823, 1073741824]	[1, 2]	2
32	[-1, 65535]	[0, 32]	2
32	[1, 536870911]	[3, 31]	2
32	[4, 16]	[27, 29]	2
32	[0, 858993459]	[2, 32]	2
32	[0, 477218588]	[3, 32]	2
32	[1, 1]	[31, 31]	2
32	[0, 7]	[29, 32]	1
32	[2, 2147483647]	[1, 30]	1
32	[1335, 7973]	[19, 21]	1
32	[0, 255]	[24, 32]	1
32	[15, 15]	[28, 28]	1
32	[-1, 2147483646]	[0, 32]	1
32	[-2147483648, 2147483646]	[0, 32]	1
32	[2, 65534]	[16, 30]	1
32	[2, 65535]	[16, 30]	1
32	[-7, 7]	[0, 32]	1
32	[0, 1431655765]	[1, 32]	1
32	[1, 1431655765]	[1, 31]	1
32	[0, 256]	[23, 32]	1
64	[-9223372036854775808, 9223372036854775807]	[0, 64]	25489
64	[0, 4294967295]	[32, 64]	1524
64	[0, 9223372036854775807]	[1, 64]	446
64	[0, 18014398509481983]	[10, 64]	425
64	[1, 4294967289]	[32, 63]	369
64	[0, 255]	[56, 64]	288
64	[1, 4294967295]	[32, 63]	269
64	[1, 1]	[63, 63]	265
64	[1, 11]	[60, 63]	253
64	[0, 8070450532247928831]	[1, 64]	234
64	[9, 9]	[60, 60]	228
64	[0, 4294967296]	[31, 64]	225
64	[0, 16]	[59, 64]	213
64	[17, 17]	[59, 59]	179
64	[25, 25]	[59, 59]	156
64	[0, 536870911]	[35, 64]	140
64	[33, 33]	[58, 58]	134
64	[0, 9223372036854775806]	[1, 64]	132
64	[0, 9007199254740992]	[10, 64]	129
64	[-1152921504606846976, 1152921504606846975]	[0, 64]	127
64	[0, 4294967294]	[32, 64]	124
64	[1, 23]	[59, 63]	113
64	[0, 65535]	[48, 64]	111
64	[-2305843009213693952, 2305843009213693951]	[0, 64]	92
64	[-1, 2305843009213693950]	[0, 64]	88
64	[0, 9007199254740991]	[11, 64]	78
64	[1, 13]	[60, 63]	62
64	[-576460752303423488, 576460752303423487]	[0, 64]	61
64	[0, 2305843009213693951]	[3, 64]	54
64	[41, 41]	[58, 58]	52
64	[1, 9223372036854775807]	[1, 63]	48
64	[4, 127]	[57, 61]	48
64	[49, 49]	[58, 58]	46
64	[64, 2047]	[53, 57]	45
64	[4, 9007199254740992]	[10, 61]	45
64	[8, 17]	[59, 60]	42
64	[-268435456, 268435455]	[0, 64]	39
64	[-1, 127]	[0, 64]	34
64	[1, 25]	[59, 63]	32
64	[-1, 8070450532247928831]	[0, 64]	30
64	[0, 0]	[64, 64]	30
64	[-192153584101141162, 192153584101141162]	[0, 64]	30
64	[-1, 4294967294]	[0, 64]	29
64	[0, 2147483647]	[33, 64]	27
64	[57, 57]	[58, 58]	25
64	[1, 35]	[58, 63]	23
64	[1, 3]	[62, 63]	22
64	[1, 33]	[58, 63]	22
64	[2, 11]	[60, 62]	21
64	[-2147483649, 2147483646]	[0, 64]	20
64	[-1, 63]	[0, 64]	20
64	[-384307168202282325, 384307168202282325]	[0, 64]	19
64	[-1, 8191]	[0, 64]	18
64	[1, 37]	[58, 63]	17
64	[-1, 9223372036854775807]	[0, 64]	16
64	[15, 4095]	[52, 60]	16
64	[17, 25]	[59, 59]	16
64	[0, 4611686018427387903]	[2, 64]	15
64	[8, 33]	[58, 60]	15
64	[0, 65534]	[48, 64]	15
64	[0, 6148914691236517205]	[1, 64]	15
64	[-1, 536870911]	[0, 64]	15
64	[2, 65521]	[48, 62]	14
64	[24, 33]	[58, 59]	14
64	[-4611686018427387904, 4611686018427387903]	[0, 64]	13
64	[8, 25]	[59, 60]	13
64	[16, 9007199254740992]	[10, 59]	12
64	[1, 47]	[58, 63]	12
64	[-1, 16383]	[0, 64]	12
64	[32, 4294967327]	[31, 58]	11
64	[-1, 461168601842738789]	[0, 64]	11
64	[16, 49]	[58, 59]	11
64	[65, 65]	[57, 57]	11
64	[1, 17]	[59, 63]	11
64	[24, 41]	[58, 59]	10
64	[81, 81]	[57, 57]	10
64	[8, 9007199254740992]	[10, 60]	9
64	[89, 89]	[57, 57]	9
64	[0, 15]	[60, 64]	9
64	[0, 16777214]	[40, 64]	9
64	[2, 8]	[60, 62]	9
64	[1, 39]	[58, 63]	9
64	[1, 31]	[59, 63]	9
64	[32, 65]	[57, 58]	9
64	[-1, 65535]	[0, 64]	8
64	[0, 92233720368547758]	[7, 64]	8
64	[0, 6148914691236517204]	[1, 64]	8
64	[1, 2147483647]	[33, 63]	7
64	[-8589934590, 8589934590]	[0, 64]	7
64	[4, 8]	[60, 61]	7
64	[16, 41]	[58, 59]	7
64	[1, 83]	[57, 63]	7
64	[1, 45]	[58, 63]	7
64	[0, 8589934591]	[31, 64]	6
64	[-9223372036854775808, 9223372036854775806]	[0, 64]	6
64	[8, 73]	[57, 60]	6
64	[0, 36028797018963967]	[9, 64]	6
64	[97, 97]	[57, 57]	6
64	[8, 89]	[57, 60]	6
64	[32, 4194335]	[41, 58]	6
64	[-288230376151711744, 288230376151711743]	[0, 64]	6
64	[-4611686018427387904, 4611686020574871551]	[0, 64]	6
64	[1, 254]	[56, 63]	6
64	[0, 2049638230412172401]	[3, 64]	6
64	[0, 1152921504606846974]	[4, 64]	6
64	[0, 1152921504606846975]	[4, 64]	6
64	[1, 27]	[59, 63]	6
64	[1, 59]	[58, 63]	6
64	[1, 73]	[57, 63]	6
64	[33, 41]	[58, 58]	6
64	[1, 7]	[61, 63]	6
64	[33, 49]	[58, 58]	6
64	[73, 73]	[57, 57]	6
64	[8, 65]	[57, 60]	6
64	[-1, 35184372080639]	[0, 64]	6
64	[-1, 2147483647]	[0, 64]	5
64	[-4294967295, 4294967295]	[0, 64]	5
64	[105, 105]	[57, 57]	5
64	[121, 121]	[57, 57]	5
64	[417, 417]	[55, 55]	5
64	[297, 297]	[55, 55]	5
64	[249, 249]	[56, 56]	5
64	[361, 361]	[55, 55]	5
64	[241, 241]	[56, 56]	5
64	[4, 13]	[60, 61]	5
64	[16, 33]	[58, 59]	5
64	[2, 13]	[60, 62]	5
64	[1, 15]	[60, 63]	5
64	[2, 23]	[59, 62]	5
64	[4, 17]	[59, 61]	5
64	[8, 41]	[58, 60]	5
64	[-1, -1]	[0, 0]	4
64	[-9223372036854775808, 9223372036854775738]	[0, 64]	4
64	[-9223372036854775808, 9223372036854775802]	[0, 64]	4
64	[-461168601842738790, 461168601842738790]	[0, 64]	4
64	[8, 8]	[60, 60]	4
64	[1, 6148914691236517204]	[1, 63]	4
64	[0, 4]	[61, 64]	4
64	[1, 63]	[58, 63]	4
64	[1, 113]	[57, 63]	4
64	[2049, 2049]	[52, 52]	4
64	[2041, 2041]	[53, 53]	4
64	[1969, 1969]	[53, 53]	4
64	[1961, 1961]	[53, 53]	4
64	[1953, 1953]	[53, 53]	4
64	[1945, 1945]	[53, 53]	4
64	[1937, 1937]	[53, 53]	4
64	[1929, 1929]	[53, 53]	4
64	[1889, 1889]	[53, 53]	4
64	[1881, 1881]	[53, 53]	4
64	[1785, 1785]	[53, 53]	4
64	[1777, 1777]	[53, 53]	4
64	[1769, 1769]	[53, 53]	4
64	[1761, 1761]	[53, 53]	4
64	[1753, 1753]	[53, 53]	4
64	[1745, 1745]	[53, 53]	4
64	[1737, 1737]	[53, 53]	4
64	[1729, 1729]	[53, 53]	4
64	[1721, 1721]	[53, 53]	4
64	[1713, 1713]	[53, 53]	4
64	[1865, 1865]	[53, 53]	4
64	[1857, 1857]	[53, 53]	4
64	[1705, 1705]	[53, 53]	4
64	[1697, 1697]	[53, 53]	4
64	[1689, 1689]	[53, 53]	4
64	[1681, 1681]	[53, 53]	4
64	[1673, 1673]	[53, 53]	4
64	[1649, 1649]	[53, 53]	4
64	[1641, 1641]	[53, 53]	4
64	[1633, 1633]	[53, 53]	4
64	[1625, 1625]	[53, 53]	4
64	[1617, 1617]	[53, 53]	4
64	[1609, 1609]	[53, 53]	4
64	[1601, 1601]	[53, 53]	4
64	[1593, 1593]	[53, 53]	4
64	[1585, 1585]	[53, 53]	4
64	[1577, 1577]	[53, 53]	4
64	[1569, 1569]	[53, 53]	4
