# ---
# domain: SConstRange
# op: CountRZero
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [2, 1]
# - [8, 2]
# - [16, 2]
# - [32, 19]
# - [64, 29]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
2	[-2, 1]	[-2, 1]	2
8	[-128, 127]	[0, 8]	86
8	[0, 127]	[0, 8]	1
16	[-32768, 32767]	[0, 16]	8904
16	[0, 32767]	[0, 16]	1
32	[-2147483648, 2147483647]	[0, 32]	1958
32	[0, 536870911]	[0, 32]	21
32	[0, 268435456]	[0, 32]	19
32	[1, 65535]	[0, 15]	17
32	[0, 65535]	[0, 32]	6
32	[-1, -1]	[0, 0]	6
32	[-256, -1]	[0, 8]	6
32	[-2147483648, -1]	[0, 31]	4
32	[0, 255]	[0, 32]	3
32	[0, 2147483647]	[0, 32]	3
32	[-65536, -1]	[0, 16]	1
32	[0, 16777215]	[0, 32]	1
32	[-16777216, -1]	[0, 24]	1
32	[0, 12]	[0, 32]	1
32	[0, 14]	[0, 32]	1
32	[0, 64]	[0, 32]	1
32	[3, 3]	[0, 0]	1
32	[3, 4]	[0, 2]	1
32	[3, 5]	[0, 2]	1
64	[-9223372036854775808, 9223372036854775807]	[0, 64]	4618
64	[3689348814741910323, 3689348814741910323]	[0, 0]	90
64	[0, 9223372036854775807]	[0, 64]	52
64	[3458764513820540928, 4611686018427387903]	[0, 60]	44
64	[3689348594839584768, 3689349694351212543]	[0, 40]	38
64	[1125899906842624, 2251799813685247]	[0, 50]	27
64	[0, 16777214]	[0, 64]	25
64	[3689348814741897216, 3689348814741962751]	[0, 16]	21
64	[1, 16777215]	[0, 23]	12
64	[1, 9223372036854775807]	[0, 62]	8
64	[0, 4294967295]	[0, 64]	6
64	[-9223372036854775808, -1]	[0, 63]	6
64	[3689348814741910272, 3689348814741910527]	[0, 8]	4
64	[3689348814738554880, 3689348814755332095]	[0, 24]	3
64	[3689348813882916864, 3689348818177884159]	[0, 32]	3
64	[0, 65535]	[0, 64]	3
64	[0, 2305843009213693951]	[0, 64]	3
64	[2, 512]	[0, 9]	2
64	[0, 65536]	[0, 64]	2
64	[-4294967296, -1]	[0, 32]	2
64	[-4294967295, -1]	[0, 31]	2
64	[-65535, -1]	[0, 15]	2
64	[-255, -1]	[0, 7]	2
64	[256, 256]	[8, 8]	1
64	[1, 65536]	[0, 16]	1
64	[-281474976710656, -1]	[0, 48]	1
64	[-2, -1]	[0, 1]	1
64	[-2147483648, 2147483647]	[0, 64]	1
64	[1, 15]	[0, 3]	1
128	[-170141183460469231731687303715884105728, 170141183460469231731687303715884105727]	[0, 128]	78
128	[0, 170141183460469231731687303715884105727]	[0, 128]	1
