# ---
# domain: SConstRange
# op: Lshr
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 368]
# - [11, 1]
# - [16, 639]
# - [24, 106]
# - [32, 13546]
# - [33, 1]
# - [40, 167]
# - [48, 52]
# - [56, 22]
# - [64, 12780]
# - [65, 1]
# - [80, 19]
# - [120, 9]
# - [128, 1046]
# - [256, 25]
# - [512, 8]
# - [1024, 7]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-128, 127]	[0, 7]	[-128, 127]	44769
8	[-128, 127]	[4, 4]	[0, 15]	40106
8	[-128, 127]	[1, 1]	[0, 127]	38507
8	[-128, 127]	[2, 2]	[0, 63]	21946
8	[-128, 127]	[6, 6]	[0, 3]	14103
8	[-128, 127]	[3, 3]	[0, 31]	13817
8	[-128, 127]	[5, 5]	[0, 7]	3743
8	[-128, 127]	[7, 7]	[0, 1]	2586
8	[-1, 0]	[7, 7]	[0, 1]	1979
8	[-128, 127]	[-128, 127]	[-128, 127]	1056
8	[-128, 127]	[0, 6]	[-128, 127]	909
8	[-1, 2]	[7, 7]	[0, 1]	589
8	[64, 127]	[2, 2]	[16, 31]	341
8	[64, 127]	[4, 4]	[4, 7]	339
8	[0, 0]	[3, 3]	[0, 0]	296
8	[-1, 1]	[7, 7]	[0, 1]	221
8	[-128, -1]	[6, 6]	[2, 3]	202
8	[0, 127]	[2, 2]	[0, 31]	153
8	[1, 127]	[4, 4]	[0, 7]	150
8	[0, 127]	[1, 1]	[0, 63]	136
8	[0, 15]	[1, 1]	[0, 7]	124
8	[1, 30]	[0, 1]	[0, 30]	110
8	[0, 2]	[1, 1]	[0, 1]	73
8	[0, 24]	[3, 3]	[0, 3]	69
8	[-128, 127]	[1, 7]	[0, 127]	66
8	[0, 63]	[3, 3]	[0, 7]	65
8	[7, 7]	[0, 2]	[1, 7]	62
8	[0, 3]	[1, 1]	[0, 1]	61
8	[-128, 127]	[0, 0]	[-128, 127]	59
8	[-1, -1]	[0, 7]	[-1, 127]	57
8	[0, 63]	[4, 4]	[0, 3]	56
8	[0, 63]	[1, 1]	[0, 31]	54
8	[0, 63]	[2, 2]	[0, 15]	53
8	[0, 127]	[0, 7]	[0, 127]	48
8	[0, 64]	[6, 6]	[0, 1]	47
8	[0, 0]	[1, 1]	[0, 0]	44
