# ---
# domain: SConstRange
# op: Mods
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 86]
# - [16, 186]
# - [32, 3438]
# - [64, 1265]
# - [128, 21]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-128, 127]	[12, 12]	[-11, 11]	127
8	[-46, 46]	[24, 24]	[-23, 23]	90
8	[-59, 59]	[10, 10]	[-9, 9]	55
8	[-128, 127]	[24, 24]	[-23, 23]	51
8	[-1, 3]	[3, 3]	[-1, 2]	44
8	[-128, 127]	[32, 32]	[-31, 31]	32
8	[-118, 118]	[60, 60]	[-59, 59]	30
8	[-128, 127]	[10, 10]	[-9, 9]	27
8	[-26, 25]	[24, 24]	[-23, 23]	23
8	[-12, 12]	[10, 10]	[-9, 9]	21
8	[-128, 127]	[3, 3]	[-2, 2]	20
8	[-47, 51]	[4, 4]	[-3, 3]	20
8	[-42, 42]	[3, 3]	[-2, 2]	19
8	[-14, 14]	[3, 3]	[-2, 2]	19
8	[-4, 4]	[3, 3]	[-2, 2]	19
8	[-26, 29]	[6, 6]	[-5, 5]	16
8	[-128, 127]	[7, 7]	[-6, 6]	15
8	[-63, 63]	[8, 8]	[-7, 7]	15
8	[-128, 127]	[4, 4]	[-3, 3]	14
8	[2, 59]	[-1, 14]	[0, 13]	12
8	[0, 57]	[-1, 14]	[0, 13]	12
8	[-19, 19]	[5, 5]	[-4, 4]	12
8	[-128, 127]	[8, 8]	[-7, 7]	11
8	[-128, -128]	[-128, 127]	[-63, 0]	11
8	[-14, 16]	[16, 16]	[-14, 15]	10
8	[-29, 29]	[3, 3]	[-2, 2]	10
8	[-6, 6]	[2, 2]	[-1, 1]	9
8	[-31, 63]	[26, 26]	[-25, 25]	9
8	[-1, 4]	[3, 3]	[-1, 2]	8
8	[-26, 26]	[9, 9]	[-8, 8]	8
8	[-7, 79]	[8, 8]	[-7, 7]	6
8	[-127, 79]	[8, 8]	[-7, 7]	6
8	[-13, 6]	[7, 7]	[-6, 6]	6
8	[-7, 6]	[7, 7]	[-6, 6]	6
8	[-4, 6]	[6, 6]	[-4, 5]	6
8	[-3, 7]	[6, 6]	[-3, 5]	6
8	[-2, 8]	[6, 6]	[-2, 5]	6
8	[-1, 9]	[6, 6]	[-1, 5]	6
8	[-99, 99]	[4, 4]	[-3, 3]	6
8	[-27, 33]	[28, 28]	[-27, 27]	6
8	[-2, 4]	[4, 4]	[-2, 3]	6
8	[-6, 15]	[1, 8]	[-6, 7]	6
8	[-39, 39]	[10, 10]	[-9, 9]	6
8	[-23, 23]	[10, 10]	[-9, 9]	6
8	[-127, 15]	[8, 8]	[-7, 7]	4
8	[1, 8]	[8, 8]	[0, 7]	4
8	[1, 9]	[8, 8]	[0, 7]	4
8	[1, 10]	[8, 8]	[0, 7]	4
8	[-6, 8]	[8, 8]	[-6, 7]	3
8	[-8, 18]	[3, 3]	[-2, 2]	3
8	[-27, 31]	[-1, 14]	[-13, 13]	3
8	[-59, 60]	[10, 10]	[-9, 9]	3
8	[-19, 19]	[10, 10]	[-9, 9]	3
8	[-35, 35]	[18, 18]	[-17, 17]	3
8	[-35, 35]	[9, 9]	[-8, 8]	3
8	[-85, 85]	[4, 4]	[-3, 3]	3
8	[0, 127]	[-128, 127]	[0, 127]	3
8	[-24, 24]	[10, 10]	[-9, 9]	2
8	[-26, 2]	[24, 24]	[-23, 2]	2
8	[-26, 1]	[24, 24]	[-23, 1]	2
8	[-3, 25]	[24, 24]	[-3, 23]	2
8	[0, 0]	[5, 5]	[0, 0]	2
8	[0, 1]	[5, 5]	[0, 1]	2
8	[0, 2]	[5, 5]	[0, 2]	2
8	[-118, 114]	[7, 7]	[-6, 6]	2
8	[-27, 27]	[28, 28]	[-27, 27]	2
8	[1, 4]	[3, 3]	[0, 2]	2
8	[2, 5]	[3, 3]	[0, 2]	2
8	[0, 4]	[3, 3]	[0, 2]	2
