# ---
# domain: SConstRange
# op: Modu
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 204]
# - [16, 454]
# - [32, 2826]
# - [33, 2]
# - [64, 8839]
# - [128, 76]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 99]	[10, 10]	[0, 9]	793
8	[10, 99]	[10, 10]	[0, 9]	398
8	[-128, 127]	[10, 10]	[0, 9]	333
8	[-128, 127]	[5, 5]	[0, 4]	169
8	[-128, 127]	[3, 3]	[0, 2]	162
8	[0, 63]	[10, 10]	[0, 9]	112
8	[0, 59]	[10, 10]	[0, 9]	97
8	[0, 31]	[10, 10]	[0, 9]	79
8	[10, 31]	[10, 10]	[0, 9]	61
8	[0, 0]	[3, 3]	[0, 0]	60
8	[-128, 127]	[6, 6]	[0, 5]	49
8	[-128, 127]	[8, 8]	[0, 7]	37
8	[0, 9]	[3, 3]	[0, 2]	32
8	[0, 127]	[11, 11]	[0, 10]	30
8	[-128, 127]	[-128, 127]	[-128, 127]	28
8	[0, 1]	[3, 3]	[0, 1]	25
8	[0, 2]	[3, 3]	[0, 2]	25
8	[-128, 127]	[100, 100]	[0, 99]	22
8	[-128, 127]	[7, 7]	[0, 6]	21
8	[0, 8]	[3, 3]	[0, 2]	21
8	[0, 73]	[10, 10]	[0, 9]	19
8	[0, 74]	[10, 10]	[0, 9]	19
8	[0, 60]	[10, 10]	[0, 9]	18
8	[0, 24]	[5, 5]	[0, 4]	17
8	[0, 25]	[10, 10]	[0, 9]	15
8	[0, 35]	[6, 6]	[0, 5]	13
8	[-128, 127]	[2, 2]	[0, 1]	13
8	[-128, 127]	[64, 64]	[0, 63]	12
8	[0, 7]	[2, 2]	[0, 1]	10
8	[0, 29]	[6, 6]	[0, 5]	10
8	[1, 99]	[10, 10]	[0, 9]	9
8	[-128, 127]	[56, 56]	[0, 55]	9
8	[-128, 127]	[-128, -128]	[0, 127]	8
8	[-128, 127]	[31, 31]	[0, 30]	8
8	[1, 12]	[3, 3]	[0, 2]	8
8	[-128, 127]	[19, 19]	[0, 18]	7
8	[1, 1]	[3, 3]	[1, 1]	7
8	[0, 0]	[10, 10]	[0, 0]	7
8	[-128, 127]	[2, 8]	[0, 7]	7
8	[2, 13]	[3, 3]	[0, 2]	7
8	[1, 3]	[0, 3]	[0, 2]	6
8	[-128, 127]	[20, 20]	[0, 19]	6
8	[1, 9]	[3, 3]	[0, 2]	6
8	[2, 19]	[3, 3]	[0, 2]	6
8	[1, 18]	[3, 3]	[0, 2]	6
8	[-128, 127]	[62, 62]	[0, 61]	6
8	[0, 42]	[10, 10]	[0, 9]	6
8	[14, 25]	[12, 12]	[0, 11]	6
8	[0, 63]	[3, 3]	[0, 2]	6
8	[0, 55]	[7, 7]	[0, 6]	6
8	[0, 7]	[3, 3]	[0, 2]	5
8	[0, 29]	[3, 3]	[0, 2]	5
8	[-128, 127]	[17, 17]	[0, 16]	5
8	[-128, 127]	[85, 85]	[0, 84]	5
8	[0, 0]	[6, 6]	[0, 0]	5
8	[0, 3]	[6, 6]	[0, 3]	5
8	[-128, 127]	[15, 15]	[0, 14]	5
8	[-128, 127]	[24, 24]	[0, 23]	5
8	[-128, 127]	[1, 1]	[0, 0]	5
8	[-128, 127]	[1, 2]	[0, 1]	5
8	[0, 35]	[9, 9]	[0, 8]	4
8	[0, 14]	[3, 3]	[0, 2]	4
8	[16, 64]	[4, 8]	[0, 7]	4
8	[-128, 127]	[13, 13]	[0, 12]	4
8	[0, 52]	[10, 10]	[0, 9]	4
8	[0, 0]	[5, 5]	[0, 0]	4
8	[0, 6]	[3, 3]	[0, 2]	4
8	[-128, 127]	[4, 4]	[0, 3]	4
8	[-128, 127]	[10, 16]	[0, 15]	4
8	[16, 16]	[-128, 127]	[0, 16]	4
8	[0, 26]	[9, 9]	[0, 8]	4
8	[-128, 127]	[25, 25]	[0, 24]	4
8	[-128, 127]	[11, 11]	[0, 10]	4
8	[1, 20]	[3, 3]	[0, 2]	3
8	[0, 23]	[6, 6]	[0, 5]	3
8	[0, 0]	[7, 7]	[0, 0]	3
8	[0, 31]	[3, 3]	[0, 2]	3
8	[-128, 127]	[0, 31]	[0, 30]	3
8	[13, 18]	[3, 3]	[0, 2]	3
8	[0, 18]	[3, 3]	[0, 2]	3
8	[1, 2]	[3, 3]	[1, 2]	3
8	[1, 3]	[3, 3]	[0, 2]	3
8	[0, 63]	[6, 6]	[0, 5]	3
8	[6, 21]	[7, 7]	[0, 6]	3
8	[21, 99]	[10, 10]	[0, 9]	3
8	[1, 13]	[3, 3]	[0, 2]	3
8	[0, 13]	[3, 3]	[0, 2]	3
8	[0, 10]	[3, 3]	[0, 2]	3
8	[6, 6]	[2, 6]	[0, 2]	3
8	[0, 0]	[52, 52]	[0, 0]	3
8	[-128, 127]	[52, 52]	[0, 51]	3
8	[0, 51]	[4, 4]	[0, 3]	3
8	[0, 43]	[11, 11]	[0, 10]	3
8	[12, 24]	[3, 3]	[0, 2]	3
8	[1, 1]	[10, 10]	[1, 1]	3
8	[0, 15]	[3, 3]	[0, 2]	3
8	[1, 15]	[1, 4]	[0, 3]	3
8	[2, 16]	[2, 8]	[0, 7]	3
8	[0, 27]	[3, 3]	[0, 2]	3
8	[0, 99]	[7, 7]	[0, 6]	3
8	[1, 1]	[24, 24]	[1, 1]	3
8	[0, 127]	[16, 16]	[0, 15]	2
8	[0, 118]	[7, 7]	[0, 6]	2
8	[1, 119]	[7, 7]	[0, 6]	2
8	[8, 23]	[8, 8]	[0, 7]	2
8	[5, 31]	[5, 5]	[0, 4]	2
8	[32, 32]	[4, 8]	[0, 4]	2
8	[65, 122]	[32, 32]	[0, 31]	2
8	[8, 8]	[1, 8]	[0, 3]	2
8	[7, 13]	[7, 7]	[0, 6]	2
8	[1, 30]	[3, 3]	[0, 2]	2
8	[2, 20]	[3, 3]	[0, 2]	2
8	[1, 19]	[3, 3]	[0, 2]	2
8	[2, 20]	[5, 5]	[0, 4]	2
8	[1, 19]	[5, 5]	[0, 4]	2
8	[20, 99]	[10, 10]	[0, 9]	2
8	[1, 14]	[3, 3]	[0, 2]	2
8	[1, 11]	[3, 3]	[0, 2]	2
8	[0, 31]	[8, 8]	[0, 7]	2
8	[2, 2]	[0, 3]	[0, 2]	2
8	[0, 35]	[12, 12]	[0, 11]	2
8	[-128, 127]	[4, 8]	[0, 7]	2
8	[-128, 127]	[2, 4]	[0, 3]	2
8	[0, 8]	[-128, 127]	[0, 8]	2
8	[0, 19]	[10, 10]	[0, 9]	2
8	[0, 20]	[10, 10]	[0, 9]	2
8	[0, 24]	[3, 3]	[0, 2]	2
8	[0, 0]	[9, 9]	[0, 0]	2
8	[0, 127]	[25, 25]	[0, 24]	2
8	[0, 0]	[25, 25]	[0, 0]	2
8	[0, 0]	[11, 11]	[0, 0]	2
8	[0, 0]	[15, 15]	[0, 0]	2
