# ---
# domain: SConstRange
# op: MulNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 30]
# - [16, 109]
# - [24, 2]
# - [32, 378]
# - [48, 3]
# - [64, 1621]
# - [128, 210]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 15]	[17, 17]	[-120, 119]	430
8	[0, 15]	[10, 10]	[-126, 120]	120
8	[0, 3]	[85, 85]	[-86, 85]	71
8	[2, 6]	[40, 40]	[-96, 120]	56
8	[0, 9]	[10, 10]	[0, 90]	36
8	[0, 25]	[10, 10]	[-126, 120]	17
8	[0, 31]	[6, 6]	[-124, 126]	9
8	[2, 5]	[48, 48]	[-112, 96]	8
8	[2, 10]	[24, 24]	[-112, 120]	6
8	[-128, 127]	[-128, 127]	[-128, 127]	6
8	[0, 31]	[5, 5]	[-126, 125]	4
8	[0, 3]	[69, 69]	[-118, 69]	4
8	[0, 63]	[3, 3]	[-127, 126]	4
8	[-128, 127]	[5, 5]	[-126, 125]	3
8	[0, 3]	[48, 48]	[-112, 96]	3
8	[-24, 31]	[10, 10]	[-126, 120]	2
8	[0, 23]	[10, 10]	[-126, 120]	2
8	[-128, 72]	[17, 17]	[-120, 119]	2
8	[2, 4]	[56, 56]	[-88, 112]	2
8	[0, 7]	[28, 28]	[-116, 112]	2
8	[-128, 127]	[0, 1]	[-128, 127]	1
8	[0, 0]	[5, 5]	[0, 0]	1
8	[0, 50]	[5, 5]	[-126, 125]	1
8	[1, 4]	[9, 9]	[9, 36]	1
8	[1, 4]	[45, 45]	[-121, 90]	1
8	[1, 28]	[9, 9]	[-121, 126]	1
8	[0, 5]	[51, 51]	[-103, 102]	1
8	[-128, 127]	[17, 17]	[-120, 119]	1
8	[0, 0]	[85, 85]	[0, 0]	1
8	[0, 10]	[10, 10]	[0, 100]	1
16	[0, 255]	[0, 255]	[-32766, 32767]	1759
16	[0, 22]	[27, 27]	[0, 594]	1259
16	[0, 255]	[257, 257]	[-32640, 32639]	689
16	[0, 23]	[27, 27]	[0, 621]	355
16	[0, 255]	[-32768, 32767]	[-32768, 32767]	285
16	[0, 255]	[150, 150]	[-32686, 32700]	264
16	[0, 255]	[255, 255]	[-32641, 32640]	252
16	[0, 31]	[2106, 2106]	[-31840, 31590]	143
16	[1, 254]	[0, 255]	[-32766, 32767]	123
16	[0, 255]	[1, 255]	[-32766, 32767]	122
16	[0, 254]	[0, 255]	[-32766, 32767]	113
16	[0, 255]	[3, 254]	[-32766, 32767]	99
16	[0, 255]	[1, 252]	[-32766, 32767]	97
16	[-32768, 32767]	[0, 255]	[-32768, 32767]	95
16	[0, 63]	[1037, 1037]	[-32352, 32147]	76
16	[1, 252]	[0, 255]	[-32766, 32767]	70
16	[0, 255]	[0, 252]	[-32766, 32767]	62
16	[1, 255]	[0, 255]	[-32766, 32767]	47
16	[0, 254]	[255, 255]	[-32641, 32640]	44
16	[0, 255]	[3, 252]	[-32766, 32767]	43
16	[0, 6553]	[10, 10]	[-32766, 32760]	37
16	[3, 252]	[255, 255]	[-32641, 32640]	36
16	[0, 255]	[1, 254]	[-32766, 32767]	28
16	[3, 252]	[1, 252]	[-32766, 32767]	27
16	[1, 255]	[1, 252]	[-32766, 32767]	26
16	[-32768, 32767]	[255, 255]	[-32641, 32640]	23
16	[-32768, 32767]	[1, 252]	[-32768, 32767]	22
16	[0, 1984]	[0, 31]	[-32766, 32767]	22
16	[0, 255]	[0, 254]	[-32766, 32767]	19
16	[0, 255]	[3, 255]	[-32766, 32767]	17
16	[0, 255]	[223, 223]	[-32755, 32558]	16
16	[2, 255]	[0, 255]	[-32766, 32767]	14
16	[0, 6551]	[10, 10]	[-32766, 32760]	14
16	[0, 4095]	[10, 10]	[-32766, 32760]	13
16	[0, 0]	[257, 257]	[0, 0]	12
16	[0, 255]	[248, 248]	[-32552, 32736]	12
16	[0, 253]	[0, 255]	[-32766, 32767]	12
16	[-32768, 32767]	[36, 36]	[-32740, 32760]	10
16	[-32768, 32767]	[257, 257]	[-32640, 32639]	10
16	[3, 252]	[0, 255]	[-32766, 32767]	10
16	[0, 253]	[255, 255]	[-32641, 32640]	10
16	[0, 252]	[255, 255]	[-32641, 32640]	9
16	[0, 31]	[1326, 1326]	[-32386, 31824]	9
16	[0, 0]	[10, 10]	[0, 0]	8
16	[3, 254]	[0, 255]	[-32766, 32767]	7
16	[0, 3705]	[10, 10]	[-32766, 32760]	7
16	[0, 254]	[0, 253]	[-32766, 32767]	6
16	[0, 254]	[0, 254]	[-32766, 32767]	6
16	[0, 255]	[2, 255]	[-32766, 32767]	6
16	[1000, 6553]	[10, 10]	[-32766, 32760]	6
16	[1, 254]	[0, 254]	[-32766, 32767]	5
16	[0, 455]	[36, 36]	[0, 16380]	4
16	[0, 1]	[257, 257]	[0, 257]	4
16	[0, 2]	[257, 257]	[0, 514]	4
16	[0, 254]	[3, 252]	[-32766, 32767]	4
16	[2, 255]	[1, 252]	[-32766, 32767]	4
16	[0, 255]	[191, 191]	[-32684, 32661]	4
16	[-32768, 32767]	[-32768, 32767]	[-32768, 32767]	4
16	[0, 255]	[10, 10]	[0, 2550]	4
16	[0, 2805]	[10, 10]	[0, 28050]	4
16	[0, 999]	[10, 10]	[0, 9990]	4
16	[0, 79]	[10, 10]	[0, 790]	4
