# ---
# domain: SConstRange
# op: Or
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 9]
# - [8, 2020]
# - [9, 1]
# - [16, 2462]
# - [24, 293]
# - [32, 24471]
# - [40, 270]
# - [48, 264]
# - [56, 70]
# - [64, 16783]
# - [80, 21]
# - [96, 1]
# - [120, 17]
# - [128, 550]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[-1, 0]	[-1, 0]	[-1, 0]	78371
1	[0, 0]	[-1, 0]	[-1, 0]	10875
1	[-1, 0]	[0, 0]	[-1, 0]	8207
1	[0, 0]	[0, 0]	[0, 0]	3096
1	[-1, 0]	[-1, -1]	[-1, -1]	2964
1	[-1, -1]	[-1, 0]	[-1, -1]	2261
1	[-1, -1]	[0, 0]	[-1, -1]	675
1	[0, 0]	[-1, -1]	[-1, -1]	639
1	[-1, -1]	[-1, -1]	[-1, -1]	362
8	[0, 9]	[48, 48]	[48, 57]	74686
8	[0, 63]	[-128, -128]	[-128, -65]	35883
8	[-128, 127]	[-128, 127]	[-128, 127]	22414
8	[-128, 127]	[-128, -128]	[-128, -1]	22337
8	[0, 7]	[48, 48]	[48, 55]	16475
8	[0, 1]	[48, 48]	[48, 49]	15941
8	[-128, 127]	[1, 1]	[-127, 127]	13193
8	[0, 63]	[0, 3]	[0, 63]	8201
8	[0, 12]	[0, 48]	[0, 60]	8198
8	[0, 1]	[0, 1]	[0, 1]	6297
8	[0, 15]	[-32, -32]	[-32, -17]	6113
8	[2, 31]	[-64, -64]	[-62, -33]	5203
8	[-128, 127]	[4, 4]	[-124, 127]	3249
8	[0, 7]	[-16, -16]	[-16, -9]	3196
8	[-128, 127]	[0, 1]	[-128, 127]	2974
8	[-128, 127]	[2, 2]	[-126, 127]	2925
8	[0, 32]	[-128, 127]	[-128, 127]	2910
8	[-128, 127]	[32, 32]	[-96, 127]	2900
8	[0, 4]	[-16, -16]	[-16, -12]	2545
8	[0, 2]	[0, 1]	[0, 3]	2488
8	[0, 1]	[0, 0]	[0, 1]	2250
8	[32, 32]	[65, 90]	[97, 122]	2188
8	[0, 7]	[0, 8]	[0, 15]	2152
8	[0, 15]	[0, 16]	[0, 31]	2117
8	[0, 31]	[0, 32]	[0, 63]	2109
8	[-128, 127]	[0, 0]	[-128, 127]	2104
8	[0, 63]	[0, 64]	[0, 127]	2050
8	[0, 0]	[0, 1]	[0, 1]	1909
8	[1, 9]	[48, 48]	[49, 57]	1795
8	[0, 2]	[0, 0]	[0, 2]	1520
8	[0, 4]	[0, 0]	[0, 4]	1513
8	[0, 0]	[-128, 127]	[-128, 127]	1500
8	[-128, 127]	[8, 8]	[-120, 127]	1407
8	[0, 2]	[1, 1]	[1, 3]	1402
8	[0, 0]	[0, 0]	[0, 0]	1263
8	[0, 0]	[0, 2]	[0, 2]	1131
8	[0, 4]	[0, 3]	[0, 7]	1100
8	[-128, 127]	[16, 16]	[-112, 127]	1098
8	[0, 1]	[0, 2]	[0, 3]	937
8	[0, 31]	[-64, -64]	[-64, -33]	935
8	[0, 3]	[0, 4]	[0, 7]	931
8	[0, 4]	[0, 2]	[0, 6]	912
8	[-128, 127]	[48, 48]	[-80, 127]	833
8	[0, 8]	[0, 7]	[0, 15]	806
8	[-128, 127]	[64, 64]	[-64, 127]	789
8	[0, 32]	[0, 31]	[0, 63]	789
8	[0, 15]	[48, 48]	[48, 63]	787
8	[0, 64]	[0, 63]	[0, 127]	786
8	[0, 16]	[0, 15]	[0, 31]	782
8	[0, 1]	[2, 2]	[2, 3]	776
8	[1, 24]	[-64, -64]	[-63, -40]	701
8	[0, 2]	[0, 4]	[0, 6]	676
8	[-128, 127]	[-64, -64]	[-64, -1]	674
8	[-128, 127]	[0, 32]	[-128, 127]	594
8	[0, 3]	[4, 4]	[4, 7]	591
8	[-128, 127]	[-16, -16]	[-16, -1]	585
8	[0, 4]	[0, 1]	[0, 5]	578
8	[0, 63]	[-64, -64]	[-64, -1]	539
8	[0, 1]	[-128, 127]	[-128, 127]	520
8	[0, 127]	[0, 1]	[0, 127]	442
8	[0, 0]	[48, 48]	[48, 48]	440
8	[0, 127]	[-128, -128]	[-128, -1]	404
8	[-128, 127]	[0, 16]	[-128, 127]	401
8	[0, 0]	[0, 15]	[0, 15]	393
8	[0, 5]	[0, 2]	[0, 7]	389
8	[-128, 127]	[0, 8]	[-128, 127]	385
8	[-128, 127]	[0, 4]	[-128, 127]	369
8	[-128, 127]	[30, 30]	[-98, 127]	368
8	[-128, 0]	[0, 127]	[-128, 127]	350
8	[0, 3]	[48, 48]	[48, 51]	339
8	[-128, 127]	[3, 3]	[-125, 127]	338
8	[0, 0]	[0, 127]	[0, 127]	320
8	[-128, -128]	[0, 127]	[-128, -1]	311
8	[2, 3]	[-64, -64]	[-62, -61]	301
8	[0, 4]	[-128, 127]	[-128, 127]	297
8	[0, 2]	[-128, 127]	[-128, 127]	285
8	[2, 2]	[0, 1]	[2, 3]	277
8	[0, 63]	[64, 64]	[64, 127]	276
8	[0, 2]	[4, 4]	[4, 6]	272
8	[64, 64]	[0, 63]	[64, 127]	269
8	[1, 1]	[0, 1]	[1, 1]	269
8	[0, 63]	[-128, 127]	[-128, 127]	267
8	[0, 2]	[0, 3]	[0, 3]	266
8	[0, 15]	[16, 16]	[16, 31]	261
8	[32, 32]	[0, 31]	[32, 63]	254
8	[0, 0]	[0, 31]	[0, 31]	254
8	[0, 0]	[0, 63]	[0, 63]	253
8	[16, 16]	[0, 15]	[16, 31]	252
8	[0, 7]	[8, 8]	[8, 15]	250
8	[4, 4]	[0, 3]	[4, 7]	250
8	[0, 0]	[0, 3]	[0, 3]	248
8	[8, 8]	[0, 7]	[8, 15]	248
8	[0, 0]	[0, 7]	[0, 7]	246
8	[0, 48]	[0, 15]	[0, 63]	215
8	[-128, 127]	[1, 2]	[-127, 127]	205
8	[0, 0]	[1, 1]	[1, 1]	193
8	[1, 1]	[48, 48]	[49, 49]	188
8	[-128, 127]	[0, 2]	[-128, 127]	182
8	[0, 31]	[32, 32]	[32, 63]	177
8	[0, 15]	[-128, -128]	[-128, -113]	176
8	[-128, 127]	[1, 4]	[-127, 127]	173
8	[0, 3]	[8, 8]	[8, 11]	165
8	[0, 3]	[0, 0]	[0, 3]	157
8	[1, 7]	[48, 48]	[49, 55]	141
8	[1, 2]	[48, 48]	[49, 50]	140
8	[0, 3]	[12, 12]	[12, 15]	140
8	[0, 15]	[0, 48]	[0, 63]	133
8	[0, 0]	[2, 2]	[2, 2]	133
8	[65, 90]	[32, 32]	[97, 122]	132
8	[0, 30]	[0, 1]	[0, 31]	130
8	[0, 60]	[0, 3]	[0, 63]	127
8	[-128, 127]	[-126, -126]	[-126, -1]	125
8	[5, 10]	[-128, 127]	[-123, 127]	124
8	[-128, 127]	[5, 5]	[-123, 127]	122
8	[0, 15]	[0, 1]	[0, 15]	118
8	[0, 24]	[-64, -64]	[-64, -40]	117
8	[0, 6]	[0, 1]	[0, 7]	116
