# ---
# domain: SConstRange
# op: PopCount
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 10]
# - [16, 21]
# - [32, 191]
# - [64, 113]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
8	[-128, 127]	[0, 8]	864
8	[1, 16]	[1, 4]	44
8	[8, 8]	[1, 1]	6
8	[0, 0]	[0, 0]	3
8	[1, 127]	[1, 7]	2
8	[0, 15]	[0, 4]	2
8	[-2, -2]	[7, 7]	1
8	[-3, -2]	[7, 7]	1
8	[-5, -2]	[6, 7]	1
8	[0, 127]	[0, 7]	1
16	[-32768, 32767]	[0, 16]	714
16	[0, 32767]	[0, 15]	136
16	[0, 255]	[0, 8]	12
16	[0, 31744]	[0, 14]	8
16	[1, 32767]	[1, 15]	6
16	[1, 126]	[1, 6]	4
16	[2, 32767]	[1, 15]	4
16	[0, 29696]	[0, 14]	4
16	[2048, 30720]	[1, 14]	4
16	[0, 31743]	[0, 14]	4
16	[0, 15]	[0, 4]	3
16	[8, 64]	[1, 6]	3
16	[-2, 32767]	[0, 16]	2
16	[1, 1]	[1, 1]	2
16	[0, 31232]	[0, 14]	2
16	[0, 30720]	[0, 14]	2
16	[-2, -2]	[15, 15]	1
16	[-3, -2]	[15, 15]	1
16	[-5, -2]	[14, 15]	1
16	[0, 4096]	[0, 12]	1
16	[0, 1024]	[0, 10]	1
32	[-2147483648, 2147483647]	[0, 32]	19609
32	[-2147483647, 2147483647]	[0, 32]	10545
32	[-1, 2147483647]	[0, 32]	3456
32	[1, 2147483647]	[1, 31]	1175
32	[-32768, 32767]	[0, 32]	703
32	[0, 255]	[0, 8]	545
32	[0, 65535]	[0, 16]	391
32	[0, 1008]	[0, 9]	388
32	[0, 2147483647]	[0, 31]	183
32	[-2147482993, 2147483647]	[0, 32]	97
32	[0, 0]	[0, 0]	80
32	[1, 1]	[1, 1]	74
32	[0, 16777215]	[0, 24]	67
32	[0, 1023]	[0, 10]	62
32	[8, 2147483647]	[1, 31]	61
32	[0, 15]	[0, 4]	60
32	[3, 3]	[2, 2]	55
32	[0, 2]	[0, 1]	53
32	[0, 1]	[0, 1]	51
32	[0, 61440]	[0, 15]	46
32	[1, 255]	[1, 8]	44
32	[16, 2147483647]	[1, 31]	42
32	[0, 16]	[0, 4]	40
32	[3, 5]	[1, 2]	38
32	[1, 2]	[1, 1]	37
32	[1, 65535]	[1, 16]	36
32	[0, 31]	[0, 5]	32
32	[0, 1431655765]	[0, 30]	30
32	[1, 8]	[1, 3]	26
32	[0, 32767]	[0, 15]	24
32	[-128, 127]	[0, 32]	23
32	[2, 2147483647]	[1, 31]	23
32	[1, 1431655765]	[1, 30]	22
32	[0, 1022]	[0, 9]	21
32	[-2147483646, 2147483647]	[0, 32]	21
32	[0, 127]	[0, 7]	21
32	[0, 4095]	[0, 12]	21
32	[0, 4]	[0, 2]	20
32	[1, 3]	[1, 2]	17
32	[1, 1048576]	[1, 20]	16
32	[-1073741824, 1073741823]	[0, 32]	16
32	[1, 64]	[1, 6]	14
32	[0, 3636]	[0, 11]	14
32	[0, 1048576]	[0, 20]	12
32	[512, 1048576]	[1, 20]	12
32	[1, 4]	[1, 2]	12
32	[1, 16777215]	[1, 24]	12
32	[1, 536870912]	[1, 29]	12
32	[1, 16]	[1, 4]	12
32	[1, 32]	[1, 5]	11
32	[1024, 2147483647]	[1, 31]	11
32	[1, 1023]	[1, 10]	11
32	[8, 128]	[1, 7]	10
32	[2, 36]	[1, 5]	9
32	[1, 32768]	[1, 15]	9
32	[0, 64]	[0, 6]	9
32	[655, 659]	[3, 6]	8
32	[655, 686]	[3, 7]	8
32	[0, 665]	[0, 9]	8
32	[1, 128]	[1, 7]	8
32	[0, 30719]	[0, 14]	8
32	[1, 131072]	[1, 17]	8
32	[0, 16383]	[0, 14]	8
32	[0, 512]	[0, 9]	8
32	[16, 8192]	[1, 13]	8
32	[-2147483648, 8]	[0, 32]	7
32	[-2147483648, 2147483646]	[0, 32]	7
32	[0, 128]	[0, 7]	7
32	[2, 2]	[1, 1]	7
32	[-2147483647, 1]	[0, 32]	7
32	[0, 131072]	[0, 17]	7
32	[1, 2147483639]	[1, 30]	6
32	[0, 28]	[0, 4]	6
32	[0, 262141]	[0, 17]	6
32	[1, 15]	[1, 4]	6
32	[0, 14]	[0, 3]	6
32	[256, 2147483647]	[1, 31]	6
32	[8, 2147483556]	[1, 30]	6
32	[5, 32767]	[1, 15]	6
32	[0, 240]	[0, 7]	6
32	[1, 8192]	[1, 13]	6
32	[0, 4096]	[0, 12]	6
32	[2, 4]	[1, 2]	6
32	[9, 9]	[2, 2]	6
32	[0, 191]	[0, 7]	6
32	[1, 65536]	[1, 16]	6
32	[1, 536870911]	[1, 29]	6
32	[-2147483648, 65535]	[0, 32]	6
32	[8, 8]	[1, 1]	5
32	[0, 63]	[0, 6]	5
32	[0, 268435455]	[0, 28]	5
32	[0, 67108864]	[0, 26]	5
32	[1, 2097151]	[1, 21]	5
32	[4, 2147483647]	[1, 31]	5
32	[2, 3]	[1, 2]	5
32	[0, 1073741823]	[0, 30]	5
32	[655, 910]	[2, 9]	4
32	[0, 58]	[0, 5]	4
32	[-2147483, 2147483]	[0, 32]	4
32	[0, 3]	[0, 2]	4
32	[0, 331998853]	[0, 28]	4
32	[-131072, 131071]	[0, 32]	4
32	[0, 2147483645]	[0, 30]	4
32	[33, 33]	[2, 2]	4
32	[9, 17]	[1, 4]	4
32	[0, 32512]	[0, 14]	4
32	[0, 30]	[0, 4]	4
32	[2, 64]	[1, 6]	3
32	[0, 36]	[0, 5]	3
32	[0, 960]	[0, 9]	3
32	[1, 1022]	[1, 9]	3
32	[0, 8]	[0, 3]	3
32	[0, 536870911]	[0, 29]	3
32	[0, 3840]	[0, 11]	3
32	[0, 10]	[0, 3]	3
32	[0, 17]	[0, 4]	3
32	[0, 62]	[0, 5]	3
32	[1, 14]	[1, 3]	3
32	[1, 117440512]	[1, 26]	3
32	[0, 49135]	[0, 15]	3
