# ---
# domain: SConstRange
# op: Sdiv
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 84]
# - [16, 261]
# - [32, 6087]
# - [64, 4096]
# - [128, 49]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-3, 3]	[2, 2]	[-1, 1]	459
8	[-7, 7]	[4, 4]	[-1, 1]	314
8	[-128, 127]	[12, 12]	[-10, 10]	209
8	[-128, 127]	[2, 2]	[-64, 63]	156
8	[-46, 46]	[24, 24]	[-1, 1]	140
8	[-15, 15]	[8, 8]	[-1, 1]	111
8	[-128, 127]	[3, 3]	[-42, 42]	91
8	[-59, 59]	[10, 10]	[-5, 5]	87
8	[-128, 127]	[24, 24]	[-5, 5]	83
8	[-11, 11]	[3, 3]	[-3, 3]	64
8	[-99, 99]	[10, 10]	[-9, 9]	44
8	[-99, 99]	[4, 4]	[-24, 24]	40
8	[-118, 118]	[60, 60]	[-1, 1]	40
8	[-47, 51]	[-4, -4]	[-12, 11]	38
8	[-128, 127]	[10, 10]	[-12, 12]	36
8	[-26, 25]	[24, 24]	[-1, 1]	36
8	[-59, 67]	[4, 4]	[-14, 16]	34
8	[-128, 127]	[2, 4]	[-64, 63]	28
8	[-128, 127]	[8, 8]	[-16, 15]	27
8	[-128, 127]	[9, 9]	[-14, 14]	27
8	[-128, 127]	[27, 27]	[-4, 4]	27
8	[-26, 29]	[6, 6]	[-4, 4]	26
8	[-128, 127]	[1, 32]	[-128, 127]	26
8	[-2, 2]	[2, 2]	[-1, 1]	24
8	[-63, 63]	[8, 8]	[-7, 7]	24
8	[-19, 19]	[5, 5]	[-3, 3]	19
8	[-1, 9]	[-2, -2]	[-4, 0]	19
8	[-29, 29]	[3, 3]	[-9, 9]	18
8	[2, 59]	[-1, 14]	[-59, 59]	16
8	[0, 57]	[-1, 14]	[-57, 57]	16
8	[-7, 13]	[8, 8]	[0, 1]	15
8	[-128, -128]	[-128, 127]	[-128, 64]	14
8	[-1, 14]	[12, 12]	[0, 1]	14
8	[-128, 127]	[-2, -2]	[-63, 64]	14
8	[-128, 127]	[-4, -4]	[-31, 32]	13
8	[-26, 26]	[9, 9]	[-2, 2]	12
8	[-7, 79]	[8, 8]	[0, 9]	9
