# ---
# domain: SConstRange
# op: Shl
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 249]
# - [16, 418]
# - [24, 66]
# - [32, 10485]
# - [40, 54]
# - [48, 59]
# - [56, 34]
# - [64, 7700]
# - [80, 9]
# - [120, 9]
# - [128, 238]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-128, 127]	[1, 1]	[-128, 126]	12838
8	[-128, 127]	[4, 4]	[-128, 112]	3273
8	[1, 1]	[1, 1]	[2, 2]	2962
8	[1, 2]	[1, 1]	[2, 4]	2884
8	[1, 4]	[1, 1]	[2, 8]	2882
8	[-128, 127]	[3, 3]	[-128, 120]	2047
8	[-128, 127]	[2, 2]	[-128, 124]	1908
8	[0, 1]	[1, 1]	[0, 2]	1703
8	[1, 1]	[0, 7]	[-128, 64]	979
8	[-128, 127]	[6, 6]	[-128, 64]	679
8	[0, 1]	[2, 2]	[0, 4]	552
8	[0, 1]	[3, 3]	[0, 8]	438
8	[-128, 127]	[5, 5]	[-128, 96]	369
8	[-128, 127]	[7, 7]	[-128, 0]	239
8	[0, 0]	[1, 1]	[0, 0]	196
8	[-128, 127]	[0, 7]	[-128, 127]	196
8	[0, 1]	[4, 4]	[0, 16]	187
8	[0, 1]	[0, 7]	[-128, 64]	185
8	[0, 1]	[5, 5]	[0, 32]	141
8	[0, 127]	[1, 1]	[-128, 126]	132
8	[0, 15]	[4, 4]	[-128, 112]	127
8	[-128, -1]	[1, 1]	[-128, 126]	108
8	[1, 1]	[0, 0]	[1, 1]	87
8	[0, 3]	[1, 1]	[0, 6]	79
8	[0, 1]	[6, 6]	[0, 64]	76
8	[0, 0]	[4, 4]	[0, 0]	72
8	[0, 3]	[2, 2]	[0, 12]	60
8	[0, 1]	[7, 7]	[-128, 0]	60
8	[-61, -51]	[2, 2]	[12, 52]	59
8	[1, 1]	[4, 4]	[16, 16]	57
8	[0, 0]	[0, 7]	[0, 0]	51
8	[0, 0]	[2, 2]	[0, 0]	50
8	[-128, 72]	[4, 4]	[-128, 112]	46
8	[0, 7]	[1, 1]	[0, 14]	45
8	[0, 64]	[2, 2]	[-128, 124]	44
8	[0, 0]	[3, 3]	[0, 0]	42
8	[1, 2]	[4, 4]	[16, 32]	41
8	[-128, -1]	[3, 3]	[-128, 120]	41
8	[0, 11]	[6, 6]	[-128, 64]	40
8	[0, 127]	[4, 4]	[-128, 112]	37
8	[0, 127]	[0, 7]	[-128, 127]	35
8	[-128, 40]	[4, 4]	[-128, 112]	35
8	[0, 3]	[4, 4]	[0, 48]	32
8	[0, 63]	[2, 2]	[-128, 124]	29
8	[0, 15]	[1, 1]	[0, 30]	28
8	[-64, -1]	[2, 2]	[-128, 124]	28
8	[11, 11]	[1, 1]	[22, 22]	28
8	[0, 3]	[3, 3]	[0, 24]	27
8	[-127, 127]	[2, 2]	[-128, 124]	27
8	[-128, 127]	[0, 6]	[-128, 127]	26
8	[-127, 127]	[3, 3]	[-128, 120]	26
8	[0, 31]	[1, 1]	[0, 62]	25
8	[0, 63]	[1, 1]	[0, 126]	23
8	[0, 63]	[3, 3]	[-128, 120]	22
8	[0, 31]	[3, 3]	[-128, 120]	22
8	[0, 63]	[4, 4]	[-128, 112]	21
8	[1, 127]	[2, 2]	[-128, 124]	21
8	[-29, 15]	[4, 4]	[-128, 112]	21
8	[1, 3]	[4, 4]	[16, 48]	21
8	[-128, 127]	[0, 1]	[-128, 127]	20
8	[0, 3]	[6, 6]	[-128, 64]	19
8	[0, 2]	[1, 1]	[0, 4]	18
8	[0, 16]	[3, 3]	[-128, 120]	18
8	[-128, -4]	[1, 1]	[-128, 126]	18
8	[0, 7]	[3, 3]	[0, 56]	18
8	[-2, -1]	[7, 7]	[-128, 0]	18
8	[1, 1]	[1, 7]	[-128, 64]	17
8	[-128, 15]	[4, 4]	[-128, 112]	17
8	[0, 7]	[2, 2]	[0, 28]	17
8	[1, 14]	[4, 4]	[-128, 112]	16
8	[-128, -1]	[2, 2]	[-128, 124]	16
8	[1, 1]	[2, 2]	[4, 4]	14
8	[0, 7]	[4, 4]	[0, 112]	14
8	[0, 3]	[5, 5]	[0, 96]	13
8	[-64, -1]	[7, 7]	[-128, 0]	13
8	[63, 63]	[0, 6]	[-64, 126]	12
8	[-126, 127]	[2, 2]	[-128, 124]	12
8	[0, 0]	[6, 6]	[0, 0]	11
8	[0, 63]	[6, 6]	[-128, 64]	11
8	[0, 14]	[4, 4]	[-128, 112]	11
8	[2, 2]	[4, 4]	[32, 32]	10
8	[7, 7]	[1, 1]	[14, 14]	10
8	[0, 0]	[5, 5]	[0, 0]	9
8	[0, 2]	[2, 2]	[0, 8]	9
8	[0, 8]	[4, 4]	[-128, 112]	9
8	[0, 2]	[6, 6]	[-128, 64]	9
8	[0, 127]	[3, 3]	[-128, 120]	9
8	[1, 1]	[0, 1]	[1, 2]	8
8	[1, 1]	[3, 3]	[8, 8]	8
8	[48, 55]	[3, 3]	[-128, -72]	8
8	[48, 51]	[6, 6]	[-128, 64]	8
8	[-128, -1]	[6, 6]	[-128, 64]	8
8	[-9, 9]	[4, 4]	[-128, 112]	8
8	[0, 7]	[5, 5]	[-128, 96]	7
8	[48, 57]	[4, 4]	[-128, 112]	7
8	[2, 2]	[6, 6]	[-128, -128]	7
8	[-128, 79]	[4, 4]	[-128, 112]	7
8	[-32, 95]	[3, 3]	[-128, 120]	7
8	[4, 16]	[1, 1]	[8, 32]	6
8	[1, 1]	[7, 7]	[-128, -128]	6
8	[0, 2]	[3, 3]	[0, 16]	6
8	[1, 127]	[4, 4]	[-128, 112]	6
8	[-128, 63]	[2, 2]	[-128, 124]	6
8	[-128, 127]	[1, 7]	[-128, 126]	6
8	[0, 39]	[4, 4]	[-128, 112]	6
8	[97, 102]	[4, 4]	[16, 96]	6
8	[2, 2]	[0, 7]	[-128, 64]	6
8	[2, 2]	[1, 1]	[4, 4]	6
8	[0, 15]	[2, 2]	[0, 60]	6
8	[-64, -1]	[1, 1]	[-128, -2]	5
8	[-128, 79]	[3, 3]	[-128, 120]	5
8	[-1, -1]	[1, 1]	[-2, -2]	5
8	[-64, 123]	[1, 1]	[-128, 126]	5
8	[1, 1]	[6, 6]	[64, 64]	4
8	[64, 79]	[2, 2]	[0, 60]	4
8	[-128, 127]	[0, 4]	[-128, 127]	4
8	[0, 2]	[4, 4]	[0, 32]	4
8	[1, 3]	[1, 1]	[2, 6]	4
8	[-128, 0]	[1, 1]	[-128, 126]	4
8	[2, 2]	[2, 7]	[-128, 64]	4
8	[48, 102]	[4, 4]	[-128, 112]	4
8	[-128, -65]	[6, 6]	[-128, 64]	4
8	[33, 122]	[2, 2]	[-128, 124]	4
8	[0, 11]	[1, 1]	[0, 22]	4
8	[-65, 126]	[1, 1]	[-128, 126]	4
8	[1, 1]	[0, 2]	[1, 4]	4
8	[-32, 63]	[1, 1]	[-64, 126]	4
8	[1, 1]	[0, 3]	[1, 8]	4
8	[1, 2]	[0, 1]	[1, 4]	3
8	[-128, 127]	[-128, 127]	[-128, 127]	3
8	[-1, 14]	[4, 4]	[-128, 112]	3
8	[0, 15]	[6, 6]	[-128, 64]	3
8	[0, 4]	[1, 1]	[0, 8]	3
8	[15, 15]	[4, 4]	[-16, -16]	3
8	[-2, -1]	[1, 1]	[-4, -2]	3
8	[-62, -61]	[6, 6]	[-128, -64]	3
8	[1, 10]	[1, 1]	[2, 20]	3
8	[0, 30]	[4, 4]	[-128, 112]	3
8	[3, 3]	[0, 7]	[-128, 96]	3
8	[0, 124]	[1, 1]	[-128, 126]	3
8	[-128, -41]	[3, 3]	[-128, 120]	3
8	[16, 16]	[1, 1]	[32, 32]	3
8	[8, 16]	[1, 1]	[16, 32]	3
8	[-32, 31]	[4, 4]	[-128, 112]	2
8	[1, 7]	[4, 4]	[16, 112]	2
8	[0, 10]	[4, 4]	[-128, 112]	2
8	[0, 2]	[5, 5]	[0, 64]	2
8	[-61, -58]	[2, 2]	[12, 24]	2
8	[8, 63]	[2, 2]	[-128, 124]	2
8	[32, 63]	[2, 2]	[-128, -4]	2
8	[1, 63]	[2, 2]	[-128, 124]	2
8	[16, 63]	[2, 2]	[-128, 124]	2
8	[63, 63]	[0, 0]	[63, 63]	2
8	[48, 55]	[6, 6]	[-128, 64]	2
8	[0, 8]	[1, 1]	[0, 16]	2
8	[0, 16]	[1, 1]	[0, 32]	2
8	[0, 32]	[1, 1]	[0, 64]	2
8	[0, 64]	[1, 1]	[-128, 126]	2
8	[7, 7]	[5, 5]	[-32, -32]	2
8	[0, 1]	[0, 0]	[0, 1]	2
8	[0, 33]	[4, 4]	[-128, 112]	2
8	[-128, -128]	[1, 1]	[0, 0]	2
8	[48, 57]	[6, 6]	[-128, 64]	2
8	[-4, -1]	[1, 1]	[-8, -2]	2
8	[6, 6]	[3, 3]	[48, 48]	2
8	[6, 7]	[3, 3]	[48, 56]	2
8	[6, 8]	[3, 3]	[48, 64]	2
8	[0, 0]	[0, 0]	[0, 0]	2
8	[-128, 127]	[0, 0]	[-128, 127]	2
8	[16, 127]	[3, 3]	[-128, 120]	2
8	[-1, 15]	[4, 4]	[-128, 112]	2
8	[-1, 41]	[4, 4]	[-128, 112]	2
8	[0, 31]	[2, 2]	[0, 124]	2
8	[8, 8]	[0, 7]	[-128, 64]	2
8	[0, 15]	[3, 3]	[0, 120]	2
8	[0, 0]	[7, 7]	[0, 0]	2
8	[-48, 16]	[4, 4]	[-128, 112]	2
8	[32, 96]	[2, 2]	[-128, 124]	2
8	[-128, -1]	[4, 4]	[-128, 112]	2
8	[1, 16]	[4, 4]	[-128, 112]	2
8	[-40, -33]	[2, 2]	[96, 124]	2
8	[65, 90]	[4, 4]	[-128, 112]	2
8	[-1, 126]	[3, 3]	[-128, 120]	2
8	[1, 1]	[6, 7]	[-128, 64]	2
8	[-128, 127]	[6, 7]	[-128, 64]	2
8	[0, 127]	[2, 2]	[-128, 124]	2
8	[16, 63]	[1, 1]	[32, 126]	2
8	[67, 67]	[2, 2]	[12, 12]	2
8	[-128, 31]	[4, 4]	[-128, 112]	1
8	[2, 2]	[2, 2]	[8, 8]	1
8	[2, 8]	[2, 2]	[8, 32]	1
8	[2, 32]	[2, 2]	[-128, 124]	1
8	[1, 4]	[2, 2]	[4, 16]	1
8	[1, 16]	[2, 2]	[4, 64]	1
8	[-8, 7]	[4, 4]	[-128, 112]	1
8	[1, 1]	[5, 5]	[32, 32]	1
8	[1, 3]	[6, 6]	[-128, 64]	1
8	[4, 63]	[2, 2]	[-128, 124]	1
8	[2, 63]	[2, 2]	[-128, 124]	1
8	[8, 15]	[2, 2]	[32, 60]	1
8	[2, 15]	[2, 2]	[8, 60]	1
8	[-64, 127]	[1, 1]	[-128, 126]	1
8	[1, 1]	[3, 7]	[-128, 64]	1
8	[10, 99]	[1, 1]	[-128, 126]	1
8	[0, 99]	[1, 1]	[-128, 126]	1
8	[8, 63]	[3, 3]	[-128, 120]	1
8	[48, 49]	[1, 1]	[96, 98]	1
8	[-128, -2]	[1, 1]	[-128, 126]	1
8	[1, 3]	[2, 2]	[4, 12]	1
8	[2, 3]	[2, 2]	[8, 12]	1
