# ---
# domain: SConstRange
# op: ShlNsw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 20]
# - [16, 68]
# - [32, 2629]
# - [64, 3393]
# - [128, 29]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-1, -1]	[0, 7]	[-128, -1]	101
8	[-1, -1]	[1, 7]	[-128, -2]	28
8	[-128, 127]	[4, 4]	[-128, 112]	10
8	[-2, 1]	[4, 4]	[-32, 16]	9
8	[-2, 1]	[2, 2]	[-8, 4]	9
8	[-1, -1]	[0, 5]	[-32, -1]	6
8	[-128, 127]	[2, 2]	[-128, 124]	4
8	[0, 1]	[1, 1]	[0, 2]	4
8	[1, 1]	[1, 1]	[2, 2]	4
8	[-1, -1]	[1, 1]	[-2, -2]	4
8	[-128, 127]	[1, 1]	[-128, 126]	3
8	[0, 0]	[1, 1]	[0, 0]	3
8	[-1, 1]	[1, 1]	[-2, 2]	2
8	[-1, -1]	[1, 3]	[-8, -2]	2
8	[-1, -1]	[1, 8]	[-128, -2]	2
8	[-40, -7]	[1, 1]	[-80, -14]	2
8	[-8, 7]	[4, 4]	[-128, 112]	1
8	[0, 3]	[4, 4]	[0, 48]	1
8	[-40, -1]	[1, 1]	[-80, -2]	1
8	[-1, -1]	[0, 0]	[-1, -1]	1
16	[-128, 127]	[1, 1]	[-256, 254]	263
16	[-255, 255]	[1, 1]	[-510, 510]	188
16	[-1, -1]	[0, 15]	[-32768, -1]	142
16	[-2048, 2047]	[4, 4]	[-32768, 32752]	108
16	[-128, 127]	[2, 2]	[-512, 508]	90
16	[-1, -1]	[1, 15]	[-32768, -2]	78
16	[-128, 127]	[6, 6]	[-8192, 8128]	72
16	[-1, -1]	[0, 14]	[-16384, -1]	66
16	[0, 0]	[1, 1]	[0, 0]	64
16	[-128, 127]	[3, 3]	[-1024, 1016]	51
16	[-765, 765]	[2, 2]	[-3060, 3060]	44
16	[-1, -1]	[1, 11]	[-2048, -2]	36
16	[-128, 127]	[4, 4]	[-2048, 2032]	34
16	[-1, -1]	[1, 7]	[-128, -2]	32
16	[-1275, 1275]	[2, 2]	[-5100, 5100]	30
16	[-2550, 2550]	[1, 1]	[-5100, 5100]	24
16	[-32768, 32767]	[2, 2]	[-32768, 32764]	23
16	[-1272, 1278]	[2, 2]	[-5088, 5112]	22
16	[-1530, 1530]	[1, 1]	[-3060, 3060]	20
16	[-8191, 8191]	[1, 1]	[-16382, 16382]	19
16	[-8191, 8191]	[2, 2]	[-32764, 32764]	19
16	[-128, 127]	[8, 8]	[-32768, 32512]	16
16	[-1, -1]	[0, 255]	[-32768, -1]	12
16	[-1, -1]	[1, 8]	[-256, -2]	10
16	[-384, 381]	[1, 1]	[-768, 762]	10
16	[-383, 382]	[1, 1]	[-766, 764]	10
16	[-1, -1]	[0, 8]	[-256, -1]	7
16	[-8, -1]	[8, 8]	[-2048, -256]	6
16	[-192, -192]	[1, 1]	[-384, -384]	6
16	[-192, -192]	[2, 2]	[-768, -768]	6
16	[-863, 7328]	[1, 1]	[-1726, 14656]	6
16	[-863, 7328]	[2, 2]	[-3452, 29312]	6
16	[-1, -1]	[0, 7]	[-128, -1]	6
16	[-255, 255]	[2, 2]	[-1020, 1020]	6
16	[-1, -1]	[0, 9]	[-512, -1]	5
16	[-128, 127]	[7, 7]	[-16384, 16256]	5
16	[-1, -1]	[0, 0]	[-1, -1]	4
16	[-2, -2]	[0, 3]	[-16, -2]	3
16	[-32768, 32767]	[4, 4]	[-32768, 32752]	2
16	[0, 2]	[8, 8]	[0, 512]	2
16	[0, 2]	[11, 11]	[0, 4096]	2
16	[-5, -2]	[7, 7]	[-640, -256]	2
16	[-5, -2]	[4, 4]	[-80, -32]	2
16	[-87, 168]	[4, 4]	[-1392, 2688]	2
16	[-255, 255]	[4, 4]	[-4080, 4080]	2
16	[-1, -1]	[1, 6]	[-64, -2]	2
16	[-1, 1]	[1, 1]	[-2, 2]	2
16	[-129, 127]	[1, 1]	[-258, 254]	2
16	[-1, 1]	[2, 2]	[-4, 4]	2
16	[-129, 127]	[2, 2]	[-516, 508]	2
16	[-4, 3]	[3, 3]	[-32, 24]	1
16	[0, 511]	[2, 2]	[0, 2044]	1
16	[12, 15]	[4, 4]	[192, 240]	1
16	[-1, 0]	[6, 6]	[-64, 0]	1
16	[-1, -1]	[2, 3]	[-8, -4]	1
16	[-87, 207]	[4, 4]	[-1392, 3312]	1
16	[1, 1]	[8, 8]	[256, 256]	1
16	[0, 1]	[8, 8]	[0, 256]	1
16	[-512, 511]	[1, 1]	[-1024, 1022]	1
16	[-1785, 2040]	[4, 4]	[-28560, 32640]	1
16	[-256, 255]	[2, 2]	[-1024, 1020]	1
16	[-15, 15]	[1, 1]	[-30, 30]	1
16	[0, 4]	[1, 1]	[0, 8]	1
16	[0, 1]	[1, 1]	[0, 2]	1
16	[-1, 4]	[2, 2]	[-4, 16]	1
16	[-1, -1]	[0, 6]	[-64, -1]	1
16	[-1, -1]	[1, 2]	[-4, -2]	1
16	[-1, 4]	[1, 1]	[-2, 8]	1
32	[-2147483648, 2147483647]	[1, 1]	[-2147483648, 2147483646]	67475
32	[-33554432, 33554431]	[6, 6]	[-2147483648, 2147483584]	28778
32	[-2147483648, 2147483647]	[2, 2]	[-2147483648, 2147483644]	23444
32	[-2147483648, 2147483647]	[4, 4]	[-2147483648, 2147483632]	15529
32	[-2147483648, 2147483647]	[3, 3]	[-2147483648, 2147483640]	11946
32	[-2147483648, 14]	[2, 2]	[-2147483648, 56]	10743
32	[-2147483648, 16]	[1, 1]	[-2147483648, 32]	10377
32	[-1, -1]	[-2147483648, 2147483647]	[-2147483648, -1]	6491
32	[-2147483648, 2147483647]	[6, 6]	[-2147483648, 2147483584]	6145
32	[-2147483648, 2147483647]	[5, 5]	[-2147483648, 2147483616]	5015
32	[-126, 127]	[23, 23]	[-1056964608, 1065353216]	4850
32	[1, 1]	[1, 1]	[2, 2]	3820
32	[1, 2]	[1, 1]	[2, 4]	3706
32	[1, 4]	[1, 1]	[2, 8]	3411
32	[-2147483647, 2147483647]	[1, 1]	[-2147483648, 2147483646]	1792
32	[-32768, 32767]	[1, 1]	[-65536, 65534]	1606
32	[-2147483648, 2147483646]	[1, 1]	[-2147483648, 2147483646]	1601
32	[-2147483648, 1073741823]	[1, 1]	[-2147483648, 2147483646]	1460
32	[-1, -1]	[0, 255]	[-2147483648, -1]	1374
32	[-1, -1]	[0, 31]	[-2147483648, -1]	1360
32	[-1, -1]	[1, 8]	[-256, -2]	1287
32	[-32768, 32767]	[2, 2]	[-131072, 131068]	925
32	[-128, 127]	[2, 2]	[-512, 508]	818
32	[-128, 127]	[1, 1]	[-256, 254]	768
32	[-32768, 32767]	[0, 1]	[-65536, 65534]	646
32	[-1073741824, 1073741823]	[1, 1]	[-2147483648, 2147483646]	599
