# ---
# domain: SConstRange
# op: ShlNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 124]
# - [11, 1]
# - [16, 139]
# - [24, 18]
# - [32, 1637]
# - [40, 10]
# - [48, 19]
# - [56, 3]
# - [64, 1751]
# - [120, 1]
# - [128, 195]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[1, 1]	[0, 7]	[-128, 64]	16442
8	[0, 1]	[7, 7]	[-128, 0]	1208
8	[10, 99]	[1, 1]	[-128, 126]	785
8	[0, 1]	[0, 7]	[-128, 64]	629
8	[3, 3]	[0, 6]	[-64, 96]	624
8	[0, 99]	[1, 1]	[-128, 126]	539
8	[1, 1]	[0, 0]	[1, 1]	274
8	[1, 63]	[2, 2]	[-128, 124]	266
8	[0, 15]	[4, 4]	[-128, 112]	221
8	[0, 127]	[1, 1]	[-128, 126]	183
8	[-128, 127]	[4, 4]	[-128, 112]	172
8	[2, 2]	[0, 6]	[-128, 64]	151
8	[2, 30]	[3, 3]	[-128, 120]	136
8	[1, 1]	[0, 1]	[1, 2]	112
8	[1, 1]	[0, 2]	[1, 4]	107
8	[0, 14]	[4, 4]	[-128, 112]	107
8	[0, 16]	[3, 3]	[-128, 120]	94
8	[-128, 72]	[4, 4]	[-128, 112]	85
8	[0, 63]	[2, 2]	[-128, 124]	74
8	[7, 9]	[4, 4]	[-128, 112]	60
8	[0, 3]	[6, 6]	[-128, 64]	51
8	[8, 9]	[4, 4]	[-128, -112]	50
8	[1, 127]	[1, 1]	[-128, 126]	47
8	[-128, 127]	[7, 7]	[-128, 0]	34
8	[2, 61]	[2, 2]	[-128, 124]	31
8	[0, 31]	[3, 3]	[-128, 120]	31
8	[1, 1]	[7, 7]	[-128, -128]	29
8	[0, 9]	[4, 4]	[-128, 112]	24
8	[-128, 127]	[1, 1]	[-128, 126]	23
8	[-128, 127]	[2, 2]	[-128, 124]	21
8	[1, 1]	[1, 7]	[-128, 64]	15
8	[2, 15]	[4, 4]	[-128, 112]	14
8	[2, 7]	[5, 5]	[-128, 96]	14
8	[0, 11]	[4, 4]	[-128, 112]	13
8	[-128, 127]	[6, 6]	[-128, 64]	13
8	[0, 0]	[0, 7]	[0, 0]	12
8	[0, 1]	[1, 7]	[-128, 64]	12
8	[0, 0]	[7, 7]	[0, 0]	12
