# ---
# domain: SConstRange
# op: Smax
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 46]
# - [16, 118]
# - [32, 6061]
# - [33, 1]
# - [34, 4]
# - [35, 3]
# - [36, 1]
# - [40, 1]
# - [64, 3129]
# - [128, 16]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 0]	[-128, 127]	[0, 127]	4273
8	[1, 1]	[-128, 127]	[1, 127]	2140
8	[-128, 127]	[-128, 127]	[-128, 127]	1896
8	[0, 0]	[-1, 1]	[0, 1]	980
8	[-64, -64]	[-128, 127]	[-64, 127]	672
8	[-128, 127]	[-127, -127]	[-127, 127]	635
8	[2, 2]	[-128, 127]	[2, 127]	234
8	[0, 0]	[-1, 2]	[0, 2]	212
8	[6, 6]	[-128, 127]	[6, 127]	198
8	[48, 48]	[-128, 127]	[48, 127]	173
8	[-128, 127]	[0, 0]	[0, 127]	136
8	[-1, -1]	[-128, 127]	[-1, 127]	126
8	[4, 4]	[-128, 127]	[4, 127]	50
8	[49, 49]	[-128, 127]	[49, 127]	50
8	[53, 53]	[-128, 127]	[53, 127]	44
8	[2, 127]	[-128, 127]	[2, 127]	40
8	[5, 5]	[-128, 127]	[5, 127]	36
8	[0, 127]	[-128, 127]	[0, 127]	24
8	[-64, 63]	[-63, 64]	[-63, 64]	16
8	[32, 32]	[-128, 127]	[32, 127]	16
8	[66, 66]	[-128, 127]	[66, 127]	14
8	[3, 3]	[-128, 127]	[3, 127]	14
8	[-128, 127]	[1, 1]	[1, 127]	14
8	[-16, 15]	[-16, 15]	[-16, 15]	10
8	[1, 127]	[-128, 127]	[1, 127]	8
8	[1, 1]	[-1, 2]	[1, 2]	8
8	[1, 1]	[0, 127]	[1, 127]	6
8	[-126, -126]	[-128, 127]	[-126, 127]	6
8	[-127, 127]	[-128, 127]	[-127, 127]	5
8	[58, 58]	[-128, 127]	[58, 127]	4
8	[0, 0]	[-128, 9]	[0, 9]	4
8	[56, 56]	[-128, 127]	[56, 127]	4
8	[17, 17]	[-128, 127]	[17, 127]	4
