# ---
# domain: SConstRange
# op: Smin
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 63]
# - [16, 92]
# - [32, 6791]
# - [34, 1]
# - [35, 1]
# - [40, 1]
# - [64, 3798]
# - [128, 73]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-1, -1]	[-128, 127]	[-128, -1]	3554
8	[-128, 127]	[-128, 127]	[-128, 127]	3473
8	[0, 0]	[-128, 127]	[-128, 0]	161
8	[5, 5]	[-128, 127]	[-128, 5]	156
8	[-128, 127]	[15, 15]	[-128, 15]	55
8	[4, 4]	[-128, 127]	[-128, 4]	54
8	[-128, 127]	[0, 127]	[-128, 127]	48
8	[-65, -65]	[-128, 127]	[-128, -65]	46
8	[1, 127]	[1, 127]	[1, 127]	39
8	[48, 48]	[-128, 127]	[-128, 48]	36
8	[2, 127]	[-128, 127]	[-128, 127]	28
8	[57, 57]	[-128, 127]	[-128, 57]	26
8	[33, 33]	[-128, 127]	[-128, 33]	26
8	[-1, 126]	[0, 127]	[-1, 126]	22
8	[52, 52]	[-128, 127]	[-128, 52]	22
8	[0, 127]	[-128, 127]	[-128, 127]	20
8	[31, 31]	[-128, 127]	[-128, 31]	17
8	[32, 32]	[-128, 127]	[-128, 32]	16
8	[0, 4]	[-128, 127]	[-128, 4]	15
8	[-128, 4]	[1, 1]	[-128, 1]	13
8	[78, 78]	[-128, 127]	[-128, 78]	12
8	[-113, -113]	[-128, 127]	[-128, -113]	10
8	[2, 2]	[0, 127]	[0, 2]	10
8	[-17, 14]	[-16, 15]	[-17, 14]	10
8	[-12, -12]	[-64, 127]	[-64, -12]	8
8	[-1, -1]	[-2, 4]	[-2, -1]	8
8	[2, 126]	[0, 127]	[0, 126]	8
8	[2, 2]	[-128, 127]	[-128, 2]	8
8	[-128, 127]	[31, 31]	[-128, 31]	7
8	[-128, 127]	[0, 0]	[-128, 0]	7
8	[1, 4]	[-128, 4]	[-128, 4]	7
8	[-1, -1]	[-3, 7]	[-3, -1]	6
8	[-1, -1]	[-2, 3]	[-2, -1]	6
8	[-128, 127]	[4, 4]	[-128, 4]	6
8	[27, 27]	[-128, 127]	[-128, 27]	6
8	[19, 19]	[-128, 127]	[-128, 19]	6
8	[64, 64]	[-128, 127]	[-128, 64]	6
8	[3, 3]	[-128, 127]	[-128, 3]	6
8	[1, 1]	[-128, 127]	[-128, 1]	4
8	[-2, -2]	[-128, 127]	[-128, -2]	4
8	[63, 63]	[-128, 127]	[-128, 63]	4
8	[9, 9]	[-128, 127]	[-128, 9]	4
8	[0, 7]	[15, 15]	[0, 7]	4
8	[2, 3]	[-128, 127]	[-128, 3]	4
8	[99, 99]	[-128, 127]	[-128, 99]	4
8	[0, 127]	[31, 31]	[0, 31]	4
8	[-128, 127]	[-128, 4]	[-128, 4]	3
8	[-1, 4]	[-128, 4]	[-128, 4]	3
8	[-97, -97]	[-128, 127]	[-128, -97]	2
8	[14, 14]	[1, 15]	[1, 14]	2
8	[1, 1]	[126, 126]	[1, 1]	2
8	[-1, -1]	[-5, 5]	[-5, -1]	2
8	[-1, -1]	[-2, 2]	[-2, -1]	2
8	[63, 63]	[-3, 67]	[-3, 63]	2
8	[56, 56]	[-128, 127]	[-128, 56]	2
8	[49, 49]	[-128, 127]	[-128, 49]	2
8	[49, 49]	[48, 127]	[48, 49]	2
8	[3, 4]	[-128, 4]	[-128, 4]	2
8	[90, 90]	[-128, 127]	[-128, 90]	2
8	[-128, 127]	[127, 127]	[-128, 127]	1
8	[15, 15]	[-128, 127]	[-128, 15]	1
8	[88, 88]	[0, 127]	[0, 88]	1
8	[0, 127]	[88, 88]	[0, 88]	1
16	[-32768, 32767]	[-32768, 32767]	[-32768, 32767]	4235
16	[-127, 32767]	[127, 127]	[-127, 127]	1458
16	[-32768, 32767]	[127, 127]	[-32768, 127]	719
16	[-1, -1]	[-32768, 32767]	[-32768, -1]	354
16	[0, 0]	[-32768, 32767]	[-32768, 0]	339
