# ---
# domain: SConstRange
# op: SmulSat
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 47]
# - [16, 276]
# - [24, 6]
# - [32, 18188]
# - [48, 3]
# - [56, 2]
# - [64, 20008]
# - [128, 417]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[0, 9]	[10, 10]	[0, 90]	340
8	[0, 1]	[33, 33]	[0, 33]	178
8	[-128, 127]	[33, 33]	[-128, 127]	42
8	[0, 15]	[-6, -6]	[-90, 0]	37
8	[0, 7]	[10, 10]	[0, 70]	31
8	[0, 1]	[0, 1]	[0, 1]	30
8	[-3, 3]	[-15, -15]	[-45, 45]	28
8	[0, 1]	[-128, 127]	[-128, 127]	20
8	[0, 12]	[3, 3]	[0, 36]	16
8	[1, 1]	[7, 7]	[7, 7]	16
8	[0, 11]	[5, 5]	[0, 55]	12
8	[0, 10]	[5, 5]	[0, 50]	12
8	[1, 4]	[-128, 127]	[-128, 127]	10
8	[0, 15]	[7, 7]	[0, 105]	10
8	[0, 1]	[3, 3]	[0, 3]	9
8	[0, 3]	[6, 6]	[0, 18]	9
8	[1, 4]	[7, 7]	[7, 28]	6
8	[0, 15]	[6, 6]	[0, 90]	6
8	[1, 9]	[10, 10]	[10, 90]	6
8	[0, 3]	[3, 3]	[0, 9]	6
8	[0, 2]	[30, 30]	[0, 60]	6
8	[-8, -1]	[3, 3]	[-24, -3]	5
8	[0, 31]	[3, 3]	[0, 93]	5
8	[0, 2]	[21, 21]	[0, 42]	5
8	[-5, 0]	[7, 7]	[-35, 0]	4
8	[0, 1]	[7, 7]	[0, 7]	4
8	[0, 3]	[10, 10]	[0, 30]	4
8	[0, 15]	[3, 3]	[0, 45]	3
8	[0, 1]	[10, 10]	[0, 10]	3
8	[0, 10]	[3, 3]	[0, 30]	2
8	[-128, -1]	[7, 7]	[-128, -7]	2
8	[1, 127]	[7, 7]	[7, 127]	2
8	[0, 0]	[10, 10]	[0, 0]	2
8	[0, 3]	[9, 9]	[0, 27]	2
8	[0, 2]	[7, 7]	[0, 14]	2
8	[1, 4]	[1, 4]	[1, 16]	2
8	[0, 2]	[6, 6]	[0, 12]	2
8	[0, 3]	[15, 15]	[0, 45]	2
8	[-3, 3]	[15, 15]	[-45, 45]	2
8	[1, 3]	[3, 3]	[3, 9]	2
8	[0, 10]	[10, 10]	[0, 100]	2
8	[-128, 127]	[10, 10]	[-128, 127]	1
8	[0, 0]	[3, 3]	[0, 0]	1
8	[1, 7]	[3, 3]	[3, 21]	1
8	[0, 0]	[-6, -6]	[0, 0]	1
8	[-128, -1]	[-2, -2]	[2, 127]	1
8	[-3, -1]	[-2, -2]	[2, 6]	1
