# ---
# domain: SConstRange
# op: SsubSat
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 331]
# - [16, 359]
# - [32, 27382]
# - [33, 4]
# - [64, 16013]
# - [65, 4]
# - [128, 231]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[63, 63]	[0, 64]	[-1, 63]	4295
8	[0, 1]	[0, 1]	[-1, 1]	2837
8	[0, 0]	[0, 1]	[-1, 0]	1832
8	[0, 0]	[-128, 127]	[-127, 127]	1701
8	[63, 63]	[32, 64]	[-1, 31]	1395
8	[2, 2]	[0, 1]	[1, 2]	660
8	[23, 23]	[0, 23]	[0, 23]	532
8	[0, 0]	[-1, 1]	[-1, 1]	444
8	[0, 1]	[-128, 127]	[-127, 127]	334
8	[63, 63]	[59, 64]	[-1, 4]	209
8	[-128, 127]	[-128, 127]	[-128, 127]	193
8	[63, 63]	[0, 63]	[0, 63]	189
8	[-128, 127]	[0, 1]	[-128, 127]	166
8	[32, 32]	[0, 31]	[1, 32]	116
8	[30, 30]	[0, 29]	[1, 30]	110
8	[64, 64]	[0, 63]	[1, 64]	107
8	[34, 34]	[0, 31]	[3, 34]	101
8	[8, 8]	[0, 7]	[1, 8]	100
8	[0, 0]	[-127, -1]	[1, 127]	93
8	[63, 63]	[35, 64]	[-1, 28]	88
8	[0, 3]	[0, 3]	[-3, 3]	86
8	[64, 64]	[1, 15]	[49, 63]	84
8	[66, 66]	[0, 63]	[3, 66]	83
8	[48, 48]	[8, 24]	[24, 40]	74
8	[5, 5]	[0, 4]	[1, 5]	69
8	[13, 13]	[-128, 127]	[-114, 127]	61
8	[0, 0]	[-127, 127]	[-127, 127]	57
8	[16, 16]	[0, 15]	[1, 16]	53
8	[30, 30]	[0, 30]	[0, 30]	50
8	[8, 8]	[0, 8]	[0, 8]	49
8	[-2, -2]	[0, 1]	[-3, -2]	46
8	[64, 64]	[0, 64]	[0, 64]	44
8	[64, 64]	[32, 64]	[0, 32]	44
8	[4, 4]	[0, 3]	[1, 4]	43
8	[8, 8]	[-128, 127]	[-119, 127]	43
8	[48, 48]	[-128, 127]	[-79, 127]	42
8	[56, 56]	[-128, 127]	[-71, 127]	42
8	[34, 34]	[0, 32]	[2, 34]	41
8	[0, 32]	[0, 15]	[-15, 32]	39
8	[7, 7]	[0, 8]	[-1, 7]	38
8	[23, 23]	[-128, 127]	[-104, 127]	36
8	[64, 64]	[1, 11]	[53, 63]	36
8	[64, 64]	[1, 14]	[50, 63]	36
8	[11, 11]	[0, 1]	[10, 11]	36
8	[11, 11]	[0, 11]	[0, 11]	34
8	[0, 0]	[0, 127]	[-127, 0]	33
8	[6, 6]	[0, 5]	[1, 6]	32
8	[31, 31]	[0, 32]	[-1, 31]	31
8	[15, 15]	[0, 14]	[1, 15]	28
8	[0, 0]	[32, 63]	[-63, -32]	28
8	[8, 8]	[32, 63]	[-55, -24]	28
8	[48, 48]	[0, 31]	[17, 48]	28
8	[56, 56]	[0, 31]	[25, 56]	28
8	[0, 0]	[1, 31]	[-31, -1]	28
8	[7, 7]	[0, 6]	[1, 7]	27
8	[24, 24]	[0, 1]	[23, 24]	27
8	[4, 4]	[1, 3]	[1, 3]	26
8	[64, 64]	[1, 64]	[0, 63]	26
8	[61, 61]	[0, 60]	[1, 61]	24
8	[64, 64]	[0, 32]	[32, 64]	24
8	[32, 32]	[1, 31]	[1, 31]	22
8	[66, 66]	[0, 64]	[2, 66]	22
8	[32, 32]	[16, 31]	[1, 16]	22
8	[63, 63]	[3, 64]	[-1, 60]	22
8	[64, 64]	[0, 61]	[3, 64]	21
8	[9, 9]	[0, 9]	[0, 9]	20
8	[0, 63]	[0, 63]	[-63, 63]	20
8	[0, 1]	[0, 2]	[-2, 1]	20
8	[34, 34]	[1, 31]	[3, 33]	18
8	[14, 14]	[0, 1]	[13, 14]	18
8	[49, 49]	[0, 1]	[48, 49]	18
8	[56, 56]	[0, 56]	[0, 56]	18
8	[23, 23]	[1, 23]	[0, 22]	18
8	[30, 30]	[0, 32]	[-2, 30]	17
8	[27, 27]	[-32, 31]	[-4, 59]	17
8	[50, 50]	[16, 25]	[25, 34]	15
8	[2, 2]	[0, 2]	[0, 2]	15
8	[13, 13]	[0, 13]	[0, 13]	15
8	[-128, 127]	[-1, 31]	[-128, 127]	15
8	[11, 11]	[0, 127]	[-116, 11]	14
8	[5, 5]	[0, 127]	[-122, 5]	14
8	[0, 29]	[13, 13]	[-13, 16]	13
8	[5, 5]	[0, 5]	[0, 5]	13
8	[0, 0]	[8, 15]	[-15, -8]	13
8	[34, 34]	[16, 31]	[3, 18]	12
8	[64, 64]	[27, 33]	[31, 37]	12
8	[64, 64]	[-128, 127]	[-63, 127]	12
8	[23, 23]	[0, 127]	[-104, 23]	12
8	[63, 63]	[31, 64]	[-1, 32]	12
8	[0, 0]	[0, 63]	[-63, 0]	12
8	[0, 16]	[12, 12]	[-12, 4]	11
8	[2, 2]	[0, 0]	[2, 2]	11
8	[53, 53]	[-128, 127]	[-74, 127]	11
8	[63, 63]	[48, 64]	[-1, 15]	11
8	[53, 53]	[51, 53]	[0, 2]	10
8	[16, 16]	[-128, 127]	[-111, 127]	10
8	[8, 8]	[1, 7]	[1, 7]	10
8	[38, 38]	[23, 28]	[10, 15]	10
8	[10, 10]	[0, 9]	[1, 10]	10
8	[48, 48]	[-9, -1]	[49, 57]	10
8	[24, 24]	[0, 3]	[21, 24]	10
8	[66, 66]	[1, 63]	[3, 65]	9
8	[67, 67]	[16, 24]	[43, 51]	9
8	[0, 29]	[24, 24]	[-24, 5]	9
8	[32, 32]	[0, 32]	[0, 32]	9
8	[31, 31]	[-1, 1]	[30, 32]	9
8	[64, 64]	[48, 64]	[0, 16]	9
8	[1, 12]	[1, 12]	[-11, 11]	9
8	[8, 8]	[0, 4]	[4, 8]	8
8	[0, 0]	[-64, 63]	[-63, 64]	8
8	[0, 0]	[-1, -1]	[1, 1]	8
8	[23, 23]	[1, 127]	[-104, 22]	8
