# ---
# domain: SConstRange
# op: SubNuw
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [8, 25]
# - [16, 27]
# - [32, 471]
# - [64, 1820]
# - [128, 26]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
8	[-128, 127]	[-128, 127]	[-128, 127]	318
8	[-128, 127]	[0, 0]	[-128, 127]	15
8	[-126, -126]	[0, 127]	[-128, 127]	8
8	[-127, -124]	[-128, -128]	[1, 4]	6
8	[-128, -128]	[-128, 127]	[-128, 127]	6
8	[-128, 127]	[1, 1]	[-128, 127]	4
8	[2, 2]	[0, 1]	[1, 2]	3
8	[-128, -128]	[0, 1]	[-128, 127]	3
8	[-128, 127]	[0, 64]	[-128, 127]	2
8	[-128, 127]	[0, 5]	[-128, 127]	2
8	[3, 3]	[0, 2]	[1, 3]	2
8	[-128, 127]	[0, 4]	[-128, 127]	2
8	[-128, 127]	[3, 3]	[-128, 127]	2
8	[-128, 127]	[8, 8]	[-128, 127]	2
8	[9, 30]	[0, 30]	[0, 30]	2
8	[1, 1]	[1, 1]	[0, 0]	1
8	[-128, 127]	[7, 7]	[-128, 127]	1
8	[4, 4]	[0, 3]	[1, 4]	1
8	[9, 9]	[0, 8]	[1, 9]	1
8	[8, 8]	[0, 7]	[1, 8]	1
8	[7, 7]	[0, 6]	[1, 7]	1
8	[-128, -1]	[-128, -128]	[0, 127]	1
8	[-128, 127]	[-128, -128]	[0, 127]	1
8	[100, 107]	[100, 100]	[0, 7]	1
8	[-128, -128]	[0, 127]	[-128, 127]	1
16	[-32768, 32767]	[-32768, 32767]	[-32768, 32767]	177
16	[1, 16383]	[0, 16383]	[0, 16383]	30
16	[0, 32767]	[0, 32767]	[0, 32767]	10
16	[0, 32767]	[0, 16383]	[0, 32767]	6
16	[-32768, 32767]	[0, 16383]	[-32768, 32767]	6
16	[0, 8191]	[0, 8191]	[0, 8191]	5
16	[-5, 16378]	[-32768, 32767]	[-32768, 32767]	5
16	[-32768, 32767]	[0, 39]	[-32768, 32767]	5
16	[-32768, 32767]	[0, 5]	[-32768, 32767]	4
16	[-5, 16378]	[1, 2]	[-7, 16377]	3
16	[-32768, 32767]	[1, 1]	[-32768, 32767]	3
16	[-32768, 32767]	[0, 8191]	[-32768, 32767]	2
16	[-32768, -32768]	[0, 1]	[-32768, 32767]	2
16	[-5, 16378]	[1, 1]	[-6, 16377]	2
16	[0, 0]	[0, 0]	[0, 0]	2
16	[-6, 16378]	[1, 2]	[-8, 16377]	1
16	[-6, 16378]	[-32768, 32767]	[-32768, 32767]	1
16	[-6, 16377]	[1, 2]	[-8, 16376]	1
16	[256, 256]	[-32768, 32767]	[0, 256]	1
16	[-32768, 32767]	[2, 2]	[-32768, 32767]	1
16	[2, 8191]	[2, 4097]	[0, 8189]	1
16	[1, 8191]	[2, 4097]	[0, 8189]	1
16	[1, 8191]	[-32768, 32767]	[0, 8191]	1
16	[-1, -1]	[0, 0]	[-1, -1]	1
16	[-32768, 32767]	[0, 0]	[-32768, 32767]	1
16	[0, 1]	[0, 1]	[0, 1]	1
16	[0, 2]	[0, 2]	[0, 2]	1
32	[-2147483648, 2147483647]	[-2147483648, 2147483647]	[-2147483648, 2147483647]	2313
32	[-2147483648, 2147483647]	[3, 3]	[-2147483648, 2147483647]	249
32	[-2147483648, -2147483648]	[-2147483648, 2147483647]	[-2147483648, 2147483647]	182
32	[-2147483648, -2147483648]	[0, 2147483647]	[-2147483648, 2147483647]	158
32	[-2147483648, 2147483647]	[0, 2147483647]	[-2147483648, 2147483647]	118
32	[-2147483648, 2147483647]	[0, 65535]	[-2147483648, 2147483647]	107
32	[-2147483648, 2147483647]	[0, 11]	[-2147483648, 2147483647]	64
32	[-2147483648, 2147483647]	[0, 0]	[-2147483648, 2147483647]	63
32	[0, 0]	[0, 0]	[0, 0]	60
32	[-2147483648, 2147483647]	[0, 255]	[-2147483648, 2147483647]	51
32	[0, 0]	[-2147483648, 2147483647]	[0, 0]	46
32	[-2147483648, 2147483647]	[0, 23]	[-2147483648, 2147483647]	36
32	[-255, 31]	[-2147483648, 2147483647]	[-2147483648, 2147483647]	36
32	[-2147483648, 2147483647]	[0, 536870911]	[-2147483648, 2147483647]	35
32	[0, 0]	[0, 1]	[0, 0]	34
32	[-2147483648, 2147483647]	[0, 511]	[-2147483648, 2147483647]	33
32	[-2147483648, 2147483647]	[0, 999]	[-2147483648, 2147483647]	33
32	[-1082130432, -1082130432]	[-2147483648, 2147483647]	[-2147483648, 2147483647]	33
32	[-2147483601, -2147483601]	[0, 127]	[-2147483648, 2147483647]	30
32	[-2147483648, 2147483647]	[1, 1]	[-2147483648, 2147483647]	29
32	[-2147483601, -2147483601]	[48, 57]	[2147483638, 2147483647]	29
32	[-2147483648, 2147483647]	[64, 64]	[-2147483648, 2147483647]	29
32	[0, 0]	[0, 2]	[0, 0]	26
32	[-53, -53]	[-2147483648, 2147483647]	[-2147483648, 2147483647]	26
32	[-2, -2]	[1, 2147483647]	[-2147483648, 2147483647]	25
32	[0, 2147483647]	[0, 2147483647]	[0, 2147483647]	23
32	[2, 4]	[3, 3]	[0, 1]	21
32	[2, 64]	[1, 8]	[0, 63]	20
32	[-2147483648, 2147483647]	[1, 3]	[-2147483648, 2147483647]	18
32	[-2147483648, 2147483647]	[4, 4]	[-2147483648, 2147483647]	17
32	[1, 2]	[2, 2]	[0, 0]	17
32	[-1, -1]	[-2147483648, -2147483648]	[2147483647, 2147483647]	16
32	[0, 65535]	[0, 65535]	[0, 65535]	15
32	[0, 255]	[0, 255]	[0, 255]	15
32	[-2147483648, 2147483647]	[2, 2]	[-2147483648, 2147483647]	15
32	[64, 64]	[0, 64]	[0, 64]	15
32	[0, 2049191047]	[0, 2049191047]	[0, 2049191047]	15
32	[64, 4194240]	[32, 63]	[1, 4194208]	14
32	[1, 2147483647]	[0, 2147483647]	[0, 2147483647]	13
32	[-2147483648, 2147483647]	[0, 858993459]	[-2147483648, 2147483647]	13
32	[1, 3]	[3, 3]	[0, 0]	13
32	[-2147483648, 2147483647]	[0, 15]	[-2147483648, 2147483647]	12
32	[0, 1905972048]	[0, 1905972048]	[0, 1905972048]	12
32	[0, 1905972048]	[0, 2049191047]	[0, 1905972048]	12
32	[-2147483648, 2147483647]	[0, 1048575]	[-2147483648, 2147483647]	11
32	[-2147483601, -2147483601]	[-2147483648, 2147483647]	[-2147483648, 2147483647]	11
32	[-2, -2]	[-2147483648, 2147483647]	[-2147483648, 2147483647]	11
32	[0, 8]	[0, 8]	[0, 8]	10
32	[-2147483648, 2147483647]	[0, 2147483644]	[-2147483648, 2147483647]	10
32	[0, 2147483647]	[0, 2147483644]	[0, 2147483647]	10
32	[0, 4]	[0, 4]	[0, 4]	10
32	[2, 2]	[0, 2]	[0, 2]	10
32	[-2147483601, -2147483601]	[0, 255]	[-2147483648, 2147483647]	10
32	[1, 1]	[0, 1]	[0, 1]	9
32	[1, 1]	[-2147483648, 2147483647]	[0, 1]	9
32	[-2147483648, 2147483647]	[5, 5]	[-2147483648, 2147483647]	9
32	[-2147483648, 2147483647]	[6, 6]	[-2147483648, 2147483647]	9
32	[0, 2048]	[0, 2047]	[0, 2048]	9
32	[0, 2048]	[-2147483648, 2147483647]	[0, 2048]	9
32	[2, 2]	[0, 4]	[0, 2]	9
32	[0, 4]	[0, 8]	[0, 4]	9
32	[1, 4]	[3, 3]	[0, 1]	9
32	[0, 1892952139]	[0, 1892952139]	[0, 1892952139]	9
32	[0, 1892952139]	[0, 1905972048]	[0, 1892952139]	9
32	[0, 2147483647]	[-2147483648, 2147483647]	[0, 2147483647]	8
