# ---
# domain: SConstRange
# op: Umax
# arity: 2
# seed: null
# lbw: []
# mbw:
# - [1, 1]
# - [2, 2]
# - [3, 2]
# - [4, 3]
# - [5, 2]
# - [6, 2]
# - [7, 2]
# - [8, 487]
# - [9, 2]
# - [10, 4]
# - [11, 4]
# - [12, 3]
# - [15, 1]
# - [16, 398]
# - [17, 5]
# - [18, 2]
# - [19, 2]
# - [20, 1]
# - [24, 10]
# - [31, 2]
# - [32, 5075]
# - [33, 106]
# - [34, 74]
# - [35, 70]
# - [36, 44]
# - [37, 38]
# - [38, 35]
# - [39, 6]
# - [40, 6]
# - [41, 1]
# - [42, 4]
# - [43, 1]
# - [44, 1]
# - [45, 1]
# - [48, 2]
# - [50, 2]
# - [61, 7]
# - [62, 5]
# - [64, 12154]
# - [65, 375]
# - [66, 548]
# - [67, 498]
# - [68, 282]
# - [69, 243]
# - [70, 165]
# - [71, 50]
# - [72, 71]
# - [73, 30]
# - [74, 40]
# - [75, 13]
# - [76, 10]
# - [77, 5]
# - [78, 4]
# - [79, 1]
# - [80, 2]
# - [81, 1]
# - [83, 1]
# - [84, 2]
# - [94, 2]
# - [95, 2]
# - [96, 3]
# - [102, 1]
# - [124, 1]
# - [128, 132]
# - [129, 3]
# - [130, 4]
# - [131, 7]
# - [132, 6]
# hbw: []
# ---
bw	arg_0	arg_1	ideal	count
1	[-1, 0]	[-1, 0]	[-1, 0]	5239
2	[1, 1]	[-2, 1]	[-2, 1]	22
2	[-2, 1]	[-2, 1]	[-2, 1]	4
3	[-4, 3]	[-4, 3]	[-4, 3]	56
3	[3, 3]	[-4, 3]	[-4, 3]	2
4	[1, 1]	[-8, 7]	[-8, 7]	68
4	[1, 1]	[0, 3]	[1, 3]	2
4	[3, 3]	[-8, 7]	[-8, 7]	2
5	[1, 1]	[0, 3]	[1, 3]	6
5	[3, 3]	[-16, 15]	[-16, 15]	6
6	[1, 1]	[0, 3]	[1, 3]	2
6	[3, 3]	[-32, 31]	[-32, 31]	2
7	[-64, 63]	[-64, 63]	[-64, 63]	16
7	[1, 1]	[-64, 63]	[-64, 63]	14
8	[1, 1]	[-128, 127]	[-128, 127]	116712
8	[48, 48]	[0, 57]	[48, 57]	16822
8	[10, 10]	[-128, 127]	[-128, 127]	11810
8	[-128, 127]	[-128, 127]	[-128, 127]	5483
8	[-128, 127]	[1, 1]	[-128, 127]	4223
8	[30, 30]	[0, 40]	[30, 40]	2286
8	[1, 1]	[0, 2]	[1, 2]	1992
8	[1, 1]	[0, 127]	[1, 127]	1780
8	[2, 2]	[-128, 127]	[-128, 127]	1742
8	[5, 5]	[-128, 127]	[-128, 127]	1590
8	[29, 29]	[-128, 127]	[-128, 127]	1460
8	[1, 1]	[0, 15]	[1, 15]	1156
8	[1, 1]	[0, 3]	[1, 3]	1010
8	[0, 1]	[0, 1]	[0, 1]	962
8	[49, 49]	[0, 57]	[49, 57]	930
8	[8, 8]	[-128, 127]	[-128, 127]	910
8	[3, 3]	[-128, 127]	[-128, 127]	743
8	[1, 1]	[0, 24]	[1, 24]	698
8	[6, 6]	[-128, 127]	[-128, 127]	538
8	[0, 15]	[0, 15]	[0, 15]	462
8	[4, 4]	[-128, 127]	[-128, 127]	441
8	[22, 22]	[-128, 127]	[-128, 127]	420
8	[64, 64]	[-128, 127]	[-128, 127]	414
8	[1, 1]	[0, 63]	[1, 63]	408
8	[-3, -3]	[-128, 127]	[-3, -1]	404
8	[1, 1]	[0, 4]	[1, 4]	358
8	[1, 1]	[0, 7]	[1, 7]	331
8	[16, 16]	[-128, 127]	[-128, 127]	306
8	[-128, 127]	[16, 16]	[-128, 127]	300
8	[1, 1]	[0, 31]	[1, 31]	300
8	[-127, -127]	[-128, 127]	[-127, -1]	214
8	[97, 97]	[0, 122]	[97, 122]	209
8	[0, 2]	[0, 2]	[0, 2]	188
8	[32, 32]	[-128, 127]	[-128, 127]	184
8	[65, 65]	[-128, 127]	[-128, 127]	174
8	[11, 11]	[-128, 127]	[-128, 127]	172
8	[0, 30]	[1, 1]	[1, 30]	164
8	[-4, -4]	[-5, 122]	[-4, -1]	162
8	[9, 9]	[0, 11]	[9, 11]	148
8	[-64, -64]	[-128, 127]	[-64, -1]	144
8	[2, 2]	[0, 6]	[2, 6]	130
8	[-128, 127]	[0, 15]	[-128, 127]	129
8	[48, 48]	[0, 111]	[48, 111]	128
8	[26, 26]	[-128, 127]	[-128, 127]	122
8	[-32, -32]	[-128, 127]	[-32, -1]	120
8	[-112, -112]	[-128, 127]	[-112, -1]	120
8	[7, 7]	[-128, 127]	[-128, 127]	113
8	[65, 65]	[0, 90]	[65, 90]	112
8	[2, 2]	[-5, 2]	[-5, 2]	112
8	[1, 1]	[0, 8]	[1, 8]	108
8	[33, 33]	[-128, 127]	[-128, 127]	105
8	[-16, -16]	[-128, 127]	[-16, -1]	104
8	[18, 18]	[-128, 127]	[-128, 127]	100
8	[1, 1]	[0, 16]	[1, 16]	98
8	[0, 0]	[-128, 127]	[-128, 127]	93
8	[17, 17]	[-128, 127]	[-128, 127]	91
8	[5, 5]	[0, 35]	[5, 35]	90
8	[-128, 127]	[2, 2]	[-128, 127]	88
8	[15, 15]	[0, 16]	[15, 16]	88
8	[-128, 127]	[32, 32]	[-128, 127]	80
8	[64, 64]	[0, 127]	[64, 127]	78
8	[-128, 127]	[0, 63]	[-128, 127]	74
8	[9, 9]	[-128, 127]	[-128, 127]	70
8	[31, 31]	[-128, 127]	[-128, 127]	64
8	[12, 12]	[-128, 127]	[-128, 127]	64
8	[13, 13]	[-128, 127]	[-128, 127]	64
8	[2, 2]	[-4, 3]	[-4, 3]	64
8	[3, 3]	[0, 4]	[3, 4]	62
8	[7, 7]	[0, 8]	[7, 8]	62
8	[48, 48]	[-128, 127]	[-128, 127]	62
8	[1, 16]	[0, 15]	[1, 16]	58
8	[48, 48]	[0, 50]	[48, 50]	56
8	[15, 15]	[-128, 127]	[-128, 127]	53
8	[0, 15]	[1, 1]	[1, 15]	50
8	[2, 2]	[0, 5]	[2, 5]	50
8	[61, 61]	[0, 62]	[61, 62]	50
8	[16, 16]	[0, 112]	[16, 112]	48
8	[4, 4]	[0, 11]	[4, 11]	48
8	[1, 1]	[0, 10]	[1, 10]	48
8	[0, 6]	[1, 1]	[1, 6]	46
8	[3, 3]	[0, 31]	[3, 31]	46
8	[28, 28]	[-128, 127]	[-128, 127]	44
8	[-128, 127]	[0, 0]	[-128, 127]	43
8	[0, 4]	[1, 1]	[1, 4]	42
8	[2, 2]	[0, 4]	[2, 4]	42
8	[5, 5]	[0, 6]	[5, 6]	40
8	[2, 2]	[0, 3]	[2, 3]	40
8	[-128, 127]	[1, 8]	[-128, 127]	40
8	[-128, 127]	[2, 7]	[-128, 127]	40
8	[0, 63]	[1, 1]	[1, 63]	39
8	[4, 4]	[0, 12]	[4, 12]	38
8	[4, 4]	[0, 6]	[4, 6]	38
8	[-128, 127]	[4, 4]	[-128, 127]	38
8	[0, 7]	[1, 1]	[1, 7]	38
8	[16, 16]	[0, 23]	[16, 23]	36
8	[24, 24]	[0, 31]	[24, 31]	36
8	[-128, 127]	[3, 3]	[-128, 127]	36
8	[8, 8]	[1, 127]	[8, 127]	36
8	[0, 5]	[1, 1]	[1, 5]	36
8	[1, 1]	[0, 9]	[1, 9]	36
8	[1, 1]	[0, 11]	[1, 11]	36
8	[60, 60]	[-128, 127]	[-128, 127]	36
8	[0, 61]	[1, 1]	[1, 61]	34
8	[2, 2]	[0, 127]	[2, 127]	34
8	[0, 63]	[-128, 127]	[-128, 127]	34
8	[1, 1]	[0, 32]	[1, 32]	32
8	[1, 1]	[0, 64]	[1, 64]	32
8	[12, 12]	[0, 14]	[12, 14]	32
8	[0, 4]	[0, 4]	[0, 4]	30
8	[99, 99]	[0, 100]	[99, 100]	30
8	[1, 1]	[-8, 7]	[-8, 7]	30
8	[24, 24]	[-128, 127]	[-128, 127]	30
8	[1, 51]	[-128, 127]	[-128, 127]	29
8	[1, 1]	[0, 5]	[1, 5]	28
8	[53, 53]	[-128, 127]	[-128, 127]	28
8	[8, 8]	[0, 31]	[8, 31]	28
8	[8, 8]	[0, 63]	[8, 63]	28
8	[69, 69]	[0, 74]	[69, 74]	28
8	[13, 13]	[0, 19]	[13, 19]	28
8	[-8, -8]	[-128, 127]	[-8, -1]	28
8	[23, 23]	[-128, 127]	[-128, 127]	28
8	[2, 2]	[0, 14]	[2, 14]	26
8	[2, 2]	[-3, 1]	[-3, 2]	26
8	[48, 48]	[0, 58]	[48, 58]	26
8	[1, 1]	[-128, 0]	[-128, 1]	25
8	[4, 4]	[-128, 124]	[-128, 124]	25
8	[1, 1]	[-1, 1]	[-1, 1]	24
8	[96, 96]	[0, 112]	[96, 112]	24
8	[1, 1]	[0, 13]	[1, 13]	24
8	[109, 109]	[0, 119]	[109, 119]	24
8	[67, 67]	[0, 79]	[67, 79]	24
8	[42, 42]	[0, 59]	[42, 59]	24
8	[48, 48]	[0, 55]	[48, 55]	22
8	[2, 2]	[0, 15]	[2, 15]	22
8	[1, 1]	[0, 0]	[1, 1]	22
8	[97, 97]	[-128, 127]	[-128, 127]	22
8	[90, 90]	[0, 97]	[90, 97]	22
8	[66, 66]	[0, 80]	[66, 80]	22
8	[0, 3]	[-128, 127]	[-128, 127]	20
8	[2, 2]	[0, 16]	[2, 16]	20
8	[-4, -4]	[-128, 127]	[-4, -1]	20
8	[9, 9]	[0, 10]	[9, 10]	20
8	[-128, 127]	[2, 3]	[-128, 127]	20
8	[1, 1]	[0, 23]	[1, 23]	20
8	[1, 1]	[-128, 126]	[-128, 126]	19
8	[0, 0]	[1, 1]	[1, 1]	18
8	[1, 1]	[0, 19]	[1, 19]	18
8	[95, 95]	[-128, 127]	[-128, 127]	18
